date,open,high,low,close,volume,Name
2014-01-24,40.4194,40.9871,39.8768,39.8935,9203692,ABBV
2014-01-27,39.8935,39.9269,38.7499,39.0921,10788733,ABBV
2014-01-28,39.3008,40.4611,39.3008,39.81,12298641,ABBV
2014-01-29,39.3593,39.9352,39.2174,39.7432,7608549,ABBV
2014-01-30,40.0438,40.8034,39.9853,40.3276,7670930,ABBV
2014-01-31,41.6883,42.1975,40.962,41.0956,12894409,ABBV
2014-02-03,41.2375,41.3126,39.2841,39.5262,10315368,ABBV
2014-02-04,39.3843,40.0438,39.1923,40.0271,9606123,ABBV
2014-02-05,39.8685,40.1272,39.3634,39.8434,6987085,ABBV
2014-02-06,39.977,40.2191,39.6097,40.0104,4957804,ABBV
2014-02-07,40.0688,40.9244,39.785,40.8117,7003884,ABBV
2014-02-10,40.6949,41.8969,40.6698,41.3627,7907594,ABBV
2014-02-11,41.2458,41.7112,40.937,41.4545,7220444,ABBV
2014-02-12,41.4295,42.5147,41.3961,42.2058,6534491,ABBV
2014-02-13,41.9888,42.1724,41.6382,42.0305,5266042,ABBV
2014-02-14,42.2058,42.498,41.8803,42.3477,4125072,ABBV
2014-02-18,42.2726,43.0406,42.2058,42.9571,4984888,ABBV
2014-02-19,42.715,43.291,42.2726,42.7317,5242787,ABBV
2014-02-20,42.7317,43.4997,42.3477,43.291,6078933,ABBV
2014-02-21,43.2576,43.3828,42.5815,42.6065,5842724,ABBV
2014-02-24,42.5815,43.0406,42.4312,42.4479,5704236,ABBV
2014-02-25,42.5147,42.6816,42.1557,42.3394,5424996,ABBV
2014-02-26,41.6966,42.5481,41.6799,42.3561,5710741,ABBV
2014-02-27,42.2392,42.5063,42.1307,42.498,5052972,ABBV
2014-02-28,42.4395,43.3745,42.1641,42.498,7096343,ABBV
2014-03-03,42.0222,42.4562,41.563,41.8135,6817656,ABBV
2014-03-04,42.3477,43.1783,42.1808,43.0656,6198289,ABBV
