date,open,high,low,close,volume,Name
2014-01-24,39.546,39.7376,38.971,38.971,3748234,AEP
2014-01-27,39.0044,39.4877,38.8377,39.3127,3434554,AEP
2014-01-28,39.371,39.596,39.2127,39.5877,2319288,AEP
2014-01-29,39.4377,39.9709,39.3877,39.6543,3302976,AEP
2014-01-30,39.7293,40.3459,39.721,40.1959,2793389,AEP
2014-01-31,39.9543,40.8125,39.846,40.6709,4224409,AEP
2014-02-03,40.7709,41.1542,40.1709,40.2542,5001647,AEP
2014-02-04,40.4709,40.5026,40.0334,40.4126,4266367,AEP
2014-02-05,40.2792,40.3042,39.821,39.9543,3381563,AEP
2014-02-06,39.9375,40.0974,39.7691,40.0806,3647950,AEP
2014-02-07,40.2069,40.4679,40.089,40.4427,2547613,AEP
2014-02-10,40.3585,40.6532,40.0217,40.6279,3114446,AEP
2014-02-11,40.5774,41.0826,40.5437,40.9563,2198874,AEP
2014-02-12,40.8721,41.2426,40.7605,41.2426,2707165,AEP
2014-02-13,41.0995,41.8825,41.0489,41.8489,2801691,AEP
2014-02-14,41.731,42.2025,41.6047,42.1941,2442003,AEP
2014-02-18,42.2362,42.5225,42.1773,42.4299,3077681,AEP
2014-02-19,42.312,42.7414,42.1688,42.2278,2344902,AEP
2014-02-20,42.1688,42.7414,41.9331,42.3878,3151691,AEP
2014-02-21,42.413,42.8509,42.4046,42.573,2979798,AEP
2014-02-24,42.6067,42.8307,42.1436,42.1604,2823039,AEP
2014-02-25,42.253,42.5814,42.0425,42.152,2398738,AEP
2014-02-26,42.3457,42.5688,42.1183,42.3288,2034192,AEP
2014-02-27,42.2867,42.4214,41.7689,41.9331,2966862,AEP
2014-02-28,42.0257,42.4636,42.0089,42.2699,2666645,AEP
2014-03-03,42.0762,42.2699,41.7983,41.8657,2023599,AEP
2014-03-04,42.1857,42.3793,42.0004,42.1436,2507541,AEP
2014-03-05,42.1941,42.3541,41.7815,41.832,2044819,AEP
2014-03-06,41.9078,42.0089,41.4194,41.47,2104150,AEP
2014-03-07,41.3268,41.5794,40.9479,41.5373,2484030,AEP
2014-03-10,41.5289,41.7436,41.2342,41.4363,2497842,AEP
2014-03-11,41.5205,41.5626,40.889,41.0068,3522465,AEP
2014-03-12,40.9479,41.6889,40.8974,41.6805,2037498,AEP
2014-03-13,41.7226,42.1857,41.6047,42.0257,2394997,AEP
2014-03-14,42.0173,42.4214,41.9015,42.1941,1993219,AEP
2014-03-17,42.2783,42.4383,41.9583,42.3457,2324024,AEP
2014-03-18,42.4467,42.5141,42.152,42.2362,2129640,AEP
2014-03-19,42.2446,42.3212,41.1542,41.2089,4187027,AEP
2014-03-20,41.1163,41.2131,40.6784,41.0489,3756512,AEP
2014-03-21,41.2173,41.7689,40.9984,41.1668,5434862,AEP
2014-03-24,41.1416,41.5036,41.0321,41.0574,4289450,AEP
2014-03-25,41.1331,41.6552,40.8637,41.571,4703029,AEP
2014-03-26,41.6215,41.8026,41.4194,41.5289,2936256,AEP
2014-03-27,41.4952,42.0594,41.251,41.9331,4256630,AEP
2014-03-28,41.9499,42.2446,41.8068,42.1015,2668140,AEP
2014-03-31,42.253,42.9043,42.1015,42.6572,3276657,AEP
2014-04-01,42.7498,42.7835,42.247,42.4383,3006160,AEP
2014-04-02,42.413,42.573,42.0931,42.4467,2759505,AEP
2014-04-03,42.5225,42.7288,42.3625,42.5814,1963636,AEP
2014-04-04,42.7583,43.2803,42.6151,42.7583,2778219,AEP
2014-04-07,42.8593,43.2045,42.6741,42.6825,2785981,AEP
2014-04-08,42.7583,43.3645,42.3962,43.2887,2909048,AEP
2014-04-09,43.3056,43.4639,42.9014,43.3982,3132243,AEP
2014-04-10,43.4487,43.7013,42.9098,42.9351,3937176,AEP
2014-04-11,43.0361,43.3393,42.8256,42.8593,3052419,AEP
2014-04-14,43.1624,43.3056,42.7751,43.1793,2863399,AEP
2014-04-15,43.213,44.0802,43.154,44.055,3915870,AEP
2014-04-16,44.0129,44.2066,43.8024,44.2066,2526020,AEP
2014-04-17,44.0802,44.2908,43.4698,43.5582,2165298,AEP
2014-04-21,43.4319,43.9203,43.3055,43.4908,2344180,AEP
2014-04-22,43.4908,43.634,43.1288,43.5077,2783192,AEP
2014-04-23,43.575,44.0887,43.5329,43.7013,3055287,AEP
2014-04-24,43.8361,44.4255,43.4824,44.0634,4579184,AEP
2014-04-25,44.7033,45.1159,44.3244,44.9475,4546996,AEP
2014-04-28,45.1328,45.9074,45.1328,45.8401,4753248,AEP
2014-04-29,45.8485,46.0085,45.3096,45.3685,4460619,AEP
2014-04-30,45.4612,45.8317,45.2633,45.3096,3726905,AEP
2014-05-01,45.4612,45.521,44.7732,45.3601,3304632,AEP
2014-05-02,45.1665,45.1665,44.1392,44.4844,3822881,AEP
2014-05-05,44.4592,44.956,44.375,44.9307,2988112,AEP
2014-05-06,44.8212,44.9223,44.4928,44.5013,2973599,AEP
2014-05-07,44.6033,45.4959,44.5098,45.4789,3366799,AEP
2014-05-08,45.4704,45.5384,44.9433,45.1048,3110450,AEP
2014-05-09,45.1133,45.2748,44.4375,44.4758,3482427,AEP
2014-05-12,44.6203,44.6373,43.8637,43.9997,3597737,AEP
2014-05-13,44.1867,44.4333,44.0422,44.3993,2939902,AEP
2014-05-14,44.3993,44.9518,44.3568,44.5098,2721298,AEP
2014-05-15,44.5183,44.6883,44.1612,44.2207,2302359,AEP
2014-05-16,44.3143,44.8158,44.0847,44.7988,3116084,AEP
2014-05-19,44.7053,44.7223,43.3622,43.3707,4099283,AEP
2014-05-20,43.4387,43.8042,43.2007,43.3197,3391432,AEP
2014-05-21,43.4047,43.5577,43.2518,43.4472,1665019,AEP
2014-05-22,43.4982,43.9657,43.4472,43.7702,1813392,AEP
2014-05-23,43.7277,43.9572,43.6257,43.7022,1597689,AEP
2014-05-27,44.3143,44.9858,44.2378,44.7988,5163477,AEP
2014-05-28,44.7648,45.044,44.5013,45.0028,3655161,AEP
2014-05-29,45.1048,45.1473,44.5438,44.8753,3225875,AEP
2014-05-30,44.8583,45.3938,44.8498,45.3513,2757068,AEP
2014-06-02,45.2238,45.5639,45.0882,45.4619,2340164,AEP
2014-06-03,45.5129,46.0739,45.3598,45.8529,4483121,AEP
2014-06-04,45.6829,45.9379,45.6149,45.8954,2753580,AEP
2014-06-05,45.5129,46.2609,45.5129,46.0484,2778496,AEP
2014-06-06,46.3289,46.3536,45.9294,45.9634,1602383,AEP
2014-06-09,45.8359,45.8954,45.3652,45.4704,2240435,AEP
2014-06-10,45.4619,45.7254,45.2833,45.4449,2508473,AEP
2014-06-11,45.3938,45.4619,44.6288,44.6543,2741488,AEP
2014-06-12,44.5948,44.8498,43.8595,44.7053,2368919,AEP
2014-06-13,44.6458,45.0028,44.3483,44.8668,1610149,AEP
2014-06-16,44.8328,45.6531,44.8158,45.1303,2415335,AEP
2014-06-17,44.9008,45.0452,44.4504,44.8923,1821258,AEP
2014-06-18,44.9858,46.0229,44.9221,46.0059,3582763,AEP
2014-06-19,46.1249,46.7455,46.0314,46.669,3078435,AEP
2014-06-20,46.669,46.7115,46.2779,46.3119,2506600,AEP
2014-06-23,46.3544,46.3884,45.9591,46.2864,1793971,AEP
2014-06-24,46.1164,46.6009,46.1164,46.4564,1959889,AEP
2014-06-25,46.3629,46.958,46.2864,46.856,2183696,AEP
2014-06-26,46.8645,46.8645,46.6052,46.754,2534765,AEP
2014-06-27,46.737,47.1025,46.5414,47.0345,2644424,AEP
2014-06-30,47.1195,47.553,46.89,47.4085,2343199,AEP
2014-07-01,47.4595,47.5275,46.9155,46.9325,1806981,AEP
2014-07-02,46.8475,46.9155,45.6829,46.0484,2731363,AEP
2014-07-03,45.7424,45.7679,45.2153,45.6999,2020634,AEP
2014-07-07,45.5129,45.9974,45.5129,45.7084,2562929,AEP
2014-07-08,45.7679,46.4054,45.7679,46.3714,3120943,AEP
2014-07-09,46.5754,46.703,46.1589,46.5074,2651856,AEP
2014-07-10,46.3289,46.6605,46.3289,46.5839,2153227,AEP
2014-07-11,46.5414,46.7115,46.0144,46.1674,1986777,AEP
2014-07-14,46.2354,46.3799,45.5044,45.5639,3134203,AEP
2014-07-15,45.5469,46.0654,45.5469,45.8444,2701238,AEP
2014-07-16,45.9379,46.1334,45.6871,46.0824,2044741,AEP
2014-07-17,46.0399,46.1249,45.4619,45.4619,2043029,AEP
2014-07-18,45.6744,46.2864,45.5129,46.2354,1936234,AEP
2014-07-21,46.1759,46.2099,45.5724,45.9379,2035871,AEP
2014-07-22,46.1079,46.1759,45.8556,45.9464,1213844,AEP
2014-07-23,45.9549,46.0994,45.8189,45.8784,1785357,AEP
2014-07-24,45.8699,45.9464,45.6744,45.9124,2193420,AEP
2014-07-25,46.1164,46.516,44.9858,45.2408,3061618,AEP
2014-07-28,45.1728,46.4649,45.0793,46.4564,2907880,AEP
2014-07-29,46.5839,46.6605,45.9636,45.9804,2073559,AEP
2014-07-30,45.9974,46.0993,44.6883,45.0538,2890028,AEP
2014-07-31,44.8498,44.9943,44.1655,44.1952,2509796,AEP
2014-08-01,44.2037,44.8923,44.1697,44.4673,2605543,AEP
2014-08-04,44.3738,44.3738,42.9116,43.6937,5779131,AEP
