date,open,high,low,close,volume,Name
2014-01-24,175.9506,177.5224,171.1002,171.9239,2099569,AGN
2014-01-27,172.5546,174.8639,169.7408,173.3891,1993912,AGN
2014-01-28,174.6407,179.0652,173.787,178.6868,1826930,AGN
2014-01-29,177.6389,178.3666,174.6504,175.3878,1746665,AGN
2014-01-30,179.2884,182.4321,178.0852,181.1416,2050938,AGN
2014-01-31,177.8523,185.4884,177.6874,183.3635,2292802,AGN
2014-02-03,184.3532,184.6152,176.1175,176.6589,2203931,AGN
2014-02-04,179.5794,180.6467,175.8933,179.56,1766202,AGN
2014-02-05,179.6765,179.9918,175.3296,178.3569,1469795,AGN
2014-02-06,178.483,179.1234,176.4454,177.4254,1742769,AGN
2014-02-07,178.1531,183.3537,177.5613,182.6164,1843001,AGN
2014-02-10,182.5776,183.2859,180.7729,183.1501,1129746,AGN
2014-02-11,183.4412,186.0803,181.7723,185.5661,1813520,AGN
2014-02-12,187.0118,187.4678,183.5906,184.3241,1105860,AGN
2014-02-13,184.1786,186.1578,181.6946,185.9348,1117230,AGN
2014-02-14,186.2356,186.6023,184.9354,186.1773,763671,AGN
2014-02-18,198.9462,202.5424,195.4241,195.4823,14968326,AGN
2014-02-19,199.3343,206.7764,197.5393,204.3022,8786861,AGN
2014-02-20,205.1657,215.635,204.2343,213.8206,5883445,AGN
2014-02-21,211.5114,212.7436,207.3197,211.9189,4371786,AGN
2014-02-24,211.2785,217.008,211.2785,215.7612,3213521,AGN
2014-02-25,215.4022,219.6908,214.8006,218.313,3425110,AGN
2014-02-26,219.1669,223.9115,218.4392,220.5059,3644118,AGN
2014-02-27,220.1663,222.4852,218.7496,220.3991,2087238,AGN
2014-02-28,220.8455,220.9425,213.1317,214.2573,3718542,AGN
2014-03-03,206.6697,212.8989,206.039,212.3167,2821722,AGN
2014-03-04,215.9067,220.632,215.7709,219.3997,2535315,AGN
2014-03-05,220.3118,220.632,217.0759,217.8764,1520188,AGN
2014-03-06,218.2742,218.7496,207.5235,207.5914,4153983,AGN
2014-03-07,209.1827,209.6678,200.3434,206.8443,4897543,AGN
2014-03-10,203.3319,206.4174,200.3531,202.478,3255276,AGN
