date,open,high,low,close,volume,Name
2014-01-24,97.4885,98.1256,94.4093,94.489,1537416,AMP
2014-01-27,94.5775,95.011,92.1885,92.8344,2066651,AMP
2014-01-28,93.5068,94.427,93.1441,94.2678,1721577,AMP
2014-01-29,92.8875,93.905,92.7547,92.9229,1055355,AMP
2014-01-30,93.728,94.6925,93.6219,94.1704,805097,AMP
2014-01-31,92.4185,94.4624,92.0292,93.4714,1628850,AMP
2014-02-03,93.4803,93.7632,89.6225,89.7818,1872128,AMP
2014-02-04,90.0826,91.7372,89.9322,91.6133,1323162,AMP
2014-02-05,94.0731,96.2674,91.1975,91.516,2292765,AMP
2014-02-06,91.7726,93.5511,91.5603,93.4714,1292643,AMP
2014-02-07,93.905,95.303,93.2591,95.2145,1883078,AMP
2014-02-10,94.9933,95.188,93.2237,93.7015,1555318,AMP
2014-02-11,93.4272,94.9225,93.2237,94.8606,1380044,AMP
2014-02-12,95.1273,95.6963,94.7405,95.1184,961532,AMP
2014-02-13,94.3804,95.6074,94.0426,95.4296,955361,AMP
2014-02-14,95.3318,95.803,94.7628,95.2162,874350,AMP
2014-02-18,95.972,96.7099,95.5808,96.0164,987251,AMP
2014-02-19,95.8653,97.1812,94.6827,94.8339,1074653,AMP
2014-02-20,94.8872,95.1984,93.7936,94.4249,1209716,AMP
2014-02-21,94.9673,95.7586,94.6294,94.9673,825988,AMP
2014-02-24,94.6916,97.1189,94.5672,96.2743,1090393,AMP
2014-02-25,95.8653,96.2031,95.1184,95.4652,928696,AMP
2014-02-26,95.7052,96.0075,94.6383,94.7983,1073926,AMP
2014-02-27,94.7539,96.6899,94.4694,96.5855,1131600,AMP
2014-02-28,96.381,97.8836,96.1142,96.9056,1182175,AMP
2014-03-03,95.3318,96.2298,95.0028,95.803,974616,AMP
2014-03-04,97.279,98.3637,97.0478,98.0525,1313935,AMP
2014-03-05,97.9725,98.3904,97.4035,97.6702,1082409,AMP
2014-03-06,98.1325,99.1461,97.9547,98.5504,1097519,AMP
2014-03-07,98.9683,100.7288,98.9683,100.1597,1383622,AMP
2014-03-10,99.9108,100.2309,99.1195,99.6263,814979,AMP
2014-03-11,99.733,100.1153,98.3726,98.6216,880020,AMP
2014-03-12,97.688,98.6216,97.359,98.6038,1076036,AMP
2014-03-13,99.2528,99.5374,96.8611,97.0567,1178824,AMP
2014-03-14,96.8878,97.5368,96.0965,96.2476,1031879,AMP
2014-03-17,97.1634,97.6169,96.7188,96.8789,1197879,AMP
2014-03-18,96.9322,97.7058,96.8611,97.1812,753588,AMP
2014-03-19,97.2079,97.8747,96.1987,96.6655,1262924,AMP
2014-03-20,96.4877,99.4396,96.3632,99.3329,1494849,AMP
2014-03-21,100.6221,101.0755,99.2439,99.3862,1749156,AMP
2014-03-24,99.4307,100.15,98.1325,98.4437,956189,AMP
2014-03-25,98.6038,99.2439,97.0122,97.6613,1271054,AMP
2014-03-26,98.2748,98.6393,96.7455,96.7544,1016354,AMP
2014-03-27,96.3187,96.9144,95.0028,95.154,1137791,AMP
2014-03-28,95.9008,97.9992,95.723,96.7455,1068946,AMP
2014-03-31,97.7235,98.2926,97.5991,97.8658,1588413,AMP
2014-04-01,98.3104,99.6352,98.2037,99.4573,938348,AMP
2014-04-02,100.7732,101.12,100.0708,100.8888,1627536,AMP
2014-04-03,100.9155,101.7957,99.7152,100.711,1215585,AMP
2014-04-04,101.7691,102.6137,99.0395,99.0661,1732623,AMP
2014-04-07,98.8438,99.0661,95.4652,95.6608,1216259,AMP
2014-04-08,95.6786,96.1053,94.8695,95.563,1521751,AMP
2014-04-09,96.1676,97.1812,95.4296,97.1367,1308372,AMP
2014-04-10,96.9678,97.2701,93.3935,93.3935,1730003,AMP
2014-04-11,92.291,92.451,90.4238,90.4594,2123484,AMP
2014-04-14,91.5086,91.5175,89.7481,90.6106,1289949,AMP
2014-04-15,90.8506,92.0154,89.9437,91.8998,2144291,AMP
2014-04-16,92.8156,93.2601,92.042,93.2068,1012682,AMP
2014-04-17,93.4913,94.7628,93.4424,94.2737,1020065,AMP
2014-04-21,94.2649,94.6739,93.8203,94.3449,604241,AMP
2014-04-22,94.2471,95.394,94.1048,94.9495,808788,AMP
2014-04-23,94.8161,95.3318,94.3449,94.6383,618877,AMP
2014-04-24,95.2251,95.3585,93.8914,94.1137,844827,AMP
