date,open,high,low,close,volume,Name
2014-01-24,74.8511,75.3322,71.5102,72.2819,7213513,AMT
2014-01-27,72.409,73.1353,71.3559,71.946,2614610,AMT
2014-01-28,71.946,73.2351,71.8825,73.1353,2188668,AMT
2014-01-29,72.636,72.7449,71.8461,72.2274,2990555,AMT
2014-01-30,72.6541,74.261,72.6541,73.6981,2179382,AMT
2014-01-31,73.0717,73.9251,72.645,73.4258,2398264,AMT
2014-02-03,73.2987,73.5402,71.4195,71.5647,3040200,AMT
2014-02-04,71.8643,72.1639,71.1562,71.8461,2203015,AMT
2014-02-05,71.6736,72.2864,71.5375,71.7281,1455445,AMT
2014-02-06,71.9188,72.4362,71.5647,72.409,1930970,AMT
2014-02-07,72.7177,73.2624,72.0731,72.9719,2229655,AMT
2014-02-10,73.0626,74.0703,72.99,74.0068,2134317,AMT
2014-02-11,74.034,74.4425,73.5166,74.3699,1371934,AMT
2014-02-12,74.2791,74.379,73.5619,74.2519,1109686,AMT
2014-02-13,73.8161,75.2687,73.6803,74.8874,1485091,AMT
2014-02-14,74.96,75.6681,74.9146,75.5319,1099613,AMT
2014-02-18,75.6227,75.8588,75.0054,75.8315,1670116,AMT
2014-02-19,75.6409,76.576,75.6409,76.0313,1827422,AMT
2014-02-20,75.9223,76.7848,75.4593,76.7212,1829348,AMT
2014-02-21,76.7212,77.0753,76.1947,76.3036,2852220,AMT
2014-02-24,76.3127,76.7303,75.2778,75.3322,3105771,AMT
2014-02-25,75.9859,75.9859,72.409,72.7721,5612259,AMT
2014-02-26,73.1353,73.9069,72.6995,73.3804,2996064,AMT
2014-02-27,73.4258,74.0613,73.4076,73.9523,2251465,AMT
2014-02-28,73.9705,74.1248,73.2896,73.9614,2650688,AMT
2014-03-03,73.6073,74.0249,73.2714,73.9523,1734987,AMT
2014-03-04,74.3699,74.4698,73.798,74.0249,2592928,AMT
2014-03-05,74.034,74.0431,72.9265,73.3531,2809302,AMT
2014-03-06,73.5166,74.8329,73.4439,74.3699,2184030,AMT
2014-03-07,74.3699,74.3699,72.8902,73.8161,1809346,AMT
2014-03-10,73.6164,73.9796,73.0626,73.6981,1293520,AMT
2014-03-11,73.5892,74.3155,73.3623,74.1702,1550008,AMT
2014-03-12,73.7617,74.0268,73.099,73.3895,2458080,AMT
2014-03-13,73.5438,73.7526,72.872,72.9446,2444062,AMT
2014-03-14,72.7267,73.5892,72.6723,72.9809,1695959,AMT
2014-03-17,73.335,74.4335,73.335,74.2065,2481279,AMT
2014-03-18,74.261,74.7058,73.9886,74.261,1474060,AMT
2014-03-19,74.3155,75.3413,72.8992,73.2442,1996957,AMT
2014-03-20,73.1262,73.7798,72.7267,73.7435,1815531,AMT
2014-03-21,74.2973,74.379,73.3259,73.5983,3506060,AMT
2014-03-24,73.9251,74.3155,72.7821,73.4439,2142806,AMT
2014-03-25,74.0703,74.3064,73.5529,74.1793,1988276,AMT
2014-03-26,74.3155,74.8238,73.2987,73.3622,2478337,AMT
2014-03-27,73.2624,73.6073,72.636,73.2351,1895544,AMT
2014-03-28,73.5166,75.0054,73.453,74.5606,2467851,AMT
2014-03-31,74.96,75.3413,74.152,74.3245,1959319,AMT
2014-04-01,74.4244,74.5243,73.4439,74.0885,2414600,AMT
2014-04-02,73.9886,74.7421,73.6527,73.7798,2161806,AMT
2014-04-03,73.8525,74.0976,73.2624,73.7617,1527192,AMT
2014-04-04,74.1793,74.2156,72.7177,73.2896,2884523,AMT
2014-04-07,73.3531,74.2337,73.1807,73.2351,3475727,AMT
