date,open,high,low,close,volume,Name
2014-01-24,101.6474,102.6214,101.6474,102.1088,1206092,AVB
2014-01-27,101.5278,102.7068,101.1348,101.1348,973579,AVB
2014-01-28,100.8102,102.1088,100.3916,100.4087,1482479,AVB
2014-01-29,103.6807,106.6025,100.0071,100.4856,1855427,AVB
2014-01-30,97.5296,105.3125,97.5296,104.3642,2720200,AVB
2014-01-31,103.6295,105.9789,103.6295,105.509,1584841,AVB
2014-02-03,105.509,106.3291,105.1758,105.3296,1407940,AVB
2014-02-04,105.8165,106.8588,105.1467,106.7563,1483529,AVB
2014-02-05,106.4744,107.9182,106.1412,107.6619,1428280,AVB
2014-02-06,107.7858,108.5845,107.7131,108.4906,864649,AVB
2014-02-07,108.7554,109.4645,108.3112,109.1911,903517,AVB
2014-02-10,109.5841,110.8741,109.0715,110.4897,1070861,AVB
2014-02-11,110.2248,111.8053,109.9045,110.7631,1258104,AVB
2014-02-12,110.7204,111.0108,109.8917,110.0882,1444006,AVB
2014-02-13,109.8233,110.6178,109.5585,109.6439,996938,AVB
2014-02-14,109.6952,110.2506,109.6439,110.1992,588860,AVB
2014-02-18,109.9856,110.857,109.7806,110.6349,691800,AVB
2014-02-19,110.5324,110.9083,109.4474,109.6525,673288,AVB
2014-02-20,110.0113,110.4811,109.1655,110.1138,737648,AVB
2014-02-21,109.9942,110.7033,109.1997,109.9173,623034,AVB
2014-02-24,110.0113,111.2329,109.7977,110.3957,694630,AVB
2014-02-25,110.0711,110.84,109.8788,110.4043,765977,AVB
2014-02-26,110.9852,111.0074,109.3876,109.7208,694099,AVB
2014-02-27,109.8319,109.9856,108.4564,108.7554,723835,AVB
2014-02-28,109.0202,110.6093,108.5931,110.1821,1131023,AVB
2014-03-03,109.9429,110.6862,109.7464,110.2163,689169,AVB
2014-03-04,111.2671,111.4892,110.7374,111.4551,531141,AVB
2014-03-05,111.1219,111.3953,109.268,110.0711,745039,AVB
2014-03-06,110.0711,110.165,108.764,109.2167,823206,AVB
2014-03-07,109.1569,109.7123,108.4479,109.5414,805035,AVB
2014-03-10,109.4987,109.7037,108.4479,108.969,464816,AVB
2014-03-11,109.1569,110.0369,108.6845,109.8917,450868,AVB
2014-03-12,109.6268,110.3701,109.4303,110.3359,633371,AVB
2014-03-13,110.6093,110.6315,108.9989,110.3274,622578,AVB
2014-03-14,110.2505,111.3696,110.2505,110.8485,692948,AVB
2014-03-17,111.0621,111.5576,110.4043,111.1475,682611,AVB
2014-03-18,111.0365,111.3696,110.5529,111.1304,798437,AVB
2014-03-19,111.1988,111.7712,109.1228,110.2419,1723036,AVB
2014-03-20,109.7891,110.6178,109.3962,109.96,1300297,AVB
2014-03-21,111.0365,111.5747,109.9173,110.9254,1273780,AVB
2014-03-24,111.25,111.4038,110.054,110.746,734518,AVB
2014-03-25,111.344,112.5999,110.7716,112.4034,617446,AVB
2014-03-26,112.3692,112.3692,110.8058,111.1048,930221,AVB
2014-03-27,110.9842,111.9755,110.6738,111.6651,904066,AVB
2014-03-28,112.2168,112.8892,111.8462,112.1737,854245,AVB
2014-03-31,112.5272,113.9322,111.5445,113.1995,1184822,AVB
2014-04-01,113.1995,113.3116,112.0996,113.1564,770555,AVB
2014-04-02,112.9668,114.0184,112.4668,113.6133,727847,AVB
2014-04-03,118.6906,118.6906,113.3892,113.8547,1130636,AVB
2014-04-04,114.5357,115.5959,113.6823,115.0184,1160039,AVB
2014-04-07,114.9925,116.32,114.9149,115.1218,838551,AVB
2014-04-08,114.9753,115.5011,114.4926,115.3546,720058,AVB
2014-04-09,115.2856,115.8201,114.6736,114.9322,661951,AVB
2014-04-10,115.0529,115.9192,114.0184,114.4926,868035,AVB
2014-04-11,114.1391,114.9106,113.5357,114.0012,999715,AVB
2014-04-14,114.6046,115.2253,113.999,114.8632,578459,AVB
2014-04-15,114.777,116.1045,114.2598,115.9838,942876,AVB
2014-04-16,116.2252,116.5786,115.6908,116.5441,946549,AVB
2014-04-17,116.0528,116.2769,114.6132,115.1994,1200910,AVB
2014-04-21,115.1304,115.9407,114.8891,115.7252,853001,AVB
2014-04-22,115.6649,116.1218,114.4494,116.0011,565644,AVB
2014-04-23,115.3373,116.2942,114.6736,114.9494,1112498,AVB
2014-04-24,114.165,116.389,113.846,115.458,957093,AVB
2014-04-25,115.5442,116.7596,115.4278,116.6562,722057,AVB
2014-04-28,117.0441,118.2682,117.0441,117.9578,901471,AVB
2014-04-29,118.0958,118.294,117.1131,117.6992,564803,AVB
2014-04-30,117.6992,118.182,116.7596,117.7079,591011,AVB
2014-05-01,117.8889,118.0785,116.3717,117.5527,720592,AVB
2014-05-02,117.1217,118.1992,116.7079,118.1561,835219,AVB
2014-05-05,117.7682,119.2164,117.4665,119.1647,491373,AVB
2014-05-06,118.3199,119.0612,118.1389,118.544,529867,AVB
2014-05-07,119.2078,120.4404,118.4751,119.9146,1047316,AVB
2014-05-08,119.8888,120.6818,119.4922,120.3801,679757,AVB
2014-05-09,120.2767,120.6732,119.3802,120.1043,602792,AVB
2014-05-12,120.1646,121.2335,120.0525,121.0611,566854,AVB
2014-05-13,120.6473,121.7938,119.6819,119.9405,583980,AVB
2014-05-14,120.1646,120.5439,119.5008,119.8888,413563,AVB
2014-05-15,120.0094,121.0611,119.6646,120.8801,1192071,AVB
2014-05-16,120.7163,121.2852,120.2249,121.2249,742772,AVB
2014-05-19,121.0266,121.5438,120.4232,121.4231,763304,AVB
2014-05-20,120.9318,121.5826,120.3887,120.9835,753519,AVB
2014-05-21,121.0525,121.7162,120.087,120.5353,650677,AVB
2014-05-22,120.4146,121.0094,119.8801,120.1301,604288,AVB
2014-05-23,120.3887,120.7939,120.2077,120.7335,477730,AVB
2014-05-27,120.9145,121.5438,120.8197,121.2162,738230,AVB
2014-05-28,121.2162,121.3973,120.2939,120.9145,845966,AVB
2014-05-29,121.0611,121.2404,120.268,120.9921,606680,AVB
2014-05-30,121.1214,122.3627,120.5525,122.2679,1669391,AVB
2014-06-02,122.1817,122.7765,122.13,122.2765,1003705,AVB
2014-06-03,121.9834,122.9058,121.9059,122.7248,498292,AVB
2014-06-04,122.4058,123.1903,122.2851,122.9575,581538,AVB
2014-06-05,123.0782,124.5695,122.5782,124.4833,670813,AVB
2014-06-06,124.4229,124.4833,122.4575,122.8886,746168,AVB
2014-06-09,122.9489,123.5049,120.1301,120.6128,1266769,AVB
2014-06-10,120.2594,120.8801,119.6388,119.8974,867625,AVB
2014-06-11,119.8974,120.2077,119.1819,119.7767,624903,AVB
2014-06-12,119.7422,120.3973,119.0138,120.0698,731445,AVB
2014-06-13,120.3887,120.9189,119.406,120.699,569631,AVB
2014-06-16,120.4404,120.9231,119.7767,119.9491,561264,AVB
2014-06-17,119.8974,120.9404,119.3974,120.8973,1174926,AVB
2014-06-18,120.4663,121.5783,119.6646,121.3283,637772,AVB
2014-06-19,121.268,121.8972,121.0697,121.8886,703362,AVB
2014-06-20,122.3886,122.4058,121.0611,121.8024,1671928,AVB
2014-06-23,121.7852,122.7075,121.5007,122.1645,680759,AVB
2014-06-24,121.7852,122.8282,121.7852,122.811,550943,AVB
2014-06-25,122.4231,123.2247,122.4231,123.1299,571290,AVB
2014-06-26,122.9996,123.4167,122.4781,122.8605,363611,AVB
2014-06-27,122.6346,123.7643,122.4694,123.7122,453051,AVB
2014-06-30,123.8947,124.3206,122.452,123.5731,624722,AVB
2014-07-01,123.5297,124.2336,122.8475,123.7557,744841,AVB
2014-07-02,123.7904,123.9295,122.791,123.886,363104,AVB
2014-07-03,123.6774,123.9729,122.4694,123.4341,304386,AVB
2014-07-07,123.2429,124.2163,123.2342,123.999,519497,AVB
2014-07-08,123.7557,125.1462,123.7122,124.6769,404617,AVB
2014-07-09,125.0593,125.1462,123.747,124.7203,475963,AVB
2014-07-10,124.138,125.8632,123.999,124.9724,623997,AVB
2014-07-11,124.6942,125.4069,124.3249,125.0245,530783,AVB
2014-07-14,125.2505,126.2933,124.8203,126.2499,494365,AVB
2014-07-15,126.302,127.1798,126.0152,126.9278,709342,AVB
2014-07-16,127.1016,127.623,126.4758,127.4753,485647,AVB
2014-07-17,126.893,127.6925,126.4585,126.9886,564449,AVB
2014-07-18,127.2493,128.2314,126.7018,128.0315,663424,AVB
2014-07-21,127.8577,127.9011,127.119,127.119,457790,AVB
2014-07-22,127.3102,128.0141,127.1016,127.2059,671309,AVB
2014-07-23,127.2146,127.4753,126.1369,126.1369,1216911,AVB
2014-07-24,130.3606,131.2297,127.2319,129.6219,1495327,AVB
2014-07-25,129.3785,129.4568,128.2488,128.6051,594798,AVB
2014-07-28,128.7094,131.1167,128.7094,130.5344,682256,AVB
2014-07-29,130.0043,130.7517,129.2047,130.0477,668141,AVB
2014-07-30,130.0477,131.5773,130.0477,131.2123,844609,AVB
2014-07-31,130.6387,131.108,128.6746,128.692,978332,AVB
2014-08-01,129.1439,130.9863,128.2096,130.63,535288,AVB
2014-08-04,129.1439,130.9863,128.2096,130.63,535288,AVB
2014-08-05,129.8305,130.643,128.8745,129.3438,612078,AVB
2014-08-06,129.674,130.013,128.7615,129.8218,566373,AVB
2014-08-07,129.9695,130.4127,129.0222,129.5524,570777,AVB
2014-08-08,129.9869,130.2215,129.0222,130.1868,508130,AVB
2014-08-11,130.1868,131.4556,129.9087,130.8299,507189,AVB
2014-08-12,130.4649,131.3383,130.4127,130.743,576288,AVB
2014-08-13,130.7082,132.92,130.7082,132.4898,582157,AVB
2014-08-14,132.3334,132.8114,131.1167,131.6555,529353,AVB
2014-08-15,131.6034,131.9249,130.4562,131.1949,1613010,AVB
2014-08-18,131.9423,133.2546,131.7163,133.2111,609132,AVB
2014-08-19,133.5327,134.1758,132.6115,133.8803,550102,AVB
2014-08-20,133.4979,135.2448,132.8896,134.7233,968037,AVB
2014-08-21,134.6973,135.7141,134.6017,135.0796,757806,AVB
2014-08-22,134.7668,134.984,132.6462,133.5153,904203,AVB
2014-08-25,134.1237,134.2714,132.7245,133.1503,712077,AVB
2014-08-26,133.1416,133.4719,132.7505,133.0982,503328,AVB
2014-08-27,133.298,133.8456,132.6289,133.1416,618645,AVB
2014-08-28,132.4637,133.6231,132.0379,132.6636,517458,AVB
2014-08-29,132.9678,134.2627,132.6462,133.9238,747239,AVB
