date,open,high,low,close,volume,Name
2014-01-24,22.0332,22.0332,21.2896,21.3837,11936023,BBY
2014-01-27,21.4007,21.4777,20.7597,21.0247,10043344,BBY
2014-01-28,20.905,21.4435,20.8879,21.1273,9172321,BBY
2014-01-29,20.9478,21.0247,20.3837,20.4863,7462923,BBY
2014-01-30,20.7597,20.9221,19.3837,19.4179,15355209,BBY
2014-01-31,19.1017,20.4606,18.9308,20.1187,13508301,BBY
2014-02-03,20.1187,20.1957,19.2299,19.7171,12291014,BBY
2014-02-04,19.8025,19.982,19.3666,19.4692,8970010,BBY
2014-02-05,19.2384,19.8453,19.059,19.7598,8288682,BBY
2014-02-06,19.7,20.5033,19.6829,20.264,6582172,BBY
2014-02-07,20.3495,21.1785,20.3324,20.982,9285005,BBY
2014-02-10,20.9478,21.6486,20.6444,21.5717,12060441,BBY
2014-02-11,21.6144,21.9306,21.5033,21.7255,10685591,BBY
2014-02-12,21.7255,21.8281,21.035,21.2725,8324840,BBY
2014-02-13,21.1358,21.2127,20.8965,21.0931,6089066,BBY
2014-02-14,21.1016,21.3153,20.9136,21.1785,4075297,BBY
2014-02-18,21.3153,21.5118,21.0332,21.358,4416021,BBY
2014-02-19,21.3495,21.4606,21.1657,21.264,6880438,BBY
2014-02-20,21.1358,21.4093,21.076,21.2298,5214162,BBY
2014-02-21,21.1956,21.3922,21.0076,21.0589,4627015,BBY
2014-02-24,21.1529,21.6571,21.0161,21.5118,6044728,BBY
2014-02-25,21.4349,22.281,21.4264,21.6315,12972743,BBY
2014-02-26,21.8281,22.3922,21.5888,22.0674,14642585,BBY
2014-02-27,23.6741,24.1015,21.7255,21.8537,34012513,BBY
2014-02-28,22.093,23.0417,21.9477,22.7597,15429056,BBY
2014-03-03,22.5631,22.7938,22.2383,22.3494,8045431,BBY
2014-03-04,22.6144,22.6827,21.8751,22.0503,9970008,BBY
2014-03-05,22.2041,22.546,21.6956,21.8281,8707506,BBY
2014-03-06,21.8964,21.8964,21.1102,21.7426,10361646,BBY
2014-03-07,21.8366,22.1956,21.529,22.0503,6720224,BBY
2014-03-10,22.0332,22.4862,21.8199,22.4263,7775036,BBY
2014-03-11,22.3665,22.4177,21.999,22.1956,5579008,BBY
2014-03-12,22.1016,22.1614,21.7939,21.999,4729893,BBY
2014-03-13,22.1443,22.2469,21.5503,21.6144,5826351,BBY
2014-03-14,21.6059,22.0503,21.5717,21.9648,3853241,BBY
2014-03-17,22.0674,22.3665,21.905,22.2298,4244689,BBY
2014-03-18,22.3502,22.3588,22.0491,22.2642,4430063,BBY
2014-03-19,22.29,22.376,22.0663,22.1523,3534483,BBY
2014-03-20,22.0835,22.4276,21.7824,22.2298,4625093,BBY
2014-03-21,22.4448,23.1933,22.29,23.1933,12203439,BBY
2014-03-24,23.1675,23.3998,22.4878,22.6685,6874792,BBY
2014-03-25,22.8234,22.8793,22.4534,22.5309,4804336,BBY
2014-03-26,22.6427,22.6771,22.0147,22.1695,4241155,BBY
2014-03-27,22.1265,22.1867,21.619,22.1351,5647529,BBY
2014-03-28,22.1781,22.9696,22.1437,22.4276,5553318,BBY
2014-03-31,22.6599,22.875,22.4104,22.7201,4524908,BBY
2014-04-01,22.7201,22.8664,22.4104,22.6943,4850887,BBY
2014-04-02,22.6857,23.3266,22.6255,23.0556,5283467,BBY
2014-04-03,23.0728,23.2191,22.8234,23.0298,4249031,BBY
2014-04-04,23.2621,24.0321,22.8406,23.8299,11293808,BBY
2014-04-07,23.7267,23.8729,23.202,23.3912,6953368,BBY
2014-04-08,23.4256,23.6234,23.2062,23.546,6093660,BBY
2014-04-09,23.5804,23.7869,23.3309,23.5374,5082861,BBY
2014-04-10,23.5718,23.5718,22.5481,22.5481,6874831,BBY
2014-04-11,22.3932,22.3932,21.7394,21.9459,6511817,BBY
2014-04-14,22.1523,22.29,21.8426,22.1093,4508186,BBY
2014-04-15,21.8426,21.8943,20.8619,21.5071,10748262,BBY
2014-04-16,21.6534,21.6534,20.9393,21.0512,5729939,BBY
2014-04-17,21.0598,21.2921,20.8275,21.0598,6207604,BBY
2014-04-21,21.12,21.1542,20.7071,20.7501,5272383,BBY
2014-04-22,20.8619,21.1114,20.6899,21.0684,5958386,BBY
2014-04-23,21.0942,21.3007,20.8791,20.8791,2844861,BBY
