date,open,high,low,close,volume,Name
2014-01-24,277.5035,277.5035,267.9326,268.1184,1049069,BLK
2014-01-27,271.2143,272.1166,264.6598,265.3232,1133725,BLK
2014-01-28,266.252,269.0825,265.1286,268.6314,1063748,BLK
2014-01-29,266.995,267.9813,263.8106,264.6686,747198,BLK
2014-01-30,266.6323,271.6566,266.6323,270.1794,689184,BLK
2014-01-31,266.252,269.7283,261.8292,265.7831,920119,BLK
2014-02-03,262.758,264.2529,251.9044,253.3286,1583668,BLK
2014-02-04,253.6647,258.7863,253.2315,256.3007,918288,BLK
2014-02-05,257.2737,260.3962,253.019,255.8761,917924,BLK
2014-02-06,257.6806,261.5107,256.8756,260.8296,858432,BLK
2014-02-07,262.7137,265.3674,261.0331,265.2524,866353,BLK
2014-02-10,263.4391,267.1719,262.4837,266.2785,734702,BLK
2014-02-11,266.252,271.117,265.3762,269.9229,763835,BLK
2014-02-12,269.6221,271.9924,267.2957,268.4722,659729,BLK
2014-02-13,264.474,270.4625,261.9442,269.3833,550482,BLK
2014-02-14,269.3302,271.1966,267.7822,268.0476,667845,BLK
2014-02-18,268.2953,271.347,268.0211,270.6394,513813,BLK
2014-02-19,268.2599,272.3908,265.4824,265.8008,592452,BLK
2014-02-20,265.7124,267.0923,263.156,265.8274,606447,BLK
2014-02-21,265.8981,267.393,264.3059,264.4828,567597,BLK
2014-02-24,264.4386,269.3921,264.4298,267.6584,635118,BLK
2014-02-25,267.2338,268.7287,264.9693,265.5443,716139,BLK
2014-02-26,265.6239,266.6586,261.7195,263.271,681132,BLK
2014-02-27,263.3595,271.232,263.3152,270.5067,792483,BLK
2014-02-28,270.4713,273.2363,268.3749,269.6487,887544,BLK
2014-03-03,266.0397,266.7871,263.4214,265.677,683430,BLK
2014-03-04,269.1268,273.1869,268.9145,271.7539,732920,BLK
2014-03-05,272.1544,274.0772,271.4957,273.3472,540413,BLK
2014-03-06,274.8783,277.9137,273.5253,276.9345,737436,BLK
2014-03-07,279.7207,279.7207,275.4925,276.6497,760316,BLK
2014-03-10,276.5429,276.8277,272.9467,274.5845,809783,BLK
2014-03-11,275.1809,276.8019,273.819,274.8694,845760,BLK
2014-03-12,272.4482,274.9673,271.0774,274.9495,555098,BLK
2014-03-13,276.3381,277.0592,265.8611,266.3774,1027773,BLK
2014-03-14,265.9501,268.0152,263.2262,263.2262,718144,BLK
2014-03-17,265.2825,268.9232,264.9264,265.8967,746396,BLK
2014-03-18,267.1429,268.6027,266.2972,268.0063,412888,BLK
2014-03-19,268.22,268.4692,263.4399,265.6207,668361,BLK
2014-03-20,264.3567,269.2704,264.0808,267.9262,645977,BLK
2014-03-21,269.4306,270.7835,266.2349,268.7007,1333134,BLK
2014-03-24,268.6561,270.5344,265.8077,269.3416,882902,BLK
2014-03-25,270.9082,274.0059,268.4336,273.8101,907692,BLK
2014-03-26,277.3529,278.9374,274.4688,275.2789,963088,BLK
2014-03-27,275.5014,276.6049,271.9853,272.8309,666793,BLK
2014-03-28,275.4124,279.4359,274.5311,276.7387,701469,BLK
2014-03-31,279.9165,281.0292,278.43,279.9343,652131,BLK
2014-04-01,281.3942,282.311,278.4478,282.0796,758270,BLK
2014-04-02,282.1864,286.1476,280.7892,283.5573,586387,BLK
2014-04-03,284.5008,284.5008,279.0175,280.0768,554549,BLK
2014-04-04,284.4474,284.8658,274.3798,274.9851,876151,BLK
2014-04-07,275.6972,276.4183,269.8578,270.5077,835413,BLK
2014-04-08,270.2228,271.5758,267.0806,269.1813,831204,BLK
2014-04-09,270.1338,274.9228,269.4475,274.451,569936,BLK
2014-04-10,275.1453,275.172,263.4399,263.4399,875622,BLK
2014-04-11,263.2618,264.8908,260.0974,261.4459,929630,BLK
2014-04-14,265.4516,266.1457,262.5052,265.683,729448,BLK
2014-04-15,266.9293,268.6027,262.5942,267.677,633521,BLK
2014-04-16,268.6027,276.5251,268.6027,276.08,1089854,BLK
2014-04-17,278.5724,278.8039,267.7126,274.5044,1011658,BLK
2014-04-21,274.2819,274.451,271.6649,272.2791,651395,BLK
2014-04-22,272.6084,276.1779,271.5135,274.4065,581917,BLK
2014-04-23,274.1751,275.8841,272.3147,273.8101,485069,BLK
2014-04-24,272.012,273.8012,269.5285,270.2673,545078,BLK
2014-04-25,269.7065,270.2403,266.3151,267.4455,394077,BLK
2014-04-28,268.8431,270.2673,262.9236,265.7098,807597,BLK
2014-04-29,268.3624,269.3416,266.8758,267.4901,492281,BLK
2014-04-30,266.2705,268.9499,265.2647,267.9351,423030,BLK
2014-05-01,267.0272,269.5107,265.2736,267.9796,589223,BLK
2014-05-02,267.7571,270.8281,265.9412,266.1548,605304,BLK
2014-05-05,265.4872,266.6444,262.8435,265.7098,509551,BLK
2014-05-06,265.4783,266.3863,263.5912,263.7603,591400,BLK
2014-05-07,264.1876,266.6444,262.6921,266.1548,611741,BLK
