date,open,high,low,close,volume,Name
2014-01-24,23.8224,23.8799,23.2902,23.2998,1663314,BLL
2014-01-27,23.3525,23.808,23.2183,23.2663,2423494,BLL
2014-01-28,23.295,23.3549,23.0649,23.1416,2578642,BLL
2014-01-29,22.9546,23.7025,22.8923,23.5251,3253166,BLL
2014-01-30,24.834,25.2846,24.3114,24.7381,5109516,BLL
2014-01-31,24.4312,24.8196,24.333,24.5415,3363618,BLL
2014-02-03,24.5942,24.949,24.5032,24.5271,4389068,BLL
2014-02-04,24.6374,24.7189,24.0765,24.5415,4138202,BLL
2014-02-05,24.4264,24.9071,24.11,24.762,3344200,BLL
2014-02-06,24.762,24.9394,24.599,24.9346,2677302,BLL
2014-02-07,24.9202,25.3469,24.8531,25.3134,2475388,BLL
2014-02-10,25.2558,25.5725,25.2367,25.5339,2242784,BLL
2014-02-11,25.4716,25.9798,25.4284,25.8599,1899302,BLL
2014-02-12,25.9079,26.0373,25.7544,25.8168,2726164,BLL
2014-02-13,25.6777,26.3058,25.649,26.1188,2211100,BLL
2014-02-14,26.0948,26.2866,26.0277,26.1907,3223562,BLL
2014-02-18,26.1763,26.4496,26.1524,26.3058,2469946,BLL
2014-02-19,26.2099,26.6366,26.2099,26.3249,1760120,BLL
2014-02-20,26.3154,26.4208,26.102,26.2482,2060890,BLL
2014-02-21,26.3154,26.5407,26.2051,26.3297,4473640,BLL
2014-02-24,26.3297,26.545,26.2866,26.3106,1361370,BLL
2014-02-25,26.3058,26.3561,26.1572,26.2243,1289250,BLL
2014-02-26,26.3202,26.5071,26.2626,26.3441,1195232,BLL
2014-02-27,26.3634,26.5748,26.3297,26.5748,1462398,BLL
2014-02-28,26.57,26.8343,26.5604,26.6997,1199430,BLL
2014-03-03,26.4018,26.6229,26.3297,26.546,1427006,BLL
2014-03-04,26.8151,26.9112,26.6853,26.9064,2276514,BLL
2014-03-05,26.9112,26.9112,26.7286,26.7959,1265866,BLL
2014-03-06,26.9208,27.0265,26.8103,26.8872,1265660,BLL
2014-03-07,26.9641,27.0698,26.8295,26.9544,2220604,BLL
2014-03-10,26.9016,27.0025,26.6517,26.6853,1350992,BLL
2014-03-11,26.7094,26.7574,26.4018,26.4691,2227686,BLL
2014-03-12,26.3057,26.433,26.1471,26.224,2072406,BLL
2014-03-13,26.3105,26.5171,26.0798,26.2144,2391204,BLL
2014-03-14,26.1807,26.3633,25.9357,25.9645,3553300,BLL
2014-03-17,26.0558,26.2432,26.0125,26.2048,1406300,BLL
2014-03-18,26.2576,26.3778,26.1663,26.2336,1401394,BLL
2014-03-19,26.248,26.3489,25.8131,25.9453,1747972,BLL
2014-03-20,25.8347,25.9693,25.753,25.8203,1913876,BLL
2014-03-21,26.0029,26.099,25.7627,25.9693,4203388,BLL
2014-03-24,26.0029,26.0954,25.5849,25.6762,1668226,BLL
2014-03-25,25.753,25.902,25.6617,25.7434,1440424,BLL
2014-03-26,25.8251,25.8972,25.5849,25.6185,1675090,BLL
2014-03-27,25.5704,25.7968,25.4215,25.7579,1552216,BLL
2014-03-28,25.8203,26.0509,25.7098,25.9357,1053758,BLL
2014-03-31,25.9981,26.3826,25.9405,26.3393,2306312,BLL
2014-04-01,26.4162,26.4691,26.248,26.4595,1496014,BLL
2014-04-02,26.4066,26.6709,26.2624,26.6229,1541770,BLL
2014-04-03,26.7238,26.7382,26.4739,26.57,1242444,BLL
2014-04-04,26.743,27.0506,26.3922,26.5171,1821230,BLL
2014-04-07,26.4354,26.5171,26.075,26.1423,1858986,BLL
2014-04-08,26.1663,26.4402,26.0779,26.3345,1397054,BLL
2014-04-09,26.248,26.5652,26.248,26.5123,1263266,BLL
2014-04-10,26.5556,26.6805,26.2624,26.3105,1613354,BLL
2014-04-11,26.2192,26.3537,25.902,25.9212,1790082,BLL
2014-04-14,25.9309,26.027,25.7627,25.878,1531406,BLL
2014-04-15,25.9645,26.5988,25.8852,26.5844,2461358,BLL
2014-04-16,26.7334,26.9929,26.7286,26.9304,1916854,BLL
2014-04-17,26.9592,27.1274,26.9016,27.0265,1693714,BLL
2014-04-21,26.9977,27.0265,26.8535,26.9641,1315650,BLL
2014-04-22,27.0025,27.0698,25.8059,26.7238,3091516,BLL
2014-04-23,26.6565,26.7959,26.4306,26.6565,1902970,BLL
2014-04-24,26.7814,26.8271,26.5604,26.6229,1261798,BLL
2014-04-25,26.6469,26.8992,26.5412,26.8872,1916494,BLL
2014-04-28,26.9881,27.3533,26.8872,27.0025,2858006,BLL
2014-04-29,27.1082,27.1755,26.8758,26.9544,1363180,BLL
2014-04-30,26.9448,27.0616,26.8343,27.0025,2390616,BLL
2014-05-01,27.3533,27.9684,27.2476,27.3629,3983506,BLL
2014-05-02,27.3917,27.3917,26.6901,26.7574,5576582,BLL
2014-05-05,26.7094,27.1611,26.6796,27.1467,3835948,BLL
2014-05-06,27.1082,27.4374,27.065,27.3052,1596440,BLL
2014-05-07,27.4206,27.8531,27.2812,27.805,2611492,BLL
2014-05-08,27.8098,28.0021,27.7281,27.93,2062634,BLL
2014-05-09,27.978,28.1943,27.805,28.1799,2279906,BLL
2014-05-12,28.2519,28.473,28.1991,28.3481,1945088,BLL
2014-05-13,28.3336,28.449,28.151,28.2471,2320696,BLL
2014-05-14,28.3865,28.8238,28.288,28.6844,3573550,BLL
2014-05-15,28.6508,28.7373,28.3721,28.5691,2186094,BLL
2014-05-16,28.5211,28.7565,28.3529,28.7565,3803534,BLL
2014-05-19,28.6652,29.0977,28.6556,29.0208,1706724,BLL
2014-05-20,28.9391,29.0737,28.8022,28.8382,1455364,BLL
2014-05-21,28.843,29.0016,28.67,28.819,1836966,BLL
2014-05-22,28.819,28.992,28.7469,28.7998,1705270,BLL
2014-05-23,28.8382,28.992,28.7951,28.9391,2176786,BLL
2014-05-27,28.9151,29.1458,28.7661,29.0593,1473972,BLL
2014-05-28,29.1698,29.4293,28.8719,28.8815,2225746,BLL
2014-05-29,28.9537,29.0741,28.7418,29.0308,1683346,BLL
2014-05-30,29.0452,29.1945,28.9152,29.0693,1575084,BLL
2014-06-02,29.1945,29.2234,28.9292,28.9344,2294164,BLL
2014-06-03,28.9007,29.4016,28.9007,29.392,2907980,BLL
2014-06-04,29.3342,29.3655,29.1078,29.1464,1517636,BLL
2014-06-05,29.0645,29.4016,28.973,29.3872,970640,BLL
2014-06-06,29.3679,29.5413,29.3294,29.4209,1391356,BLL
2014-06-09,29.4209,29.5798,29.3631,29.4883,2326154,BLL
2014-06-10,29.5509,29.6939,29.392,29.5702,2353374,BLL
2014-06-11,29.4498,29.5076,29.156,29.339,1219712,BLL
2014-06-12,29.3197,29.3727,29.0548,29.1752,1203916,BLL
2014-06-13,28.8333,29.3294,28.8141,29.3149,1384626,BLL
2014-06-16,29.2475,29.4064,29.0741,29.1512,1331800,BLL
2014-06-17,29.1608,29.4064,29.0982,29.2908,945972,BLL
2014-06-18,29.209,29.3727,28.9633,29.3486,1095840,BLL
2014-06-19,29.2619,29.4931,29.2619,29.4883,1133616,BLL
2014-06-20,29.5268,29.6713,29.4594,29.6231,1818174,BLL
2014-06-23,29.5461,29.7387,29.4257,29.7291,1545716,BLL
2014-06-24,29.6424,29.8495,29.4498,29.5509,1204722,BLL
2014-06-25,29.7002,30.202,29.6135,29.9651,1738892,BLL
2014-06-26,29.8591,30.018,29.6809,29.9988,1024706,BLL
2014-06-27,29.9362,30.3407,29.9121,30.3359,3006788,BLL
2014-06-30,30.307,30.4033,30.0036,30.1866,1840928,BLL
2014-07-01,30.2733,30.4804,30.0855,30.3359,1533010,BLL
2014-07-02,30.307,30.5141,30.0277,30.1818,1796398,BLL
2014-07-03,30.2781,30.3889,30.1481,30.3552,1047608,BLL
2014-07-07,30.3407,30.3792,30.2083,30.2733,969346,BLL
2014-07-08,30.2781,30.4081,30.1481,30.3552,1718906,BLL
2014-07-09,30.4756,30.596,30.2492,30.5526,1081520,BLL
2014-07-10,30.2251,30.543,30.1625,30.5045,1461922,BLL
2014-07-11,30.5141,30.5141,30.2685,30.3744,1596152,BLL
2014-07-14,30.5093,30.7164,30.4804,30.6923,1134434,BLL
2014-07-15,30.6634,30.909,30.6634,30.8897,1991472,BLL
2014-07-16,30.9042,31.0872,30.7838,30.9138,1479070,BLL
2014-07-17,30.7067,30.9234,30.5141,30.5719,1311596,BLL
2014-07-18,30.6104,31.1016,30.5815,30.9861,1454030,BLL
2014-07-21,30.9331,31.1883,30.7308,31.1113,1573122,BLL
2014-07-22,31.2558,31.2606,30.3455,30.4418,2676640,BLL
2014-07-23,30.4515,30.4707,30.124,30.3215,1585524,BLL
2014-07-24,30.3985,30.8416,30.3552,30.7404,1206072,BLL
2014-07-25,30.6345,30.7453,30.4322,30.5141,1051626,BLL
2014-07-28,30.4852,30.5141,30.2251,30.2974,1537322,BLL
2014-07-29,30.2829,30.4178,30.0662,30.0758,923866,BLL
2014-07-30,30.1095,30.2974,29.9362,30.0951,2792974,BLL
2014-07-31,30.0084,30.3166,29.2475,29.5027,2796916,BLL
2014-08-01,29.7965,29.9073,29.6376,29.835,1670188,BLL
2014-08-04,29.7965,29.9073,29.6376,29.835,1670188,BLL
2014-08-05,29.758,29.8832,29.4931,29.575,1395054,BLL
2014-08-06,29.4642,30.0421,29.3977,29.9699,1708266,BLL
2014-08-07,30.1433,30.2444,29.9073,29.9843,1528050,BLL
2014-08-08,29.8254,30.0229,29.5557,29.9795,1559084,BLL
2014-08-11,30.0999,30.2396,30.0277,30.1673,1097526,BLL
2014-08-12,30.1866,30.2733,30.0373,30.2396,1279264,BLL
2014-08-13,30.3407,30.4178,30.0662,30.177,1143534,BLL
2014-08-14,30.1818,30.3937,30.124,30.3118,858722,BLL
2014-08-15,30.3744,30.6297,30.1962,30.3985,1885340,BLL
2014-08-18,30.543,30.7693,30.4804,30.7501,1110210,BLL
2014-08-19,30.8464,30.9186,30.7549,30.856,1086562,BLL
2014-08-20,30.8512,30.868,30.4467,30.4563,1418524,BLL
2014-08-21,30.5189,30.7693,30.4033,30.62,1444068,BLL
2014-08-22,30.7067,30.7067,30.307,30.437,1550494,BLL
2014-08-25,30.5622,30.5719,30.2926,30.3889,1118192,BLL
2014-08-26,30.4611,30.6393,30.4081,30.5815,1229558,BLL
2014-08-27,30.6586,30.8031,30.5334,30.673,1314028,BLL
2014-08-28,30.5331,30.8588,30.4124,30.7261,1754548,BLL
2014-08-29,30.8226,31.0736,30.7744,30.9336,1343538,BLL
2014-09-02,31.2473,31.643,31.0856,31.4886,3136998,BLL
2014-09-03,31.5851,31.8988,31.4644,31.8795,2247608,BLL
2014-09-04,31.9808,32.1063,31.7685,31.783,2077420,BLL
2014-09-05,31.7347,32.0098,31.5368,32.0098,949760,BLL
2014-09-08,31.9181,32.0387,31.6382,31.8071,1369010,BLL
2014-09-09,31.6913,31.783,31.5417,31.6913,888898,BLL
2014-09-10,31.6864,31.8553,31.5851,31.8023,1207950,BLL
2014-09-11,31.6092,31.9133,31.5706,31.894,1191338,BLL
2014-09-12,31.8505,31.9036,31.6285,31.7106,1626542,BLL
2014-09-15,31.7057,31.8409,31.6189,31.6864,956202,BLL
2014-09-16,31.6623,31.8698,31.5947,31.6768,1520124,BLL
2014-09-17,31.5851,31.6961,30.977,31.1508,2309184,BLL
2014-09-18,31.1315,31.2039,30.8853,30.9819,1773200,BLL
2014-09-19,31.0784,31.1966,31.0157,31.0687,2808198,BLL
2014-09-22,31.1025,31.1666,31.0012,31.0977,1770638,BLL
2014-09-23,31.088,31.2376,30.8274,30.8467,2145372,BLL
2014-09-24,30.7744,31.006,30.7058,30.8709,1219014,BLL
2014-09-25,30.6344,30.8371,30.5056,30.6489,1504504,BLL
2014-09-26,30.6151,30.7309,30.4703,30.5813,1065530,BLL
2014-09-29,30.4607,31.1025,30.3304,30.977,1874566,BLL
2014-09-30,30.9529,31.0157,30.4945,30.5331,2323400,BLL
2014-10-01,30.4365,30.5282,29.8965,29.9733,3106534,BLL
2014-10-02,29.9154,30.2001,29.8044,30.0698,2064516,BLL
2014-10-03,30.1566,30.5427,30.0891,30.4607,1583156,BLL
2014-10-06,30.5234,30.7164,30.3304,30.451,1073218,BLL
2014-10-07,30.4607,30.5138,30.0987,30.118,1373708,BLL
2014-10-08,30.1663,30.8371,29.9829,30.8081,1633512,BLL
2014-10-09,30.6875,31.0543,30.3304,30.4317,2293756,BLL
2014-10-10,30.3642,30.7985,30.2049,30.2194,2914194,BLL
2014-10-13,30.147,30.5427,29.8188,29.8285,2761346,BLL
2014-10-14,30.0312,30.5282,29.8671,30.4365,2223964,BLL
2014-10-15,30.2194,30.9577,30.0119,30.866,4417194,BLL
2014-10-16,30.5282,31.1604,30.5089,30.8709,2394778,BLL
2014-10-17,31.0012,31.5031,31.0012,31.3824,2688986,BLL
2014-10-20,31.4258,31.9036,31.3901,31.836,2462534,BLL
2014-10-21,31.9036,32.7723,31.8216,32.7626,3328276,BLL
2014-10-22,32.8977,32.9194,32.2511,32.2704,2708442,BLL
2014-10-23,32.5551,32.5551,31.9622,32.1304,2569864,BLL
2014-10-24,32.0918,32.3621,31.9181,32.2125,1541354,BLL
2014-10-27,31.9712,32.1015,31.4114,31.6141,2753306,BLL
2014-10-28,31.8071,32.1304,31.7685,32.1304,2192118,BLL
2014-10-29,32.1401,32.3476,31.7106,32.1352,5056922,BLL
