date,open,high,low,close,volume,Name
2014-01-24,47.9365,48.7003,44.1701,44.7232,29327432,BMY
2014-01-27,44.8461,44.8549,43.415,43.6521,19695610,BMY
2014-01-28,43.8277,45.2149,43.8189,44.8373,13142634,BMY
2014-01-29,44.53,44.9778,43.7662,44.0911,11328848,BMY
2014-01-30,44.4335,44.8242,44.0472,44.3281,7533737,BMY
2014-01-31,43.933,44.3106,43.6872,43.8716,7726354,BMY
2014-02-03,44.0121,44.1525,42.6117,42.7039,10149923,BMY
2014-02-04,42.8268,43.3558,42.5898,42.9673,7643511,BMY
2014-02-05,42.6512,43.02,41.7206,42.6161,12446914,BMY
2014-02-06,42.8531,43.1736,42.6688,43.0024,8136709,BMY
2014-02-07,43.0024,44.2228,42.9848,44.1876,8585289,BMY
2014-02-10,44.6881,45.8031,44.4423,45.7592,11142205,BMY
2014-02-11,45.3553,46.5142,45.1095,46.1982,10613858,BMY
2014-02-12,46.1982,46.8215,46.1279,46.4001,8110369,BMY
2014-02-13,46.1806,46.9708,46.1016,46.962,6074717,BMY
2014-02-14,46.8918,47.818,46.883,47.7346,8241355,BMY
2014-02-18,47.6205,48.2526,47.5941,47.9629,7657774,BMY
2014-02-19,47.6117,47.9541,46.9005,46.9357,8402458,BMY
2014-02-20,47.0937,47.322,46.9181,47.2781,12437806,BMY
2014-02-21,46.8918,47.9102,46.8654,47.5327,7107321,BMY
2014-02-24,47.6205,48.0858,47.6117,47.6819,6620924,BMY
2014-02-25,47.6995,47.8751,47.0849,47.1288,7250352,BMY
2014-02-26,47.0937,47.4449,46.9295,47.0322,5898011,BMY
2014-02-27,47.0234,47.4975,46.9708,47.3659,6487365,BMY
2014-02-28,47.3307,48.2175,46.883,47.2078,7803059,BMY
2014-03-03,46.681,47.1244,46.4528,46.962,5198518,BMY
2014-03-04,47.3922,49.8154,47.3922,49.5344,11926668,BMY
2014-03-05,49.3588,50.0963,48.7442,49.7012,8941337,BMY
2014-03-06,49.5432,50.4738,48.7618,48.7794,8018589,BMY
2014-03-07,48.9286,49.0866,48.1736,49.0164,5138372,BMY
2014-03-10,49.0603,49.3017,48.4721,49.2886,4327398,BMY
2014-03-11,49.1569,49.4378,48.9286,49.0164,4736074,BMY
2014-03-12,48.5423,48.595,48.1736,48.4984,7812574,BMY
2014-03-13,48.5687,48.7442,47.5195,47.5678,8184573,BMY
2014-03-14,47.5502,47.7961,47.3044,47.4098,8054511,BMY
2014-03-17,47.8312,48.1999,47.5678,48.0419,7305584,BMY
2014-03-18,48.0068,48.2263,47.6556,48.0507,5307022,BMY
2014-03-19,48.1999,48.7003,47.9102,48.0594,6697992,BMY
2014-03-20,47.919,47.919,46.9708,47.2166,10382325,BMY
2014-03-21,47.6819,48.2614,45.7065,45.7065,17016749,BMY
2014-03-24,45.8382,45.8645,44.0384,44.811,19823853,BMY
2014-03-25,45.1622,45.2763,44.4071,44.811,8380682,BMY
2014-03-26,45.0129,46.4703,44.9866,46.2333,16144660,BMY
2014-03-27,46.1455,46.1543,45.2236,45.9436,8062269,BMY
2014-03-28,46.2772,46.5493,45.1885,45.4958,6318789,BMY
2014-03-31,45.7855,45.9172,45.3887,45.6099,6768949,BMY
2014-04-01,45.8558,45.9962,44.9778,45.5397,7331608,BMY
2014-04-02,45.5927,45.8933,45.4513,45.6104,7908078,BMY
2014-04-03,45.575,45.7961,44.8191,44.9739,7858350,BMY
2014-04-04,45.3363,45.7165,44.1074,44.1074,8436223,BMY
2014-04-07,44.0014,44.9915,44.0014,44.4522,7987701,BMY
2014-04-08,44.8854,44.8854,43.3294,43.3736,11008381,BMY
2014-04-09,43.5858,44.7528,43.3692,44.7086,9247005,BMY
2014-04-10,44.3373,44.6998,43.3294,43.577,9566962,BMY
2014-04-11,43.3913,43.7449,43.0996,43.1703,8079440,BMY
2014-04-14,43.577,43.577,41.9237,42.4011,10249403,BMY
2014-04-15,42.6885,42.8609,41.979,42.5868,13265208,BMY
2014-04-16,42.8078,43.5056,42.799,43.4179,7649940,BMY
2014-04-17,43.356,43.9218,43.2764,43.7273,6670783,BMY
2014-04-21,43.9041,44.7352,43.8334,44.6556,5414774,BMY
2014-04-22,44.6202,45.522,44.4876,45.0799,7609576,BMY
2014-04-23,45.2302,45.2302,44.8147,45.0446,6524171,BMY
2014-04-24,45.1153,45.1153,44.4788,44.8324,5499974,BMY
2014-04-25,44.713,44.9827,44.4788,44.6467,5581579,BMY
2014-04-28,44.9915,45.2833,43.6742,44.523,7700934,BMY
2014-04-29,42.9316,44.0721,42.6664,43.6035,12550715,BMY
2014-04-30,43.7096,44.576,43.6035,44.2843,10277022,BMY
