date,open,high,low,close,volume,Name
2014-01-24,22.7249,22.7799,22.4914,22.4914,2652039,CAG
2014-01-27,22.5326,22.7249,22.4399,22.6562,3139552,CAG
2014-01-28,22.5876,22.6219,22.2888,22.5189,5958892,CAG
2014-01-29,22.3943,22.4289,21.8857,22.0483,5246945,CAG
2014-01-30,22.1452,22.249,21.9306,22.0068,2434552,CAG
2014-01-31,21.8545,22.1971,21.7646,21.9999,2882073,CAG
2014-02-03,21.9722,21.9999,21.2109,21.2455,3740053,CAG
2014-02-04,21.2871,21.3978,21.1417,21.3286,2894579,CAG
2014-02-05,21.2386,21.3459,21.1106,21.2594,2696159,CAG
2014-02-06,21.3147,21.3147,21.0033,21.2455,4731403,CAG
2014-02-07,21.3217,21.4877,21.2525,21.3493,3890444,CAG
2014-02-10,21.4047,21.5223,21.2732,21.4877,3921784,CAG
2014-02-11,20.0829,20.4843,19.7923,20.1244,15399253,CAG
2014-02-12,20.166,20.166,20.0068,20.0483,6963160,CAG
2014-02-13,19.9999,20.1106,19.9307,20.0691,3747144,CAG
2014-02-14,20.0483,20.3943,20.0345,20.3182,5181106,CAG
2014-02-18,20.3182,20.3251,20.0483,20.2006,4053020,CAG
2014-02-19,20.1798,20.2006,19.9791,20.0275,2834017,CAG
2014-02-20,20.0275,20.0414,19.7577,19.7646,8794552,CAG
2014-02-21,19.7507,19.8199,19.5985,19.7231,8652218,CAG
2014-02-24,19.7438,19.8269,19.6331,19.7507,5083780,CAG
2014-02-25,19.7853,19.8199,19.6192,19.6746,4099866,CAG
2014-02-26,19.6746,19.7715,19.5985,19.6054,4586196,CAG
2014-02-27,19.6262,19.6746,19.4393,19.557,4321525,CAG
2014-02-28,19.5846,19.7646,19.557,19.6538,3648864,CAG
2014-03-03,19.5985,19.73,19.5639,19.64,4548359,CAG
2014-03-04,19.8407,19.9168,19.7507,19.8961,5046327,CAG
2014-03-05,19.9168,20.159,19.903,20.0552,4652844,CAG
2014-03-06,20.0691,20.249,20.0552,20.166,3384060,CAG
2014-03-07,20.2282,20.4635,20.1867,20.3943,3660757,CAG
2014-03-10,20.339,20.4012,20.1867,20.3666,3284402,CAG
2014-03-11,20.4012,20.4566,20.3251,20.3528,2934403,CAG
2014-03-12,20.3182,20.6919,20.249,20.6365,3266992,CAG
2014-03-13,20.685,20.7473,20.3528,20.3943,3208746,CAG
2014-03-14,20.3044,20.4843,20.2628,20.3597,2880158,CAG
2014-03-17,20.4428,20.4897,20.3597,20.4566,1966708,CAG
2014-03-18,20.4428,20.6711,20.422,20.6296,2499594,CAG
2014-03-19,20.6711,20.7334,20.422,20.4774,3280151,CAG
2014-03-20,20.8995,20.9826,20.5189,20.7542,4623425,CAG
2014-03-21,20.8511,20.8511,20.6435,20.8095,6129947,CAG
2014-03-24,20.7888,20.9964,20.7265,20.8372,4035817,CAG
2014-03-25,20.948,20.9895,20.7473,20.9341,4297029,CAG
2014-03-26,20.9618,21.0448,20.9064,20.9341,4200188,CAG
2014-03-27,20.9549,21.1002,20.9203,21.0725,3303118,CAG
2014-03-28,21.114,21.2594,21.0728,21.2386,2193656,CAG
2014-03-31,21.3563,21.4739,21.204,21.4739,3174935,CAG
2014-04-01,21.4601,21.4877,21.1417,21.3286,2894308,CAG
2014-04-02,21.3286,21.6608,21.2871,21.5362,2795340,CAG
2014-04-03,21.467,21.8061,21.467,21.7853,3407475,CAG
2014-04-04,21.7922,21.8545,21.4116,21.4393,2968880,CAG
2014-04-07,21.4808,21.6192,21.4531,21.5085,2951921,CAG
2014-04-08,21.5085,21.6331,21.4462,21.5985,2852516,CAG
2014-04-09,21.6608,21.6884,21.3632,21.5223,3043888,CAG
2014-04-10,21.5431,21.6746,21.204,21.204,2685410,CAG
2014-04-11,21.1763,21.3147,21.0033,21.1071,2367310,CAG
2014-04-14,21.2455,21.4185,21.1486,21.3355,2207506,CAG
2014-04-15,21.3839,21.4047,21.1763,21.3632,2046338,CAG
2014-04-16,21.4531,21.5915,21.4531,21.5915,1740898,CAG
