date,open,high,low,close,volume,Name
2014-01-24,59.0568,59.2781,57.9312,57.9844,2876118,CAH
2014-01-27,58.0021,58.4807,57.714,57.8425,2608068,CAH
2014-01-28,58.0198,59.7836,58.0198,59.7304,3021701,CAH
2014-01-29,59.172,59.6064,58.5516,58.8973,2646268,CAH
2014-01-30,60.9359,61.5031,59.8545,61.122,3887230,CAH
2014-01-31,60.732,60.7515,59.8013,60.2888,2546136,CAH
2014-02-03,60.2357,60.2888,58.1616,58.2857,3834954,CAH
2014-02-04,58.6136,58.8352,57.8248,58.1084,2076506,CAH
2014-02-05,57.9489,58.4718,57.4171,57.94,2599201,CAH
2014-02-06,58.1084,59.0036,57.8337,58.7377,2235525,CAH
2014-02-07,58.9771,59.9077,58.7732,59.8634,2085446,CAH
2014-02-10,59.6507,59.8102,58.5782,59.0834,3884299,CAH
2014-02-11,59.0745,61.9463,58.9859,61.6538,5035594,CAH
2014-02-12,61.8754,62.8902,61.5208,61.574,3257114,CAH
2014-02-13,61.2993,62.3629,60.8738,61.9729,2132459,CAH
2014-02-14,61.8222,62.4426,61.6095,62.2831,1494353,CAH
2014-02-18,62.1413,63.1428,62.0438,62.7529,1900345,CAH
2014-02-19,62.744,63.7012,62.4072,62.8769,2574638,CAH
2014-02-20,62.9124,63.6481,62.5579,63.3822,1720595,CAH
2014-02-21,63.6658,63.8475,63.391,63.5949,2140872,CAH
2014-02-24,63.7012,64.2419,63.6037,63.6126,1837697,CAH
2014-02-25,63.524,64.1976,63.3822,63.8165,1979233,CAH
2014-02-26,63.8076,64.3217,63.2403,63.4708,1685682,CAH
2014-02-27,63.3556,63.8519,62.9518,63.6658,2095642,CAH
2014-02-28,63.8608,64.0203,62.8947,63.3999,1799748,CAH
2014-03-03,62.9922,63.5772,62.9124,63.3556,1505933,CAH
2014-03-04,64.0203,65.2701,64.0203,65.1814,2214038,CAH
2014-03-05,64.7826,65.9437,64.7205,64.8801,2105672,CAH
2014-03-06,65.1992,65.2949,64.2596,64.3128,1755745,CAH
2014-03-07,64.3749,64.4989,63.7057,64.0824,2112690,CAH
2014-03-10,64.0203,64.3749,63.5506,64.233,1703846,CAH
2014-03-11,64.3305,64.8269,64.0824,64.2951,1050104,CAH
2014-03-12,64.0381,64.8801,63.9051,64.2951,1180049,CAH
2014-03-13,64.6142,64.9244,64.1355,64.2419,1985067,CAH
2014-03-14,64.0469,64.5078,63.914,64.0735,1463653,CAH
2014-03-17,64.3217,64.7914,64.171,64.428,1310984,CAH
2014-03-18,64.5167,65.1194,64.4458,65.1017,1313683,CAH
2014-03-19,65.013,65.146,63.5506,63.9317,1586051,CAH
2014-03-20,63.8785,63.9228,63.3733,63.5949,2118567,CAH
2014-03-21,64.1267,64.623,62.1413,62.2565,4115294,CAH
2014-03-24,62.682,63.0188,61.8577,62.1679,2883144,CAH
2014-03-25,62.3895,63.196,62.3451,63.0542,2259041,CAH
2014-03-26,63.3378,63.5949,62.3097,62.3274,2564674,CAH
2014-03-27,62.3451,62.5135,61.1131,61.2815,2184300,CAH
2014-03-28,61.7467,62.5835,61.5597,62.0315,1456500,CAH
2014-03-31,62.5212,62.8773,62.0583,62.2986,3300306,CAH
2014-04-01,62.5835,62.9307,61.7645,62.0761,2523433,CAH
2014-04-02,62.1651,62.6458,62.0315,62.5657,2503545,CAH
2014-04-03,62.5835,63.6162,62.4411,63.4826,2468848,CAH
2014-04-04,64.0791,64.2304,61.4262,61.4351,2309048,CAH
2014-04-07,61.3194,61.533,60.1442,60.5627,2171227,CAH
2014-04-08,60.4647,60.7318,59.5924,60.2511,1965321,CAH
2014-04-09,60.5805,61.8624,60.4736,61.8268,1815046,CAH
2014-04-10,61.9069,62.085,59.806,59.8149,2834114,CAH
2014-04-11,59.3786,59.8149,58.3326,58.8801,3381627,CAH
2014-04-14,59.3252,59.6101,58.6576,59.3965,2248364,CAH
2014-04-15,59.5656,59.9751,58.5507,59.8327,2620037,CAH
2014-04-16,60.4202,60.7852,59.7614,60.5538,1369525,CAH
2014-04-17,60.4736,61.079,60.1799,60.6517,1419846,CAH
2014-04-21,60.5449,61.2036,60.2689,61.1146,965425,CAH
2014-04-22,61.1146,61.7111,60.7852,61.3016,1424618,CAH
2014-04-23,61.3995,61.6844,61.0078,61.3817,1214830,CAH
2014-04-24,61.8535,62.1562,61.0167,61.079,1752547,CAH
2014-04-25,61.0612,61.1769,59.7258,59.8238,1759033,CAH
2014-04-28,60.349,61.1502,59.9662,61.0256,2102676,CAH
2014-04-29,61.3105,62.174,61.0434,62.1562,2482134,CAH
2014-04-30,61.9158,62.0137,61.444,61.8802,2155264,CAH
2014-05-01,59.441,59.4677,57.2688,57.9721,5540530,CAH
2014-05-02,57.9543,58.0789,56.5566,56.797,5255388,CAH
2014-05-05,56.4765,57.1709,56.1382,56.9572,3441251,CAH
2014-05-06,56.7703,57.5181,56.4943,57.1709,3063284,CAH
2014-05-07,57.2154,57.3133,56.521,56.8237,2357333,CAH
2014-05-08,56.9483,57.9899,56.5388,56.886,2637083,CAH
2014-05-09,56.9394,57.3756,56.4498,57.34,2001116,CAH
2014-05-12,57.5893,58.2659,57.5626,57.8831,1973037,CAH
2014-05-13,58.1323,59.2006,57.8118,58.8979,2636547,CAH
2014-05-14,58.9157,58.9869,58.0344,58.0611,1525374,CAH
2014-05-15,57.8385,58.0255,57.5537,57.8029,1513697,CAH
2014-05-16,57.7762,58.5329,57.705,58.5329,2408308,CAH
2014-05-19,58.248,59.4232,58.0967,59.2451,1780036,CAH
2014-05-20,59.1205,59.5389,58.5863,58.9335,1660703,CAH
2014-05-21,59.1027,60.2244,58.9424,59.9929,1955279,CAH
2014-05-22,59.9662,60.8208,59.9306,60.3401,1477992,CAH
2014-05-23,60.5092,61.0968,60.349,61.0167,1474372,CAH
2014-05-27,61.1947,61.7022,61.079,61.5953,1435445,CAH
2014-05-28,61.257,62.0093,61.257,61.8268,1891370,CAH
2014-05-29,61.8624,63.447,61.7645,63.3046,2602143,CAH
2014-05-30,63.082,63.2779,62.6369,62.8773,2247370,CAH
2014-06-02,62.9485,63.2067,62.401,62.806,1943049,CAH
2014-06-03,62.6814,63.4915,62.4478,63.2957,1982312,CAH
2014-06-04,63.1621,63.3135,62.7348,63.2512,1491234,CAH
2014-06-05,63.2067,63.6874,62.8951,62.9574,1776382,CAH
2014-06-06,63.0375,63.3491,62.815,63.0019,1636331,CAH
2014-06-09,62.9663,63.3313,62.7882,62.9485,1063615,CAH
2014-06-10,62.5924,62.8862,62.0494,62.3431,1966990,CAH
2014-06-11,62.0137,62.3787,61.8357,62.2541,2559107,CAH
2014-06-12,62.0226,62.1028,60.2689,60.4647,4136987,CAH
2014-06-13,60.4825,60.5048,59.8861,60.3134,2841704,CAH
2014-06-16,60.3223,61.1057,60.171,60.1888,3075896,CAH
2014-06-17,60.0908,60.9232,60.0463,60.7318,2978099,CAH
2014-06-18,60.7051,61.2481,60.4558,61.1947,2429925,CAH
2014-06-19,61.3995,61.6576,61.0345,61.1591,1205500,CAH
2014-06-20,61.2837,61.7289,60.8742,61.5419,2697605,CAH
2014-06-23,61.3728,61.622,61.1235,61.2748,1247673,CAH
2014-06-24,61.2036,61.809,60.8386,61.079,1474150,CAH
2014-06-25,61.2837,62.0226,61.2837,61.9158,1676550,CAH
2014-06-26,61.9069,61.9781,61.4796,61.6309,1208650,CAH
2014-06-27,61.6511,62.0179,61.6511,61.8747,1796904,CAH
2014-06-30,62.0447,62.0715,61.2306,61.3379,1578408,CAH
2014-07-01,61.5437,62.6083,61.5437,62.2863,2215457,CAH
2014-07-02,62.161,62.7962,62.0984,62.2594,1581818,CAH
2014-07-03,62.4294,63.0915,62.3131,62.993,1241019,CAH
2014-07-07,62.6262,63.0199,62.1879,62.9662,1655692,CAH
2014-07-08,62.5815,62.6665,61.821,62.4205,1683450,CAH
2014-07-09,62.6083,63.0646,62.3847,62.841,1308407,CAH
2014-07-10,62.2863,63.2659,62.2057,63.0825,1258762,CAH
2014-07-11,62.9573,63.1093,62.331,63.0557,1103628,CAH
2014-07-14,63.3867,63.3867,62.9125,63.1988,1294075,CAH
2014-07-15,63.1988,64.0085,63.0646,63.5298,2982518,CAH
2014-07-16,63.7177,63.7267,62.671,63.5209,2260265,CAH
2014-07-17,63.1272,63.8251,62.9394,63.1451,1841258,CAH
2014-07-18,63.3509,63.6104,62.8678,63.5746,1953720,CAH
2014-07-21,63.1809,63.2346,62.3355,62.6889,1927279,CAH
2014-07-22,62.9483,63.5119,62.9125,63.2704,1529107,CAH
2014-07-23,63.4941,64.4156,63.3822,63.9235,2575825,CAH
2014-07-24,64.5408,65.9812,64.3529,64.8003,3435874,CAH
2014-07-25,64.5855,64.7824,64.1919,64.6124,1363369,CAH
2014-07-28,64.5766,65.2386,64.4066,64.8987,1622730,CAH
2014-07-29,64.9523,64.9702,64.5408,64.684,1842873,CAH
2014-07-30,64.8629,65.1671,64.4696,65.0865,1431761,CAH
2014-07-31,64.6392,65.0418,63.9593,64.1024,2629365,CAH
2014-08-01,64.0845,65.4399,64.0309,64.7466,3147870,CAH
2014-08-04,62.9841,63.4314,61.32,62.8767,5459674,CAH
2014-08-05,62.8052,64.2635,62.5547,63.2257,2437333,CAH
2014-08-06,62.832,63.5298,62.6262,62.9394,1095485,CAH
2014-08-07,63.4135,63.4135,62.3399,62.6262,2154298,CAH
2014-08-08,62.5636,63.4851,62.322,63.4672,1248985,CAH
2014-08-11,63.8788,64.4156,63.6551,63.7356,1526235,CAH
2014-08-12,63.6014,63.9951,63.1093,63.5388,1810931,CAH
2014-08-13,64.1829,64.5408,64.0309,64.3082,1080860,CAH
2014-08-14,64.514,64.7555,64.2769,64.5319,945447,CAH
2014-08-15,64.6034,64.7018,63.673,63.9056,3010502,CAH
2014-08-18,63.9951,64.7824,63.9056,64.6034,1513996,CAH
2014-08-19,64.6392,65.2476,64.4513,64.9523,1824200,CAH
2014-08-20,64.8182,64.9523,64.5498,64.845,1687526,CAH
2014-08-21,64.8629,65.7128,64.8127,65.3997,1617337,CAH
2014-08-22,65.3997,65.6144,65.2252,65.2476,1329172,CAH
2014-08-25,65.4444,65.9186,65.3281,65.7128,1005791,CAH
2014-08-26,65.6681,65.9365,65.4265,65.5965,979815,CAH
2014-08-27,65.3549,65.8291,64.9523,65.015,1539731,CAH
2014-08-28,64.8987,65.7665,64.8182,65.5518,1218041,CAH
