date,open,high,low,close,volume,Name
2014-01-24,84.1107,84.1107,82.3335,82.3335,2533893,CB
2014-01-27,82.1817,83.7714,82.1647,83.1015,3022482,CB
2014-01-28,83.2266,84.7091,83.1551,84.459,2606993,CB
2014-01-29,83.8517,84.4233,82.9587,83.9768,3466743,CB
2014-01-30,84.5215,85.1735,83.9857,84.9681,2339284,CB
2014-01-31,83.7178,84.3519,83.5213,83.7803,2871441,CB
2014-02-03,83.4498,83.8428,82.396,82.6997,3813727,CB
2014-02-04,83.2444,83.6195,82.6907,82.914,2569013,CB
2014-02-05,82.6461,83.564,82.6282,83.2802,2561308,CB
2014-02-06,83.4052,84.1197,83.0837,83.4945,2986496,CB
2014-02-07,84.0214,84.5305,83.6374,84.4858,2136765,CB
2014-02-10,84.1197,84.8698,83.8875,84.8698,1712534,CB
2014-02-11,85.1378,86.4953,85.0395,86.4595,2353891,CB
2014-02-12,85.9148,86.2363,85.3968,85.4771,1676836,CB
2014-02-13,84.8431,85.9148,84.7984,85.8612,1339866,CB
2014-02-14,85.8612,86.6203,85.7317,86.6024,1434935,CB
2014-02-18,86.7185,87.1669,86.4863,87.0401,1450443,CB
2014-02-19,86.8704,87.4053,86.3077,86.3345,1517312,CB
2014-02-20,86.272,86.8793,85.6379,86.4328,1579216,CB
2014-02-21,86.7007,87.3883,86.3345,86.7989,1264117,CB
2014-02-24,86.7185,87.3973,86.4328,86.4417,1409663,CB
2014-02-25,86.3881,86.5489,86.0398,86.2095,1268450,CB
2014-02-26,86.0755,86.4506,85.7094,85.8255,1126556,CB
2014-02-27,85.754,86.6114,85.7004,86.4149,1250189,CB
2014-02-28,86.6292,87.6116,86.4953,87.4062,1780242,CB
2014-03-03,86.3792,86.6382,85.6022,86.1112,1376233,CB
2014-03-04,87.0222,87.1651,86.6739,87.049,1918551,CB
2014-03-05,87.1026,87.4598,86.7721,87.2187,1172352,CB
2014-03-06,87.3258,88.0314,87.0579,87.6563,1331091,CB
2014-03-07,87.9153,88.2011,87.1204,87.3169,1789805,CB
2014-03-10,87.0668,87.6206,86.9597,87.3437,1744393,CB
2014-03-11,87.6116,87.8081,86.7811,86.9329,814413,CB
2014-03-12,86.6828,87.174,86.2809,87.0847,1149118,CB
2014-03-13,87.4598,87.4598,86.6292,87.1204,2275647,CB
2014-03-14,86.9597,87.5402,86.8257,87.3258,1647925,CB
2014-03-17,87.6831,88.3082,87.4419,88.2189,1269897,CB
2014-03-18,88.3529,88.6208,88.0761,88.594,1440249,CB
2014-03-19,88.6476,88.9245,87.3526,87.6741,1273114,CB
2014-03-20,87.4509,88.0403,87.0043,87.8885,1861784,CB
2014-03-21,88.076,89.8354,87.5178,88.6476,2472590,CB
2014-03-24,88.9066,89.0852,88.085,88.4779,1793188,CB
2014-03-25,88.719,88.9155,88.3172,88.5315,1273625,CB
2014-03-26,85.3857,89.0708,85.3857,87.8034,1176184,CB
2014-03-27,87.6956,87.9203,87.3091,87.7136,1575294,CB
2014-03-28,88.145,88.2708,87.6956,87.9832,935381,CB
2014-03-31,88.6753,89.0797,88.5405,89.0348,1222440,CB
2014-04-01,89.2505,89.459,88.5135,89.0528,1361592,CB
2014-04-02,88.9719,89.2775,88.5854,88.8191,1694908,CB
2014-04-03,89.0258,89.4123,88.7022,88.9629,1419454,CB
2014-04-04,89.2595,89.5381,88.4011,88.4326,1221435,CB
2014-04-07,88.4775,88.7292,87.6956,87.7315,921976,CB
2014-04-08,87.7495,88.127,87.6776,87.8933,1052918,CB
2014-04-09,88.163,89.1157,87.7226,89.0887,955143,CB
2014-04-10,89.1606,89.628,88.6124,88.6124,1566780,CB
2014-04-11,88.9629,89.8572,88.3787,89.2595,2127247,CB
