date,open,high,low,close,volume,Name
2014-01-24,41.018,41.018,39.9499,39.9568,3984995,CF
2014-01-27,40.0203,40.2127,39.5309,39.804,4683775,CF
2014-01-28,39.8228,40.5578,39.646,40.3397,4227775,CF
2014-01-29,39.8469,40.3123,39.4038,39.4227,4804885,CF
2014-01-30,39.5137,40.5097,39.069,39.9396,4243950,CF
2014-01-31,39.5189,40.0701,39.5035,39.6442,3697495,CF
2014-02-03,39.7267,39.9843,38.7736,38.832,4644380,CF
2014-02-04,38.832,39.4433,38.3082,38.6242,5173690,CF
2014-02-05,38.3683,39.2321,37.7999,39.1102,4413025,CF
2014-02-06,39.1754,39.5859,39.069,39.4845,2893525,CF
2014-02-07,39.5137,40.2487,39.4622,40.1938,3349995,CF
2014-02-10,40.1611,40.8137,39.9448,39.9929,4617230,CF
2014-02-11,40.1714,40.3775,39.6185,39.6786,5338030,CF
2014-02-12,39.5717,39.6683,39.0629,39.4406,9237620,CF
2014-02-13,39.3043,40.046,39.1853,39.8804,8174315,CF
2014-02-14,39.927,40.2616,39.682,39.9528,7555575,CF
2014-02-18,39.8407,39.9908,38.3437,39.0111,11816295,CF
2014-02-19,40.8324,43.0487,40.7695,40.9825,14527990,CF
2014-02-20,41.1343,41.6982,41.1239,41.5413,4620380,CF
2014-02-21,41.5999,42.1484,41.3171,41.9052,5020230,CF
2014-02-24,41.7758,42.4312,41.7758,41.8742,6802075,CF
2014-02-25,41.8845,42.2984,41.8673,41.8983,4049025,CF
2014-02-26,42.0277,42.3985,41.85,42.1311,3136585,CF
2014-02-27,41.9224,43.0573,41.8845,42.9538,4751315,CF
2014-02-28,43.1177,43.3419,42.9659,43.2729,4825720,CF
2014-03-03,43.6368,44.3232,43.5557,44.1301,6819015,CF
2014-03-04,44.4146,44.6782,43.7403,44.3284,6934930,CF
2014-03-05,44.3422,45.6237,43.9438,45.3218,5445865,CF
2014-03-06,45.1942,45.8513,45.033,45.5547,4220630,CF
2014-03-07,45.6375,46.1807,44.8217,45.0304,6431130,CF
2014-03-10,44.9976,45.8186,44.4353,45.615,4458325,CF
2014-03-11,45.5719,45.5719,44.4043,44.4146,5753060,CF
2014-03-12,43.98,44.325,43.4298,44.1076,6832320,CF
2014-03-13,44.2387,44.3991,43.1935,43.3815,5756445,CF
2014-03-14,43.2901,43.5902,43.1108,43.5178,5250425,CF
2014-03-17,43.6661,44.0818,43.2091,43.2729,3351580,CF
2014-03-18,43.2901,43.9714,43.2746,43.9214,3373460,CF
