date,open,high,low,close,volume,Name
2014-01-24,99.1855,99.3439,98.5086,98.6926,3203790,COST
2014-01-27,99.0666,100.1008,98.6045,99.5287,3790471,COST
2014-01-28,99.9248,101.0074,99.8456,100.6729,2367521,COST
2014-01-29,100.3825,100.5057,98.675,98.7806,2356365,COST
2014-01-30,99.2383,99.8896,98.6574,99.2207,1629387,COST
2014-01-31,97.9532,99.7047,97.8124,98.895,2146024,COST
2014-02-03,99.4231,99.4583,96.8618,96.9762,3121170,COST
2014-02-04,97.4603,97.9884,96.3777,97.6012,2529624,COST
2014-02-05,97.0115,97.5219,96.6427,97.2667,2374212,COST
2014-02-06,99.4671,100.849,99.4583,100.5673,3755143,COST
2014-02-07,100.4089,100.8754,99.7928,100.3737,2198514,COST
2014-02-10,100.3737,100.4265,99.0886,100.2064,1871796,COST
2014-02-11,100.2592,101.3507,99.8984,101.2098,1778347,COST
2014-02-12,101.3863,101.8717,100.8745,101.3246,1737694,COST
2014-02-13,100.7333,102.313,100.7333,102.2071,1587102,COST
2014-02-14,101.6335,102.8072,101.051,102.463,1520003,COST
2014-02-18,102.6396,102.7366,101.4216,101.81,2062002,COST
2014-02-19,101.5893,101.757,100.848,101.4128,1804724,COST
2014-02-20,101.1128,101.9776,100.5038,101.5452,1837090,COST
2014-02-21,101.8453,101.9247,99.6566,99.8948,3659545,COST
2014-02-24,100.1331,101.3246,99.9037,100.5568,2285392,COST
2014-02-25,100.6097,102.2751,100.6097,101.8982,1935430,COST
2014-02-26,101.9335,103.1073,101.8188,102.2689,1926823,COST
2014-02-27,102.4013,102.7455,101.7394,102.5689,1374462,COST
2014-02-28,102.8161,103.6721,102.2777,103.0808,2106177,COST
2014-03-03,102.5689,103.3191,101.5893,102.1542,1666961,COST
2014-03-04,102.9131,103.1779,102.2424,102.9484,1810584,COST
2014-03-05,102.8778,103.2132,102.2071,102.7896,2320202,COST
2014-03-06,99.8595,101.1745,99.0829,99.9566,8925347,COST
2014-03-07,100.4332,100.6185,99.8508,100.1684,2906694,COST
2014-03-10,99.9125,101.1304,99.7272,101.1304,2325219,COST
2014-03-11,101.1039,101.2716,100.5391,101.2363,2201836,COST
2014-03-12,100.9539,102.0394,100.8303,101.6776,2177956,COST
2014-03-13,102.0747,102.1895,100.7775,100.9715,2519618,COST
2014-03-14,101.4481,101.4481,100.014,100.1243,2293362,COST
2014-03-17,100.7333,101.0157,100.0714,100.1331,2190456,COST
2014-03-18,100.5215,100.7156,99.7448,100.4773,2501020,COST
2014-03-19,100.2037,100.8303,99.2506,99.5948,1635636,COST
2014-03-20,99.3388,99.921,98.9602,99.8684,1408202,COST
2014-03-21,100.9715,101.1216,99.9919,100.4597,4442274,COST
2014-03-24,100.6009,100.6097,99.6301,100.0537,2501669,COST
2014-03-25,100.4509,101.0157,100.4261,100.5479,2202127,COST
2014-03-26,100.8568,101.0245,99.2506,99.2771,1912278,COST
2014-03-27,99.2859,99.6742,98.6858,98.8711,2042713,COST
2014-03-28,99.1535,99.5374,98.0945,98.5446,2795496,COST
2014-03-31,98.7917,99.0935,98.4651,98.5622,2119603,COST
2014-04-01,99.03,99.33,98.4122,98.7211,2566752,COST
2014-04-02,98.7564,98.8534,97.9091,98.4475,3291664,COST
2014-04-03,98.6152,98.977,98.2092,98.5799,2329649,COST
2014-04-04,98.8005,98.8445,97.6355,97.6532,2722053,COST
2014-04-07,97.7238,98.0768,97.3973,97.7759,3119749,COST
2014-04-08,97.5738,99.4977,97.4149,99.4271,3863906,COST
2014-04-09,99.4801,99.8507,98.9417,99.7713,2899623,COST
