date,open,high,low,close,volume,Name
2014-01-24,56.1184,56.3022,54.4865,54.4938,4018923,DHR
2014-01-27,54.6849,54.979,54.141,54.4718,3594074,DHR
2014-01-28,55.1113,56.2875,54.5012,55.2877,4370403,DHR
2014-01-29,54.7805,55.6994,54.7731,55.2289,3832983,DHR
2014-01-30,55.4568,55.6332,55.0231,55.3539,3309416,DHR
2014-01-31,54.5967,55.137,54.3468,54.6849,3219918,DHR
2014-02-03,54.7879,55.2289,53.2956,53.3397,4223775,DHR
2014-02-04,53.5308,53.9351,53.1633,53.6117,3430940,DHR
2014-02-05,53.3691,53.5529,52.8472,53.2882,567116,DHR
2014-02-06,53.1486,54.1998,53.0309,54.1851,2980373,DHR
2014-02-07,54.6114,55.3465,54.288,55.2216,3162765,DHR
2014-02-10,55.3245,55.3245,54.8136,55.1848,3140103,DHR
2014-02-11,55.4053,55.7803,55.2252,55.42,2524403,DHR
2014-02-12,55.6479,55.8538,55.398,55.5377,2094230,DHR
2014-02-13,55.0745,56.1,54.9716,56.0302,2407084,DHR
2014-02-14,55.9861,56.3066,55.7435,56.1846,2255824,DHR
2014-02-18,55.9787,56.2948,55.7508,55.8244,2353407,DHR
2014-02-19,55.6847,56.2287,55.2804,55.3392,2599754,DHR
2014-02-20,55.4936,56.1111,55.1628,55.9493,2379436,DHR
2014-02-21,55.8611,56.1037,55.6259,55.9787,2675817,DHR
2014-02-24,56.1478,56.6697,56.089,56.2801,2665169,DHR
2014-02-25,56.1919,56.655,56.0228,56.4713,2655930,DHR
2014-02-26,56.4933,56.7506,56.2728,56.4713,2674797,DHR
2014-02-27,56.1331,56.6991,56.1111,56.6256,2558074,DHR
2014-02-28,56.6036,57.0005,56.0449,56.2287,3804003,DHR
2014-03-03,55.6773,55.942,55.3906,55.5671,2751612,DHR
2014-03-04,56.2029,56.383,56.0155,56.1405,3198901,DHR
2014-03-05,56.1846,56.3757,55.8905,56.1478,2517311,DHR
2014-03-06,56.2875,56.6697,56.1919,56.5154,2290921,DHR
2014-03-07,56.8903,57.0152,56.5521,56.9197,2820615,DHR
2014-03-10,56.8976,56.8976,56.4492,56.7138,2241155,DHR
2014-03-11,56.8021,56.8682,56.1037,56.1846,2098916,DHR
2014-03-12,55.7876,55.9199,55.4936,55.7361,2178907,DHR
2014-03-13,56.0008,56.0155,54.6261,54.7143,2489911,DHR
2014-03-14,54.6225,54.8834,54.1851,54.2439,2782077,DHR
2014-03-17,54.6261,55.2289,54.6041,55.0231,2479763,DHR
2014-03-18,55.1481,55.4642,55.1113,55.3245,1411398,DHR
2014-03-19,55.2951,55.4789,54.3541,54.6702,1889586,DHR
2014-03-20,54.6188,55.1187,54.4276,54.9496,1583406,DHR
2014-03-21,55.398,55.9567,55.1517,55.3539,4110915,DHR
2014-03-24,55.5524,55.5671,54.3468,54.6335,1676978,DHR
2014-03-25,54.9569,55.1848,54.4423,54.7143,1764777,DHR
2014-03-26,55.1413,55.2149,54.0003,54.0003,3014877,DHR
2014-03-27,54.1991,54.2801,53.6985,54.0592,3396623,DHR
2014-03-28,54.3831,54.7806,54.1715,54.3758,2020638,DHR
2014-03-31,54.8616,55.2076,54.6334,55.2076,2128168,DHR
2014-04-01,55.2664,55.4137,54.9278,55.3989,2322083,DHR
2014-04-02,55.4873,55.7375,55.3106,55.5314,2306446,DHR
2014-04-03,55.6198,55.8774,55.2664,55.8259,2167394,DHR
2014-04-04,56.2896,56.4589,55.4284,55.502,2589452,DHR
2014-04-07,55.318,55.3695,54.1991,54.3463,2258644,DHR
2014-04-08,54.2359,54.7217,53.9635,54.4935,2352427,DHR
2014-04-09,55.2076,55.7302,54.7512,55.686,3074712,DHR
2014-04-10,55.6787,55.686,54.5451,54.5671,2420305,DHR
2014-04-11,54.2212,54.4052,53.5734,53.5881,2735686,DHR
2014-04-14,54.0519,54.0519,52.9256,53.4336,4477117,DHR
2014-04-15,53.5072,53.8016,52.8152,53.7354,3825788,DHR
2014-04-16,54.3169,54.3758,53.6323,54.2138,4069812,DHR
2014-04-17,53.7354,54.0592,53.2127,53.6249,7798168,DHR
2014-04-21,54.0003,54.9794,53.8163,54.8984,5825733,DHR
2014-04-22,54.8248,54.8984,54.1108,54.1402,4293214,DHR
2014-04-23,54.1034,54.258,53.8899,54.0151,3192181,DHR
2014-04-24,54.258,54.4052,54.0003,54.2212,2788499,DHR
2014-04-25,54.1844,54.3095,53.647,53.7722,2194231,DHR
2014-04-28,53.9415,54.177,53.5366,54.1034,4710591,DHR
2014-04-29,54.1108,54.2138,53.6801,54.0298,4151468,DHR
2014-04-30,53.9267,54.0666,53.7133,54.0151,3318908,DHR
2014-05-01,54.0151,54.4935,53.9267,54.1844,3608254,DHR
2014-05-02,54.2065,54.2874,53.8531,53.9341,2625804,DHR
2014-05-05,53.7354,53.9047,53.4483,53.7354,1941089,DHR
2014-05-06,53.5808,53.7648,53.3967,53.4115,2040804,DHR
2014-05-07,53.5734,53.6691,53.1244,53.5955,3130488,DHR
2014-05-08,53.5734,54.339,53.4446,53.9341,2853084,DHR
2014-05-09,53.831,54.5156,53.5808,54.4935,4279465,DHR
2014-05-12,54.6334,55.2959,54.6334,55.2591,2769594,DHR
2014-05-13,55.5167,55.8921,55.3032,55.6713,2840313,DHR
2014-05-14,55.502,56.0762,55.2664,55.3621,3092386,DHR
2014-05-15,55.1192,55.2664,54.6555,55.1855,3047426,DHR
2014-05-16,55.1928,55.5094,54.9499,55.4431,3208274,DHR
2014-05-19,55.2885,56.0872,55.237,55.8112,2366713,DHR
2014-05-20,55.7964,55.9068,54.8873,55.0603,2332451,DHR
2014-05-21,55.3032,56.1866,55.3032,56.1498,3147398,DHR
2014-05-22,56.9227,57.7839,56.4663,57.4379,6782589,DHR
2014-05-23,57.4159,57.7545,57.2245,57.725,2175813,DHR
2014-05-27,58.1151,58.152,57.7618,57.8943,2565747,DHR
2014-05-28,57.9458,58.1814,57.6956,57.9164,2242927,DHR
2014-05-29,57.9164,58.0342,57.5115,57.8207,2376852,DHR
2014-05-30,57.6661,57.7986,57.4306,57.7324,3402224,DHR
2014-06-02,57.8575,58.0415,57.2907,57.887,1824165,DHR
2014-06-03,57.6588,58.0489,57.5778,57.9974,2072648,DHR
2014-06-04,57.8133,57.9017,57.4159,57.7324,2469586,DHR
2014-06-05,57.7397,58.7776,57.3643,58.52,2955221,DHR
2014-06-06,58.5568,59.2487,58.5126,59.1604,2796365,DHR
2014-06-09,59.6904,59.7272,58.9985,59.2929,3076806,DHR
2014-06-11,59.1015,59.1825,58.8512,58.9543,1955620,DHR
2014-06-12,58.6893,59.1162,58.6746,58.9838,2675321,DHR
2014-06-13,58.9028,59.2487,58.8292,59.0868,1727852,DHR
2014-06-16,58.9543,59.1383,58.8071,58.9396,2383181,DHR
2014-06-17,59.0206,59.1457,58.8292,59.0132,1633674,DHR
2014-06-18,59.0721,59.418,58.7409,59.3812,1847115,DHR
2014-06-19,59.2635,59.4328,58.866,58.9617,3294715,DHR
