date,open,high,low,close,volume,Name
2014-01-24,42.9039,43.3193,42.459,42.4632,1044961,DRI
2014-01-27,42.5903,42.9887,42.353,42.5734,1007711,DRI
2014-01-28,42.5734,43.1413,42.4802,42.5141,1122974,DRI
2014-01-29,42.2937,42.4547,41.4292,41.675,1701404,DRI
2014-01-30,41.9716,42.1242,41.6241,41.9547,1473576,DRI
2014-01-31,41.5817,42.2598,41.3275,41.9038,1185662,DRI
2014-02-03,41.9377,42.0479,40.0476,40.107,1627484,DRI
2014-02-04,40.5138,40.7003,40.2256,40.4375,1530430,DRI
2014-02-05,40.2002,40.3273,39.8739,40.107,1394552,DRI
2014-02-06,40.1748,40.8444,40.1663,40.5308,854342,DRI
2014-02-07,40.802,40.9376,40.3401,40.9037,962532,DRI
2014-02-10,40.8359,41.4716,40.6833,41.0308,1475005,DRI
2014-02-11,41.0308,41.6326,40.963,41.3868,1032806,DRI
2014-02-12,41.3698,41.6326,41.0478,41.0986,774588,DRI
2014-02-13,40.802,41.0817,40.6918,40.8274,1157081,DRI
2014-02-14,40.8104,41.1495,40.7265,41.0054,719050,DRI
2014-02-18,41.5987,41.658,41.1368,41.5394,1639730,DRI
2014-02-19,41.4122,41.997,41.2512,41.497,1216579,DRI
2014-02-20,41.6326,42.9208,41.5394,42.8022,2182510,DRI
2014-02-21,42.887,43.4294,42.6751,43.2345,2043272,DRI
2014-02-24,43.2684,43.404,42.8022,43.2345,1278507,DRI
2014-02-25,43.3362,43.4379,42.848,42.8785,1035545,DRI
2014-02-26,43.048,43.2345,42.3106,42.3785,2174149,DRI
2014-02-27,42.3106,42.4293,42.0225,42.2089,2025160,DRI
2014-02-28,42.3022,43.3277,42.0733,43.2769,1543037,DRI
2014-03-03,41.6834,41.9547,40.7426,40.963,3783162,DRI
2014-03-04,41.319,41.319,40.6748,41.2088,2467307,DRI
2014-03-05,41.3444,41.3444,40.5986,40.6325,2031324,DRI
2014-03-06,40.8613,41.675,40.7765,41.4546,2361549,DRI
2014-03-07,41.6495,42.3954,41.4716,42.3361,2072817,DRI
2014-03-10,42.3446,42.7853,42.2089,42.4463,1302328,DRI
2014-03-11,42.5819,42.8192,42.3785,42.5056,1066967,DRI
2014-03-12,42.2683,42.7429,41.9716,42.6582,1155736,DRI
2014-03-13,42.8277,42.9463,41.1834,41.5394,2816739,DRI
2014-03-14,41.4461,42.0479,41.4461,41.7174,1233285,DRI
2014-03-17,41.9801,42.4632,41.7682,42.1242,991314,DRI
2014-03-18,42.1242,42.2513,41.8869,41.9292,700117,DRI
2014-03-19,41.9377,42.175,41.3275,41.5987,968166,DRI
2014-03-20,41.5733,42.0903,41.4165,41.7852,1334258,DRI
2014-03-21,42.3785,43.1752,41.9716,42.9378,2858287,DRI
2014-03-24,43.0141,43.1328,42.1411,42.9548,2415844,DRI
2014-03-25,43.1582,43.1836,42.6242,42.9802,1473002,DRI
2014-03-26,43.0141,43.2175,42.9548,43.065,1179700,DRI
2014-03-27,43.0819,43.1582,42.3785,42.5395,1159156,DRI
2014-03-28,42.6497,43.0819,42.4717,42.9039,741196,DRI
2014-03-31,43.1497,43.2159,42.9124,43.0226,865024,DRI
2014-04-01,43.1836,44.0227,43.0565,43.6329,1845044,DRI
2014-04-02,43.7007,44.1838,43.5752,44.1499,1018297,DRI
2014-04-03,44.1838,44.2431,43.7854,44.0482,763687,DRI
2014-04-04,44.0736,44.4974,43.3765,43.4294,926511,DRI
2014-04-07,43.3277,43.4718,42.6921,42.7768,1018732,DRI
2014-04-08,42.7511,42.9396,42.4255,42.5626,1094498,DRI
2014-04-09,42.6569,43.1025,42.4341,43.0939,732202,DRI
2014-04-10,43.1025,43.7623,42.3569,42.3569,1151445,DRI
2014-04-11,42.1599,42.3912,41.5086,41.5257,1367935,DRI
