date,open,high,low,close,volume,Name
2014-01-24,55.8362,56.0984,55.4015,55.7519,3823785,DVN
2014-01-27,55.705,55.7331,54.7608,54.9557,3576159,DVN
2014-01-28,55.1805,55.7519,55.0306,55.5364,2483435,DVN
2014-01-29,54.9931,55.7987,54.5248,55.2741,3097642,DVN
2014-01-30,55.3678,56.6698,55.0119,55.8924,4712022,DVN
2014-01-31,55.1805,55.9696,55.0774,55.4709,3442144,DVN
2014-02-03,55.4428,55.8549,54.0217,54.1876,4388693,DVN
2014-02-04,55.0119,56.0048,54.9182,55.5645,4608803,DVN
2014-02-05,55.6582,55.8643,54.8995,55.3397,3927610,DVN
2014-02-06,55.7144,56.8291,55.3022,56.623,3738308,DVN
2014-02-07,56.6605,57.2412,56.3888,57.1569,3020933,DVN
2014-02-10,57.007,57.082,56.4825,56.9508,2284646,DVN
2014-02-11,56.9321,57.8828,56.726,57.644,2033453,DVN
2014-02-12,57.9531,57.9531,57.1279,57.3068,2341868,DVN
2014-02-13,57.0351,58.5057,56.8759,58.3278,3316279,DVN
2014-02-14,58.3278,58.4776,57.6721,58.1217,2318562,DVN
2014-02-18,58.4027,59.3581,58.1966,58.9272,5137014,DVN
2014-02-19,59.9201,61.4844,59.3019,60.1824,9710989,DVN
2014-02-20,60.1449,60.8194,59.9951,60.4728,3788188,DVN
2014-02-21,60.5758,60.7163,59.5829,59.6391,4596629,DVN
2014-02-24,59.8546,60.8006,59.8546,60.2948,3368476,DVN
2014-02-25,60.0138,60.0887,59.1895,59.8639,3765449,DVN
2014-02-26,59.7703,59.9857,59.3113,59.6953,3244520,DVN
2014-02-27,59.4518,60.3417,59.3862,60.2386,3066489,DVN
2014-02-28,60.2667,60.6508,60.0232,60.3417,2457261,DVN
2014-03-03,59.9482,60.9224,59.6766,59.7422,3815468,DVN
2014-03-04,60.2105,60.7444,59.7328,60.5477,3990299,DVN
2014-03-05,60.4634,60.8662,60.2199,60.3885,2749667,DVN
2014-03-06,60.4541,60.6508,60.0119,60.4353,1684744,DVN
2014-03-07,60.4072,61.1191,60.2105,61.0067,2935738,DVN
2014-03-10,60.8849,60.9411,59.7609,60.4447,3192162,DVN
2014-03-11,60.3791,60.6789,59.3862,59.5267,2331425,DVN
2014-03-12,59.132,59.4891,58.7748,59.2918,2251875,DVN
2014-03-13,59.4233,59.5642,58.7325,58.8312,2182942,DVN
2014-03-14,58.7184,59.0474,58.6244,58.9722,3086092,DVN
2014-03-17,59.1602,59.6019,58.6761,59.0286,2178930,DVN
2014-03-18,59.2354,59.8181,59.1884,59.6771,2154779,DVN
2014-03-19,59.6301,60.0437,59.3105,59.6489,2667865,DVN
2014-03-20,59.1884,59.7429,58.9534,59.4891,2870351,DVN
2014-03-21,59.9873,60.4855,59.5831,60.2411,3314000,DVN
2014-03-24,60.5419,60.7957,59.945,60.0719,1560247,DVN
2014-03-25,60.3069,60.4573,59.9685,60.1189,2780263,DVN
2014-03-26,60.5983,60.7393,60.0061,60.1565,3440884,DVN
2014-03-27,60.2881,61.463,60.1565,60.8051,3939558,DVN
2014-03-28,61.1622,61.8766,60.9837,61.839,5840502,DVN
2014-03-31,62.0364,62.9293,61.6792,62.9105,5353409,DVN
2014-04-01,62.8917,63.6249,62.7414,63.6155,4251660,DVN
2014-04-02,63.3993,64.1419,63.2489,63.8129,3481003,DVN
2014-04-03,64.2923,65.4014,64.0197,64.3957,4800670,DVN
2014-04-04,64.6682,64.922,63.7283,63.9257,3033368,DVN
2014-04-07,63.7659,64.1042,63.2113,63.4933,2344849,DVN
2014-04-08,63.6813,64.0291,63.5027,63.7753,3109015,DVN
2014-04-09,64.0573,64.3393,63.7471,64.2735,4998450,DVN
2014-04-10,64.1137,65.3074,63.8317,64.4896,5158542,DVN
2014-04-11,64.0385,64.633,63.4745,63.4933,3824591,DVN
2014-04-14,64.0667,64.0667,63.0985,63.7189,4506316,DVN
2014-04-15,63.7095,64.7622,63.5309,64.5554,3481288,DVN
2014-04-16,64.8938,66.05,64.8938,65.6646,3777898,DVN
2014-04-17,65.768,66.7737,65.4578,66.4541,4003523,DVN
2014-04-21,66.6233,66.7079,65.862,66.2661,3156826,DVN
2014-04-22,66.05,66.6703,65.7586,66.3883,2246650,DVN
2014-04-23,66.6891,67.3095,66.4729,67.0275,2540210,DVN
2014-04-24,67.3189,68.0614,67.0933,67.5915,3872625,DVN
2014-04-25,67.1967,67.4411,66.0876,66.1722,4243664,DVN
2014-04-28,66.3883,66.6702,65.4672,66.0594,2843717,DVN
2014-04-29,66.5293,67.1967,66.1769,66.2473,2153660,DVN
2014-04-30,65.9466,66.0594,65.2792,65.7962,4350614,DVN
2014-05-01,65.7398,66.0406,65.4672,65.6928,3104819,DVN
2014-05-02,65.9936,66.44,65.6364,66.0594,4054867,DVN
2014-05-05,65.6458,66.4353,65.4202,66.1252,2054182,DVN
2014-05-06,66.1158,66.5857,65.7586,65.9748,2746995,DVN
2014-05-07,66.6327,69.3586,65.0442,68.6724,8860707,DVN
2014-05-08,68.5502,68.8227,66.5387,66.7267,5886559,DVN
2014-05-09,66.8019,66.8301,65.815,66.4823,3053719,DVN
2014-05-12,66.7737,66.9288,66.3977,66.7737,2026406,DVN
2014-05-13,67.0275,68.4656,66.8583,68.0802,4720872,DVN
2014-05-14,68.099,68.2306,67.3847,67.4411,2694825,DVN
2014-05-15,67.3753,67.4035,65.8056,66.4917,4221501,DVN
2014-05-16,66.5293,66.8301,65.8808,66.4259,2497860,DVN
2014-05-19,66.4353,67.3377,66.2285,66.9993,2452582,DVN
2014-05-20,67.4787,68.569,67.3941,68.193,5440674,DVN
2014-05-21,68.4468,69.2176,68.2776,69.1236,3382846,DVN
2014-05-22,69.1988,69.2646,68.334,68.3434,2571328,DVN
2014-05-23,68.4374,68.7382,68.0614,68.287,2157342,DVN
2014-05-27,68.428,68.7758,68.0426,68.7382,2698457,DVN
2014-05-28,68.7664,69.1377,68.334,69.0296,3439231,DVN
2014-05-29,69.227,69.5372,68.7382,69.4526,2233671,DVN
2014-05-30,69.4056,69.5466,68.7852,69.462,2119220,DVN
2014-06-02,69.415,69.8661,69.1424,69.2646,2125725,DVN
2014-06-03,69.8191,70.4959,69.6875,70.2139,3320149,DVN
2014-06-04,70.4019,70.5335,70.0541,70.3737,2139624,DVN
2014-06-05,70.3173,70.5871,70.0259,70.2985,2026918,DVN
2014-06-06,70.4207,70.4959,70.0541,70.1857,2091107,DVN
2014-06-09,70.3079,70.5429,69.7157,69.9789,2253564,DVN
2014-06-10,70.3267,71.3888,70.2703,70.4395,3388670,DVN
2014-06-11,70.3735,72.7875,70.1284,72.0614,5787386,DVN
2014-06-12,72.4858,73.5513,72.4103,72.6084,3781626,DVN
2014-06-13,72.8158,73.6456,72.3726,73.589,3314847,DVN
2014-06-16,73.7211,73.8531,73.226,73.7682,4048033,DVN
2014-06-17,73.3344,73.8542,73.061,73.6645,2043375,DVN
2014-06-18,73.4193,74.2868,72.9573,73.6645,2798559,DVN
2014-06-19,73.6928,74.0228,73.1741,74.0134,2055276,DVN
2014-06-20,74.3151,74.73,74.2208,74.4471,3133630,DVN
2014-06-23,74.7206,74.7206,74.1265,74.3717,2518322,DVN
2014-06-24,74.4189,74.9563,72.9384,73.1458,3652913,DVN
2014-06-25,73.127,74.9658,73.127,74.928,2627824,DVN
2014-06-26,74.7112,74.928,73.7022,74.1171,1943698,DVN
2014-06-27,73.9851,75.0412,73.8484,74.9658,1972694,DVN
2014-06-30,74.6829,76.0313,74.5131,74.8715,2669349,DVN
2014-07-01,75.2958,75.4467,74.532,74.5697,2157143,DVN
2014-07-02,74.5603,75.1072,73.7965,74.0982,3311337,DVN
2014-07-03,74.4377,74.7395,73.7211,74.6923,1413704,DVN
2014-07-07,75.3052,75.3052,73.6456,73.8154,3289059,DVN
2014-07-08,73.9568,74.6263,73.4759,73.6833,3641038,DVN
2014-07-09,73.9474,74.8809,73.7399,74.8715,2215096,DVN
2014-07-10,73.7022,74.2491,72.9209,73.6456,3014217,DVN
2014-07-11,73.5702,73.6833,72.7027,72.7309,2920235,DVN
2014-07-14,72.9384,73.6079,72.7687,73.3722,2107623,DVN
2014-07-15,73.2873,73.457,71.6654,72.1369,3398131,DVN
2014-07-16,72.6084,73.5136,72.4009,73.4476,2340138,DVN
2014-07-17,73.4947,74.1454,71.2882,71.4202,3876940,DVN
2014-07-18,72.1557,72.929,71.788,72.6178,2548510,DVN
2014-07-21,72.5235,72.8064,71.9671,72.7215,1915725,DVN
2014-07-22,73.2213,73.9662,72.9195,73.6928,3234607,DVN
2014-07-23,73.5608,74.0605,73.1553,74.0228,2044378,DVN
2014-07-24,74.0134,74.7866,73.8436,74.5226,2921698,DVN
2014-07-25,74.0511,74.1718,73.4759,73.8719,1194493,DVN
2014-07-28,73.7399,74.1925,73.0044,73.3816,1588946,DVN
2014-07-29,73.325,73.7682,72.8818,72.9855,2180185,DVN
2014-07-30,73.589,73.9945,72.7592,72.9007,2356256,DVN
2014-07-31,72.6084,72.6461,71.1279,71.1939,2800958,DVN
2014-08-01,70.8261,71.4957,69.9963,70.8073,2913848,DVN
