date,open,high,low,close,volume,Name
2014-01-24,67.0297,67.4567,66.3001,66.398,2958341,EMN
2014-01-27,66.4603,66.8784,64.9479,66.1756,2386821,EMN
2014-01-28,66.2823,67.2877,66.1044,66.9229,1986474,EMN
2014-01-29,66.6471,67.6792,66.2734,66.4514,1933343,EMN
2014-01-30,66.7895,67.8126,66.3896,67.5902,2259856,EMN
2014-01-31,68.6845,70.9621,67.8393,69.3607,3489190,EMN
2014-02-03,69.4941,69.8856,67.6436,67.7147,2073415,EMN
2014-02-04,68.1329,68.8358,67.2877,68.5066,1762910,EMN
2014-02-05,68.3375,69.4763,67.6525,69.2361,2165193,EMN
2014-02-06,69.2717,70.0093,69.0226,69.503,1609233,EMN
2014-02-07,69.8856,70.5529,69.5832,70.4283,1476285,EMN
2014-02-10,70.3482,71.4693,70.2504,71.318,1599310,EMN
2014-02-11,71.1757,71.6116,70.7397,71.0066,1719916,EMN
2014-02-12,71.0867,72.8394,71.0422,72.6437,1730791,EMN
2014-02-13,72.3501,73.9337,72.0654,73.3821,1845924,EMN
2014-02-14,73.133,73.8448,72.5013,73.7024,864629,EMN
2014-02-18,73.9782,73.9871,73.2264,73.6846,1170343,EMN
2014-02-19,73.6935,74.1828,72.9106,72.9995,1583768,EMN
2014-02-20,73.0351,73.7202,72.0654,73.6757,1280270,EMN
2014-02-21,74.6455,75.3483,74.1828,75.0369,1984766,EMN
2014-02-24,74.9302,75.722,74.6099,74.8145,1708220,EMN
2014-02-25,74.7611,76.6384,74.7078,76.3181,2352429,EMN
2014-02-26,76.3003,76.9587,75.9,76.4249,1775393,EMN
2014-02-27,76.158,77.2523,76.158,77.2345,1816488,EMN
2014-02-28,77.448,78.4178,77.1188,77.7861,1746621,EMN
2014-03-03,76.9943,78.1865,76.843,77.5459,1676121,EMN
2014-03-04,78.489,78.5423,77.8395,77.884,1499283,EMN
2014-03-05,77.9285,78.1064,77.3146,77.6971,1276818,EMN
2014-03-06,78.1064,79.094,78.0263,78.2665,1312611,EMN
2014-03-07,78.4623,78.569,77.4035,77.884,1434587,EMN
2014-03-10,77.7327,78.3333,76.8786,77.6882,1505646,EMN
2014-03-11,77.9018,77.9018,76.763,76.9498,1959108,EMN
2014-03-12,76.5836,76.8247,75.9359,76.2977,1957638,EMN
2014-03-13,76.4853,76.9855,75.056,75.4401,1864370,EMN
2014-03-14,75.4133,76.1101,74.6451,74.7701,1784514,EMN
2014-03-17,75.4044,75.9314,74.9685,75.5473,1170970,EMN
2014-03-18,75.6277,76.128,75.5563,75.851,858226,EMN
2014-03-19,75.9046,76.5478,75.0917,75.5116,1272090,EMN
2014-03-20,75.3419,76.4339,75.3168,76.3781,997851,EMN
2014-03-21,76.923,77.5877,76.3334,76.8962,2383951,EMN
2014-03-24,76.9766,77.5126,75.9046,76.1905,957609,EMN
2014-03-25,76.4853,77.0927,76.0029,76.655,866746,EMN
2014-03-26,76.8247,77.0123,75.3061,75.3151,1015212,EMN
2014-03-27,75.3508,75.8064,74.7255,75.3865,1344487,EMN
2014-03-28,75.5652,76.5568,75.4223,76.4674,735278,EMN
2014-03-31,76.8247,77.2357,76.5121,77.0123,865336,EMN
2014-04-01,77.0927,78.0665,76.2441,76.9319,1486787,EMN
2014-04-02,77.0391,78.1379,76.9409,78.0397,1009385,EMN
2014-04-03,78.2272,79.0929,77.4858,77.8789,967351,EMN
2014-04-04,78.5399,78.7454,76.7667,77.2803,1159530,EMN
2014-04-07,77.1195,77.1553,75.1275,75.6188,838484,EMN
2014-04-08,75.6724,76.3424,75.3865,75.6545,936266,EMN
2014-04-09,76.0386,77.1997,75.5027,77.1463,1182192,EMN
2014-04-10,77.2535,77.4054,75.1096,75.1453,975089,EMN
2014-04-11,74.8237,75.9806,74.7076,75.6277,1887668,EMN
2014-04-14,75.9672,76.3692,75.5116,76.0297,1175048,EMN
2014-04-15,76.2441,77.2446,76.0654,77.057,1325905,EMN
2014-04-16,77.9235,79.0491,77.8431,78.9955,1989457,EMN
2014-04-17,78.8347,79.5851,78.4416,79.1295,1469556,EMN
2014-04-21,79.1116,79.1206,77.8431,78.2987,1387493,EMN
2014-04-22,78.6739,79.5493,78.2719,79.1116,929267,EMN
2014-04-23,79.2546,79.569,78.7811,79.1295,1038192,EMN
2014-04-24,79.6744,79.6744,77.593,77.995,1859238,EMN
2014-04-25,75.0471,76.5568,73.6892,75.3597,3026266,EMN
2014-04-28,75.9136,76.8203,74.9041,75.7885,1636640,EMN
2014-04-29,75.8332,77.3071,75.8332,76.9945,1566187,EMN
2014-04-30,76.8426,77.9057,76.8426,77.8699,1241039,EMN
2014-05-01,77.7538,78.0039,76.6282,76.8069,1047554,EMN
2014-05-02,76.8694,77.6645,76.5032,76.6818,886439,EMN
2014-05-05,76.521,77.0213,76.1191,76.7354,1222204,EMN
2014-05-06,76.655,76.8873,75.9582,76.3066,972364,EMN
2014-05-07,76.6461,77.2535,75.9761,77.191,798119,EMN
2014-05-08,77.0927,77.9146,75.8332,76.2173,1111268,EMN
2014-05-09,76.119,76.7712,75.4223,76.664,1166648,EMN
2014-05-12,76.9766,77.2178,76.5568,77.1106,1124728,EMN
2014-05-13,77.3071,77.5483,76.3602,76.4674,840028,EMN
2014-05-14,76.7176,77.0659,76.2727,76.4942,785115,EMN
2014-05-15,76.3781,76.5925,74.7076,74.9667,1464715,EMN
2014-05-16,74.8416,75.2257,74.2431,75.1989,1399345,EMN
2014-05-19,75.2793,77.3607,74.922,76.4317,1218603,EMN
2014-05-20,76.396,77.057,75.6366,75.6992,1114110,EMN
2014-05-21,75.9761,76.8694,75.8689,75.9136,1692533,EMN
2014-05-22,75.7796,76.3424,75.6456,76.0029,1020939,EMN
2014-05-23,76.2084,77.2178,75.9046,77.0927,953260,EMN
2014-05-27,77.3429,78.1647,76.5746,76.923,1140989,EMN
2014-05-28,76.923,77.8163,76.8962,77.3161,666674,EMN
2014-05-29,77.4858,78.8615,77.1195,78.6382,902337,EMN
2014-05-30,78.5399,78.8972,78.2005,78.8436,1207841,EMN
2014-06-02,78.8436,79.7191,78.5667,79.6119,1073476,EMN
2014-06-03,79.2278,80.3533,79.2278,80.0317,1841839,EMN
2014-06-04,79.7191,80.8893,79.3886,80.5767,1065606,EMN
2014-06-05,80.5499,80.5677,79.2099,79.9603,1110029,EMN
2014-06-06,80.3087,80.4829,80.0228,80.2908,858605,EMN
2014-06-09,80.2908,80.7553,79.9692,80.1121,709818,EMN
2014-06-10,79.8441,80.3891,79.2858,80.3712,716300,EMN
2014-06-11,79.9317,80.2546,79.7703,79.8331,951771,EMN
2014-06-12,79.8062,80.3353,79.1157,79.2592,758249,EMN
2014-06-13,79.3399,79.7434,78.8556,79.6717,1140919,EMN
2014-06-16,79.3757,79.5729,78.0485,78.8287,1122363,EMN
2014-06-17,78.5417,79.1874,78.2637,78.6045,616843,EMN
2014-06-18,78.461,79.0798,78.0933,78.9901,759821,EMN
2014-06-19,79.1515,79.356,78.3354,78.5148,833661,EMN
2014-06-20,78.5148,79.2367,78.4251,79.008,1123185,EMN
2014-06-23,79.008,79.017,78.2368,78.6314,608141,EMN
2014-06-24,78.5417,79.0116,78.174,78.174,963438,EMN
2014-06-25,78.1651,78.7659,77.6359,78.2189,1014816,EMN
2014-06-26,78.3085,78.3085,77.4745,78.1292,845881,EMN
2014-06-27,77.7256,78.4789,77.2683,78.3893,1564727,EMN
2014-06-30,78.3893,78.5507,77.5283,78.3354,886513,EMN
2014-07-01,78.3893,79.0977,77.896,78.6583,700409,EMN
2014-07-02,78.8197,78.9363,78.3534,78.6135,720476,EMN
2014-07-03,79.1874,79.5282,79.017,79.4116,412938,EMN
2014-07-07,79.3219,79.4116,78.5058,78.7211,644690,EMN
2014-07-08,78.6493,78.8825,78.1942,78.47,725931,EMN
2014-07-09,78.6852,78.7749,77.9319,78.2637,791703,EMN
2014-07-10,77.8153,78.8735,77.0172,77.8063,803516,EMN
2014-07-11,77.905,78.0126,77.2683,77.8691,784772,EMN
2014-07-14,78.2996,78.748,77.5463,77.8243,676525,EMN
2014-07-15,77.2593,78.192,76.9902,77.0261,1232463,EMN
2014-07-16,77.5104,77.5373,77.0979,77.5283,1270341,EMN
2014-07-17,77.1427,77.6986,76.793,77.2324,1245680,EMN
2014-07-18,77.3759,77.7862,77.1517,77.6001,754911,EMN
2014-07-21,77.2952,77.7346,77.0351,77.6718,630660,EMN
2014-07-22,78.0036,78.6135,77.8243,78.4251,1087253,EMN
2014-07-23,78.4162,79.0977,78.4162,78.9273,870429,EMN
2014-07-24,78.9184,79.313,78.7345,78.8915,812454,EMN
2014-07-25,78.5327,79.582,78.5327,79.5551,1111724,EMN
2014-07-28,79.5103,79.8331,78.2906,79.5192,1868608,EMN
