date,open,high,low,close,volume,Name
2014-01-24,30.8983,31.0938,30.2651,30.5165,16421757,FCX
2014-01-27,30.6095,30.6841,29.7715,30.1626,11267372,FCX
2014-01-28,30.4047,30.4885,30.1044,30.3209,10019396,FCX
2014-01-29,30.2744,30.7819,30.0416,30.1161,14644071,FCX
2014-01-30,30.2837,30.307,29.7529,30.1812,10616967,FCX
2014-01-31,29.8739,30.3209,29.7343,30.1812,12451684,FCX
2014-02-03,30.1906,30.2185,28.9008,28.9427,18971106,FCX
2014-02-04,29.1476,29.3152,28.7844,28.8123,12029945,FCX
2014-02-05,29.0265,29.1569,28.4119,28.952,12747280,FCX
2014-02-06,29.2034,29.7063,29.1383,29.3711,10854224,FCX
2014-02-07,29.5853,30.144,29.1522,30.1254,12856620,FCX
2014-02-10,30.1719,30.2464,29.9205,30.0136,9749610,FCX
2014-02-11,30.0788,31.0845,30.0695,30.9076,11437433,FCX
2014-02-12,31.0287,31.3267,30.4373,30.5258,10396762,FCX
2014-02-13,30.2651,31.0007,30.1254,30.8797,7522146,FCX
2014-02-14,31.0007,31.6153,30.8984,31.4291,8808441,FCX
2014-02-18,31.485,31.6153,31.1218,31.4198,7064773,FCX
2014-02-19,31.2708,31.755,30.8052,30.889,11185450,FCX
2014-02-20,30.7586,31.485,30.5724,31.4291,12063752,FCX
2014-02-21,31.5129,31.6526,31.0473,31.0659,9430997,FCX
2014-02-24,31.0473,31.308,30.6748,30.9262,9710600,FCX
2014-02-25,30.8145,30.8517,30.4234,30.5165,14933792,FCX
2014-02-26,30.6003,31.2708,30.5817,31.1125,9284969,FCX
2014-02-27,31.0845,31.2056,30.8704,31.1683,5673353,FCX
2014-02-28,30.8238,30.9169,30.1812,30.3768,12452265,FCX
2014-03-03,30.4606,30.8797,30.2651,30.5724,17342729,FCX
2014-03-04,30.8424,31.3173,30.6562,31.2242,9434163,FCX
2014-03-05,31.2056,31.7923,30.9914,31.5781,8789769,FCX
2014-03-06,31.6247,31.8575,31.3918,31.5036,6629204,FCX
2014-03-07,31.0193,31.159,29.8274,29.9764,24928108,FCX
2014-03-10,29.5108,29.5108,28.7471,29.2221,16093360,FCX
2014-03-11,29.2873,29.4456,28.4398,28.5981,19101550,FCX
2014-03-12,28.6913,29.2686,28.6292,28.654,14130455,FCX
2014-03-13,28.8589,28.9893,28.2908,28.533,11172563,FCX
2014-03-14,28.5981,29.1196,28.5702,28.9241,13581722,FCX
2014-03-17,29.1196,29.5946,29.0079,29.3338,12495739,FCX
2014-03-18,29.2593,29.4921,29.1196,29.4549,8445718,FCX
2014-03-19,29.1755,29.6504,28.7285,28.9334,14784286,FCX
2014-03-20,28.6633,28.9427,28.4631,28.7751,9039111,FCX
2014-03-21,29.3524,30.0881,29.1103,30.0881,23335884,FCX
2014-03-24,30.0322,30.0788,29.3338,29.4456,10665152,FCX
2014-03-25,29.697,30.1999,29.697,29.8739,8909827,FCX
2014-03-26,30.0509,30.1067,29.4595,29.5108,8995438,FCX
2014-03-27,29.6225,30.5165,29.6225,30.1812,9929204,FCX
2014-03-28,30.563,30.8145,30.4047,30.6003,8679147,FCX
2014-03-31,30.74,30.8424,30.5351,30.7959,6815018,FCX
2014-04-01,30.74,31.0007,30.3954,30.6562,6962780,FCX
2014-04-02,30.9728,31.3546,30.861,31.0287,10771074,FCX
2014-04-03,31.3173,31.3453,30.9449,31.1125,8074874,FCX
2014-04-04,31.336,31.4757,30.8983,31.0287,9815762,FCX
2014-04-07,30.9821,31.2502,30.5956,30.8052,10664665,FCX
2014-04-08,30.8983,31.6526,30.861,31.308,13391506,FCX
2014-04-09,31.3173,31.8201,31.1544,31.6433,10188055,FCX
2014-04-10,31.6619,31.6619,30.6282,30.9076,12864577,FCX
2014-04-11,30.7971,31.1638,30.5527,30.6091,7899092,FCX
2014-04-14,30.9005,31.333,30.6937,31.3048,9738070,FCX
2014-04-15,30.8629,31.0933,30.4145,31.0321,9316493,FCX
2014-04-16,31.3142,31.3612,30.8347,31.0321,6410851,FCX
2014-04-17,31.0792,31.2954,31.0133,31.0321,7186923,FCX
