date,open,high,low,close,volume,Name
2014-01-24,28.7,28.715,28.17,28.2,3477824,FISV
2014-01-27,27.79,28.309,27.79,27.95,3332972,FISV
2014-01-28,27.985,28.44,27.905,28.39,2056500,FISV
2014-01-29,28.255,28.47,28.09,28.105,2391950,FISV
2014-01-30,28.29,28.61,28.18,28.39,2086188,FISV
2014-01-31,26.84,28.14,26.84,28.025,4543648,FISV
2014-02-03,28.195,28.24,27.165,27.2,3266082,FISV
2014-02-04,27.27,27.86,27.1801,27.76,2513086,FISV
2014-02-05,27.69,27.9225,27.3105,27.865,2703714,FISV
2014-02-06,27.515,27.995,27.215,27.425,4327882,FISV
2014-02-07,27.64,27.795,27.44,27.615,3609262,FISV
2014-02-10,27.435,27.5,27.02,27.39,7482898,FISV
2014-02-11,27.275,27.805,27.045,27.775,5245488,FISV
2014-02-12,27.845,28.045,27.59,27.93,4557538,FISV
2014-02-13,27.79,28.155,27.6806,28.045,4076082,FISV
2014-02-14,27.94,28.165,27.905,28.06,2379340,FISV
2014-02-18,28.03,28.56,28.015,28.505,2804930,FISV
2014-02-19,28.46,28.665,28.325,28.485,2134264,FISV
2014-02-20,28.52,28.685,28.375,28.59,1815936,FISV
2014-02-21,28.69,28.93,28.5125,28.685,2378466,FISV
2014-02-24,28.475,29.04,28.375,28.78,2584096,FISV
2014-02-25,28.71,28.9,28.615,28.75,1710266,FISV
2014-02-26,28.865,29.01,28.735,28.82,1534188,FISV
2014-02-27,28.83,29.17,28.7437,28.995,1771914,FISV
2014-02-28,29.035,29.165,28.805,29.025,2245108,FISV
2014-03-03,28.845,28.945,28.635,28.815,1637062,FISV
2014-03-04,29.125,29.6425,29.125,29.59,2016400,FISV
2014-03-05,29.49,29.58,29.12,29.14,2346646,FISV
2014-03-06,29.12,29.415,29.0925,29.33,1769198,FISV
2014-03-07,29.49,29.56,29.275,29.39,1796664,FISV
2014-03-10,29.365,29.47,29.225,29.325,1416172,FISV
2014-03-11,29.39,29.465,29.23,29.315,1003780,FISV
2014-03-12,29.12,29.355,29.01,29.31,1173772,FISV
2014-03-13,29.385,29.46,28.605,28.73,2270138,FISV
2014-03-14,28.72,28.99,28.61,28.62,1933104,FISV
2014-03-17,28.75,29.215,28.75,29.085,2180186,FISV
2014-03-18,29.03,29.37,28.945,29.215,1774296,FISV
2014-03-19,29.14,29.36,28.865,29.055,1750268,FISV
2014-03-20,28.94,29.225,28.885,29.22,1233232,FISV
2014-03-21,29.58,29.58,28.75,28.875,4152950,FISV
2014-03-24,29.005,29.06,28.176,28.29,2387990,FISV
2014-03-25,27.88,28.5,27.88,28.16,2105084,FISV
2014-03-26,28.215,28.315,27.84,27.845,1572534,FISV
2014-03-27,27.935,28.085,27.685,27.705,3512766,FISV
2014-03-28,27.86,28.18,27.75,27.945,2224022,FISV
2014-03-31,28.04,28.69,28.04,28.345,3975128,FISV
2014-04-01,28.525,28.665,28.31,28.645,1931316,FISV
2014-04-02,28.665,28.8975,28.577,28.84,2854598,FISV
2014-04-03,28.91,28.985,28.8551,28.88,2884002,FISV
2014-04-04,29.035,29.148,28.61,28.65,4010372,FISV
2014-04-07,28.495,28.665,28.025,28.215,5197284,FISV
2014-04-08,28.245,28.515,28.175,28.38,2345112,FISV
2014-04-09,28.375,28.56,28.225,28.52,1918438,FISV
2014-04-10,28.47,28.59,27.898,27.9,2151254,FISV
2014-04-11,27.655,27.955,27.46,27.525,2497538,FISV
2014-04-14,27.695,27.8925,27.455,27.765,1904690,FISV
2014-04-15,27.85,28.165,27.665,28.105,1828400,FISV
2014-04-16,28.37,28.62,28.22,28.56,2064610,FISV
