date,open,high,low,close,volume,Name
2014-01-24,49.0032,49.1334,47.1435,47.2736,2761736,FIS
2014-01-27,47.4224,47.4261,46.818,46.8459,2005611,FIS
2014-01-28,46.8366,47.441,46.6785,47.3852,863626,FIS
2014-01-29,46.9482,47.9989,46.9389,47.4317,2440566,FIS
2014-01-30,47.971,48.3709,47.8223,48.0919,1012262,FIS
2014-01-31,47.4596,47.5061,46.9389,47.1435,2404999,FIS
2014-02-03,47.1714,47.2829,45.4325,45.4418,1988361,FIS
2014-02-04,45.8324,47.7293,44.7909,47.3759,2950622,FIS
2014-02-05,47.3759,48.1663,46.9854,47.7758,3040518,FIS
2014-02-06,47.8781,48.7986,47.7479,48.7986,2249965,FIS
2014-02-07,49.1334,49.9702,49.0125,49.9423,3217299,FIS
2014-02-10,49.8214,49.9126,48.9102,49.31,1619905,FIS
2014-02-11,49.4309,49.6494,48.9381,49.3937,1699722,FIS
2014-02-12,49.5146,49.84,49.4309,49.7935,1748312,FIS
2014-02-13,49.5797,50.2771,49.5797,50.2771,979488,FIS
2014-02-14,50.0818,50.3794,49.8214,50.0818,916393,FIS
2014-02-18,50.119,50.5514,49.9237,50.5002,925695,FIS
2014-02-19,50.305,50.9187,50.1097,50.1376,778247,FIS
2014-02-20,50.2306,50.8071,50.1283,50.463,835092,FIS
2014-02-21,50.6862,50.8722,50.5235,50.5281,807175,FIS
2014-02-24,50.5188,51.4347,50.5188,51.0488,1004185,FIS
2014-02-25,50.9931,51.2999,50.7885,51.0953,859013,FIS
2014-02-26,51.2162,51.537,51.0117,51.2906,952653,FIS
2014-02-27,51.1046,52.1089,51.1046,52.0903,1341775,FIS
2014-02-28,52.0252,52.2576,51.4301,51.709,1319669,FIS
2014-03-03,51.1418,51.6067,50.742,51.3557,840743,FIS
2014-03-04,52.0531,52.704,51.9508,52.5831,1201544,FIS
2014-03-05,52.6575,52.6575,51.5882,51.6347,1461927,FIS
2014-03-06,51.6997,52.0531,51.5277,51.7462,1324137,FIS
2014-03-07,51.988,52.0531,51.4673,51.5789,992497,FIS
2014-03-10,51.5324,51.551,51.1418,51.2813,779214,FIS
2014-03-11,51.3557,51.6161,51.0023,51.1046,1190955,FIS
2014-03-12,50.9187,50.9838,50.6397,50.9094,1170381,FIS
2014-03-13,51.1802,51.2643,49.8073,49.8073,1600910,FIS
2014-03-14,49.742,49.9381,49.2189,49.2656,1787479,FIS
2014-03-17,49.5738,50.0408,49.5738,49.9194,1456531,FIS
2014-03-18,49.9194,50.6479,49.9007,50.6012,930492,FIS
2014-03-19,50.7133,50.9001,49.9941,50.321,902043,FIS
2014-03-20,50.293,50.8253,50.1996,50.7039,986441,FIS
2014-03-21,51.1989,51.4324,50.3444,50.5918,2529272,FIS
2014-03-24,50.7226,50.9187,49.5458,49.6392,911354,FIS
2014-03-25,49.9754,50.0418,49.3217,49.5645,1025190,FIS
2014-03-26,49.77,49.9101,49.0018,49.0415,1057676,FIS
2014-03-27,48.836,49.1442,48.5652,48.8734,1463932,FIS
2014-03-28,48.9855,49.6672,48.7893,49.3964,1124632,FIS
2014-03-31,49.6766,50.293,49.6672,49.9194,1947538,FIS
2014-04-01,50.0315,50.3957,49.8354,50.3584,1041638,FIS
2014-04-02,50.349,50.7506,50.1903,50.5825,1206611,FIS
2014-04-03,50.6479,50.76,50.4518,50.5825,1064526,FIS
2014-04-04,50.9654,50.9841,49.5552,49.6579,1265965,FIS
2014-04-07,49.5178,49.742,48.78,49.4151,3280749,FIS
2014-04-08,49.3964,49.4431,48.9005,49.2003,1267711,FIS
2014-04-09,49.4244,49.5458,48.9107,49.5085,1094219,FIS
2014-04-10,49.5832,49.6486,48.3877,48.3877,877633,FIS
2014-04-11,48.0327,48.4905,47.6219,47.8927,1474243,FIS
2014-04-14,48.2383,48.3784,47.79,48.2663,1220276,FIS
2014-04-15,48.4998,48.9855,48.1823,48.7053,1968741,FIS
2014-04-16,49.1162,49.382,48.9061,49.0322,1299218,FIS
2014-04-17,48.7613,49.4711,48.6399,49.2003,1408793,FIS
2014-04-21,49.4057,49.4805,48.724,49.0415,702062,FIS
2014-04-22,49.0041,49.2189,48.8173,49.0415,1011086,FIS
