date,open,high,low,close,volume,Name
2014-01-24,31.6346,31.6346,30.4035,30.4688,1125436,FLIR
2014-01-27,30.6087,30.8232,30.1797,30.3009,928522,FLIR
2014-01-28,30.3476,30.5434,30.2543,30.4875,524244,FLIR
2014-01-29,30.1704,30.4315,29.6295,30.0118,1020998,FLIR
2014-01-30,30.245,30.6367,30.1424,30.5621,626485,FLIR
2014-01-31,30.0771,30.2543,29.5455,29.5828,1557388,FLIR
2014-02-03,29.6108,29.8346,28.6689,28.6782,1390691,FLIR
2014-02-04,28.7901,29.1538,28.473,29.0792,921851,FLIR
2014-02-05,28.8834,29.0885,28.5103,28.874,710111,FLIR
2014-02-06,28.874,30.0445,28.5635,30.0212,1713252,FLIR
2014-02-07,29.0885,29.4453,27.6364,28.6409,2975144,FLIR
2014-02-10,28.8927,28.9859,28.3145,28.4264,1171220,FLIR
2014-02-11,28.417,29.3497,28.3238,29.0326,1512733,FLIR
2014-02-12,29.0139,29.2657,28.8834,29.0139,1012691,FLIR
2014-02-13,28.7155,29.1492,28.7062,28.8647,1207285,FLIR
2014-02-14,28.8928,29.0331,28.5653,28.9021,1376679,FLIR
2014-02-18,28.715,29.4448,28.715,29.398,1598840,FLIR
2014-02-19,29.3887,29.5852,29.0051,29.1735,1015911,FLIR
2014-02-20,29.1922,30.3477,29.1922,30.081,1308826,FLIR
2014-02-21,30.1746,30.7921,29.9688,30.6799,1210947,FLIR
2014-02-24,30.7454,30.9933,30.5433,30.8763,1183540,FLIR
2014-02-25,30.8763,30.9138,30.5676,30.7079,1186790,FLIR
2014-02-26,30.7734,31.391,30.6611,31.1664,1299288,FLIR
2014-02-27,31.1383,31.157,30.853,31.0541,926988,FLIR
2014-02-28,31.0728,32.074,30.9512,31.943,1531946,FLIR
2014-03-03,31.7091,32.0833,31.4097,32.0178,1981889,FLIR
2014-03-04,32.4389,32.9254,32.2611,32.4669,2335317,FLIR
2014-03-05,32.5137,33.0658,32.2839,32.7476,2129825,FLIR
2014-03-06,32.757,33.1617,32.7009,32.9535,1379279,FLIR
2014-03-07,33.019,33.0377,32.6915,32.9161,933403,FLIR
2014-03-10,32.8599,32.9554,32.6821,32.8786,1245348,FLIR
2014-03-11,32.888,32.9254,32.4482,32.6541,2352001,FLIR
2014-03-12,32.4763,32.6915,32.2143,32.626,935936,FLIR
2014-03-13,32.7476,32.8225,31.9711,32.0693,1600651,FLIR
2014-03-14,32.0833,32.3313,31.9056,31.9336,1211526,FLIR
2014-03-17,32.0927,32.4108,31.9523,32.1301,859318,FLIR
2014-03-18,32.1675,32.6821,31.9991,32.3827,959003,FLIR
2014-03-19,32.3921,32.7289,32.0272,32.1769,702139,FLIR
2014-03-20,32.0833,32.4295,31.8868,32.4202,585367,FLIR
2014-03-21,32.8038,33.3605,32.3827,32.9161,1921343,FLIR
2014-03-24,33.0003,33.1125,32.7664,32.9254,1371692,FLIR
2014-03-25,33.047,33.1874,32.7383,32.9348,1078324,FLIR
2014-03-26,33.0751,33.178,32.6354,32.757,813340,FLIR
2014-03-27,32.6541,32.7851,32.2985,32.5324,1464086,FLIR
2014-03-28,32.6541,33.0658,32.5324,32.9816,619666,FLIR
2014-03-31,33.1219,33.7207,32.9067,33.6833,1354723,FLIR
2014-04-01,33.7394,34.4224,33.6833,34.3663,1008771,FLIR
2014-04-02,34.4599,34.5722,34.095,34.4318,1575947,FLIR
2014-04-03,34.4505,34.7031,34.2634,34.6189,1629864,FLIR
2014-04-04,34.7499,34.9464,34.0763,34.2073,2101502,FLIR
2014-04-07,34.1792,34.3195,33.047,33.178,1216212,FLIR
2014-04-08,33.1032,33.2903,32.4482,32.6541,2330581,FLIR
2014-04-09,32.7476,33.2903,32.7102,33.2248,989554,FLIR
2014-04-10,33.281,33.4119,32.102,32.2517,990803,FLIR
2014-04-11,32.0459,32.2611,31.7839,32.0459,1127050,FLIR
2014-04-14,32.3266,32.5137,31.9991,32.3266,724798,FLIR
2014-04-15,32.4669,33.0658,32.1676,32.8412,1056998,FLIR
2014-04-16,33.0938,33.1589,32.7476,33.0564,683011,FLIR
2014-04-17,33.019,33.571,32.9254,33.4026,1234271,FLIR
2014-04-21,33.571,34.1137,33.4868,34.0295,1092215,FLIR
2014-04-22,34.0014,34.8528,33.7581,34.8341,1673772,FLIR
2014-04-23,34.8341,34.8341,34.3289,34.4786,1651674,FLIR
2014-04-24,34.7031,35.0119,34.3757,34.7967,1913848,FLIR
2014-04-25,34.1792,34.6283,32.7476,32.7944,2402002,FLIR
2014-04-28,32.5137,32.8599,31.4845,31.7559,2721455,FLIR
2014-04-29,31.9336,31.9336,31.4284,31.681,977142,FLIR
2014-04-30,31.5313,32.0085,31.5313,31.8494,1037927,FLIR
2014-05-01,31.9056,32.4669,31.8401,32.336,959833,FLIR
2014-05-02,32.2892,32.888,32.1863,32.7757,957497,FLIR
2014-05-05,32.6354,33.0283,32.495,32.5512,1060694,FLIR
2014-05-06,32.4295,32.5137,32.0365,32.1769,613024,FLIR
2014-05-07,32.205,32.626,31.4097,31.5687,1507071,FLIR
2014-05-08,31.5407,32.1208,31.4284,31.7091,945830,FLIR
2014-05-09,31.6997,31.9898,31.4097,31.9523,835629,FLIR
2014-05-12,32.1114,32.4389,31.812,32.2892,706792,FLIR
2014-05-13,32.2892,32.3172,31.8307,31.943,441291,FLIR
2014-05-14,31.9056,31.9336,31.4564,31.4845,460169,FLIR
2014-05-15,31.6436,31.6623,30.9606,31.3067,781267,FLIR
2014-05-16,31.3255,31.4381,31.0628,31.3631,600047,FLIR
2014-05-19,31.3349,31.9355,31.2411,31.654,669455,FLIR
2014-05-20,31.6446,31.8135,31.3443,31.4288,424956,FLIR
2014-05-21,31.4944,31.9074,31.4194,31.7197,478470,FLIR
2014-05-22,31.7103,32.0575,31.4475,32.0294,736722,FLIR
2014-05-23,32.0575,32.3203,31.8041,32.264,616482,FLIR
2014-05-27,32.3297,32.7801,32.1514,32.6206,639417,FLIR
2014-05-28,32.5643,32.8364,32.2499,32.7989,757386,FLIR
2014-05-29,32.7895,32.9772,32.5455,32.7895,633279,FLIR
2014-05-30,32.752,32.8364,32.2452,32.7614,1057896,FLIR
2014-06-02,32.7989,32.8364,32.3015,32.6769,919538,FLIR
2014-06-03,32.5924,32.996,32.4798,32.6769,393370,FLIR
2014-06-04,32.6394,32.949,32.4611,32.752,340071,FLIR
2014-06-05,32.8458,33.1555,32.6675,33.1461,557428,FLIR
2014-06-06,33.2024,33.6904,33.1743,33.559,508348,FLIR
