date,open,high,low,close,volume,Name
2014-01-24,74.2758,74.3774,71.5871,71.5871,1935521,FLR
2014-01-27,71.504,72.2616,69.8224,70.8849,1571124,FLR
2014-01-28,71.0974,71.8551,70.9681,71.5687,1356669,FLR
2014-01-29,70.6909,71.7257,69.8132,70.3306,1948678,FLR
2014-01-30,70.9773,71.1436,70.3213,70.5431,1431100,FLR
2014-01-31,69.5267,70.7371,69.2311,70.1827,1205719,FLR
2014-02-03,70.0996,70.4507,67.9259,68.1778,1652313,FLR
2014-02-04,68.5751,69.73,67.7435,69.4898,1405561,FLR
2014-02-05,69.0832,69.5083,68.4734,69.1664,1160287,FLR
2014-02-06,69.2403,70.7371,69.1849,70.2474,876317,FLR
2014-02-07,72.0953,72.0953,70.811,71.3377,1632308,FLR
2014-02-10,71.1898,71.929,70.848,71.5132,1328281,FLR
2014-02-11,71.7165,72.1138,71.4947,71.7442,1628851,FLR
2014-02-12,72.0583,74.2943,71.9659,73.8231,2063147,FLR
2014-02-13,73.0285,73.6937,72.4372,72.8714,1527277,FLR
2014-02-14,72.8991,73.7584,72.7873,73.6106,1633668,FLR
2014-02-18,74.1649,74.3035,73.0192,74.0356,1927569,FLR
2014-02-19,74.3312,76.7797,73.9922,74.1465,3475792,FLR
2014-02-20,74.3682,74.7563,73.6846,73.9247,2450218,FLR
2014-02-21,74.3774,74.4052,73.0932,73.1671,1414003,FLR
2014-02-24,73.1578,73.9062,72.6681,72.9269,1200127,FLR
2014-02-25,72.9546,73.2964,71.5687,71.8458,1994878,FLR
2014-02-26,72.2339,73.0008,71.7072,72.3725,1848589,FLR
2014-02-27,72.4187,72.8899,71.8643,72.2154,1410954,FLR
2014-02-28,72.3544,72.3544,71.604,71.9746,1954007,FLR
2014-03-03,71.0574,71.6225,70.7517,71.2612,1310277,FLR
2014-03-04,71.9838,72.9103,71.8912,72.6323,1680544,FLR
2014-03-05,72.762,72.9751,72.1598,72.3915,1034899,FLR
2014-03-06,72.7342,74.3555,72.7064,74.2258,1426595,FLR
