date,open,high,low,close,volume,Name
2014-01-24,69.277,69.3966,66.8117,67.1428,2536296,FLS
2014-01-27,67.152,67.4648,66.085,66.3977,1153101,FLS
2014-01-28,66.6553,68.3019,66.6553,68.0903,962270,FLS
2014-01-29,66.7197,67.4832,65.5882,66.5817,2142218,FLS
2014-01-30,67.0325,67.0509,66.3517,66.7289,1305885,FLS
2014-01-31,65.7446,67.0785,65.5698,66.5357,759377,FLS
2014-02-03,66.2966,66.7749,63.7944,64.1256,2202103,FLS
2014-02-04,64.2084,65.6066,63.9876,65.3583,1209038,FLS
2014-02-05,65.0179,65.6986,64.0152,65.1927,1475143,FLS
2014-02-06,65.2479,66.5633,65.0455,66.2322,661849,FLS
2014-02-07,66.6737,67.7224,66.4805,67.6672,1021211,FLS
2014-02-10,67.5292,67.5292,66.4529,67.0141,1032015,FLS
2014-02-11,67.0785,68.3571,66.9313,68.0627,1572657,FLS
2014-02-12,68.0627,69.3874,68.0627,69.3782,1521698,FLS
2014-02-13,68.6975,70.8132,68.5871,70.3625,1146322,FLS
2014-02-14,70.6016,70.804,69.8013,70.3165,1453623,FLS
2014-02-18,70.5097,70.7108,69.5162,70.1693,1329608,FLS
2014-02-19,70.528,75.4495,70.528,74.1432,3280200,FLS
2014-02-20,73.904,75.0631,73.6281,75.0171,1714412,FLS
2014-02-21,74.9067,75.3023,74.4284,74.4928,1185337,FLS
2014-02-24,74.5112,75.6555,74.4514,74.9711,1484870,FLS
2014-02-25,74.9619,75.4587,74.3824,74.594,1762055,FLS
2014-02-26,74.6032,75.3667,73.9408,74.1156,2049257,FLS
2014-02-27,74.134,74.8295,73.904,74.1432,1536776,FLS
2014-02-28,74.2628,75.1643,73.9316,74.7044,2058735,FLS
2014-03-03,73.9408,74.0788,72.4322,73.0393,1218473,FLS
2014-03-04,74.0696,74.8285,73.5361,74.7503,1197473,FLS
2014-03-05,74.7595,74.9895,73.8673,74.2628,1007879,FLS
2014-03-06,74.2352,74.5848,73.9316,74.0696,1213396,FLS
2014-03-07,74.6492,74.8147,74.18,74.3364,677586,FLS
2014-03-10,74.0236,74.2904,73.0761,73.1865,737609,FLS
2014-03-11,73.2785,73.5913,72.4598,72.6162,636153,FLS
2014-03-12,72.2298,72.3862,71.3284,71.9171,976392,FLS
2014-03-13,72.1287,72.4598,69.3506,69.6726,1394385,FLS
2014-03-14,69.5714,70.4545,69.4978,69.9209,1113625,FLS
2014-03-17,70.5648,71.0432,70.3257,70.3901,1276626,FLS
2014-03-18,70.4821,71.3835,70.3993,70.988,808970,FLS
