date,open,high,low,close,volume,Name
2014-01-24,69.2766,69.3992,67.5598,67.5598,825305,FMC
2014-01-27,67.4183,68.2861,66.7485,67.6258,889110,FMC
2014-01-28,67.6635,68.0691,67.456,67.6069,439361,FMC
2014-01-29,67.173,68.305,67.1353,67.5975,640225,FMC
2014-01-30,68.0408,68.0974,67.3617,67.7862,566154,FMC
2014-01-31,66.9183,67.522,66.5599,66.6259,992337,FMC
2014-02-03,66.5787,67.0032,64.6355,64.9657,1341625,FMC
2014-02-04,65.3524,66.324,64.8336,65.5788,1054095,FMC
2014-02-05,65.2298,65.8618,63.9563,65.5505,1577658,FMC
2014-02-06,65.3524,68.4276,63.4941,67.5032,3118495,FMC
2014-02-07,67.6635,68.1069,66.4089,67.4654,1537631,FMC
2014-02-10,67.1919,67.5503,66.6353,67.4466,810680,FMC
2014-02-11,67.6447,68.5125,67.522,68.1069,980310,FMC
2014-02-12,68.2672,68.6729,67.673,67.7484,777768,FMC
2014-02-13,67.4183,68.2389,67.0409,68.0691,520720,FMC
2014-02-14,68.0314,69.1351,67.8239,68.7955,767003,FMC
2014-02-18,68.6257,69.0125,68.4559,68.654,843054,FMC
2014-02-19,68.654,69.3332,68.2861,68.5408,873235,FMC
2014-02-20,68.6351,69.1257,68.2201,68.937,504371,FMC
2014-02-21,69.1445,69.2388,68.5031,68.5785,458856,FMC
2014-02-24,68.4559,68.9653,68.1352,68.2201,824138,FMC
2014-02-25,68.2672,68.8615,67.9748,68.5502,748632,FMC
2014-02-26,68.7389,71.0028,68.6446,70.9462,1412299,FMC
2014-02-27,70.9557,72.5027,70.9463,71.9273,1835695,FMC
2014-02-28,72.2197,73.8894,72.1159,72.8046,1718969,FMC
2014-03-03,72.031,72.6348,71.5075,72.5027,754172,FMC
2014-03-04,73.229,73.7479,72.7763,73.6535,849060,FMC
2014-03-05,73.5309,73.7007,72.9932,73.3517,1082677,FMC
2014-03-06,73.38,73.9743,73.3422,73.6535,902819,FMC
2014-03-07,73.8799,74.1158,73.3988,73.4554,968673,FMC
2014-03-10,79.1813,79.1813,76.823,78.3889,3500960,FMC
2014-03-11,77.5117,77.8701,76.191,76.5401,1776771,FMC
2014-03-12,76.0967,76.2476,75.4647,75.7005,1709600,FMC
2014-03-13,76.1061,76.6721,75.0968,75.5967,1169721,FMC
2014-03-14,75.6062,76.0024,74.5025,74.5119,753894,FMC
2014-03-17,74.71,75.7382,74.4327,75.2572,1397085,FMC
2014-03-18,75.0685,75.7948,73.729,74.6251,1957866,FMC
2014-03-19,74.6817,74.8779,73.1253,73.512,1148801,FMC
2014-03-20,73.446,74.6912,73.2988,74.6534,1225764,FMC
