date,open,high,low,close,volume,Name
2014-01-24,21.7768,21.7938,21.2487,21.2487,95835536,GE
2014-01-27,21.5127,21.5383,21.2061,21.3509,60605337,GE
2014-01-28,21.5724,21.8193,21.5468,21.6831,50485045,GE
2014-01-29,21.5809,21.7342,21.4276,21.5383,39649968,GE
2014-01-30,21.7171,21.7938,21.5724,21.7171,30138917,GE
2014-01-31,21.4702,21.6149,21.3552,21.402,40348900,GE
2014-02-03,21.402,21.4702,20.7122,20.7377,75524630,GE
2014-02-04,20.891,21.104,20.7803,20.9251,45872266,GE
2014-02-05,20.8314,20.9847,20.7122,20.8825,40282070,GE
2014-02-06,21.121,21.3765,20.9677,21.2487,44732148,GE
2014-02-07,21.4616,21.5298,21.2913,21.4531,34938473,GE
2014-02-10,21.6235,21.6235,21.2317,21.3339,33039861,GE
2014-02-11,21.4702,21.7342,21.4276,21.6575,32660957,GE
2014-02-12,21.7768,21.8279,21.5894,21.6235,25231309,GE
2014-02-13,21.4872,21.666,21.385,21.666,32397948,GE
2014-02-14,21.649,22.0152,21.6149,21.9215,25088460,GE
2014-02-18,22.1515,22.177,21.8449,21.8449,29255694,GE
2014-02-19,21.8704,21.9471,21.6022,21.632,33918343,GE
2014-02-20,21.7436,21.7522,21.4945,21.5804,32303682,GE
2014-02-21,21.5804,21.6406,21.4258,21.4258,37175680,GE
2014-02-24,21.4945,21.8639,21.443,21.7265,38053572,GE
2014-02-25,21.8038,21.8897,21.6234,21.7093,33101400,GE
2014-02-26,21.7608,21.7866,21.5632,21.7351,29785491,GE
2014-02-27,21.6577,21.9584,21.6062,21.9069,22835227,GE
2014-02-28,21.9412,22.0701,21.7436,21.8811,29454880,GE
2014-03-03,21.6577,21.6577,21.4086,21.5804,34211568,GE
2014-03-04,21.9241,22.1045,21.8754,22.0357,36679375,GE
2014-03-05,22.1474,22.3021,22.0357,22.2763,30166194,GE
2014-03-06,22.388,22.577,22.3536,22.5254,34919127,GE
2014-03-07,22.6199,22.6371,22.3106,22.4481,27291285,GE
2014-03-10,22.4395,22.4481,22.1947,22.3708,22291880,GE
2014-03-11,22.388,22.4211,22.1302,22.2505,24865819,GE
