date,open,high,low,close,volume,Name
2014-01-24,31.026,31.0586,29.9095,30.0154,39671978,GM
2014-01-27,29.991,30.3822,29.3879,29.9584,33922905,GM
2014-01-28,30.2844,30.317,29.9258,29.9991,15932874,GM
2014-01-29,29.3879,30.118,29.3472,29.6242,17526021,GM
2014-01-30,30.0562,30.211,29.7302,30.0236,15484212,GM
2014-01-31,29.5183,30.0236,29.2412,29.4042,27212019,GM
2014-02-03,29.5591,29.5917,28.4507,28.7278,38983893,GM
2014-02-04,28.9071,29.3186,28.7278,29.1923,20950002,GM
2014-02-05,29.2086,29.2086,28.4914,28.7196,29456137,GM
2014-02-06,28.0595,29.1923,28.0025,28.7115,53696324,GM
2014-02-07,29.3146,29.718,28.8663,29.4287,31334321,GM
2014-02-10,29.2657,29.2738,28.2143,28.4425,43300443,GM
2014-02-11,28.7033,29.123,28.6789,28.7278,23789033,GM
2014-02-12,28.9234,29.0538,28.63,28.9804,23314571,GM
2014-02-13,28.6626,28.7033,28.3284,28.687,30512706,GM
2014-02-14,28.8256,29.4042,28.7278,29.2983,22850052,GM
2014-02-18,29.6894,29.7383,29.339,29.5917,24557168,GM
2014-02-19,29.5183,29.9217,29.339,29.3635,23070864,GM
2014-02-20,29.4939,29.828,29.339,29.7546,18651132,GM
2014-02-21,29.8932,29.9502,29.4531,29.9013,51726927,GM
2014-02-24,29.9095,30.0032,29.6976,29.7872,22112794,GM
2014-02-25,29.885,29.991,29.3349,29.4205,22524431,GM
2014-02-26,29.2983,30.2599,29.2901,30.0154,26664315,GM
2014-02-27,29.7954,30.0317,29.3146,29.9665,28752156,GM
2014-02-28,29.9339,29.9584,29.2494,29.502,44350702,GM
2014-03-03,29.0945,29.8198,29.0945,29.5102,24013349,GM
2014-03-04,29.7709,30.1458,29.6894,30.0969,17934335,GM
2014-03-05,30.5941,31.0097,30.4262,30.5778,28500737,GM
2014-03-06,30.863,31.0097,30.5941,30.5941,19116622,GM
2014-03-07,30.9201,30.9771,30.5207,30.7163,17560314,GM
2014-03-10,30.6104,30.6104,29.9584,30.2273,17557528,GM
2014-03-11,30.154,30.2518,28.5403,28.6707,41090952,GM
2014-03-12,28.3284,28.7278,28.0106,28.4099,46333475,GM
2014-03-13,28.5566,28.6544,27.6031,27.7824,39628553,GM
2014-03-14,27.8317,28.4155,27.604,28.0291,31908641,GM
2014-03-17,28.0702,28.5224,27.7166,28.4731,29702056,GM
2014-03-18,28.5142,28.9746,28.3662,28.9171,21329665,GM
2014-03-19,29.0075,29.0449,28.4484,28.7033,14690931,GM
2014-03-20,28.6046,28.9993,28.284,28.991,14456078,GM
2014-03-21,29.0979,29.1884,28.5923,28.7855,24016569,GM
2014-03-24,28.5224,28.9171,28.1853,28.8924,21461500,GM
2014-03-25,28.8842,28.9253,28.1113,28.3744,24817566,GM
2014-03-26,28.5142,28.5635,28.1195,28.136,16999795,GM
2014-03-27,28.1853,28.7691,28.0455,28.3744,16382930,GM
2014-03-28,28.4813,28.7937,28.4155,28.5553,19175444,GM
2014-03-31,28.3908,28.6046,27.914,28.3004,24292580,GM
2014-04-01,28.3662,28.8924,28.2182,28.2346,46569829,GM
2014-04-02,28.4895,28.8184,28.2675,28.6786,41862468,GM
2014-04-03,28.7279,29.1884,28.5553,29.1391,20578652,GM
2014-04-04,29.2542,29.3528,28.4895,28.6211,20368865,GM
2014-04-07,28.5059,28.5553,27.8071,28.0455,24348132,GM
2014-04-08,28.0784,28.4484,27.8317,28.3908,20615564,GM
2014-04-09,27.8728,28.1524,27.6262,27.6426,33165365,GM
2014-04-10,27.7166,28.0044,27.3795,27.3795,34304923,GM
2014-04-11,27.1329,27.2069,26.064,26.2531,45765198,GM
2014-04-14,26.5491,27.0342,26.434,26.7629,18759667,GM
2014-04-15,26.9766,27.4946,26.5491,27.4289,23450944,GM
2014-04-16,27.7002,27.9468,27.396,27.9304,18140840,GM
2014-04-17,27.8153,28.0291,27.7906,27.9386,12351182,GM
2014-04-21,27.914,28.1277,27.7495,27.9386,9909362,GM
2014-04-22,27.9797,28.3168,27.9551,28.1442,12291646,GM
2014-04-23,28.1935,28.4566,28.0389,28.2757,16065667,GM
2014-04-24,29.1884,29.3528,27.5604,28.0948,33352352,GM
2014-04-25,27.5851,28.0208,27.5851,27.7249,16032786,GM
2014-04-28,27.8975,27.9057,27.5563,27.7577,20175895,GM
2014-04-29,27.7084,28.0373,27.6459,27.9468,12088525,GM
2014-04-30,27.8235,28.3991,27.8235,28.3497,14037765,GM
2014-05-01,28.5059,29.1062,28.3991,28.6951,19572572,GM
2014-05-02,28.8019,29.0486,28.6622,28.7526,11397359,GM
2014-05-05,28.6457,28.6868,28.4731,28.5717,8449087,GM
2014-05-06,28.8348,28.8924,28.5717,28.5717,10114725,GM
2014-05-07,28.7444,28.8677,28.4566,28.8348,9271172,GM
2014-05-08,28.7608,29.1308,28.5553,28.6539,10252162,GM
2014-05-09,28.6128,28.6951,28.0784,28.1442,16803486,GM
2014-05-12,28.2675,28.7279,28.2675,28.6293,9499126,GM
2014-05-13,28.6457,28.9335,28.449,28.9006,9048317,GM
2014-05-14,28.8595,28.8677,28.6128,28.7279,10505305,GM
2014-05-15,28.4566,28.5717,27.8153,28.2511,18088577,GM
2014-05-16,27.7495,28.4895,27.5357,27.9551,21487112,GM
2014-05-19,28.2836,28.3173,27.5157,27.5748,16027471,GM
2014-05-20,28.0866,28.2017,27.1,27.1904,24894237,GM
2014-05-21,27.2562,27.6426,27.2151,27.5111,12392960,GM
2014-05-22,27.4535,27.7084,27.3877,27.4782,8428152,GM
2014-05-23,27.5357,27.6961,27.47,27.6509,8268324,GM
2014-05-27,27.8893,27.9386,27.766,27.9057,8995120,GM
2014-05-28,28.0291,28.4648,27.9222,28.4402,12575767,GM
2014-05-29,28.4484,28.4895,28.1606,28.3251,10881537,GM
2014-05-30,28.2017,28.4813,28.1195,28.4319,14171639,GM
2014-06-02,28.3991,28.6951,28.1935,28.6622,11556876,GM
2014-06-03,28.8759,29.3446,28.5717,28.991,17795876,GM
2014-06-04,29.1884,30.323,29.0651,30.027,33252199,GM
2014-06-05,30.3888,30.4546,29.731,29.8215,25094529,GM
2014-06-06,29.9044,30.4681,29.6391,30.3023,17642794,GM
2014-06-09,30.236,30.5345,30.1282,30.2609,10279710,GM
2014-06-10,30.0785,30.4267,29.9956,30.178,8460743,GM
2014-06-11,30.037,30.0868,29.78,29.9458,8868088,GM
2014-06-12,29.8463,30.0768,29.4235,29.4484,16818453,GM
2014-06-13,29.3323,29.6639,29.3323,29.5396,12047101,GM
2014-06-16,29.4235,29.9956,29.4235,29.8961,12603728,GM
2014-06-17,29.7386,30.1614,29.5313,30.1448,13211606,GM
2014-06-18,30.1448,30.236,29.7883,30.0951,16352008,GM
2014-06-19,30.1365,30.3769,30.0122,30.1531,11277822,GM
2014-06-20,30.3023,30.3272,29.9292,30.0287,14018678,GM
2014-06-23,30.0204,30.5096,30.0039,30.4018,11590338,GM
2014-06-24,30.3604,30.7334,30.236,30.3272,15032861,GM
2014-06-25,30.2277,30.8246,30.2194,30.75,12201264,GM
2014-06-26,30.5842,30.6505,30.1863,30.5925,11471585,GM
2014-06-27,30.4516,30.7003,30.3604,30.3604,25428859,GM
2014-06-30,30.3355,30.5925,29.8298,30.0951,20880231,GM
2014-07-01,30.0536,31.206,30.0536,31.1646,23414138,GM
2014-07-02,31.0899,31.6288,30.9822,31.2889,17672217,GM
2014-07-03,31.4713,31.5956,31.2723,31.2889,6743734,GM
2014-07-07,31.4299,31.4299,30.8164,31.0402,11129925,GM
2014-07-08,31.0153,31.3138,30.8412,31.1563,11786950,GM
2014-07-09,31.2226,31.6123,31.1977,31.4796,11676257,GM
2014-07-10,31.0734,31.4216,30.9656,31.2972,9898910,GM
2014-07-11,31.2723,31.5128,31.1646,31.463,6203437,GM
2014-07-14,31.5874,31.6123,31.1397,31.2558,9315528,GM
2014-07-15,31.1811,31.463,31.0361,31.1563,8619649,GM
2014-07-16,31.3138,31.4299,31.0568,31.0734,10954203,GM
2014-07-17,30.9324,31.2309,30.6837,30.7583,11014655,GM
2014-07-18,30.9573,31.0236,30.7252,31.0153,8741972,GM
2014-07-21,30.9905,31.1148,30.7169,31.0319,6633186,GM
2014-07-22,31.1397,31.4216,31.1148,31.3055,9655788,GM
2014-07-23,31.3304,31.4382,31.0153,31.0153,13865052,GM
2014-07-24,30.4018,30.551,29.2784,29.6308,35694105,GM
2014-07-25,29.1002,29.2577,28.6483,29.0753,28537314,GM
2014-07-28,29.0422,29.0919,28.8349,28.9344,15053589,GM
2014-07-29,29.0256,29.1831,28.5447,28.5613,16560140,GM
2014-07-30,28.6027,28.7354,28.1965,28.4452,18941748,GM
2014-07-31,28.3126,28.3872,28.0058,28.039,13410713,GM
2014-08-01,28.0141,28.1882,27.6079,27.7239,15343820,GM
2014-08-04,27.9892,28.2056,27.7737,27.8649,11486331,GM
2014-08-05,27.8317,28.0265,27.4835,27.6576,11012536,GM
2014-08-06,27.5498,27.9146,27.5498,27.6908,8715359,GM
2014-08-07,27.8234,27.8815,27.1933,27.4503,13526688,GM
2014-08-08,27.4338,27.8234,27.4338,27.7986,9935602,GM
2014-08-11,27.8898,28.0639,27.6991,28.0224,10873706,GM
2014-08-12,27.9809,28.3043,27.816,27.9395,10304995,GM
2014-08-13,28.1302,28.2463,28.0058,28.1468,7121846,GM
2014-08-14,28.0307,28.1509,27.5374,28.1468,9956803,GM
2014-08-15,28.2297,28.3209,27.782,28.0556,14153502,GM
2014-08-18,28.2628,28.553,28.2214,28.5198,10327204,GM
2014-08-19,28.7603,28.81,28.4618,28.6608,10422924,GM
2014-08-20,28.5945,28.7851,28.4369,28.6276,9112524,GM
2014-08-21,28.7022,28.7934,28.5696,28.6857,6591929,GM
2014-08-22,28.611,28.6193,28.3167,28.3872,8665715,GM
2014-08-25,28.5447,28.8017,28.4452,28.7437,9546350,GM
2014-08-26,28.8183,29.0173,28.7105,28.8929,7535007,GM
2014-08-27,28.951,28.9592,28.6691,28.7769,7118030,GM
2014-08-28,28.5945,28.81,28.3706,28.752,5971613,GM
2014-08-29,28.8017,28.8929,28.6939,28.8515,5558114,GM
2014-09-02,28.9178,29.1333,28.7022,28.8515,7825129,GM
2014-09-03,29.067,29.1168,28.5696,28.5779,11626398,GM
2014-09-04,28.5945,28.951,28.553,28.7105,9566331,GM
2014-09-05,28.6774,28.6939,28.3789,28.6691,13671830,GM
2014-09-08,28.46,28.5604,27.724,27.7993,22120618,GM
2014-09-09,27.7659,27.8495,27.607,27.6571,11861015,GM
2014-09-10,27.699,27.8829,27.6479,27.8411,10470992,GM
2014-09-11,27.7324,28.1798,27.724,28.1088,10189065,GM
2014-09-12,28.0,28.1004,27.6864,27.8244,11077878,GM
2014-09-15,27.7324,28.2677,27.724,28.1255,12509935,GM
2014-09-16,28.0084,28.3931,27.9749,28.1924,11082986,GM
2014-09-17,28.2007,28.552,28.1589,28.3095,10300998,GM
2014-09-18,28.3764,28.6189,28.3764,28.46,8930996,GM
2014-09-19,28.6273,28.6356,28.2426,28.3847,14521399,GM
2014-09-22,28.2175,28.3011,27.6697,27.9666,11179986,GM
2014-09-23,27.7993,28.0837,27.7157,27.7826,8731869,GM
2014-09-24,27.8746,28.1673,27.6153,28.1422,10665413,GM
2014-09-25,28.0753,28.1422,27.4564,27.4899,12309199,GM
2014-09-26,27.632,27.8537,27.5442,27.7408,9417602,GM
2014-09-29,27.5735,27.7324,26.7455,26.9463,19710870,GM
2014-09-30,26.963,27.2139,26.4863,26.7121,24790809,GM
2014-10-01,26.7372,27.6237,26.5197,27.1721,31138729,GM
2014-10-02,27.2055,27.9331,27.1721,27.7491,20794624,GM
2014-10-03,27.9582,28.3513,27.8077,28.2342,16981348,GM
2014-10-06,28.3011,28.6356,27.908,28.2258,9095761,GM
2014-10-07,27.632,27.632,26.4696,26.5699,25661347,GM
2014-10-08,26.6285,26.9463,25.7503,26.9128,28308540,GM
2014-10-09,26.8375,26.871,25.7671,25.951,23098842,GM
2014-10-10,25.3238,25.8758,25.1649,25.3322,20495982,GM
2014-10-13,25.3322,25.6082,24.8596,24.914,17725053,GM
2014-10-14,25.006,25.4074,24.9642,25.1816,14495984,GM
2014-10-15,24.8136,25.3071,24.1028,24.8304,29623288,GM
2014-10-16,24.362,25.2151,24.3286,25.0395,18226156,GM
2014-10-17,25.4074,25.9009,25.2276,25.2903,18339875,GM
2014-10-20,25.2736,25.5245,25.1064,25.374,11700578,GM
2014-10-21,25.5078,25.9845,25.3573,25.7921,12576775,GM
2014-10-22,25.5998,26.3483,25.5663,26.1852,17845781,GM
2014-10-23,26.7205,26.7539,25.7671,25.8674,25443605,GM
2014-10-24,25.9594,26.1601,25.0729,25.1231,30313847,GM
2014-10-27,25.2151,25.4994,24.9391,25.1565,12790154,GM
2014-10-28,25.4158,26.1099,25.2025,26.0681,26071317,GM
2014-10-29,26.0932,26.2019,25.3823,25.6918,11638334,GM
2014-10-30,26.1768,26.3817,26.0179,26.2772,7455858,GM
2014-10-31,26.0514,26.4445,25.8841,26.2605,15538961,GM
2014-11-03,26.2187,26.3107,25.7503,26.0765,9859119,GM
2014-11-04,25.9594,26.1852,25.6583,25.7754,12058309,GM
2014-11-05,26.0514,26.0765,25.558,25.7001,11109560,GM
2014-11-06,25.6751,26.3107,25.6332,26.2354,12729496,GM
2014-11-07,26.1852,26.5448,26.1267,26.4194,10070917,GM
2014-11-10,26.2019,26.3441,25.7754,26.0263,10297832,GM
2014-11-11,25.9594,26.2605,25.926,26.2187,7537758,GM
2014-11-12,26.1768,26.3817,26.0179,26.2772,7456062,GM
2014-11-13,26.3525,26.6786,26.3148,26.4696,8353857,GM
2014-11-14,26.4696,26.7706,26.3274,26.5866,8498746,GM
2014-11-17,26.7623,27.1721,26.6786,27.0215,11900544,GM
2014-11-18,27.1052,27.1721,26.6536,26.9881,9766095,GM
2014-11-19,26.9379,27.0215,26.7121,26.8877,8290065,GM
2014-11-20,26.7288,26.978,26.595,26.871,8052949,GM
2014-11-21,27.2139,27.2222,26.733,26.871,8567175,GM
2014-11-24,26.9714,27.055,26.5699,26.9212,13313540,GM
2014-11-25,26.9714,27.0801,26.7372,26.9546,9269267,GM
2014-11-26,26.9881,27.0132,26.7163,26.8208,7414462,GM
2014-11-28,27.0968,28.0502,26.9546,27.9582,14039802,GM
2014-12-01,27.8579,27.9917,27.4815,27.5484,14391915,GM
2014-12-02,27.6404,28.1171,27.5902,27.816,14824785,GM
2014-12-03,27.908,28.2509,27.8913,28.1338,11648462,GM
2014-12-04,28.1506,28.1589,27.6292,27.6739,11686711,GM
2014-12-05,27.7909,28.5102,27.7408,28.3764,17730772,GM
2014-12-08,28.2836,28.3173,27.5157,27.5748,16125780,GM
2014-12-09,27.2373,27.7351,27.1445,27.6845,11147140,GM
2014-12-10,27.6085,27.7182,26.8913,26.9757,11583515,GM
2014-12-11,27.1191,27.5832,26.9926,27.1613,13282592,GM
