date,open,high,low,close,volume,Name
2014-01-24,37.1445,37.3472,36.593,36.666,970854,GRMN
2014-01-27,36.6579,36.9742,36.3698,36.7146,837038,GRMN
2014-01-28,36.8282,37.1607,36.5687,37.0228,644104,GRMN
2014-01-29,36.4308,36.9012,36.2929,36.3335,845845,GRMN
2014-01-30,36.593,37.3391,36.3659,37.1445,701805,GRMN
2014-01-31,36.447,37.1039,36.4065,36.5362,1009923,GRMN
2014-02-03,36.5362,36.6376,35.198,35.3846,1578212,GRMN
2014-02-04,35.5387,35.7739,35.2143,35.7658,956040,GRMN
2014-02-05,34.898,35.855,34.898,35.7171,934946,GRMN
2014-02-06,35.8063,36.9012,35.8063,36.6011,802075,GRMN
2014-02-07,36.7876,37.0309,36.3902,36.9255,785167,GRMN
2014-02-10,36.9336,37.039,36.0902,36.1064,1465597,GRMN
2014-02-11,36.0172,37.112,35.9198,36.7065,1345883,GRMN
2014-02-12,36.885,37.4851,36.739,37.3229,1057895,GRMN
2014-02-13,37.1445,38.0569,37.1445,37.5175,1274660,GRMN
2014-02-14,37.3067,37.4689,36.9417,37.3716,839018,GRMN
2014-02-18,37.2418,38.3691,36.7633,38.2556,2114622,GRMN
2014-02-19,42.4485,42.7567,40.1128,41.9132,9415898,GRMN
2014-02-20,41.3536,42.1403,40.7778,41.8159,2861190,GRMN
2014-02-21,42.1887,42.4404,41.7997,42.1484,2681927,GRMN
2014-02-24,42.1241,42.8216,41.9132,41.9295,2022884,GRMN
2014-02-25,41.9619,42.6188,41.9295,42.1647,1325232,GRMN
2014-02-26,42.0998,42.5215,42.0917,42.2944,1167023,GRMN
2014-02-27,42.1484,43.7056,42.0511,43.4298,2885450,GRMN
2014-02-28,43.3406,43.8435,42.9513,43.5191,1379905,GRMN
2014-03-03,42.5864,43.6691,42.5783,43.4704,1382458,GRMN
2014-03-04,43.9651,44.6058,43.7299,44.5855,2247452,GRMN
2014-03-05,44.4761,44.6301,44.1516,44.2003,1208979,GRMN
2014-03-06,44.249,44.3624,43.6164,43.738,862686,GRMN
2014-03-07,44.0787,44.1922,43.3609,43.4785,888312,GRMN
2014-03-10,43.4623,43.5434,42.8459,43.0811,855227,GRMN
2014-03-11,43.0649,43.6488,43.0162,43.3163,1523356,GRMN
2014-03-12,43.219,43.8921,42.9919,43.8516,1106855,GRMN
2014-03-13,43.9416,44.0479,42.6003,42.9275,974777,GRMN
2014-03-14,42.8539,43.3527,42.5513,42.6821,733950,GRMN
2014-03-17,42.8784,44.0373,42.6985,43.6471,978050,GRMN
2014-03-18,43.6553,44.6285,43.4672,44.4404,1049868,GRMN
2014-03-19,44.1869,44.7021,43.9743,44.5386,1141586,GRMN
2014-03-20,44.285,44.8412,43.97,44.6858,917424,GRMN
2014-03-21,45.0456,45.5444,44.8493,45.062,2024644,GRMN
2014-03-24,45.1192,45.475,44.7185,44.9393,1228859,GRMN
2014-03-25,45.1846,45.5036,44.3995,44.5386,800739,GRMN
2014-03-26,46.2069,46.4441,45.0701,45.2746,1589643,GRMN
2014-03-27,45.3155,47.6054,45.2092,45.8144,2940399,GRMN
2014-03-28,45.8389,46.0597,45.2092,45.4463,1428029,GRMN
2014-03-31,45.7489,46.2069,45.1846,45.1928,1435541,GRMN
2014-04-01,45.4709,45.5936,45.111,45.5118,1632523,GRMN
2014-04-02,45.7898,46.534,45.43,46.534,1506746,GRMN
2014-04-03,46.5259,47.0575,46.1415,46.9021,1915352,GRMN
2014-04-04,47.0983,47.2292,45.5363,45.5608,1442228,GRMN
2014-04-07,45.4545,45.9125,45.0947,45.5118,1994492,GRMN
2014-04-08,45.4382,46.4768,45.4382,46.4359,1125498,GRMN
2014-04-09,46.4114,46.8612,46.0924,46.7058,1086064,GRMN
2014-04-10,46.624,46.763,45.1601,45.1683,1264446,GRMN
2014-04-11,44.9802,45.7489,44.6449,44.8657,1049767,GRMN
