date,open,high,low,close,volume,Name
2014-01-24,8.4754,8.4929,8.2563,8.2563,9839900,HBAN
2014-01-27,8.265,8.3352,8.1336,8.1862,10298444,HBAN
2014-01-28,8.2125,8.2738,8.173,8.1949,9215922,HBAN
2014-01-29,8.1423,8.2607,8.0459,8.0635,16892471,HBAN
2014-01-30,8.1248,8.1599,8.0021,8.116,14176410,HBAN
2014-01-31,8.0109,8.0635,7.9495,7.9495,11001093,HBAN
2014-02-03,7.9057,7.9495,7.5902,7.6428,31464969,HBAN
2014-02-04,7.6603,7.8531,7.6515,7.7655,16996408,HBAN
2014-02-05,7.6953,7.818,7.669,7.7479,13264637,HBAN
2014-02-06,7.7567,7.932,7.7392,7.9145,11272532,HBAN
2014-02-07,7.967,8.0328,7.8531,7.9145,10834562,HBAN
2014-02-10,7.8969,7.9583,7.8356,7.9145,7357501,HBAN
2014-02-11,7.9232,8.0196,7.8969,8.0021,5733705,HBAN
2014-02-12,8.0109,8.1248,7.9697,7.9933,7096706,HBAN
2014-02-13,7.9583,7.9933,7.8882,7.967,6460692,HBAN
2014-02-14,7.967,8.0635,7.9451,7.9933,4534636,HBAN
2014-02-18,7.9933,8.0196,7.932,7.9407,9713058,HBAN
2014-02-19,7.8882,7.932,7.7304,7.7567,11171614,HBAN
2014-02-20,7.7567,7.8838,7.6866,7.8443,12283568,HBAN
2014-02-21,7.8619,8.0196,7.8575,7.9846,10825280,HBAN
2014-02-24,7.9758,8.1774,7.967,8.1248,11593152,HBAN
2014-02-25,8.116,8.1686,8.0635,8.1423,8380943,HBAN
2014-02-26,8.1862,8.2387,8.0985,8.1949,9565335,HBAN
2014-02-27,8.2037,8.3089,8.1599,8.2563,10420481,HBAN
2014-02-28,8.2563,8.4053,8.2563,8.3527,10610365,HBAN
2014-03-03,8.3264,8.3877,8.2738,8.3439,11803136,HBAN
2014-03-04,8.4403,8.5017,8.4053,8.4929,8564842,HBAN
2014-03-05,8.4929,8.528,8.414,8.4579,9245813,HBAN
2014-03-06,8.4842,8.5543,8.4579,8.5017,10814402,HBAN
2014-03-07,8.5104,8.6857,8.4754,8.5893,13465570,HBAN
2014-03-10,8.5806,8.6332,8.5192,8.5893,7253133,HBAN
2014-03-11,8.6069,8.6244,8.4666,8.5104,6946767,HBAN
2014-03-12,8.4929,8.4951,8.3965,8.4929,8656815,HBAN
2014-03-13,8.528,8.5543,8.379,8.4228,8285281,HBAN
2014-03-14,8.414,8.5373,8.4052,8.4316,8564574,HBAN
2014-03-17,8.5109,8.555,8.4669,8.5021,6632110,HBAN
2014-03-18,8.5285,8.6166,8.5021,8.5902,5770446,HBAN
2014-03-19,8.555,8.6871,8.5197,8.6343,7724334,HBAN
2014-03-20,8.5726,8.881,8.5726,8.8193,13705266,HBAN
2014-03-21,8.8193,8.9074,8.6871,8.7136,14938892,HBAN
2014-03-24,8.7576,8.784,8.6519,8.7224,7060230,HBAN
2014-03-25,8.7488,8.7928,8.6695,8.7752,9033162,HBAN
2014-03-26,8.8281,8.8677,8.6871,8.7047,12531582,HBAN
2014-03-27,8.7312,8.8281,8.5285,8.5539,11010759,HBAN
2014-03-28,8.5726,8.7268,8.5506,8.6871,9027430,HBAN
2014-03-31,8.7224,8.8193,8.7047,8.784,5255040,HBAN
2014-04-01,8.8281,8.9779,8.784,8.9514,11500079,HBAN
2014-04-02,8.9955,9.0219,8.8721,8.925,8433054,HBAN
2014-04-03,8.9514,8.9955,8.881,8.9867,5272684,HBAN
2014-04-04,9.0307,9.066,8.8237,8.8633,9989303,HBAN
2014-04-07,8.8281,8.8457,8.6343,8.7047,8416057,HBAN
2014-04-08,8.6959,8.784,8.6431,8.7224,7772326,HBAN
2014-04-09,8.74,8.7752,8.6254,8.6959,8046671,HBAN
2014-04-10,8.6695,8.7127,8.273,8.2995,23297411,HBAN
2014-04-11,8.2025,8.3876,8.0175,8.2906,18919610,HBAN
2014-04-14,8.3964,8.436,8.1673,8.2554,9296303,HBAN
2014-04-15,8.2906,8.4184,8.1585,8.3435,13231073,HBAN
2014-04-16,8.3788,8.414,8.0792,8.2025,20779553,HBAN
2014-04-17,8.0175,8.1585,7.947,8.1144,27894028,HBAN
2014-04-21,8.1321,8.2069,8.066,8.1409,7625324,HBAN
2014-04-22,8.1233,8.2995,8.0792,8.2554,9516789,HBAN
2014-04-23,8.2378,8.3347,8.1937,8.3259,7812797,HBAN
2014-04-24,8.3435,8.3435,8.1937,8.2202,10052759,HBAN
2014-04-25,8.229,8.229,8.0704,8.0748,11029028,HBAN
2014-04-28,8.1409,8.1409,7.9294,7.9911,18352053,HBAN
2014-04-29,8.0616,8.0706,7.9206,7.9735,22319894,HBAN
2014-04-30,7.9382,8.1056,7.9382,8.0704,11595473,HBAN
2014-05-01,8.088,8.1144,7.9735,7.9999,9492557,HBAN
2014-05-02,8.0175,8.1937,7.9999,8.0528,8506244,HBAN
2014-05-05,8.0704,8.088,7.9382,8.0263,6987896,HBAN
2014-05-06,7.9647,8.0263,7.9294,7.947,9044861,HBAN
2014-05-07,7.9735,8.0704,7.9294,8.0616,10477086,HBAN
2014-05-08,8.0263,8.1849,8.0175,8.1056,13286978,HBAN
2014-05-09,8.0968,8.1497,8.0087,8.1409,10450204,HBAN
2014-05-12,8.1585,8.2995,8.1409,8.2995,8896559,HBAN
2014-05-13,8.3171,8.3435,8.2466,8.2554,7423614,HBAN
2014-05-14,8.229,8.251,8.0704,8.0704,6905558,HBAN
2014-05-15,8.0175,8.0351,7.8325,7.9647,11553285,HBAN
2014-05-16,7.9647,7.9867,7.8589,7.9294,9208026,HBAN
2014-05-19,7.8677,8.0351,7.8589,8.0351,6563647,HBAN
2014-05-20,8.0087,8.0174,7.8766,7.947,9931479,HBAN
2014-05-21,8.0087,8.0616,7.9647,8.0175,5571344,HBAN
2014-05-22,8.044,8.0528,7.947,7.9823,8721932,HBAN
2014-05-23,7.9647,8.044,7.9558,8.0175,5803791,HBAN
2014-05-27,8.0616,8.1497,8.0263,8.0792,8805260,HBAN
2014-05-28,8.0792,8.2378,8.0263,8.1144,9315583,HBAN
2014-05-29,8.1409,8.1497,8.0484,8.1453,9149087,HBAN
2014-05-30,8.1233,8.2114,8.1233,8.1673,5962068,HBAN
2014-06-02,8.1761,8.2554,8.1144,8.2466,5490849,HBAN
2014-06-03,8.2025,8.3435,8.1849,8.2554,6359674,HBAN
2014-06-04,8.2378,8.3259,8.229,8.2995,7502642,HBAN
2014-06-05,8.273,8.4052,8.2466,8.3876,6084858,HBAN
2014-06-06,8.414,8.458,8.3743,8.4228,5998911,HBAN
2014-06-09,8.4492,8.5638,8.4228,8.5638,6237348,HBAN
2014-06-10,8.555,8.5638,8.4669,8.555,5254057,HBAN
2014-06-11,8.5021,8.5197,8.3788,8.3964,13723468,HBAN
2014-06-12,8.4228,8.4492,8.3083,8.3523,7067124,HBAN
2014-06-13,8.37,8.4675,8.3257,8.3612,10214309,HBAN
2014-06-16,8.3435,8.37,8.2815,8.308,7095749,HBAN
2014-06-17,8.2815,8.5029,8.2815,8.3966,13582374,HBAN
2014-06-18,8.432,8.5029,8.3966,8.4586,8966930,HBAN
