date,open,high,low,close,volume,Name
2014-01-24,20.6426,20.8018,20.5243,20.5379,1601702,HRL
2014-01-27,20.5334,20.8246,20.497,20.7108,1799054,HRL
2014-01-28,20.7108,20.8792,20.638,20.8109,1561608,HRL
2014-01-29,20.7427,20.7541,20.1421,20.1831,2075502,HRL
2014-01-30,20.3013,20.5425,20.2012,20.5061,1732490,HRL
2014-01-31,20.3332,20.8246,20.2194,20.6744,2225936,HRL
2014-02-03,20.679,20.679,19.7599,19.7736,2641468,HRL
2014-02-04,19.8236,19.8964,19.5711,19.628,2470164,HRL
2014-02-05,19.5688,19.7303,19.4778,19.6098,2678766,HRL
2014-02-06,19.7053,19.8189,19.628,19.7463,1641454,HRL
2014-02-07,19.8691,20.0011,19.7804,19.9146,1156790,HRL
2014-02-10,19.8555,19.9192,19.7827,19.8691,1316506,HRL
2014-02-11,19.7645,20.2103,19.7417,20.1967,1570130,HRL
2014-02-12,20.1694,20.2831,20.133,20.1603,1327746,HRL
2014-02-13,20.0557,20.4105,19.9965,20.3741,1133104,HRL
2014-02-14,20.3787,20.5516,20.2194,20.547,1772486,HRL
2014-02-18,20.5243,20.6294,20.4742,20.5425,2375166,HRL
2014-02-19,20.4469,20.7336,20.4242,20.6153,2940122,HRL
2014-02-20,20.6562,21.1249,20.654,21.0157,2246404,HRL
2014-02-21,21.1067,21.3069,21.0111,21.2523,4408862,HRL
2014-02-24,21.2932,21.4729,21.1931,21.3615,1735738,HRL
2014-02-25,21.3842,21.4479,21.2842,21.3342,1220352,HRL
2014-02-26,21.3569,21.6162,21.3569,21.3751,1838238,HRL
2014-02-27,21.3842,21.4752,21.2727,21.4616,1100472,HRL
2014-02-28,21.4661,21.7436,21.4434,21.589,1218344,HRL
2014-03-03,21.3842,21.4661,21.2341,21.407,1485512,HRL
2014-03-04,21.6299,21.7618,21.6185,21.6799,1993850,HRL
2014-03-05,21.6344,21.8028,21.4843,21.7755,1431376,HRL
2014-03-06,21.8346,21.8346,21.498,21.5253,1790580,HRL
2014-03-07,21.5935,21.5935,21.3524,21.5116,1679442,HRL
2014-03-10,21.5344,21.6981,21.4898,21.5662,1293908,HRL
2014-03-11,21.5708,21.5935,21.3296,21.3751,1148506,HRL
2014-03-12,21.2614,21.482,21.2614,21.4798,1251480,HRL
2014-03-13,21.548,21.6663,21.1977,21.275,2074362,HRL
2014-03-14,21.2432,21.5344,21.1977,21.4434,1811510,HRL
2014-03-17,21.5708,21.6481,21.4161,21.4616,1332654,HRL
2014-03-18,21.4843,21.6754,21.4297,21.6253,943032,HRL
2014-03-19,21.6481,21.7323,21.3251,21.4752,1271934,HRL
2014-03-20,21.3888,21.5617,21.3615,21.548,753826,HRL
2014-03-21,21.6754,21.73,21.4843,21.5207,2431094,HRL
2014-03-24,21.6117,21.73,21.5071,21.5844,1671144,HRL
2014-03-25,21.6481,21.8119,21.5844,21.8073,1248240,HRL
2014-03-26,21.8983,22.1031,21.8301,21.9438,1637420,HRL
2014-03-27,21.9302,21.9893,21.8528,21.9302,1293400,HRL
2014-03-28,22.0121,22.1167,21.9256,22.0212,1201588,HRL
2014-03-31,22.1486,22.5012,22.1304,22.417,1984436,HRL
2014-04-01,22.4398,22.508,22.144,22.2487,1755602,HRL
2014-04-02,22.2214,22.2578,22.003,22.0485,1674636,HRL
2014-04-03,22.0485,22.1031,21.8801,21.9939,1259818,HRL
2014-04-04,22.0485,22.1213,21.7254,21.7618,1018006,HRL
2014-04-07,21.7573,21.9529,21.7573,21.8619,1116486,HRL
2014-04-08,21.8619,21.9484,21.7209,21.8255,1419474,HRL
2014-04-09,21.8574,21.8892,21.6481,21.821,1538786,HRL
2014-04-10,21.8164,21.9256,21.4934,21.498,1156534,HRL
2014-04-11,21.4525,21.5844,21.316,21.3706,1131066,HRL
2014-04-14,21.5207,21.6299,21.3842,21.6208,1142676,HRL
2014-04-15,21.6572,21.7027,21.3751,21.5389,1153676,HRL
2014-04-16,21.6486,21.8085,21.5572,21.7948,936156,HRL
2014-04-17,21.7537,21.8587,21.6988,21.8313,2121078,HRL
2014-04-21,21.8953,21.9227,21.7719,21.8222,846986,HRL
2014-04-22,21.8176,21.9113,21.7537,21.8862,734342,HRL
2014-04-23,21.8816,21.973,21.8633,21.8999,924002,HRL
2014-04-24,21.941,21.9456,21.7171,21.7491,801198,HRL
2014-04-25,21.7171,21.8715,21.6714,21.7719,894584,HRL
2014-04-28,21.8222,22.0232,21.7262,21.8999,1133112,HRL
2014-04-29,21.9227,21.9775,21.644,21.6486,686534,HRL
2014-04-30,21.6486,21.8005,21.5755,21.7902,1402126,HRL
2014-05-01,21.7811,21.7811,21.5389,21.7537,805994,HRL
2014-05-02,21.8176,22.0461,21.6714,21.9181,1113476,HRL
2014-05-05,21.7856,21.8496,21.6851,21.7993,1070044,HRL
2014-05-06,21.7217,21.9136,21.58,21.6074,1066144,HRL
2014-05-07,21.6805,22.0369,21.6805,22.0095,1279220,HRL
2014-05-08,21.9775,22.1786,21.9227,22.0369,940584,HRL
2014-05-09,22.0324,22.27,21.9684,22.2608,1148520,HRL
2014-05-12,22.3476,22.4482,22.174,22.3339,1217956,HRL
2014-05-13,22.3294,22.6241,22.3202,22.5441,1261528,HRL
2014-05-14,22.4482,22.4984,22.2106,22.2974,967560,HRL
2014-05-15,22.1512,22.2928,22.0918,22.2654,969080,HRL
