date,open,high,low,close,volume,Name
2014-01-24,39.466,39.5664,38.0945,38.1028,5822816,IP
2014-01-27,38.2534,38.5461,37.9021,38.2534,3766889,IP
2014-01-28,38.9475,39.0311,38.153,38.5795,4024711,IP
2014-01-29,38.2366,39.7504,38.1028,39.2319,6465088,IP
2014-01-30,39.3908,39.742,38.889,39.3991,2632165,IP
2014-01-31,38.8973,40.4027,38.8722,39.926,5692429,IP
2014-02-03,39.8424,40.1184,38.3035,38.521,5469203,IP
2014-02-04,38.0945,38.8722,37.3585,38.3203,5814776,IP
2014-02-05,38.2199,39.3657,37.9941,39.1733,6469626,IP
2014-02-06,39.2653,39.3657,38.9391,39.2988,2499112,IP
2014-02-07,39.4828,39.8424,39.1817,39.6584,2517781,IP
2014-02-10,39.65,40.4612,39.5664,40.1853,5267440,IP
2014-02-11,40.1518,40.7121,39.9929,40.5114,3586528,IP
2014-02-12,40.7389,41.1348,40.4551,41.0842,4034558,IP
2014-02-13,40.6799,41.4549,40.663,41.3622,2839371,IP
2014-02-14,41.278,41.5728,41.1601,41.4296,3017369,IP
2014-02-18,41.3538,41.5728,41.2864,41.4549,2513583,IP
2014-02-19,41.2612,41.8761,40.9958,41.0337,3365860,IP
2014-02-20,41.0674,41.5981,40.8315,41.5897,4071685,IP
2014-02-21,41.3959,41.6065,40.9916,41.4128,4445743,IP
2014-02-24,41.219,41.5897,41.1769,41.1853,2395431,IP
2014-02-25,41.2106,41.6571,41.0506,41.3454,2869073,IP
2014-02-26,41.3875,41.5559,41.0506,41.3117,2538471,IP
2014-02-27,41.2106,41.3791,40.8821,41.1516,3615463,IP
2014-02-28,41.1853,41.4633,40.9326,41.1853,3141871,IP
2014-03-03,40.3008,40.5771,39.9638,40.2503,4777564,IP
2014-03-04,40.8652,41.0758,40.4272,40.6209,4208968,IP
2014-03-05,40.6209,40.8989,40.4356,40.7978,2412141,IP
2014-03-06,40.8821,41.1306,40.503,40.5451,2495295,IP
2014-03-07,40.7726,40.9663,40.2124,40.562,2721023,IP
2014-03-10,40.5451,40.562,40.0228,40.3345,1934229,IP
2014-03-11,40.3261,40.4187,39.7195,39.8038,2599771,IP
2014-03-12,39.6606,40.1576,39.5932,39.6606,3008777,IP
2014-03-13,39.7954,39.867,39.0498,39.113,4167317,IP
2014-03-14,39.0709,39.2225,38.7803,38.8603,6140174,IP
2014-03-17,38.9951,39.0625,38.3464,38.6918,6150168,IP
2014-03-18,38.8013,38.835,38.4392,38.5402,5360420,IP
2014-03-19,38.5065,38.6244,38.1358,38.3885,4512627,IP
2014-03-20,38.2959,38.4307,38.2116,38.279,5960958,IP
2014-03-21,38.4896,38.8182,38.2875,38.5654,5831795,IP
2014-03-24,38.6413,38.7845,38.1232,38.3717,4243817,IP
2014-03-25,38.6244,38.9024,38.477,38.8266,5250050,IP
2014-03-26,38.9782,39.0877,37.9084,37.9084,4481875,IP
2014-03-27,37.8831,38.4644,37.4282,38.397,4471969,IP
2014-03-28,38.5823,38.835,38.4054,38.5823,3452605,IP
2014-03-31,38.8856,38.9698,38.4475,38.6497,4834630,IP
2014-04-01,38.8097,38.8434,38.4222,38.6328,3336053,IP
2014-04-02,38.675,39.4416,38.5654,39.2899,4454593,IP
2014-04-03,39.4921,39.4921,38.8771,39.1551,3808584,IP
2014-04-04,39.3405,39.5426,38.5654,38.5907,3767744,IP
2014-04-07,38.6581,38.7424,37.7989,38.3885,5546299,IP
2014-04-08,38.3296,38.4138,37.8831,38.1948,3672883,IP
2014-04-09,38.4054,38.9361,38.1358,38.776,3372843,IP
2014-04-10,38.7592,39.0456,38.2875,38.3548,3154344,IP
2014-04-11,38.1948,38.4475,37.7989,37.8915,4103642,IP
2014-04-14,38.0179,38.119,37.7062,38.0095,3974219,IP
2014-04-15,37.6556,37.9083,37.2681,37.8073,4104053,IP
2014-04-16,38.0684,38.4476,37.742,38.3296,4130095,IP
2014-04-17,38.3464,38.5823,38.2116,38.2959,2597097,IP
2014-04-21,38.4391,38.7339,38.2622,38.6581,2696707,IP
2014-04-22,38.8013,38.953,38.4981,38.8519,3061441,IP
2014-04-23,38.8603,39.0035,38.6497,38.8266,1579269,IP
2014-04-24,38.835,38.835,38.3548,38.7508,2269135,IP
2014-04-25,38.6244,38.7339,38.3633,38.4391,2061525,IP
2014-04-28,38.6076,39.2394,38.338,39.0793,5680831,IP
2014-04-29,39.0119,39.0877,38.5318,38.6665,4205291,IP
2014-04-30,39.5258,40.0734,38.953,39.2983,5485019,IP
2014-05-01,39.1888,39.2815,38.6413,38.776,3629216,IP
2014-05-02,38.953,38.9951,38.5486,38.6581,2658646,IP
2014-05-05,38.4981,38.675,38.3296,38.6497,2223024,IP
2014-05-06,38.6665,38.8856,38.5528,38.6244,2243377,IP
2014-05-07,38.6834,39.4247,38.6834,39.2478,2540780,IP
2014-05-08,39.172,39.6606,39.0456,39.1888,2827188,IP
2014-05-09,39.1804,39.3742,38.9024,39.3742,2190026,IP
2014-05-12,39.5342,39.9723,39.4795,39.888,2383620,IP
2014-05-13,39.8712,39.9638,39.5426,39.6943,2091472,IP
2014-05-14,39.7195,39.9975,39.5932,39.669,1774589,IP
2014-05-15,39.669,40.0144,39.2015,39.4584,2871763,IP
2014-05-16,39.2478,39.3742,38.9698,39.231,2240759,IP
2014-05-19,39.1299,39.5342,39.1046,39.4584,2022028,IP
2014-05-20,39.3742,39.4289,39.1551,39.2225,2304699,IP
2014-05-21,39.2904,39.6045,39.1376,39.3838,2156600,IP
2014-05-22,39.3159,39.562,39.1631,39.5366,3168560,IP
2014-05-23,39.5366,39.7742,39.4347,39.6978,1700066,IP
2014-05-27,39.8252,39.8761,39.6045,39.6724,2617983,IP
2014-05-28,39.7063,39.77,39.4177,39.6894,3569982,IP
2014-05-29,39.7233,39.927,39.6045,39.7657,2024363,IP
2014-05-30,39.7148,40.4533,39.6639,40.4278,3613675,IP
2014-06-02,40.3599,40.4617,39.8421,40.0119,3450966,IP
2014-06-03,39.8761,40.5636,39.7827,40.5212,2276079,IP
2014-06-04,40.3599,40.8267,40.0543,40.2156,3072841,IP
2014-06-05,40.3005,40.7334,40.0798,40.6145,1909475,IP
2014-06-06,40.7418,40.89,40.5381,40.6485,1830869,IP
2014-06-09,40.5721,41.0389,40.5636,40.9031,2166680,IP
2014-06-10,40.8098,41.1493,40.8098,41.1408,2714902,IP
2014-06-11,40.7418,41.0135,40.7418,40.8607,1813042,IP
2014-06-12,40.7588,41.0304,40.6655,40.8013,2170125,IP
2014-06-13,40.7418,40.8437,40.5721,40.8098,1761817,IP
2014-06-16,40.7673,41.2596,40.7503,41.1493,2337901,IP
2014-06-17,40.954,41.3275,40.668,41.2766,2339725,IP
2014-06-18,41.1832,41.4888,40.988,41.4209,1982300,IP
2014-06-19,41.3784,41.5567,41.3105,41.4379,1695008,IP
2014-06-20,41.5142,41.8368,41.4209,41.5822,2998762,IP
2014-06-23,41.6161,41.6925,41.2172,41.2511,4020349,IP
2014-06-24,41.2511,41.5906,40.9795,41.2087,2439485,IP
2014-06-25,41.1747,41.5822,41.1238,41.336,1737286,IP
2014-06-26,41.336,41.4888,41.1747,41.3784,2059393,IP
2014-06-27,41.2511,41.718,41.2341,41.6331,6780478,IP
2014-06-30,42.4904,42.9911,42.015,42.8384,7539854,IP
2014-07-01,43.1609,43.3476,42.9232,42.5158,5624981,IP
2014-07-02,42.7705,43.2712,42.0999,42.1339,5354160,IP
2014-07-03,42.2782,42.695,42.2697,42.4819,1628687,IP
2014-07-07,42.38,42.4819,41.7052,41.9726,3537028,IP
2014-07-08,41.9726,42.063,41.5482,41.6246,2471581,IP
2014-07-09,41.7604,42.4182,41.7095,42.2951,4345910,IP
2014-07-10,41.8538,42.3121,41.7434,42.2527,3449186,IP
2014-07-11,42.3036,42.6516,42.2103,42.4988,2299443,IP
2014-07-14,42.1678,42.8214,42.1339,42.4904,3069994,IP
2014-07-15,42.4988,42.8553,42.2187,42.2357,2344017,IP
2014-07-16,42.4224,42.5583,41.8538,42.5158,4464066,IP
2014-07-17,42.1254,42.2272,41.8623,41.9556,5428769,IP
2014-07-18,42.1084,42.5583,42.015,42.1848,3331287,IP
2014-07-21,41.319,41.5397,40.9286,41.0389,6688078,IP
2014-07-22,41.1153,41.2172,39.944,39.9864,12432549,IP
2014-07-23,40.0289,40.831,40.0161,40.7334,5202955,IP
2014-07-24,40.8861,44.12,40.8692,42.9911,19274926,IP
2014-07-25,42.6601,42.9063,42.1678,42.3715,5028702,IP
2014-07-28,42.2272,42.4479,41.9641,42.414,5131727,IP
2014-07-29,42.4904,42.4904,41.4676,41.4718,6116462,IP
2014-07-30,41.2341,41.6076,40.7843,40.9286,4809549,IP
2014-07-31,40.7588,40.7661,40.1477,40.3175,3979174,IP
2014-08-01,40.5636,40.7334,40.1901,40.6145,2536277,IP
2014-08-04,40.5636,40.7334,40.1901,40.6145,2544751,IP
2014-08-05,40.3259,40.4702,40.1053,40.3769,3361357,IP
2014-08-06,40.3854,40.7503,40.2243,40.5297,2117165,IP
2014-08-07,40.5212,40.814,40.1392,40.1986,2531975,IP
2014-08-08,40.3344,40.7843,40.1137,40.7588,2421044,IP
2014-08-11,40.7928,40.9456,40.5551,40.8182,2406590,IP
2014-08-12,40.5466,40.7588,40.3124,40.5721,2114415,IP
2014-08-13,40.6661,40.7516,39.9907,40.1873,3507225,IP
2014-08-14,40.3241,41.1022,40.3241,40.897,2918499,IP
2014-08-15,40.8799,41.0167,40.2814,40.4609,3271263,IP
2014-08-18,40.7345,41.3331,40.6405,40.6747,2444898,IP
2014-08-19,40.7345,41.3331,40.6405,40.6747,2444898,IP
2014-08-20,40.4609,40.649,40.136,40.2386,3264123,IP
2014-08-21,40.2301,40.7944,40.2301,40.7174,2200291,IP
2014-08-22,40.6576,40.7089,40.2301,40.2899,2210771,IP
2014-08-25,40.4353,40.5892,40.2643,40.3669,1579643,IP
2014-08-26,40.4438,40.9312,40.3754,40.8799,2662337,IP
2014-08-27,40.8628,41.2134,40.8628,41.1621,2696159,IP
2014-08-28,40.974,41.3502,40.7516,41.2561,2208693,IP
2014-08-29,41.3929,41.487,41.1706,41.4271,2223788,IP
2014-09-02,41.3502,41.6152,41.1535,41.4357,2300252,IP
2014-09-03,41.5981,42.0513,41.5554,41.9487,3824840,IP
