date,open,high,low,close,volume,Name
2014-01-24,49.2162,49.5326,48.4165,48.4165,27111279,JPM
2014-01-27,48.4077,49.0361,48.0667,48.4165,23944206,JPM
2014-01-28,48.6801,49.5121,48.5483,48.9877,18061718,JPM
2014-01-29,48.3022,49.102,48.2055,48.8032,25471398,JPM
2014-01-30,49.2777,49.559,48.8911,49.2162,17060108,JPM
2014-01-31,48.7768,49.3129,48.4956,48.6538,18201808,JPM
2014-02-03,48.7768,49.1459,47.6343,47.731,28572189,JPM
2014-02-04,48.0913,48.645,47.9858,48.2934,20775934,JPM
2014-02-05,48.4253,48.7329,47.9682,48.5219,19499578,JPM
2014-02-06,48.645,49.6996,48.5131,49.6381,20921199,JPM
2014-02-07,49.7875,50.0336,49.4403,49.7611,25065229,JPM
2014-02-10,49.893,50.0248,49.559,49.8666,14727327,JPM
2014-02-11,49.7523,50.596,49.726,50.473,18817088,JPM
2014-02-12,50.3939,50.7191,50.2357,50.5521,13447621,JPM
2014-02-13,50.1566,51.0618,50.0599,51.0003,16607191,JPM
2014-02-14,50.8773,51.1761,50.7542,51.1058,13186804,JPM
2014-02-18,50.9915,51.5452,50.8861,51.4046,14992626,JPM
2014-02-19,51.2903,51.4485,50.2884,50.3236,18687923,JPM
2014-02-20,50.5609,50.9485,50.3323,50.6048,12463670,JPM
2014-02-21,50.6136,50.8333,50.4203,50.6312,16790791,JPM
2014-02-24,50.64,51.1761,50.6004,51.0003,16211245,JPM
2014-02-25,50.8861,50.9564,50.0248,50.1215,17996128,JPM
2014-02-26,50.4203,50.4291,49.4122,49.8754,23674645,JPM
2014-02-27,49.9017,49.9984,49.3393,49.8226,16285365,JPM
2014-02-28,49.7172,50.4906,49.559,49.9369,18599829,JPM
2014-03-03,49.4799,49.5854,48.9438,49.4008,19150953,JPM
2014-03-04,50.0511,50.4115,49.7787,50.3236,17174334,JPM
2014-03-05,50.5169,51.2288,50.4115,51.1146,17762232,JPM
2014-03-06,51.4222,51.9279,51.3255,51.7649,19430068,JPM
2014-03-07,52.1604,52.5559,51.9143,52.2044,18615141,JPM
2014-03-10,51.9759,52.2747,51.7342,52.0286,16965386,JPM
2014-03-11,52.2219,52.2483,51.0882,51.1409,19436589,JPM
2014-03-12,50.7103,50.9388,50.4642,50.9036,17937197,JPM
