date,open,high,low,close,volume,Name
2014-01-24,51.3679,51.578,50.93,50.93,1209612,JWN
2014-01-27,50.9563,51.3591,50.5535,50.6323,1413418,JWN
2014-01-28,50.6761,51.4467,50.6586,50.9913,1739818,JWN
2014-01-29,50.7286,51.0877,49.5815,49.6515,2124079,JWN
2014-01-30,50.0193,50.6848,49.9142,50.2032,1237239,JWN
2014-01-31,49.7303,50.5447,49.5386,50.3083,1646198,JWN
2014-02-03,50.2032,50.2155,48.5832,48.7846,1885127,JWN
2014-02-04,49.0123,49.3188,48.4343,48.4956,2180941,JWN
2014-02-05,48.4256,50.2295,48.0753,50.0018,3223802,JWN
2014-02-06,50.2295,51.6919,50.1857,51.4029,1918792,JWN
2014-02-07,51.5168,51.9809,51.1139,51.4817,1353739,JWN
2014-02-10,51.2891,51.3591,50.7461,51.2716,1953392,JWN
2014-02-11,51.3679,51.8057,50.8863,51.5956,1625708,JWN
2014-02-12,51.6919,51.9546,50.8644,51.0176,1610205,JWN
2014-02-13,50.6673,51.3854,50.1769,51.2803,1280168,JWN
2014-02-14,51.1052,51.6306,50.9651,51.2015,873426,JWN
2014-02-18,51.5343,52.0247,51.3504,51.5956,1751261,JWN
2014-02-19,51.2015,52.0247,50.571,51.5605,1532164,JWN
2014-02-20,51.5605,52.2611,51.5518,52.0509,2684924,JWN
2014-02-21,51.1752,52.515,51.0176,51.8758,4675717,JWN
2014-02-24,52.0947,52.4012,51.3153,51.3241,2854035,JWN
2014-02-25,51.3766,52.0947,51.3241,51.867,2406724,JWN
2014-02-26,52.0772,53.6359,51.9546,53.3469,2240737,JWN
2014-02-27,53.2681,53.8111,53.1455,53.741,1786808,JWN
2014-02-28,53.6797,54.0037,53.4564,53.8373,1878568,JWN
2014-03-03,53.2243,53.7979,53.0667,53.6009,1494844,JWN
2014-03-04,54.0562,54.4328,53.8636,53.9862,1445708,JWN
2014-03-05,53.9512,54.2489,53.5483,53.9249,1511093,JWN
2014-03-06,53.9425,54.4708,53.6784,54.2154,1166766,JWN
2014-03-07,54.5148,55.0782,54.3915,54.9462,1361494,JWN
2014-03-10,54.9374,55.3071,54.7965,55.1399,1670288,JWN
2014-03-11,55.1839,55.5448,54.7349,54.8317,1570134,JWN
2014-03-12,54.8405,54.9022,54.3915,54.7613,1093021,JWN
2014-03-13,54.8493,55.2807,54.1142,54.1538,1447713,JWN
2014-03-14,54.0922,54.7789,53.9249,53.9953,1526197,JWN
2014-03-17,54.2771,54.9714,54.2683,54.6644,1289812,JWN
2014-03-18,54.5676,55.0694,54.5676,54.9462,1095103,JWN
2014-03-19,54.8581,55.2279,54.4091,54.7437,1096038,JWN
2014-03-20,54.5764,55.0166,54.4619,54.9022,897541,JWN
2014-03-21,55.3336,55.5977,54.9814,55.0254,2000243,JWN
2014-03-24,55.043,55.3071,54.3211,54.4091,1321740,JWN
2014-03-25,54.8669,55.3336,54.6909,55.0078,1733695,JWN
2014-03-26,55.087,55.4392,54.4531,54.55,1749717,JWN
2014-03-27,54.55,54.9814,54.2242,54.3915,1513916,JWN
2014-03-28,54.594,54.9286,54.145,54.4355,1203888,JWN
2014-03-31,54.7701,55.0694,54.3739,54.9814,1205041,JWN
2014-04-01,54.9902,55.8442,54.911,55.3688,1444693,JWN
2014-04-02,55.3424,56.2888,55.3424,56.0203,1380440,JWN
2014-04-03,56.0203,56.5133,55.5448,55.7914,1768111,JWN
2014-04-04,56.0995,56.5045,55.7958,55.8794,1834767,JWN
2014-04-07,55.765,55.8354,54.2066,54.3739,1316675,JWN
2014-04-08,54.3035,55.3159,53.9901,55.0782,1559855,JWN
2014-04-09,55.2279,55.3732,54.6213,55.3159,1066799,JWN
2014-04-10,55.3512,55.36,54.1538,54.1626,1173791,JWN
2014-04-11,53.6432,54.1714,53.0445,53.2294,2256858,JWN
2014-04-14,53.7664,53.8897,52.798,53.2822,1161811,JWN
2014-04-15,53.4759,53.9601,53.0533,53.6872,1084720,JWN
2014-04-16,54.1098,54.3651,53.8016,54.1098,788073,JWN
2014-04-17,53.9865,54.057,52.798,53.5639,2254945,JWN
2014-04-21,53.3967,53.6168,53.1678,53.3262,1146272,JWN
2014-04-22,53.2998,53.8809,53.0357,53.5463,1013940,JWN
2014-04-23,53.5639,54.506,53.4935,54.4884,1521279,JWN
2014-04-24,54.5852,54.9638,54.4267,54.6116,1125933,JWN
2014-04-25,54.4531,54.594,54.0217,54.1274,987941,JWN
