date,open,high,low,close,volume,Name
2015-07-06,62.822,65.7331,62.822,64.5562,3809713,KHC
2015-07-07,65.2376,66.1047,64.5562,66.0339,5794811,KHC
2015-07-08,65.7419,66.8037,65.5118,66.7152,4277461,KHC
2015-07-09,67.662,68.1893,65.9189,66.1843,4267057,KHC
2015-07-10,66.4055,68.8388,66.3613,68.4052,4982979,KHC
2015-07-13,70.3429,70.5199,68.9361,69.7501,9078901,KHC
2015-07-14,70.2987,70.3429,68.706,69.0157,18746119,KHC
2015-07-15,68.706,69.1661,67.6,67.8743,6330496,KHC
2015-07-16,68.1044,69.759,68.0868,69.6793,5634050,KHC
2015-07-17,70.281,70.5111,68.361,70.458,6100876,KHC
2015-07-20,70.7411,71.8471,70.0156,70.8827,10284545,KHC
2015-07-21,70.7588,71.387,70.2545,70.98,6123210,KHC
2015-07-22,71.5198,71.5817,69.5289,69.582,5201248,KHC
2015-07-23,69.8761,70.0097,68.29,68.3791,2975649,KHC
2015-07-24,68.5395,68.9939,67.6752,68.085,3116008,KHC
2015-07-27,68.2811,69.484,67.9781,68.9494,5774342,KHC
2015-07-28,69.8939,70.081,69.0563,69.787,1895916,KHC
2015-07-29,69.7335,69.769,68.6108,69.4216,2278559,KHC
2015-07-30,69.6889,71.0077,69.1454,70.58,3246987,KHC
2015-07-31,71.2305,71.2305,70.2726,70.8117,2685520,KHC
2015-08-03,71.2839,72.2017,71.2037,71.6136,2681801,KHC
2015-08-04,71.7918,72.175,70.9899,71.1146,2429632,KHC
2015-08-05,71.2928,72.175,71.1503,71.7116,4324721,KHC
2015-08-06,72.2195,72.3443,70.8473,71.0701,3708640,KHC
2015-08-07,70.5176,70.7315,68.8692,69.9117,3274134,KHC
2015-08-10,70.776,71.1057,70.0097,70.2236,3252284,KHC
2015-08-11,69.1721,71.7116,68.6731,69.4751,3889072,KHC
2015-08-12,69.3503,69.778,67.7999,68.3345,3688888,KHC
2015-08-13,68.6197,68.6731,67.5415,67.7108,2917485,KHC
2015-08-14,67.7821,68.3791,66.9329,68.094,2573375,KHC
2015-08-17,67.595,68.085,67.2831,67.5415,2260346,KHC
2015-08-18,67.4702,67.6778,66.8821,66.998,2009695,KHC
2015-08-19,66.8287,67.0871,65.8663,66.6326,3026467,KHC
2015-08-20,65.9554,66.6187,65.7416,66.1604,2206972,KHC
2015-08-21,65.3228,66.1604,64.3872,64.3961,5564549,KHC
2015-08-24,60.8052,64.3694,54.7282,63.1486,9844588,KHC
2015-08-25,63.7456,64.5119,62.3734,62.5605,4423354,KHC
2015-08-26,63.906,66.0356,61.9546,65.8574,5356315,KHC
2015-08-27,65.198,67.0514,65.1535,66.9891,5937763,KHC
2015-08-28,66.294,66.998,65.7772,66.5524,2150122,KHC
2015-08-31,66.1247,66.3208,64.6634,64.7436,2688401,KHC
2015-09-01,63.4694,64.6367,62.0526,62.4804,4671422,KHC
2015-09-02,63.1219,64.2179,62.6497,64.2179,2986466,KHC
2015-09-03,64.6545,65.8396,63.9684,64.2981,2595274,KHC
2015-09-04,63.3892,63.8793,62.4884,62.8813,2997042,KHC
2015-09-08,64.0219,66.2317,63.0952,66.0,4450669,KHC
2015-09-09,66.3386,66.3831,64.1377,64.307,2936421,KHC
2015-09-10,64.2714,65.0911,63.9595,64.2981,3619666,KHC
2015-09-11,64.3783,65.8752,63.7991,65.7238,2146733,KHC
2015-09-14,65.4921,66.5703,64.6501,66.4277,2927415,KHC
2015-09-15,66.7752,67.292,65.7193,67.1762,3393323,KHC
2015-09-16,67.0069,68.3524,66.2049,68.0494,2302883,KHC
2015-09-17,68.2365,69.2879,67.7197,68.1029,3142630,KHC
2015-09-18,67.3187,68.1652,66.8376,67.2207,7231726,KHC
2015-09-21,67.4435,67.889,66.793,67.0069,3256338,KHC
2015-09-22,66.0713,66.7128,65.6347,66.2138,2628741,KHC
2015-09-23,66.0891,66.4705,65.2739,65.3228,3713174,KHC
2015-09-24,65.0466,65.1713,63.8882,64.9753,4416111,KHC
2015-09-25,65.7594,65.804,64.8505,65.3584,3517027,KHC
2015-09-28,64.8773,65.2872,62.3645,62.3645,5006583,KHC
2015-09-29,62.516,63.2467,61.1705,61.6606,3870926,KHC
2015-09-30,62.0794,63.0863,61.8923,62.8902,3132780,KHC
2015-10-01,63.5051,64.1288,62.1686,63.113,2519675,KHC
2015-10-02,62.5427,63.6744,61.8121,63.6298,2593109,KHC
2015-10-05,64.1555,65.2693,63.576,64.3694,6323458,KHC
2015-10-06,64.4139,65.0911,64.0575,64.5743,2819787,KHC
2015-10-07,64.8149,65.7059,64.5833,65.1802,2325233,KHC
2015-10-08,65.1891,66.3564,64.8149,66.3208,2239703,KHC
2015-10-09,66.3029,67.0247,65.9287,66.2851,2938086,KHC
2015-10-12,66.3029,66.3029,65.3228,65.6881,2081888,KHC
2015-10-13,65.5901,65.8752,65.207,65.3852,2147545,KHC
2015-10-14,65.1535,66.2049,65.0466,65.7327,1956846,KHC
2015-10-15,66.0713,67.0247,65.8681,67.0247,2135670,KHC
2015-10-16,67.4346,69.5018,66.7128,68.9583,3435205,KHC
2015-10-19,68.5128,68.7889,67.9781,68.4326,1951906,KHC
2015-10-20,67.8979,68.7532,67.8177,68.4949,1922053,KHC
2015-10-21,68.6108,69.2701,68.2811,68.6553,2371767,KHC
2015-10-22,68.8068,71.2305,68.8068,71.2305,3951738,KHC
2015-10-23,70.5265,71.1859,68.9939,69.484,3179036,KHC
2015-10-26,69.6622,69.6622,68.1474,68.4415,2563812,KHC
2015-10-27,67.9068,69.0384,67.9068,68.7622,2435227,KHC
2015-10-28,68.7444,70.5711,68.0227,70.5533,2382026,KHC
2015-10-29,70.2503,70.3902,69.3673,70.081,1788502,KHC
2015-10-30,69.8315,70.384,69.3771,69.4751,2053021,KHC
2015-11-02,69.885,70.3305,69.2523,69.7424,1536530,KHC
2015-11-03,69.3503,69.5017,67.6131,68.1029,4489805,KHC
2015-11-04,68.0049,68.3152,67.0425,67.5593,2631285,KHC
2015-11-05,67.8979,68.1643,66.6059,67.2029,3347202,KHC
2015-11-06,65.7149,66.3831,63.7813,64.1644,8819867,KHC
2015-11-09,64.1555,64.7614,63.1308,63.4783,4231011,KHC
2015-11-10,63.9328,64.3516,63.3987,64.2268,3470418,KHC
2015-11-11,64.7793,64.9218,63.5853,64.2535,3537798,KHC
2015-11-12,63.9347,64.1121,63.0993,63.6832,3931505,KHC
2015-11-13,63.4317,64.4107,63.3958,63.5664,3008004,KHC
2015-11-16,63.791,64.77,63.7191,64.3613,2398441,KHC
2015-11-17,64.761,64.788,63.4496,64.1772,4247437,KHC
2015-11-18,64.5275,65.6009,63.9257,65.1967,3780235,KHC
2015-11-19,65.794,66.2251,64.9766,65.8748,2828653,KHC
2015-11-20,66.6203,67.8778,65.9287,66.1533,4003244,KHC
2015-11-23,66.4946,66.9527,66.3733,66.5305,2706173,KHC
2015-11-24,66.2251,66.9257,66.1802,66.8898,2863937,KHC
2015-11-25,66.8718,67.294,66.3329,67.0425,2384073,KHC
2015-11-27,66.9796,67.3658,66.6652,67.0155,777321,KHC
2015-11-30,66.9347,67.2401,66.0185,66.1892,4200074,KHC
2015-12-01,66.6742,67.3658,66.288,66.8898,3749325,KHC
2015-12-02,66.6563,67.0244,65.4977,65.6054,2568705,KHC
2015-12-03,65.8389,66.1802,63.8538,64.1862,3019136,KHC
2015-12-04,64.1323,65.3269,63.8359,64.8688,4495856,KHC
2015-12-07,64.5994,64.8549,63.6385,64.1592,3323628,KHC
2015-12-08,63.773,64.3612,63.4029,64.2491,4520579,KHC
2015-12-09,63.9167,64.8239,63.3239,63.6832,3940794,KHC
2015-12-10,63.6203,64.0739,63.3329,63.6293,2733737,KHC
2015-12-11,62.9556,63.4946,62.3269,62.5963,3755995,KHC
2015-12-14,62.9377,63.8449,62.6682,63.7505,3895009,KHC
2015-12-15,64.4287,65.3449,64.3568,64.6802,4168696,KHC
2015-12-16,65.2191,65.7491,64.5724,65.5784,2176876,KHC
2015-12-17,65.5245,65.8389,64.5814,64.5994,2402721,KHC
2015-12-18,64.1502,64.6173,63.4407,63.4766,6568343,KHC
2015-12-21,63.8614,64.8938,63.7256,64.6402,5466879,KHC
2015-12-22,64.8757,66.2793,64.5814,66.0439,5053274,KHC
2015-12-23,66.3789,67.7192,66.0982,67.4747,4193443,KHC
2015-12-24,67.7464,67.7464,66.9042,66.9766,1962511,KHC
2015-12-28,66.7502,66.8176,66.0077,66.4876,5421794,KHC
2015-12-29,66.6959,67.7917,66.4695,67.6377,4351737,KHC
2015-12-30,67.6015,67.8822,66.7502,66.7865,1779981,KHC
2015-12-31,66.4423,66.5601,65.7722,65.8899,1857050,KHC
2016-01-04,64.6402,65.9714,64.6131,65.8356,5209447,KHC
2016-01-05,65.8718,66.6325,65.4553,66.4604,3858575,KHC
2016-01-06,65.3828,66.7231,65.2289,66.5872,3294730,KHC
2016-01-07,65.2107,66.0982,65.0659,65.1111,4050321,KHC
2016-01-08,65.3738,65.6273,64.3867,64.4591,3092105,KHC
2016-01-11,64.6131,65.6817,64.0878,65.4462,3329473,KHC
2016-01-12,65.9714,66.4242,65.3209,66.3156,2924618,KHC
2016-01-13,66.2793,66.5057,63.9701,64.1241,3448459,KHC
2016-01-14,64.2599,64.774,63.6658,64.0607,4610603,KHC
2016-01-15,62.3944,63.5264,61.7424,62.6661,6551215,KHC
2016-01-19,63.3996,63.8614,62.983,63.5445,5107078,KHC
2016-01-20,62.7385,64.8213,62.2495,64.4501,4606976,KHC
2016-01-21,65.2017,66.4061,64.5915,66.1526,6208213,KHC
2016-01-22,66.6506,67.4656,65.6635,67.366,3111765,KHC
2016-01-25,66.7412,67.6196,66.4153,67.04,4123073,KHC
2016-01-26,66.4423,68.824,66.4423,68.8059,3851276,KHC
2016-01-27,68.7063,69.8654,68.0543,68.7968,5348171,KHC
2016-01-28,69.0685,69.7205,68.3531,68.9689,3542405,KHC
2016-01-29,69.639,70.8344,69.1862,70.6895,4508248,KHC
2016-02-01,70.0647,70.1643,68.5252,69.7386,3564201,KHC
2016-02-02,68.7968,69.5485,68.5704,68.7968,5631636,KHC
2016-02-03,69.1591,69.1591,66.8589,67.8188,6239683,KHC
2016-02-04,67.9547,68.0994,66.0348,67.1487,7077139,KHC
2016-02-05,67.2664,67.52,65.3285,65.908,9351550,KHC
2016-02-08,65.2832,65.3828,63.5535,64.4953,4704643,KHC
2016-02-09,63.9339,65.1655,63.3996,64.758,4616880,KHC
2016-02-10,65.2651,66.3789,64.9416,65.3013,2520133,KHC
2016-02-11,64.2056,65.1655,63.5481,64.6946,3041545,KHC
2016-02-12,65.3828,65.6092,64.3142,65.1292,2985772,KHC
2016-02-16,66.0167,66.1616,65.1292,65.4824,3852061,KHC
2016-02-17,66.1073,67.366,65.6545,67.2302,3628134,KHC
2016-02-18,67.0853,67.2755,66.4152,66.5148,2755154,KHC
2016-02-19,66.0167,66.735,65.9533,66.5782,4333490,KHC
2016-02-22,67.366,67.366,65.3919,66.4061,2916664,KHC
2016-02-23,66.1978,66.551,65.7088,65.9443,2805581,KHC
2016-02-24,65.5005,66.4061,65.0432,66.0982,3526901,KHC
2016-02-25,66.4786,67.9003,66.4061,67.8822,4962306,KHC
2016-02-26,71.3596,71.4502,69.4126,70.4903,10319742,KHC
2016-02-29,69.9831,70.6352,69.6662,69.7477,4885535,KHC
2016-03-01,70.3273,70.5627,69.6571,70.3273,5445500,KHC
2016-03-02,70.282,70.4541,68.9327,70.1733,5075812,KHC
2016-03-03,70.0013,70.2277,69.2406,70.0647,3240154,KHC
2016-03-04,70.5537,70.5627,69.0595,69.9107,3677820,KHC
2016-03-07,69.7386,70.0828,68.9508,69.2768,2581169,KHC
2016-03-08,68.8331,69.8654,68.7697,69.0866,2783730,KHC
2016-03-09,69.4307,69.7296,68.6429,69.3945,2631348,KHC
2016-03-10,69.7115,69.8618,68.4165,69.0232,2107224,KHC
2016-03-11,69.965,70.0465,69.1953,69.6843,2342927,KHC
2016-03-14,69.6209,70.4268,68.9146,70.2458,2278270,KHC
2016-03-15,70.1462,70.4722,69.5666,70.4359,2924740,KHC
2016-03-16,71.143,71.2616,70.2033,71.1886,3400043,KHC
2016-03-17,70.7781,71.2525,70.0117,71.1704,4506370,KHC
2016-03-18,71.5079,71.5171,70.0391,70.5318,9081037,KHC
2016-03-21,70.2216,70.7051,69.4917,69.8749,3203356,KHC
2016-03-22,70.2398,70.2716,69.364,69.738,2615585,KHC
2016-03-23,69.8566,70.3037,69.5282,70.0756,2295790,KHC
2016-03-24,70.0391,70.4953,69.2075,69.7563,3356722,KHC
2016-03-28,69.9023,71.0974,69.3914,70.9423,3581804,KHC
2016-03-29,70.7781,71.9002,70.2763,71.8911,3907409,KHC
2016-03-30,72.0006,72.1192,71.4076,71.9824,3340584,KHC
2016-03-31,72.028,72.028,71.4167,71.6722,3400306,KHC
2016-04-01,71.6448,72.2196,71.2662,72.1466,3418193,KHC
2016-04-04,72.0462,72.1557,71.5079,71.9367,3495210,KHC
2016-04-05,71.5901,71.9367,71.0609,71.1704,2679566,KHC
2016-04-06,71.5444,71.5444,70.7051,71.4897,2421860,KHC
2016-04-07,71.1795,71.4258,70.2717,70.7051,3216442,KHC
2016-04-08,71.1339,71.7087,70.7416,71.5901,2138989,KHC
2016-04-11,71.8273,72.0736,71.0244,71.0792,2894766,KHC
2016-04-12,71.1613,71.736,70.7416,71.4623,2348275,KHC
2016-04-13,71.7816,71.8273,70.331,70.6139,3246351,KHC
2016-04-14,70.6139,70.9925,70.1486,70.404,3150477,KHC
2016-04-15,70.7598,71.4258,70.3675,71.2069,3042235,KHC
2016-04-18,71.0883,71.4897,70.4953,71.4715,2207308,KHC
2016-04-19,71.4715,71.9641,71.0335,71.435,2591180,KHC
2016-04-20,71.4715,71.7816,70.7051,71.0883,1867393,KHC
2016-04-21,70.9697,71.0883,69.9212,70.0117,2110736,KHC
2016-04-22,69.9752,71.2981,69.9752,71.2525,2409831,KHC
2016-04-25,71.0518,71.9276,70.7416,71.8273,2323826,KHC
2016-04-26,71.809,72.5754,71.6265,71.7999,2315687,KHC
2016-04-27,72.2743,72.5297,71.1521,72.1648,2249598,KHC
2016-04-28,71.663,72.2834,71.2434,71.4897,1962623,KHC
2016-04-29,70.8055,71.4213,70.3675,71.2251,3208743,KHC
2016-05-02,71.2251,73.214,71.1613,72.548,3700714,KHC
2016-05-03,72.0918,72.3382,71.3629,71.7816,2508165,KHC
2016-05-04,71.5992,73.2596,71.4258,72.9677,4686999,KHC
2016-05-05,75.6864,76.7903,75.2667,75.6955,8629304,KHC
2016-05-06,75.5678,76.6717,74.7558,76.6352,3993622,KHC
2016-05-09,76.6352,77.3559,76.3068,76.8724,3272295,KHC
2016-05-10,77.0366,78.6423,76.845,78.5876,3593730,KHC
2016-05-11,78.4325,78.9525,77.7209,77.73,2824540,KHC
2016-05-12,77.9854,79.062,77.6844,78.77,2427536,KHC
2016-05-13,78.4872,78.8704,77.2921,77.6661,2857256,KHC
2016-05-16,77.8486,78.6788,77.584,78.3413,2061887,KHC
2016-05-17,78.177,78.5146,74.6007,74.9565,7395062,KHC
2016-05-18,74.7649,75.0653,73.4057,74.0625,8695601,KHC
2016-05-19,73.7614,75.7411,73.5424,75.7229,3932845,KHC
2016-05-20,75.1755,75.5952,74.6463,75.1937,2720117,KHC
2016-05-23,75.2758,75.951,75.1937,75.5495,1996906,KHC
2016-05-24,75.8415,76.9773,75.4492,76.8359,2385573,KHC
2016-05-25,76.7578,77.8785,76.3628,77.41,2701475,KHC
2016-05-26,77.1804,77.9152,76.9415,76.9875,2424016,KHC
2016-05-27,76.8497,77.4008,76.7027,77.2538,1272865,KHC
2016-05-31,77.309,77.5662,75.9437,76.4179,3943680,KHC
2016-06-01,76.3261,77.1528,76.2434,77.1161,1955414,KHC
2016-06-02,77.0518,77.8877,76.7486,77.8785,2207230,KHC
2016-06-03,78.0806,78.4664,77.805,78.3562,3031379,KHC
2016-06-06,78.5399,78.6317,77.7958,78.0714,2552651,KHC
2016-06-07,78.2367,78.7052,77.7315,77.8509,2454660,KHC
2016-06-08,78.1357,78.4664,77.4651,78.2459,1757256,KHC
2016-06-09,78.0071,78.7512,77.8785,78.6501,2098598,KHC
2016-06-10,78.6317,78.6317,77.8142,78.3929,2117958,KHC
2016-06-13,78.3286,78.7695,77.7545,78.0347,2790387,KHC
2016-06-14,78.0255,78.347,77.4651,77.9704,2637713,KHC
2016-06-15,78.0806,78.4388,77.4927,77.9336,2967405,KHC
2016-06-16,77.7866,78.3745,77.1436,78.3378,2333360,KHC
2016-06-17,78.3929,78.4205,77.1804,77.9152,5526748,KHC
2016-06-20,78.5307,79.4585,78.2988,78.5399,2854143,KHC
2016-06-21,78.5766,79.4034,78.5307,78.7144,1953719,KHC
2016-06-22,78.9441,78.99,78.1541,78.2735,1961395,KHC
2016-06-23,78.9441,79.3556,78.471,79.3391,2452214,KHC
2016-06-24,76.8864,78.1724,76.6292,76.914,11942081,KHC
2016-06-27,76.4547,77.0242,75.7841,76.8221,3583834,KHC
2016-06-28,77.049,77.8877,76.2434,77.8693,3569449,KHC
2016-06-29,78.1081,79.3023,77.805,79.091,3348489,KHC
2016-06-30,79.3574,81.4151,79.1553,81.2773,5571245,KHC
2016-07-01,81.3692,82.1224,80.9742,81.0568,2551756,KHC
2016-07-05,81.0109,82.2051,80.3771,81.5161,3320380,KHC
2016-07-06,81.4335,82.4577,81.066,82.4347,3331672,KHC
2016-07-07,82.2786,82.5082,81.5804,82.0397,2525580,KHC
2016-07-08,82.6093,82.9124,81.8744,82.5358,3703552,KHC
2016-07-11,82.6093,82.8114,82.0397,82.5266,2860458,KHC
2016-07-12,82.2051,82.4164,80.4965,80.6527,4362929,KHC
2016-07-13,80.6802,81.8285,80.4965,81.7733,2702395,KHC
2016-07-14,81.8836,81.9819,80.7078,81.1487,3457827,KHC
2016-07-15,81.6631,81.957,80.9558,81.6264,2311908,KHC
2016-07-18,81.8285,82.0305,81.3324,81.8468,1769351,KHC
2016-07-19,81.608,81.856,81.0752,81.7274,1751675,KHC
2016-07-20,81.6356,81.709,80.7813,80.9925,2229505,KHC
2016-07-21,80.9282,81.0109,80.2177,80.5057,2081113,KHC
2016-07-22,80.8547,81.2865,80.6664,80.9833,2022941,KHC
2016-07-25,80.9833,81.2314,80.6802,81.213,1447370,KHC
2016-07-26,81.3324,81.5621,79.9545,79.9729,1553078,KHC
2016-07-27,80.2668,80.3403,78.2643,78.6593,3931690,KHC
2016-07-28,78.7052,79.1921,78.301,78.9624,2190301,KHC
2016-07-29,79.2105,79.5779,78.8707,79.3574,1778876,KHC
2016-08-01,79.2748,79.532,78.5583,78.9716,2778456,KHC
2016-08-02,78.7695,78.7695,77.7499,78.2184,2832285,KHC
2016-08-03,78.3654,78.5177,77.3916,77.9887,2491478,KHC
2016-08-04,78.2,78.6685,77.7866,78.5766,3221770,KHC
2016-08-05,82.5358,83.1237,81.2957,81.5621,5106387,KHC
2016-08-08,81.4886,81.5621,80.4597,81.5253,2427983,KHC
2016-08-09,81.6907,82.6644,81.5115,82.4715,2275827,KHC
2016-08-10,82.4623,82.6276,81.7274,82.0765,1423146,KHC
2016-08-11,82.4072,83.0686,82.0214,82.1591,2588811,KHC
2016-08-12,81.9662,83.1053,81.9662,82.2694,1539255,KHC
2016-08-15,82.4072,82.5725,81.6172,81.8285,1661022,KHC
2016-08-16,81.7825,81.9111,81.0706,81.7182,2259601,KHC
2016-08-17,81.8009,82.1867,81.0568,82.1316,1832898,KHC
2016-08-18,82.0305,82.545,81.8466,82.4531,1823007,KHC
2016-08-19,82.3061,82.8573,82.0765,82.6001,1694926,KHC
2016-08-22,82.5633,83.0318,82.2326,82.646,2092812,KHC
2016-08-23,82.9032,83.1145,82.0739,82.1867,2020041,KHC
2016-08-24,82.1589,82.2977,81.4099,82.2607,2581185,KHC
2016-08-25,82.2977,83.1762,82.0234,82.2144,1825891,KHC
2016-08-26,82.3439,82.7231,81.3081,81.5393,1863591,KHC
2016-08-29,81.7058,82.1312,81.5023,81.9093,1685105,KHC
2016-08-30,81.9647,82.1451,81.1694,81.3544,1841543,KHC
2016-08-31,81.4838,83.0653,81.4838,82.7601,2696431,KHC
2016-09-01,82.8341,82.9635,81.8815,82.7508,2215474,KHC
2016-09-02,83.1392,83.7311,82.4086,82.871,2062089,KHC
2016-09-06,82.945,83.3982,82.4315,82.9913,1786384,KHC
2016-09-07,82.5196,83.056,82.2699,83.0375,3344795,KHC
2016-09-08,82.9543,83.0375,82.0387,82.4826,2191620,KHC
2016-09-09,81.6041,81.724,79.4863,79.5048,3837863,KHC
2016-09-12,79.1441,82.0295,78.9314,81.9,3014953,KHC
2016-09-13,82.5566,82.5566,80.8735,81.6318,2579768,KHC
2016-09-14,81.5023,82.1405,80.8087,81.0862,1910701,KHC
2016-09-15,80.7903,82.5474,80.7533,82.4641,1967612,KHC
2016-09-16,82.1497,82.4271,81.0584,82.2514,4476758,KHC
2016-09-19,82.1959,82.3069,80.3648,80.4296,4032444,KHC
2016-09-20,80.9012,81.1232,80.5498,80.5683,3018384,KHC
2016-09-21,80.6978,81.5301,80.2354,81.2989,2592413,KHC
2016-09-22,81.9647,82.4549,81.6966,82.3532,1516795,KHC
2016-09-23,82.4826,82.7693,82.0017,82.1497,1466988,KHC
2016-09-26,82.1035,82.2884,81.4376,81.8723,1487435,KHC
2016-09-27,82.085,82.7601,81.863,82.5196,1530325,KHC
2016-09-28,82.8433,82.8803,82.1312,82.8156,1628667,KHC
2016-09-29,82.5196,82.7046,81.7613,81.9093,1411764,KHC
2016-09-30,82.3069,83.1485,82.1682,82.7786,2499174,KHC
2016-10-03,82.5381,82.7323,82.0757,82.3809,1857873,KHC
2016-10-04,82.5751,82.5751,81.0954,81.4006,1940530,KHC
2016-10-05,81.6781,81.6781,80.7718,80.8087,1910963,KHC
2016-10-06,80.4851,81.0677,80.2539,80.9105,1172102,KHC
2016-10-07,81.1602,81.1602,80.1799,80.8272,1723648,KHC
2016-10-10,80.8642,82.0017,80.8642,81.8445,2012548,KHC
2016-10-11,81.6041,81.8444,80.5128,80.6793,2508653,KHC
2016-10-12,81.8075,81.8075,80.4573,80.5868,3072897,KHC
2016-10-13,80.2631,80.7533,79.9949,80.5036,2861894,KHC
2016-10-14,80.7718,82.0295,80.5128,81.8723,2388906,KHC
2016-10-17,82.048,82.3069,81.4099,82.1497,2208358,KHC
2016-10-18,83.3149,83.3704,82.2144,82.2422,2739950,KHC
2016-10-19,82.2422,82.2607,80.966,81.4561,2720953,KHC
2016-10-20,80.6608,82.085,80.6608,81.3451,2662129,KHC
2016-10-21,81.0584,81.5486,80.4385,81.3081,2086578,KHC
2016-10-24,81.9462,82.5104,81.8547,82.2237,1744473,KHC
2016-10-25,82.5196,82.9358,81.5393,81.715,3220140,KHC
2016-10-26,81.8538,82.0295,81.2989,81.4561,1513368,KHC
2016-10-27,81.5393,81.7242,80.6247,81.0954,2127848,KHC
2016-10-28,80.9012,82.0017,80.9012,81.4561,1771052,KHC
2016-10-31,81.789,82.4549,81.6688,82.2607,3578117,KHC
2016-11-01,82.3069,82.4734,81.4838,81.7243,2542688,KHC
2016-11-02,81.9647,82.0202,81.3636,81.5208,1917836,KHC
2016-11-03,81.4931,81.7243,79.6527,79.7637,5041946,KHC
2016-11-04,75.8611,78.8297,74.9085,77.7292,7825153,KHC
2016-11-07,78.9037,79.6158,77.9604,79.5603,4101146,KHC
2016-11-08,79.7452,82.1589,79.5973,81.6966,2791206,KHC
2016-11-09,79.699,80.4296,77.8494,78.5522,5097213,KHC
2016-11-10,78.6355,79.0979,74.5016,75.297,7643625,KHC
2016-11-11,74.9085,75.5929,74.1317,75.1028,4151058,KHC
2016-11-14,74.9178,75.4912,73.9098,74.0577,4463441,KHC
2016-11-15,74.5109,75.5744,74.1872,75.038,5723931,KHC
2016-11-16,75.26,76.5269,75.1767,76.2033,3327175,KHC
2016-11-17,76.12,76.6102,75.3709,76.6102,3161607,KHC
2016-11-18,76.4807,76.6934,75.8518,76.3235,2715717,KHC
