date,open,high,low,close,volume,Name
2014-01-24,44.2314,44.2314,42.8934,43.2558,2513834,KLAC
2014-01-27,43.3603,43.4649,42.6356,42.9979,1392716,KLAC
2014-01-28,42.991,43.4161,42.6495,42.9352,1811769,KLAC
2014-01-29,42.8168,43.1513,42.6007,42.8725,1389341,KLAC
2014-01-30,43.3046,43.4649,42.6843,42.984,1498139,KLAC
2014-01-31,42.2941,42.9666,42.2453,42.8377,1638394,KLAC
2014-02-03,41.9735,42.4544,41.4718,41.6251,2006484,KLAC
2014-02-04,41.8132,42.0641,41.423,42.0153,1669532,KLAC
2014-02-05,41.9247,42.761,41.7087,42.4613,1556621,KLAC
2014-02-06,42.4474,43.653,42.4369,43.0885,1742967,KLAC
2014-02-07,43.214,43.4579,42.8655,43.3743,893950,KLAC
2014-02-10,43.214,43.4718,43.1234,43.437,924080,KLAC
2014-02-11,43.3882,44.4544,43.3882,44.329,1070980,KLAC
2014-02-12,44.2454,44.7332,44.2314,44.4544,1123730,KLAC
2014-02-13,44.0263,45.2335,43.9631,45.2264,1287538,KLAC
2014-02-14,44.9878,45.9283,44.9878,45.816,1411917,KLAC
2014-02-18,45.7739,45.9634,45.2194,45.2615,1350323,KLAC
2014-02-19,45.1984,45.4019,44.9668,45.1984,1433624,KLAC
2014-02-20,45.3387,45.5984,45.1731,45.3738,1154604,KLAC
2014-02-21,45.5774,46.0651,45.2756,45.5984,1639731,KLAC
2014-02-24,45.9704,46.3423,45.6475,45.8651,985415,KLAC
2014-02-25,45.8651,45.9423,45.3668,45.809,1081549,KLAC
2014-02-26,46.0055,46.4055,45.6546,45.7879,870774,KLAC
2014-02-27,45.6686,45.8721,45.2685,45.5984,871982,KLAC
2014-02-28,45.7037,46.0265,45.3177,45.7247,1158627,KLAC
2014-03-03,45.2405,45.5002,44.8474,45.1422,758124,KLAC
2014-03-04,45.6616,46.0529,45.423,45.7739,1097735,KLAC
2014-03-05,45.823,46.0125,45.5352,45.9423,602294,KLAC
2014-03-06,45.9283,46.4862,45.823,46.4125,830852,KLAC
2014-03-07,46.6161,47.1354,46.4055,46.9179,1314168,KLAC
2014-03-10,46.981,47.1144,46.2546,46.4196,1168512,KLAC
2014-03-11,46.6933,47.3741,46.2862,46.581,1207318,KLAC
2014-03-12,46.209,47.4899,46.1739,47.4653,1767941,KLAC
2014-03-13,47.4653,47.5916,46.6091,46.8477,2131019,KLAC
2014-03-14,46.6442,47.1775,46.6442,46.9389,1429404,KLAC
2014-03-17,47.1144,47.6057,47.0302,47.5706,1639696,KLAC
2014-03-18,47.4232,48.1777,47.3951,48.111,1213162,KLAC
2014-03-19,48.1952,48.5181,47.7811,48.1461,1277486,KLAC
2014-03-20,47.7811,49.1006,47.6969,49.083,1791273,KLAC
2014-03-21,49.648,49.6691,48.9602,49.1427,2401291,KLAC
2014-03-24,49.3673,49.5147,48.6093,48.8339,1890166,KLAC
2014-03-25,48.9953,49.1287,48.6795,48.9953,1354365,KLAC
2014-03-26,49.3111,49.6761,48.4058,48.4198,1366724,KLAC
2014-03-27,48.4479,48.4479,47.8794,48.0759,1399308,KLAC
2014-03-28,48.1882,49.0023,48.0268,48.2514,810576,KLAC
2014-03-31,48.4689,49.0234,48.3286,48.5251,1171613,KLAC
2014-04-01,48.8199,49.1567,48.4759,49.1427,1280264,KLAC
2014-04-02,49.3041,49.7954,48.9463,49.7533,1697864,KLAC
2014-04-03,49.5006,50.4832,49.5006,49.9849,1650834,KLAC
2014-04-04,50.2446,50.2867,48.5454,48.7076,2415959,KLAC
2014-04-07,48.7005,48.7005,47.7601,48.2935,2562318,KLAC
2014-04-08,47.9426,48.097,47.4513,47.746,1711479,KLAC
2014-04-09,47.9776,48.3987,47.5214,48.3356,1080137,KLAC
2014-04-10,48.4198,48.4409,46.7073,46.7986,1809889,KLAC
2014-04-11,46.4125,46.9319,45.8511,45.9704,2064044,KLAC
2014-04-14,46.3283,46.6582,45.837,46.2581,1162232,KLAC
2014-04-15,46.3213,46.581,45.6335,46.4266,1229648,KLAC
2014-04-16,45.6335,46.1669,44.8896,46.1669,1923732,KLAC
2014-04-17,46.0476,46.7635,46.0336,46.3985,1293663,KLAC
2014-04-21,46.7284,46.9101,46.2652,46.602,708204,KLAC
2014-04-22,46.4196,47.0372,46.2581,46.8547,926313,KLAC
2014-04-23,46.7354,47.1074,46.5389,46.8266,1553520,KLAC
2014-04-24,47.739,48.1391,46.6722,47.5425,2469428,KLAC
2014-04-25,44.2158,45.6195,43.928,44.1526,4479837,KLAC
2014-04-28,44.4193,44.7773,43.6333,44.5316,2244990,KLAC
2014-04-29,44.8755,45.5703,44.5035,45.1071,2534289,KLAC
2014-04-30,44.9878,45.5352,44.7913,44.9106,3010803,KLAC
2014-05-01,44.9106,45.1352,44.0368,44.1596,2399176,KLAC
2014-05-02,44.2509,44.6088,44.0403,44.3562,1072636,KLAC
2014-05-05,43.8789,44.3,43.8438,44.0123,1215285,KLAC
2014-05-06,44.0895,44.1105,43.5568,43.7245,1003454,KLAC
2014-05-07,43.7175,44.1632,43.4718,44.1456,1428094,KLAC
2014-05-08,43.8157,44.8053,43.7947,43.928,1194792,KLAC
2014-05-09,43.8228,44.3772,43.5034,44.293,1117426,KLAC
2014-05-12,44.5667,45.2335,44.4474,45.0019,1070372,KLAC
2014-05-13,45.065,45.1141,44.2368,44.286,1527787,KLAC
2014-05-14,43.7526,44.4544,43.7526,44.2088,986346,KLAC
2014-05-15,44.1876,44.2229,43.4241,44.0957,1455002,KLAC
2014-05-16,43.9119,44.9793,43.9119,44.64,1552061,KLAC
2014-05-19,44.5339,45.2267,44.5339,45.0076,1081452,KLAC
2014-05-20,45.0712,45.0995,44.5198,44.6895,1045467,KLAC
2014-05-21,44.9015,45.1489,44.6895,44.9298,603933,KLAC
2014-05-22,45.0429,45.2762,44.852,44.9864,826911,KLAC
2014-05-23,45.1701,45.4529,45.0076,45.3681,886371,KLAC
2014-05-27,45.5165,46.1174,45.3186,46.1174,1184327,KLAC
2014-05-28,46.2446,46.3153,45.8063,46.2446,1062044,KLAC
2014-05-29,46.287,46.4496,45.976,46.4072,1172122,KLAC
2014-05-30,46.4779,46.5698,46.0538,46.3153,767273,KLAC
2014-06-02,46.4637,46.7536,46.1244,46.3577,561742,KLAC
2014-06-03,46.0679,46.7324,46.0679,46.5486,1032884,KLAC
2014-06-04,46.4425,46.9091,46.4213,46.8313,1087961,KLAC
2014-06-05,46.8031,47.1494,46.5062,46.9727,969677,KLAC
2014-06-06,47.312,47.3615,47.0717,47.3403,666102,KLAC
2014-06-09,47.3615,48.1179,47.3474,48.0825,1287738,KLAC
2014-06-10,48.1461,48.2451,47.6584,48.1461,1020667,KLAC
2014-06-11,47.5453,48.4925,47.5453,48.1532,887848,KLAC
2014-06-12,48.0189,48.4218,47.821,47.9624,1527419,KLAC
2014-06-13,48.2522,48.5915,48.0472,48.4713,791734,KLAC
2014-06-16,48.033,48.7753,48.033,48.5632,574142,KLAC
2014-06-17,48.3936,48.9803,48.3511,48.8742,697911,KLAC
2014-06-18,48.9379,48.9873,48.2027,48.8035,707977,KLAC
2014-06-19,48.8318,48.9732,48.2239,48.7187,1010062,KLAC
2014-06-20,48.9166,49.4963,48.8248,49.4822,1963790,KLAC
2014-06-23,49.4822,49.7296,49.2913,49.7013,956296,KLAC
2014-06-24,49.4822,49.7013,48.9732,49.0863,1406422,KLAC
2014-06-25,49.2489,49.4256,48.7541,49.3408,1483591,KLAC
2014-06-26,49.3408,49.4557,48.8742,49.4539,1150270,KLAC
2014-06-27,49.4822,50.3057,49.2913,50.1678,4251331,KLAC
2014-06-30,50.8677,51.4473,50.5354,51.3483,1973549,KLAC
2014-07-01,51.412,52.0199,51.2564,51.6523,1810436,KLAC
2014-07-02,51.4473,51.9209,51.419,51.7725,1756045,KLAC
2014-07-03,52.0482,52.8045,51.928,52.748,1509550,KLAC
