date,open,high,low,close,volume,Name
2014-01-24,51.9643,52.1537,51.508,51.508,1950707,K
2014-01-27,51.508,51.8653,51.4391,51.5338,1399764,K
2014-01-28,51.6457,51.9901,51.4133,51.6802,1909716,K
2014-01-29,51.551,51.551,50.0358,50.2511,3133153,K
2014-01-30,50.5266,50.6643,49.8809,50.0445,2841406,K
2014-01-31,49.6312,50.2683,49.5107,49.9153,2376797,K
2014-02-03,49.9411,50.0617,48.9081,48.9855,2555988,K
2014-02-04,49.1663,49.4418,48.9683,49.2955,2468937,K
2014-02-05,49.2438,49.7173,49.0716,49.3902,3136987,K
2014-02-06,49.0716,49.7776,47.9438,49.7087,6290757,K
2014-02-07,49.9325,50.4215,49.7173,50.2425,3172661,K
2014-02-10,50.2425,51.0948,50.2252,51.0775,3306648,K
2014-02-11,50.6643,51.5855,50.6643,51.5424,3488882,K
2014-02-12,51.4563,51.749,50.957,51.1464,2793197,K
2014-02-13,50.9914,51.2325,50.8795,51.2067,2665108,K
2014-02-14,51.4047,51.8782,51.2669,51.8179,1638013,K
2014-02-18,51.8179,51.8954,51.4133,51.7577,1366316,K
2014-02-19,51.7921,51.8868,51.3444,51.4219,2420264,K
2014-02-20,51.3272,51.9384,51.1722,51.861,1787831,K
2014-02-21,51.7749,52.0242,51.5941,51.6113,1293532,K
2014-02-24,52.0762,52.455,51.7706,52.2656,2025918,K
2014-02-25,52.3172,52.7391,52.2225,52.3603,2658688,K
2014-02-26,52.4033,52.6099,51.9212,51.9384,2113867,K
2014-02-27,51.7663,51.9987,51.4738,51.7921,2152646,K
2014-02-28,51.8782,52.498,51.7921,52.2484,1872636,K
2014-03-03,51.9471,52.3081,51.7404,52.2311,2009225,K
2014-03-04,52.5174,53.2027,52.4914,53.142,2513360,K
2014-03-05,53.1594,53.3068,52.8471,53.1594,2132312,K
2014-03-06,53.168,53.3415,52.9772,53.2895,2137470,K
2014-03-07,53.3242,53.437,53.0986,53.437,1629454,K
2014-03-10,53.437,53.5909,53.1767,53.5064,1331125,K
