date,open,high,low,close,volume,Name
2014-01-24,20.4199,20.535,19.8639,19.9789,11294757,LUV
2014-01-27,19.9789,20.1227,19.3846,19.7584,8326807,LUV
2014-01-28,20.0652,20.5541,19.9789,20.4295,9880587,LUV
2014-01-29,20.209,20.6788,19.6626,19.7584,12384992,LUV
2014-01-30,19.9406,20.4487,19.931,20.3432,11467610,LUV
2014-01-31,20.1036,20.3816,20.0173,20.0844,9510914,LUV
2014-02-03,20.1132,20.1515,19.4996,19.5859,11375523,LUV
2014-02-04,19.7776,19.8974,19.4516,19.7968,7692037,LUV
2014-02-05,19.7489,19.816,19.3941,19.7584,9161190,LUV
2014-02-06,19.7489,20.2282,19.7105,20.094,7161478,LUV
2014-02-07,20.1227,20.6356,20.0556,20.5446,10232709,LUV
2014-02-10,20.535,20.6404,20.0748,20.1515,8428617,LUV
2014-02-11,20.257,20.5158,20.094,20.4391,8676585,LUV
2014-02-12,20.4583,20.4966,20.094,20.3336,7782099,LUV
2014-02-13,20.209,20.4343,20.1323,20.3241,7051763,LUV
2014-02-14,20.2761,20.5446,20.2186,20.4199,5357887,LUV
2014-02-18,20.535,20.6788,20.1036,20.1611,7443351,LUV
2014-02-19,20.1419,20.2953,20.0173,20.0844,7691390,LUV
2014-02-20,20.1707,20.8609,20.1036,20.8034,8849639,LUV
2014-02-21,20.8034,21.0143,20.7171,20.8609,8896979,LUV
2014-02-24,20.8609,21.3594,20.8322,21.2444,9631392,LUV
2014-02-25,21.2636,21.6183,21.2348,21.3786,8950726,LUV
2014-02-26,21.5512,21.6902,21.3307,21.4937,7267201,LUV
2014-02-27,21.4457,21.6854,21.3786,21.532,5728710,LUV
2014-02-28,21.4074,21.6231,21.2417,21.5128,6996782,LUV
2014-03-03,21.2348,21.4648,20.9184,21.3786,7918592,LUV
2014-03-04,21.8012,22.0893,21.6859,21.9261,10436836,LUV
2014-03-05,22.0125,22.3102,21.9261,22.1181,7478097,LUV
2014-03-06,22.2046,22.4255,22.1181,22.2046,7330076,LUV
2014-03-07,22.339,22.3486,21.9645,22.1854,7067117,LUV
2014-03-10,22.2238,22.7328,22.1854,22.6656,7952402,LUV
2014-03-11,22.6656,23.0737,22.4927,22.8384,7451801,LUV
2014-03-12,22.9729,23.1938,22.7808,22.9537,8013771,LUV
2014-03-13,23.0017,23.0305,22.5599,22.6656,8093690,LUV
2014-03-14,22.656,23.1794,22.5119,22.9729,8198211,LUV
2014-03-17,23.1362,23.1554,22.8096,23.0305,6500335,LUV
2014-03-18,23.0593,23.213,22.9345,22.9537,6802541,LUV
2014-03-19,22.9633,23.0881,22.656,22.8288,5972981,LUV
2014-03-20,22.752,22.9441,22.6559,22.9345,5590785,LUV
2014-03-21,23.1362,23.1554,22.2622,22.2622,12407858,LUV
2014-03-24,22.4543,22.6348,22.1374,22.4447,5548525,LUV
2014-03-25,22.5695,22.8769,22.5503,22.7616,3968488,LUV
2014-03-26,22.8769,22.9249,22.4735,22.5119,5129647,LUV
2014-03-27,22.4639,22.4639,21.878,22.243,6001421,LUV
2014-03-28,22.2238,22.7232,22.1373,22.243,5706565,LUV
2014-03-31,22.3774,22.7712,22.3582,22.6752,4551160,LUV
2014-04-01,22.7904,22.9921,22.7328,22.9921,5625649,LUV
2014-04-02,23.0593,23.4819,22.9921,23.117,9199403,LUV
2014-04-03,23.1362,23.3378,22.8672,23.0593,4466984,LUV
2014-04-04,23.2034,23.2898,22.7617,22.8672,5740929,LUV
2014-04-07,22.8576,23.1362,22.3486,22.5023,7303750,LUV
2014-04-08,22.5695,22.6848,21.9837,22.5791,9137859,LUV
2014-04-09,22.6656,23.2562,22.5406,23.1938,7008267,LUV
2014-04-10,23.2802,23.2898,22.1758,22.2142,9464779,LUV
2014-04-11,22.1854,22.5119,21.782,21.8492,8274915,LUV
2014-04-14,22.1854,22.2334,21.4651,21.6187,7449397,LUV
2014-04-15,21.9837,22.2958,21.5419,21.9933,8621570,LUV
2014-04-16,22.195,22.6271,22.0365,22.6079,7362180,LUV
2014-04-17,22.7328,22.7616,22.1133,22.5599,6264809,LUV
2014-04-21,22.6079,22.6752,22.339,22.656,4972867,LUV
2014-04-22,22.7232,23.0977,22.6944,22.9825,5230858,LUV
2014-04-23,23.4147,23.4243,22.8192,23.1266,7802475,LUV
2014-04-24,23.3668,23.4819,22.5791,23.309,8362773,LUV
2014-04-25,23.0977,23.4627,22.9057,23.0017,4998991,LUV
2014-04-28,23.0881,23.2226,22.5695,22.8961,4885609,LUV
2014-04-29,22.9441,23.261,22.68,23.2322,4531508,LUV
2014-04-30,23.261,23.3859,23.0065,23.213,4911333,LUV
2014-05-01,23.213,23.6548,23.213,23.3667,5751893,LUV
2014-05-02,23.4147,23.4243,23.0401,23.2226,6013253,LUV
2014-05-05,23.1073,23.3474,22.9345,23.2994,4365871,LUV
2014-05-06,23.3763,23.4243,23.1554,23.2418,6246253,LUV
2014-05-07,23.3186,23.4339,22.9057,23.2418,5860718,LUV
2014-05-08,23.1362,23.6548,23.1362,23.4915,6569671,LUV
2014-05-09,23.4243,23.4723,23.0689,23.3955,3995858,LUV
2014-05-12,23.4915,23.9813,23.4915,23.9525,4955364,LUV
2014-05-13,23.9141,24.0773,23.7508,23.9909,5295959,LUV
2014-05-14,23.9525,23.9813,23.722,23.9237,7214315,LUV
2014-05-15,23.8757,23.9525,23.5011,23.7796,5425213,LUV
2014-05-16,23.7796,23.818,23.4435,23.6356,4916485,LUV
2014-05-19,23.626,24.2118,23.5779,24.1254,3911054,LUV
2014-05-20,24.0966,24.1926,23.8084,23.9621,3741321,LUV
2014-05-21,24.0005,24.2118,23.9621,24.1158,3513553,LUV
2014-05-22,24.1158,24.3463,24.1062,24.2694,2918567,LUV
2014-05-23,24.3463,24.8073,24.3271,24.7688,4455793,LUV
2014-05-27,24.8553,24.9609,24.7381,24.8457,3772458,LUV
2014-05-28,24.9129,25.4795,24.8841,25.3835,5545626,LUV
2014-05-29,25.4027,25.5372,25.0954,25.3931,4107178,LUV
2014-05-30,25.3547,25.5852,25.3163,25.4027,7037875,LUV
2014-06-02,25.4893,25.7781,25.2006,25.7107,4973683,LUV
2014-06-03,25.7492,26.2017,25.7396,26.1824,8114540,LUV
2014-06-04,26.0091,26.3653,25.9129,26.3364,5161011,LUV
2014-06-05,26.4616,26.6156,26.2017,26.2594,8612165,LUV
2014-06-06,26.2979,26.5578,26.2498,26.5578,4102742,LUV
2014-06-09,26.6059,26.6637,26.2113,26.423,5692957,LUV
2014-06-10,26.4712,26.4808,26.0476,26.269,5622415,LUV
2014-06-11,26.0284,26.1728,25.7791,25.9321,9001303,LUV
2014-06-12,25.6722,25.6819,24.5171,24.7578,13576222,LUV
2014-06-13,24.7385,25.4508,24.7193,25.3161,9711261,LUV
2014-06-16,25.2198,25.345,24.9503,25.1236,6515235,LUV
2014-06-17,25.4893,25.7011,25.2968,25.6337,7454741,LUV
2014-06-18,25.6241,25.73,25.2102,25.6722,5877761,LUV
2014-06-19,25.7685,26.0669,25.73,26.0669,6860712,LUV
2014-06-20,26.192,26.3557,26.1054,26.269,8723285,LUV
2014-06-23,26.2594,26.346,25.7877,25.9129,4500145,LUV
2014-06-24,25.8936,26.1054,25.6337,25.6434,4208539,LUV
2014-06-25,25.6241,26.0476,25.4508,25.961,4006498,LUV
2014-06-26,25.9995,26.0861,25.7492,26.0476,3241438,LUV
2014-06-27,25.9803,26.192,25.8839,26.1246,9311043,LUV
2014-06-30,26.1343,26.2209,25.7877,25.8551,4883025,LUV
