date,open,high,low,close,volume,Name
2014-01-24,46.1174,46.3636,45.196,45.3548,1310508,MAC
2014-01-27,45.3469,45.5296,44.5764,44.6082,865705,MAC
2014-01-28,44.6559,45.0133,44.5844,44.6717,796967,MAC
2014-01-29,44.2984,44.6797,43.8536,44.1475,951938,MAC
2014-01-30,44.4573,44.7353,44.2508,44.5844,825741,MAC
2014-01-31,44.0363,45.2675,43.9172,44.9577,1093701,MAC
2014-02-03,45.0371,45.1166,44.0919,44.2746,1337488,MAC
2014-02-04,44.5447,45.1094,44.3302,44.9736,1278865,MAC
2014-02-05,44.9418,45.7123,44.5288,45.6646,1129914,MAC
2014-02-06,45.8155,46.4828,45.7123,46.4192,733411,MAC
2014-02-07,46.6496,47.1182,46.443,47.0467,839683,MAC
2014-02-10,46.9514,47.6186,46.8243,47.5154,513369,MAC
2014-02-11,47.3327,48.1466,47.3327,47.8092,591979,MAC
2014-02-12,47.8331,47.9919,47.5392,47.7695,447142,MAC
2014-02-13,47.5233,48.2699,47.3978,48.0475,579627,MAC
2014-02-14,48.0952,48.405,47.9284,48.3732,487107,MAC
2014-02-18,48.397,48.6671,48.0158,48.6592,599605,MAC
2014-02-19,48.4586,49.1165,48.3061,48.619,803085,MAC
2014-02-20,48.6511,49.0122,48.0573,48.2419,587568,MAC
2014-02-21,48.2499,48.8598,48.1135,48.6832,677141,MAC
2014-02-24,48.8036,49.2289,48.7394,48.7555,614918,MAC
2014-02-25,48.7474,48.9721,48.5147,48.5789,1002710,MAC
2014-02-26,48.5629,48.7314,48.4104,48.5308,671770,MAC
2014-02-27,48.5629,48.8517,47.9851,48.1697,576343,MAC
2014-02-28,48.2178,48.5308,48.0092,48.2499,1279730,MAC
2014-03-03,48.0814,48.4024,47.6401,48.2419,761158,MAC
2014-03-04,48.6993,49.598,48.6993,49.5579,924596,MAC
2014-03-05,49.5258,49.7023,49.0283,49.59,720890,MAC
2014-03-06,49.5579,49.7264,48.8999,49.0443,767323,MAC
2014-03-07,48.9882,49.1567,48.0654,48.3462,613433,MAC
2014-03-10,48.3863,48.3863,47.5598,47.8086,670414,MAC
2014-03-11,47.9691,48.2018,47.7604,48.0493,650186,MAC
2014-03-12,47.9209,48.286,47.8327,48.2259,656361,MAC
2014-03-13,48.3944,48.4024,47.8407,47.9129,651160,MAC
2014-03-14,47.9129,48.266,47.9129,48.1215,506355,MAC
2014-03-17,48.258,48.6351,48.1777,48.5629,768425,MAC
2014-03-18,48.595,48.8919,48.3863,48.8357,593150,MAC
2014-03-19,48.948,49.0443,47.6481,47.8006,686109,MAC
2014-03-20,48.0493,48.3462,47.2389,47.7845,947745,MAC
2014-03-21,48.0894,48.8838,48.0413,48.595,1490163,MAC
2014-03-24,48.7153,48.7153,47.9611,48.2339,585944,MAC
2014-03-25,48.4505,49.0122,48.2098,48.948,657132,MAC
2014-03-26,49.4696,49.4696,48.611,48.6511,902882,MAC
2014-03-27,48.5308,49.1426,48.3141,49.0363,468338,MAC
2014-03-28,49.1005,49.8066,49.0804,49.5017,423586,MAC
2014-03-31,49.7826,50.0795,49.277,50.0153,621356,MAC
2014-04-01,49.9591,50.2961,49.4776,50.1116,683551,MAC
2014-04-02,50.1196,50.3804,49.9511,50.1356,536189,MAC
2014-04-03,50.1758,50.272,49.8548,50.0072,575549,MAC
2014-04-04,50.4004,50.6171,50.0795,50.2881,474149,MAC
2014-04-07,50.3362,51.0183,50.3362,50.7615,727872,MAC
2014-04-08,50.6813,50.9381,50.2801,50.8979,656602,MAC
2014-04-09,51.0183,51.1948,50.7214,50.9461,673324,MAC
2014-04-10,51.0263,51.0825,50.3362,50.5609,924165,MAC
2014-04-11,50.4245,50.8418,50.4245,50.6251,1071833,MAC
2014-04-14,50.8418,51.0985,50.6251,51.0664,667164,MAC
2014-04-15,51.0023,52.1738,50.9782,52.1577,1698428,MAC
2014-04-16,52.4867,53.249,52.0695,53.0244,1349200,MAC
2014-04-17,52.8318,52.9281,52.2861,52.6232,1908828,MAC
2014-04-21,52.4948,52.6472,51.8448,52.3584,1496346,MAC
2014-04-22,52.2621,52.3985,51.6041,51.9491,1291995,MAC
2014-04-23,52.0053,52.0053,51.1306,51.3553,1124055,MAC
2014-04-24,51.4596,51.6923,51.3072,51.5639,483767,MAC
2014-04-25,51.4516,51.7164,51.1306,51.2911,512669,MAC
2014-04-28,51.6201,51.9571,51.3633,51.8769,680934,MAC
2014-04-29,52.0053,52.254,51.4195,51.6522,525728,MAC
2014-04-30,51.251,52.1176,51.235,52.0855,648630,MAC
2014-05-01,51.9652,52.246,51.2269,52.1979,600361,MAC
2014-05-02,52.0454,52.6472,51.6281,52.246,561243,MAC
2014-05-05,52.0294,52.2621,51.8207,52.1658,366369,MAC
2014-05-06,52.0615,52.2781,51.8608,52.1337,506302,MAC
2014-05-07,52.2714,53.0249,52.2228,53.0087,758135,MAC
2014-05-08,52.9924,53.4218,52.8709,53.276,756736,MAC
2014-05-09,53.3165,53.511,52.6603,53.3732,605123,MAC
2014-05-12,53.4947,53.6406,53.1788,53.3489,541797,MAC
2014-05-13,53.3975,53.8107,52.8142,52.8628,486565,MAC
2014-05-14,52.8709,53.2274,52.555,53.0573,421322,MAC
2014-05-15,53.033,53.033,52.3362,52.8628,501871,MAC
2014-05-16,52.7413,53.5596,52.401,53.5272,711364,MAC
2014-05-19,53.4947,53.4947,52.9195,53.2436,452930,MAC
2014-05-20,53.3246,53.4866,52.636,52.9519,447465,MAC
2014-05-21,53.0573,53.3651,52.717,52.8628,408547,MAC
2014-05-22,52.9033,53.1788,52.6765,52.6927,458793,MAC
2014-05-23,52.7737,53.114,52.6765,53.114,350577,MAC
2014-05-27,53.2436,53.438,53.0087,53.3084,312739,MAC
2014-05-28,53.2112,53.2679,52.6846,53.1221,524079,MAC
2014-05-29,53.1221,53.3084,52.8709,53.2436,571190,MAC
2014-05-30,53.2193,53.6406,53.0249,53.5028,684285,MAC
2014-06-02,53.5191,53.9808,53.4218,53.8026,496310,MAC
2014-06-03,53.6973,53.9441,53.5353,53.8431,342500,MAC
