date,open,high,low,close,volume,Name
2014-01-24,79.0306,79.2238,75.8608,75.8705,9541224,MA
2014-01-27,76.2957,76.3247,72.4302,73.4932,13715112,MA
2014-01-28,74.1214,76.431,74.0054,76.1797,7738725,MA
2014-01-29,75.5613,76.0251,74.4209,75.0877,7915482,MA
2014-01-30,77.7453,77.8419,75.6096,77.0785,8749157,MA
2014-01-31,72.9714,74.4016,69.3378,73.1357,23255509,MA
2014-02-03,73.4932,73.841,71.3672,71.4252,9834575,MA
2014-02-04,71.7247,71.8455,70.3525,70.6617,11981190,MA
2014-02-05,70.3138,71.0289,69.6857,70.3911,7769433,MA
2014-02-06,70.768,72.3915,70.6805,72.3819,6805661,MA
2014-02-07,73.126,74.3436,72.6041,73.7445,8551622,MA
2014-02-10,74.0827,74.7397,73.2999,73.7831,4886654,MA
2014-02-11,74.218,74.247,73.4449,73.6285,5323791,MA
2014-02-12,73.8701,74.3436,73.126,73.4159,4775447,MA
2014-02-13,72.9424,74.0634,72.6041,73.9571,4912964,MA
2014-02-14,74.0054,75.0491,73.9088,74.7882,4766134,MA
2014-02-18,75.8222,75.8512,74.6046,74.8848,5811790,MA
2014-02-19,74.7398,75.3873,73.9571,74.073,6038258,MA
2014-02-20,74.2953,74.2953,72.3336,73.3096,8723584,MA
2014-02-21,73.3096,73.7831,72.9617,73.155,6551857,MA
2014-02-24,73.0293,74.3823,73.0197,73.4062,7942731,MA
2014-02-25,73.4449,74.3823,72.981,74.16,7437312,MA
2014-02-26,74.247,74.8075,74.0344,74.7592,7438903,MA
2014-02-27,74.7398,75.3873,74.4113,75.1457,4939433,MA
2014-02-28,75.5709,76.0242,74.363,75.1071,5919129,MA
2014-03-03,73.9571,74.4982,73.1067,74.1504,6154731,MA
2014-03-04,75.194,76.1508,74.8075,75.8608,5303009,MA
2014-03-05,76.0251,76.2281,75.2085,75.5709,4233519,MA
2014-03-06,75.7642,76.0638,74.9621,75.0201,4594433,MA
2014-03-07,75.4453,75.6193,74.9138,75.3197,4134098,MA
2014-03-10,75.1844,75.3235,74.6722,74.7882,3314844,MA
2014-03-11,74.8848,75.8125,74.305,75.281,4835405,MA
2014-03-12,74.6239,75.7062,74.218,75.7062,4744935,MA
2014-03-13,75.7449,76.1218,73.9667,74.0441,6521375,MA
2014-03-14,73.9377,74.6239,73.6672,73.7735,4859053,MA
2014-03-17,74.1697,75.223,74.16,75.2134,3911475,MA
2014-03-18,75.4743,76.3247,74.9331,76.2667,4523471,MA
2014-03-19,76.2861,76.9239,75.3003,75.6772,5929255,MA
2014-03-20,75.5806,76.0058,75.0008,75.7739,5197964,MA
2014-03-21,76.6726,77.1461,73.3483,73.4352,14425292,MA
2014-03-24,73.9088,75.0974,73.3193,74.7882,8822012,MA
2014-03-25,74.9718,75.1554,72.7008,72.7491,7134713,MA
2014-03-26,73.2613,73.6092,71.2029,71.2319,7612692,MA
2014-03-27,71.0676,71.1449,69.9176,70.8743,7690125,MA
2014-03-28,70.9226,71.3092,70.0046,70.7584,5245438,MA
2014-03-31,71.3768,72.3529,71.0289,72.1886,5843774,MA
2014-04-01,72.7201,72.8071,71.8813,72.2949,4105928,MA
2014-04-02,72.3722,72.8167,72.0243,72.1886,4271585,MA
2014-04-03,72.5172,73.0099,71.7441,72.0243,4133295,MA
2014-04-04,72.8651,72.952,69.2991,69.7533,8294189,MA
2014-04-07,69.3565,69.6469,68.1699,69.0371,9701807,MA
2014-04-08,68.9306,69.6276,68.7177,69.221,6288654,MA
2014-04-09,69.6178,71.3019,69.3081,71.1954,6985344,MA
2014-04-10,71.3019,71.931,68.6693,68.8823,8984297,MA
2014-04-11,67.7983,68.1176,66.4723,66.4723,11611261,MA
2014-04-14,67.5466,69.6565,67.3627,68.8919,10893950,MA
2014-04-15,69.9759,70.4018,68.2144,69.8308,7010084,MA
2014-04-16,70.5373,71.5729,70.1695,71.5535,7002536,MA
2014-04-17,71.689,72.4149,71.2438,71.7471,5552348,MA
2014-04-21,71.8632,72.231,71.4567,71.9213,5991676,MA
2014-04-22,72.0762,72.3665,71.4761,72.1343,5049896,MA
2014-04-23,71.9407,72.1052,70.7141,71.0019,5057415,MA
2014-04-24,71.3406,72.3181,70.9728,71.96,5195169,MA
2014-04-25,69.8888,70.6534,68.3306,68.3886,9661421,MA
2014-04-28,68.5241,69.8404,67.9598,68.95,8649368,MA
2014-04-29,69.192,70.276,69.0371,69.7146,6031110,MA
2014-04-30,70.0146,71.2632,69.2404,71.1857,6554327,MA
2014-05-01,73.1408,74.2442,71.6697,71.8342,9752820,MA
2014-05-02,71.8149,72.1052,70.1889,71.4084,5977593,MA
2014-05-05,70.8567,72.4536,70.605,72.4149,4777809,MA
2014-05-06,71.9504,72.081,71.3793,71.4374,4290252,MA
2014-05-07,71.5535,71.9794,70.7018,71.4955,4413087,MA
2014-05-08,71.4955,73.044,71.1374,71.8536,4628491,MA
2014-05-09,71.631,72.0471,71.1567,71.9891,2975555,MA
2014-05-12,72.2891,72.8021,72.1052,72.6085,2975256,MA
2014-05-13,72.773,73.0053,72.0568,72.4246,3268662,MA
2014-05-14,72.2601,72.6085,71.5826,71.7181,2595985,MA
2014-05-15,71.6213,71.8536,70.5383,70.7309,4306940,MA
2014-05-16,70.6825,71.4906,70.2276,71.3793,3703945,MA
2014-05-19,71.1083,71.9891,71.0502,71.4858,3429017,MA
2014-05-20,71.4471,72.0955,71.147,71.2825,3764725,MA
2014-05-21,71.8149,73.2086,71.7858,73.1989,4365876,MA
2014-05-22,73.3731,73.7699,72.6859,73.315,4625410,MA
2014-05-23,73.557,74.2055,73.3828,73.9925,3376052,MA
2014-05-27,74.4087,75.3862,74.2538,74.5539,5599191,MA
2014-05-28,74.6313,74.7668,74.2538,74.4571,2733287,MA
2014-05-29,74.5732,74.7475,74.0506,74.3216,3375589,MA
2014-05-30,74.3313,74.549,73.8957,73.9925,5003547,MA
2014-06-02,74.3022,74.7281,73.7796,74.5732,3050434,MA
2014-06-03,74.2926,74.5249,73.7893,73.8957,2619141,MA
2014-06-04,73.857,74.07,73.3839,73.8667,2794917,MA
2014-06-05,73.8667,74.6913,73.6925,74.37,2684380,MA
2014-06-06,74.5249,75.3735,74.4281,74.9797,3119190,MA
2014-06-09,74.8346,74.9991,74.2829,74.3893,3500030,MA
2014-06-10,74.2732,75.0668,74.1087,74.8733,3396205,MA
2014-06-11,74.4861,74.945,74.2538,74.399,3427470,MA
2014-06-12,74.5055,74.6603,73.0303,73.286,3844890,MA
2014-06-13,73.286,73.6925,72.715,73.4989,3194937,MA
2014-06-16,73.1699,73.3441,72.4924,72.6956,5674197,MA
2014-06-17,72.7246,73.0053,72.1536,72.5698,4163781,MA
2014-06-18,72.5407,72.7924,72.0084,72.7053,3822026,MA
2014-06-19,72.6666,72.9937,71.7181,71.8826,5504688,MA
2014-06-20,72.1343,72.5988,71.118,71.4374,9339318,MA
2014-06-23,71.2245,71.9116,70.8469,71.7568,4900715,MA
2014-06-24,71.7084,72.3859,70.2179,70.3631,5949993,MA
2014-06-25,70.2276,71.1857,70.2082,70.6921,3813591,MA
2014-06-26,70.9051,70.9244,70.2276,70.4308,4085460,MA
2014-06-27,70.1889,71.2438,70.1211,71.0406,12447487,MA
2014-06-30,70.8857,71.5051,70.7115,71.1083,4737099,MA
2014-07-01,71.8149,73.4699,71.7568,73.1021,6336226,MA
2014-07-02,72.4536,73.9345,72.4536,73.7506,3973937,MA
2014-07-03,74.1377,74.4281,73.8957,74.1667,3213435,MA
2014-07-07,74.0892,74.283,73.6045,73.8372,3595751,MA
2014-07-08,73.7693,73.8081,72.8195,73.3622,3903585,MA
2014-07-09,73.5367,74.3121,73.275,74.2733,3341723,MA
2014-07-10,73.3235,73.6191,72.4511,73.149,3318037,MA
2014-07-11,73.2168,73.5173,72.9456,73.4979,2759088,MA
