date,open,high,low,close,volume,Name
2014-01-24,104.1557,109.4973,97.3669,99.3283,2854168,MLM
2014-01-27,99.0522,99.7662,97.0432,97.862,1157509,MLM
2014-01-28,99.9568,104.4319,99.0713,101.6421,4498117,MLM
2014-01-29,104.4604,104.4604,99.7949,102.8323,1113436,MLM
2014-01-30,103.7749,103.8891,101.0422,102.6133,1065648,MLM
2014-01-31,100.7851,104.946,100.7661,103.7939,1272616,MLM
2014-02-03,103.2131,103.7844,99.0713,99.4236,1262762,MLM
2014-02-04,100.3471,102.1658,99.4997,101.0517,978900,MLM
2014-02-05,99.9377,102.0134,99.7473,101.3279,535425,MLM
2014-02-06,101.5754,107.8215,101.5754,107.1741,1702641,MLM
2014-02-07,107.5359,107.793,106.06,107.155,816277,MLM
2014-02-10,107.0693,110.5161,106.7361,108.3452,1236248,MLM
2014-02-11,108.3547,109.6306,107.9167,109.3545,678312,MLM
2014-02-12,109.4973,110.897,109.4116,110.0781,671375,MLM
2014-02-13,109.0974,111.0874,108.8784,110.3542,513219,MLM
2014-02-14,110.1352,112.8298,109.7449,112.8108,700608,MLM
2014-02-18,113.3916,114.2866,111.8206,112.8584,573724,MLM
2014-02-19,112.7537,114.8103,110.1733,110.3828,574816,MLM
2014-02-20,111.0493,111.5711,110.1448,111.2969,510783,MLM
2014-02-21,111.5444,112.4109,111.116,111.6682,280789,MLM
2014-02-24,111.7253,112.449,111.1255,111.1255,411119,MLM
2014-02-25,111.4302,113.0584,110.6685,112.5061,405986,MLM
2014-02-26,113.9819,117.1145,112.7061,115.6958,785226,MLM
2014-02-27,114.2915,117.3962,114.2915,117.1479,448226,MLM
2014-02-28,117.0332,118.1605,115.8105,116.5269,632607,MLM
2014-03-03,115.2564,116.8135,115.1131,116.546,422241,MLM
2014-03-04,117.6542,118.4662,115.2755,116.4983,1086068,MLM
2014-03-05,116.0397,116.5365,115.1704,115.629,620307,MLM
2014-03-06,115.9633,116.5078,115.2373,115.4952,565093,MLM
2014-03-07,115.9442,118.4375,114.922,118.3802,685753,MLM
2014-03-10,117.6255,117.9121,116.2117,117.4536,484006,MLM
2014-03-11,117.1765,118.3802,116.2881,116.7849,342718,MLM
2014-03-12,115.9729,117.6828,115.8296,117.5873,424368,MLM
2014-03-13,118.2465,118.2465,115.3137,116.0206,291380,MLM
2014-03-14,116.0206,117.6446,115.3615,116.8326,269492,MLM
2014-03-17,117.616,118.4471,117.1861,117.5682,259839,MLM
2014-03-18,118.2274,120.7684,117.5109,120.692,637734,MLM
2014-03-19,121.4276,122.0485,120.4627,121.055,712371,MLM
2014-03-20,120.415,121.6187,120.0997,121.3034,517297,MLM
2014-03-21,122.4402,122.8414,119.8036,120.8353,947457,MLM
2014-03-24,121.6282,121.6282,117.3795,118.1032,622367,MLM
2014-03-25,119.0585,121.1601,118.7719,121.1028,510632,MLM
2014-03-26,121.6664,122.2683,119.5839,119.8227,571632,MLM
2014-03-27,119.4597,120.6919,118.1891,120.0138,358248,MLM
2014-03-28,120.4723,123.0516,120.4723,121.2747,585876,MLM
2014-03-31,122.0963,123.1806,121.7237,122.6122,601981,MLM
2014-04-01,123.0038,123.6916,121.5804,122.3733,760074,MLM
2014-04-02,122.3542,122.6551,120.4675,121.2174,933866,MLM
2014-04-03,121.8193,123.2235,119.1062,119.1253,1414916,MLM
2014-04-04,119.1922,124.1884,119.1922,121.9912,1645233,MLM
