date,open,high,low,close,volume,Name
2014-01-24,99.7403,100.5075,99.4801,99.839,1303253,MTB
2014-01-27,99.7403,100.7004,99.2468,99.2917,1885783,MTB
2014-01-28,99.5788,99.9108,98.9238,99.821,986110,MTB
2014-01-29,99.0853,101.0907,98.9507,100.2158,1452107,MTB
2014-01-30,100.6645,101.4182,100.2742,101.2118,692060,MTB
2014-01-31,99.8121,100.7452,99.8031,100.0543,840339,MTB
2014-02-03,99.9197,100.3415,97.9458,98.0714,1396666,MTB
2014-02-04,98.7892,99.6604,98.2149,99.4532,1261277,MTB
2014-02-05,99.2289,100.4043,99.1122,99.9108,683230,MTB
2014-02-06,100.0454,100.9337,99.9108,100.8709,567144,MTB
2014-02-07,101.2208,102.145,100.8619,101.3913,771032,MTB
2014-02-10,101.2656,101.7053,100.6645,101.3374,537078,MTB
2014-02-11,101.3105,102.5218,100.8484,102.2796,565520,MTB
2014-02-12,102.1809,102.9974,101.2746,101.5617,942219,MTB
2014-02-13,101.0234,101.8758,100.2248,101.7143,822838,MTB
2014-02-14,101.7861,102.4052,101.7861,102.3424,347334,MTB
2014-02-18,102.5667,102.9166,101.8578,102.0463,384332,MTB
2014-02-19,102.2168,102.5039,100.6106,100.7093,942136,MTB
2014-02-20,100.8978,101.4809,99.8659,100.8798,710062,MTB
2014-02-21,100.8439,102.0624,100.7004,101.8489,770171,MTB
2014-02-24,101.7412,103.6793,101.4361,103.0961,723975,MTB
2014-02-25,102.9076,103.2217,102.2805,102.7282,750823,MTB
2014-02-26,102.9076,104.3253,102.1181,103.8318,658846,MTB
2014-02-27,103.8228,104.4276,102.902,104.4276,791554,MTB
2014-02-28,104.4818,106.2692,104.3735,105.2491,813745,MTB
2014-03-03,104.22,104.6804,103.6061,104.4276,532404,MTB
2014-03-04,105.0686,106.5039,105.0686,106.3775,702372,MTB
2014-03-05,106.206,106.2872,105.547,105.9442,686995,MTB
2014-03-06,106.2782,107.6955,106.2782,107.3434,730728,MTB
2014-03-07,108.2733,108.9232,107.1629,107.7677,968707,MTB
2014-03-10,107.4788,108.2642,107.4247,107.7406,590937,MTB
2014-03-11,107.7677,107.8761,105.9171,106.6935,901138,MTB
2014-03-12,106.2602,106.9192,105.8088,106.8469,566340,MTB
2014-03-13,107.2983,107.4247,105.5109,105.89,700635,MTB
2014-03-14,105.6283,106.6844,105.547,106.0074,658372,MTB
2014-03-17,106.3865,106.7837,105.7276,106.2602,576261,MTB
2014-03-18,106.7115,106.865,105.9984,106.54,491459,MTB
2014-03-19,106.5581,107.7406,105.9893,106.7657,761483,MTB
2014-03-20,106.4227,109.2933,106.0399,109.194,1175051,MTB
2014-03-21,109.9884,111.0717,109.1038,109.3475,1404128,MTB
2014-03-24,109.5822,110.633,108.7156,109.2753,825285,MTB
2014-03-25,109.6544,109.9162,108.7066,109.3836,628154,MTB
2014-03-26,109.7718,110.2502,109.1579,109.2121,679493,MTB
2014-03-27,109.0225,109.501,107.8219,107.9302,1056916,MTB
2014-03-28,108.3274,109.2031,107.8941,108.7246,673006,MTB
2014-03-31,109.2121,109.6725,108.851,109.501,680846,MTB
2014-04-01,109.9523,110.0516,108.9413,109.9252,620982,MTB
2014-04-02,110.0968,110.0968,109.1579,109.4468,600433,MTB
2014-04-03,109.501,110.0516,109.1399,109.9884,541430,MTB
2014-04-04,110.169,110.9092,108.7698,108.8239,566259,MTB
2014-04-07,108.8149,108.86,107.7858,108.2371,650734,MTB
2014-04-08,108.201,109.4649,107.6684,109.2031,1259819,MTB
2014-04-09,109.4829,109.9433,108.9052,109.5461,734083,MTB
2014-04-10,109.528,109.6725,106.9192,106.9372,1124076,MTB
2014-04-11,106.0616,107.3218,104.8068,106.7206,1196946,MTB
2014-04-14,107.7858,110.3134,107.4879,109.0947,1296451,MTB
2014-04-15,109.3656,110.169,107.4788,108.6795,1170079,MTB
2014-04-16,109.0676,109.9794,108.9052,109.8079,795476,MTB
2014-04-17,109.6815,110.0697,109.0496,109.7176,700623,MTB
2014-04-21,109.7176,110.2954,109.0496,109.3836,547681,MTB
2014-04-22,109.2753,110.7558,108.8329,110.0877,538581,MTB
2014-04-23,110.0697,111.0898,109.5822,111.0266,649844,MTB
2014-04-24,111.9383,112.0828,110.494,110.9544,878752,MTB
2014-04-25,110.9544,110.9544,109.8801,110.3495,602784,MTB
2014-04-28,110.7016,110.8171,109.1399,110.0336,888331,MTB
2014-04-29,110.3224,111.0356,109.6454,109.7808,521326,MTB
2014-04-30,109.6905,110.2277,109.2482,110.1419,677248,MTB
2014-05-01,110.3405,110.521,109.3926,109.6725,557008,MTB
2014-05-02,109.9162,111.0175,109.3475,109.9523,436796,MTB
2014-05-05,109.51,109.7627,108.9774,109.6364,559056,MTB
2014-05-06,109.3294,109.501,107.6865,107.7948,596079,MTB
2014-05-07,108.2281,109.2031,107.9031,109.1489,674483,MTB
2014-05-08,109.0947,109.7628,108.6705,109.1579,531700,MTB
2014-05-09,109.1218,109.6273,108.2101,109.5642,754233,MTB
2014-05-12,111.3064,111.4328,109.826,111.0807,777215,MTB
2014-05-13,111.0356,111.0356,109.9704,110.1058,579955,MTB
2014-05-14,110.2231,110.2231,107.9889,108.1469,513003,MTB
2014-05-15,107.4247,107.8074,105.7546,107.1719,744501,MTB
2014-05-16,107.0817,107.5511,106.2963,107.0275,797063,MTB
2014-05-19,106.6483,108.5712,106.6483,108.4267,765698,MTB
2014-05-20,108.3726,108.4448,107.1178,107.7768,575807,MTB
2014-05-21,107.9573,108.8149,107.5691,108.3726,426343,MTB
2014-05-22,108.3635,109.0225,108.2281,109.0225,868803,MTB
2014-05-23,108.8329,109.4739,108.4989,109.3836,361915,MTB
2014-05-27,109.8169,110.5752,109.3195,109.6364,415235,MTB
2014-05-28,109.7989,110.2863,109.0407,110.2322,700939,MTB
2014-05-29,109.86,110.2413,109.0247,109.5331,996652,MTB
2014-05-30,109.2244,110.9132,109.2244,110.1959,1127487,MTB
2014-06-02,110.2141,110.4047,109.2335,110.2685,793488,MTB
2014-06-03,110.0143,111.4125,110.0143,111.0312,684686,MTB
2014-06-04,110.7225,111.3399,110.4774,110.777,507318,MTB
2014-06-05,110.9676,111.9232,110.432,111.8937,499464,MTB
