date,open,high,low,close,volume,Name
2014-01-24,35.0741,35.3419,34.4058,34.4241,1302364,NDAQ
2014-01-27,34.6347,34.8636,34.0442,34.1678,1003149,NDAQ
2014-01-28,34.0579,34.6255,34.0304,34.4699,1603475,NDAQ
2014-01-29,34.2593,34.5706,33.9297,34.0579,1492962,NDAQ
2014-01-30,34.241,35.3671,34.241,35.1657,1441902,NDAQ
2014-01-31,34.6988,35.3854,34.3417,34.9277,1513973,NDAQ
2014-02-03,34.9368,35.2756,33.948,33.9938,1492435,NDAQ
2014-02-04,33.9663,34.946,33.298,34.5981,1938439,NDAQ
2014-02-05,34.1495,35.0947,33.7375,34.9277,1430561,NDAQ
2014-02-06,35.1291,35.336,34.5431,34.653,1366683,NDAQ
2014-02-07,34.7903,34.8636,34.2959,34.3692,1918762,NDAQ
2014-02-10,34.4333,34.5431,34.1952,34.3417,1820107,NDAQ
2014-02-11,34.3417,35.2756,34.3417,35.1291,1066152,NDAQ
2014-02-12,35.1016,35.4587,34.9711,35.3305,731558,NDAQ
2014-02-13,35.2115,35.5685,35.065,35.422,391528,NDAQ
2014-02-14,35.3396,35.4953,35.0833,35.4495,593734,NDAQ
2014-02-18,35.6235,36.2735,35.4587,35.8066,1064465,NDAQ
2014-02-19,35.889,36.4291,35.6967,36.2277,1907657,NDAQ
2014-02-20,36.0904,36.2918,35.8707,36.1453,957709,NDAQ
2014-02-21,36.0995,36.3834,35.6052,35.6418,1621634,NDAQ
2014-02-24,35.5228,36.301,35.3763,35.8157,1063133,NDAQ
2014-02-25,35.6784,36.0744,35.4129,35.7699,1021911,NDAQ
2014-02-26,35.7425,35.9805,35.0696,35.1108,1713135,NDAQ
2014-02-27,35.0558,35.2939,34.8544,35.1748,1481068,NDAQ
2014-02-28,35.2481,35.7608,35.0284,35.1474,1133515,NDAQ
2014-03-03,34.7262,35.4129,34.653,35.1108,1325758,NDAQ
2014-03-04,36.2094,36.5298,35.7791,36.4566,1557117,NDAQ
2014-03-05,36.0171,36.6946,35.422,36.658,1075302,NDAQ
2014-03-06,36.5939,37.4912,36.5481,37.2623,1245380,NDAQ
2014-03-07,37.3172,37.7658,37.1295,37.3447,1316297,NDAQ
2014-03-10,37.2348,37.4362,36.8137,36.8686,1107233,NDAQ
2014-03-11,36.7313,36.9601,36.1636,36.2094,1227903,NDAQ
2014-03-12,36.1451,36.3196,35.6675,36.191,1094281,NDAQ
2014-03-13,36.2553,36.4574,35.6307,35.6583,1172307,NDAQ
2014-03-14,35.6307,36.2002,35.3827,36.1267,1840949,NDAQ
2014-03-17,36.2737,36.6503,36.1635,36.4942,902278,NDAQ
2014-03-18,36.2186,36.4942,35.0245,35.3643,2943291,NDAQ
2014-03-19,35.4378,35.594,34.2621,34.4458,2710072,NDAQ
