date,open,high,low,close,volume,Name
2014-01-24,24.1824,24.3629,23.2326,23.6315,10561463,NEM
2014-01-27,23.432,23.47,22.9476,22.9666,9802180,NEM
2014-01-28,23.1186,23.5175,22.8716,23.4225,6630246,NEM
2014-01-29,23.8215,23.9544,23.0996,23.622,10626569,NEM
2014-01-30,22.6437,23.1661,22.6057,22.8906,10667910,NEM
2014-01-31,22.5107,22.5487,20.2026,20.5161,35309909,NEM
2014-02-03,20.6111,20.7535,19.9462,19.9652,18142709,NEM
2014-02-04,19.8702,20.2406,19.8512,20.1172,13733565,NEM
2014-02-05,20.3261,20.3784,19.8132,19.8227,10125327,NEM
2014-02-06,19.8512,20.1931,19.742,19.9557,9256236,NEM
2014-02-07,20.0412,20.5636,19.9652,20.4401,10608370,NEM
2014-02-10,20.6965,21.3044,20.6586,21.086,12044078,NEM
2014-02-11,21.1904,21.8743,21.1904,21.7508,13959170,NEM
2014-02-12,21.7224,21.7888,21.181,21.3804,11876181,NEM
2014-02-13,21.5229,22.3777,21.3329,22.3492,11131162,NEM
2014-02-14,22.9001,23.0094,22.2353,22.6342,13703114,NEM
2014-02-18,23.0426,23.1091,22.5582,22.9951,11778742,NEM
2014-02-19,22.9001,23.0997,22.4917,22.5772,9792712,NEM
2014-02-20,22.5297,23.3149,22.4537,23.2326,10012298,NEM
2014-02-21,22.8194,22.8811,21.5704,22.2068,23043291,NEM
2014-02-24,22.2827,22.6247,22.1213,22.4822,10768348,NEM
2014-02-25,22.4157,22.8716,22.3777,22.5582,10138701,NEM
2014-02-26,22.4727,22.7102,22.2258,22.3777,9645563,NEM
2014-02-27,22.4252,22.8669,22.1973,22.4062,8346408,NEM
2014-02-28,22.3777,22.4157,21.8648,22.0928,11153541,NEM
2014-03-03,22.7102,23.0331,22.2638,22.4442,9904372,NEM
2014-03-04,22.2543,22.9856,22.1118,22.9286,8861797,NEM
2014-03-05,22.9856,23.4225,22.8716,23.3465,8442221,NEM
2014-03-06,23.432,23.8215,23.2991,23.679,6749015,NEM
2014-03-07,23.3465,23.4035,22.6817,23.3655,9714768,NEM
2014-03-10,23.3275,23.413,22.7387,23.0901,6153049,NEM
2014-03-11,23.3099,23.4628,23.0232,23.2717,8752825,NEM
2014-03-12,23.5871,24.0076,23.501,23.9024,7986170,NEM
2014-03-13,23.9598,24.3994,23.7782,24.3516,8367273,NEM
2014-03-14,24.6288,25.0397,24.581,25.0206,15073612,NEM
2014-03-17,24.7817,25.2022,24.4376,24.6288,11182901,NEM
2014-03-18,24.3134,24.4854,24.0839,24.1509,8310374,NEM
2014-03-19,23.8738,24.2178,23.3577,23.415,8475398,NEM
2014-03-20,23.1857,23.8738,23.1188,23.4915,10636320,NEM
2014-03-21,23.7973,23.7973,23.2812,23.4628,12369659,NEM
2014-03-24,23.3672,23.5106,22.6982,22.832,7846335,NEM
2014-03-25,22.9372,23.1216,22.746,22.8607,5268415,NEM
2014-03-26,22.832,22.9563,21.9815,22.0484,8926591,NEM
2014-03-27,21.9528,22.1248,21.6565,21.9241,12032653,NEM
2014-03-28,21.991,23.0614,21.905,22.8607,11288846,NEM
2014-03-31,22.8416,23.0327,22.2777,22.402,7717286,NEM
2014-04-01,22.4784,22.6887,22.3637,22.4115,7456330,NEM
2014-04-02,22.7556,23.3768,22.6791,23.1665,7225272,NEM
2014-04-03,22.9945,23.1092,22.7699,23.0327,5475621,NEM
2014-04-04,23.3386,23.5536,22.985,23.0423,6420081,NEM
2014-04-07,23.1952,23.7495,23.1379,23.3577,6916399,NEM
2014-04-08,23.7209,23.9512,23.5775,23.8451,6538114,NEM
2014-04-09,23.7304,24.2369,23.4819,23.8833,6966026,NEM
