date,open,high,low,close,volume,Name
2014-01-24,107.0522,107.0798,104.0704,104.0888,2172258,NOC
2014-01-27,104.0888,104.52,102.2721,103.4007,1687312,NOC
2014-01-28,104.0796,104.2172,102.4465,102.7676,2168903,NOC
2014-01-29,101.9143,103.4741,101.3822,102.8777,1682012,NOC
2014-01-30,104.0429,108.8505,102.7951,103.9053,2070107,NOC
2014-01-31,103.0061,106.933,102.7768,106.0155,2079574,NOC
2014-02-03,106.5109,107.5385,102.9144,103.9053,2657273,NOC
2014-02-04,101.8501,102.7492,100.1619,101.6574,2732427,NOC
2014-02-05,101.0427,102.8043,100.6482,102.2079,1657641,NOC
2014-02-06,102.5015,103.4832,102.263,103.0153,1150021,NOC
2014-02-07,103.7493,106.4192,103.6209,105.4833,1695404,NOC
2014-02-10,105.254,105.4833,103.786,104.887,1726168,NOC
2014-02-11,104.9053,107.7128,104.8778,107.2541,1682678,NOC
2014-02-12,107.4009,108.5569,107.1807,108.3276,1499493,NOC
2014-02-13,107.3825,109.4561,107.3458,109.0524,979544,NOC
2014-02-14,108.8872,110.8231,108.245,110.3552,1234163,NOC
2014-02-18,110.5937,110.8873,109.7497,110.1533,1088062,NOC
2014-02-19,110.0891,111.3543,109.0982,109.2267,1100300,NOC
2014-02-20,110.9791,111.1901,109.1533,110.658,992761,NOC
2014-02-21,111.4287,111.4287,109.3102,110.5295,1027240,NOC
2014-02-24,110.7956,113.126,110.7949,112.0434,1343795,NOC
2014-02-25,111.9333,112.5526,109.5937,109.8047,1588979,NOC
2014-02-26,110.1442,110.7314,108.878,108.9239,1574207,NOC
2014-02-27,109.2928,110.7315,108.9147,110.6853,1374399,NOC
2014-02-28,110.3718,112.3546,110.215,111.6168,1394976,NOC
2014-03-03,110.4271,112.3168,110.381,111.6076,1293806,NOC
2014-03-04,113.4336,114.8446,113.3782,114.5864,1766528,NOC
2014-03-05,114.863,115.0106,113.4981,114.033,1118065,NOC
2014-03-06,114.0422,114.531,113.5627,114.0699,1187146,NOC
2014-03-07,114.5587,115.6193,114.2175,114.6325,1206715,NOC
2014-03-10,113.9685,114.2212,112.5759,113.1754,1230466,NOC
2014-03-11,113.3782,113.5258,112.0964,112.2992,915056,NOC
2014-03-12,111.8566,113.0924,111.0727,112.8987,1051171,NOC
2014-03-13,113.0278,114.4941,111.3577,111.5338,1462831,NOC
2014-03-14,111.4969,113.037,111.3125,111.9949,1401585,NOC
2014-03-17,112.3085,113.1199,111.6906,112.9817,1359808,NOC
2014-03-18,113.4059,114.4111,113.3414,114.3466,934662,NOC
2014-03-19,114.6694,115.61,112.6229,113.3229,1674480,NOC
2014-03-20,113.1938,113.9869,112.622,112.8249,1162574,NOC
2014-03-21,113.8025,113.9408,112.0041,112.4007,3311536,NOC
2014-03-24,112.5667,112.8526,110.5931,111.6076,1173279,NOC
2014-03-25,112.3361,112.8895,111.875,112.6312,1053186,NOC
2014-03-26,112.8249,113.8762,112.1794,112.1978,1089405,NOC
2014-03-27,111.7182,111.84,110.3718,110.6116,1458745,NOC
2014-03-28,111.1188,113.0555,111.0542,112.3361,946499,NOC
2014-03-31,113.0739,114.1621,113.0601,113.784,1007087,NOC
2014-04-01,113.5811,114.3558,113.203,114.3097,1408687,NOC
2014-04-02,114.2267,115.7668,113.9408,114.8999,1417067,NOC
2014-04-03,115.195,115.3979,114.5402,115.2965,712773,NOC
2014-04-04,115.7853,116.2002,111.1004,111.3032,2437072,NOC
2014-04-07,111.1926,112.1581,109.966,110.0121,1354930,NOC
2014-04-08,109.9291,110.3441,108.4905,109.6248,1184524,NOC
2014-04-09,110.1136,111.0266,109.3666,110.962,1380556,NOC
2014-04-10,111.0174,111.2569,108.0017,108.0478,1203220,NOC
2014-04-11,107.9648,109.1452,107.5498,107.5959,1359933,NOC
2014-04-14,108.6103,109.5049,107.7435,108.8225,1075597,NOC
2014-04-15,109.1176,110.0121,107.0795,109.6709,1234062,NOC
2014-04-16,110.2796,111.4416,109.6359,111.2202,1215967,NOC
2014-04-17,111.9765,112.7142,108.1769,112.5114,881127,NOC
2014-04-21,112.5759,113.0158,112.0964,112.705,822824,NOC
2014-04-22,113.12,113.7932,110.4456,110.4732,1772679,NOC
2014-04-23,109.9845,112.7419,108.057,112.1978,1661442,NOC
2014-04-24,112.2808,112.5114,109.1452,109.9107,1951290,NOC
2014-04-25,109.883,109.883,108.9516,109.7355,1731918,NOC
