date,open,high,low,close,volume,Name
2014-01-24,55.4744,56.3996,55.4109,55.4472,1977061,NTRS
2014-01-27,55.547,55.7737,54.8848,54.9211,1435565,NTRS
2014-01-28,54.776,55.3973,54.7125,55.1116,1447840,NTRS
2014-01-29,54.7125,55.4835,54.6399,55.0572,1561515,NTRS
2014-01-30,55.4109,55.6377,54.8032,55.4381,955203,NTRS
2014-01-31,54.6762,55.1297,54.268,54.6218,1259922,NTRS
2014-02-03,54.6943,54.785,52.8893,52.971,1452171,NTRS
2014-02-04,53.1524,54.3542,52.8848,54.2227,1509936,NTRS
2014-02-05,54.1048,54.4041,53.6331,53.6603,937615,NTRS
2014-02-06,53.7147,54.3769,53.4971,54.1955,794818,NTRS
2014-02-07,54.4222,55.2658,54.2408,55.0844,967949,NTRS
2014-02-10,55.0753,55.2295,54.7669,55.1932,555764,NTRS
2014-02-11,55.1479,56.2272,54.8032,56.0277,838942,NTRS
2014-02-12,56.064,56.5855,55.8826,56.1184,1155523,NTRS
2014-02-13,55.81,56.3361,55.6558,56.2726,895644,NTRS
2014-02-14,56.1365,56.59,56.0095,56.4631,775879,NTRS
2014-02-18,56.2363,56.6535,55.8553,56.4359,787841,NTRS
2014-02-19,56.1093,56.5447,55.6921,55.7193,1066155,NTRS
2014-02-20,55.8191,56.2091,55.3066,55.8191,926907,NTRS
2014-02-21,55.937,56.4993,55.4381,56.1456,860192,NTRS
2014-02-24,56.0821,56.9982,56.0821,56.6445,947774,NTRS
2014-02-25,56.717,56.717,56.0186,56.1093,676117,NTRS
2014-02-26,56.2454,56.3814,55.5742,55.9823,869752,NTRS
2014-02-27,55.7646,56.4086,55.7556,56.3996,839776,NTRS
2014-02-28,56.2817,56.6808,55.8281,56.1002,1547712,NTRS
2014-03-03,55.7193,56.2363,55.1297,55.6286,1185402,NTRS
2014-03-04,56.2454,56.581,56.064,56.4993,990783,NTRS
2014-03-05,56.2168,56.6543,56.1438,56.6361,710814,NTRS
2014-03-06,56.8549,57.4292,56.5814,57.2651,812790,NTRS
2014-03-07,57.3927,58.5778,57.338,58.359,1548632,NTRS
2014-03-10,58.204,58.7054,57.9305,58.4501,781317,NTRS
2014-03-11,57.4383,58.2314,57.3471,57.5568,726419,NTRS
2014-03-12,57.1283,57.4474,56.8275,57.1557,728894,NTRS
2014-03-13,57.4292,57.4292,56.2532,56.3307,1013461,NTRS
2014-03-14,56.4355,56.7728,56.1985,56.5541,906218,NTRS
2014-03-17,56.9734,57.42,56.8093,57.2013,646974,NTRS
2014-03-18,57.1557,57.5705,56.9278,57.5021,984481,NTRS
2014-03-19,57.5386,58.3499,57.1466,58.2678,1403632,NTRS
2014-03-20,58.0399,60.255,57.8211,59.781,2496825,NTRS
2014-03-21,60.5923,61.2304,59.8631,59.9542,2363040,NTRS
2014-03-24,60.1365,60.5376,59.2797,59.8448,1438709,NTRS
2014-03-25,60.2459,60.4875,59.1065,59.5349,1020141,NTRS
2014-03-26,59.936,59.9725,58.9333,58.9515,852232,NTRS
2014-03-27,58.9424,59.1885,58.0445,58.6324,1296972,NTRS
2014-03-28,58.8968,59.6169,58.6324,59.1703,760875,NTRS
2014-03-31,59.6534,59.9451,59.1976,59.7628,786979,NTRS
2014-04-01,59.9633,60.1457,59.5167,59.936,833316,NTRS
2014-04-02,59.8995,60.018,59.5623,59.8357,2180015,NTRS
2014-04-03,60.0727,60.1092,59.4255,59.6808,1543054,NTRS
2014-04-04,59.9542,60.0363,58.3499,58.4866,1541092,NTRS
2014-04-07,58.5231,58.6689,57.0372,57.2742,1726217,NTRS
2014-04-08,57.2377,57.6571,56.6042,57.0463,1887759,NTRS
2014-04-09,57.2833,57.3335,56.7637,57.2286,1105537,NTRS
2014-04-10,57.3107,57.3198,55.9706,56.1165,1621063,NTRS
2014-04-11,55.5787,55.8704,55.2232,55.2323,1282430,NTRS
2014-04-14,55.9433,56.1712,55.2596,55.8066,1495046,NTRS
2014-04-15,53.2177,54.8403,53.1457,54.3572,3196775,NTRS
2014-04-16,55.1776,55.2186,53.3727,53.8193,3107171,NTRS
2014-04-17,53.7099,54.4848,53.6461,54.1384,1923249,NTRS
2014-04-21,54.3754,54.8585,54.2204,54.6124,1354285,NTRS
2014-04-22,54.4119,55.3325,53.9561,54.9588,1181129,NTRS
2014-04-23,54.8312,55.6243,54.8312,55.4602,1141967,NTRS
2014-04-24,55.7792,55.8157,54.8768,54.9132,1377980,NTRS
2014-04-25,54.74,54.8585,54.1384,54.2113,1432705,NTRS
2014-04-28,54.3572,54.4119,53.5003,53.9652,1400935,NTRS
2014-04-29,54.3389,54.9451,54.1511,54.7127,859095,NTRS
2014-04-30,54.5577,55.0682,53.4365,54.9223,921100,NTRS
2014-05-01,54.9406,55.5513,54.5759,54.7491,932079,NTRS
2014-05-02,54.6671,55.8521,53.4274,55.1411,787857,NTRS
2014-05-05,54.7309,54.9953,54.348,54.8312,421729,NTRS
2014-05-06,54.5304,54.74,54.1293,54.184,806419,NTRS
2014-05-07,54.4848,55.3417,54.0655,55.2779,803419,NTRS
2014-05-08,55.3508,56.1803,54.5851,55.6425,1212053,NTRS
2014-05-09,55.8977,56.2441,55.1046,55.7063,981902,NTRS
2014-05-12,55.843,56.3626,55.7974,56.2988,601260,NTRS
2014-05-13,56.2441,56.4447,55.998,56.2623,765039,NTRS
2014-05-14,56.2259,56.2897,55.3508,55.4966,731909,NTRS
2014-05-15,55.4146,55.6151,53.5276,54.348,1621845,NTRS
2014-05-16,54.4757,54.667,53.7738,54.5212,1078092,NTRS
2014-05-19,54.3116,54.9223,54.3116,54.7674,746619,NTRS
2014-05-20,54.6762,55.0317,54.1657,54.3025,599612,NTRS
2014-05-21,54.5577,54.9315,54.3389,54.5851,811294,NTRS
2014-05-22,54.5668,55.1411,54.4711,54.9953,603801,NTRS
2014-05-23,54.9223,55.1593,54.7036,55.0226,677183,NTRS
2014-05-27,55.2232,55.7063,55.1229,55.4602,874448,NTRS
2014-05-28,55.5696,55.7382,55.0864,55.4055,832180,NTRS
2014-05-29,55.4875,55.5513,54.8859,55.1411,712375,NTRS
2014-05-30,55.1502,55.2687,54.9132,55.0591,794363,NTRS
2014-06-02,55.1138,55.4966,54.8722,55.4511,440793,NTRS
2014-06-03,55.214,55.5878,55.1502,55.5513,561384,NTRS
2014-06-04,55.4872,56.2479,55.4688,56.1746,666783,NTRS
2014-06-05,56.2204,56.6787,55.8721,56.4862,503290,NTRS
2014-06-06,56.752,57.2744,56.5778,57.0178,887393,NTRS
2014-06-09,56.8895,57.641,56.8895,57.4119,799221,NTRS
2014-06-10,57.1644,57.5219,57.0728,57.4577,455501,NTRS
2014-06-11,57.1369,57.1644,56.807,56.917,431389,NTRS
2014-06-12,56.9628,57.3936,56.6328,57.0086,778065,NTRS
2014-06-13,57.1003,57.531,56.807,57.0178,639133,NTRS
2014-06-16,56.8436,57.334,56.5045,57.0544,999927,NTRS
2014-06-17,56.7978,59.5474,56.6521,58.5576,2330760,NTRS
2014-06-18,58.5026,59.3183,58.1359,59.0158,2219482,NTRS
2014-06-19,59.1533,59.1808,58.4017,58.7684,1019102,NTRS
2014-06-20,59.1258,59.1258,58.5026,58.9242,1743075,NTRS
2014-06-23,58.805,59.0855,58.4292,58.7592,777496,NTRS
2014-06-24,58.5667,59.2266,58.4567,58.5484,1001207,NTRS
2014-06-25,58.3193,58.8417,58.0351,58.7959,666075,NTRS
2014-06-26,58.695,58.8325,57.8243,58.7225,720431,NTRS
2014-06-27,58.5759,59.135,58.3742,59.0708,943563,NTRS
2014-06-30,59.0891,59.4833,58.761,58.8508,1246299,NTRS
2014-07-01,59.1258,59.5657,58.8692,59.1166,1080056,NTRS
2014-07-02,58.9425,59.5016,58.64,58.7134,991663,NTRS
2014-07-03,59.0158,59.8315,58.7844,59.4741,654222,NTRS
2014-07-07,59.2083,59.4191,58.7317,59.3916,627212,NTRS
2014-07-08,59.135,59.1716,58.5117,58.7684,615380,NTRS
2014-07-09,59.0983,59.3091,58.4384,58.6767,974063,NTRS
2014-07-10,58.2368,58.7042,57.8427,58.5026,626835,NTRS
2014-07-11,58.5026,59.1075,58.0718,59.0342,853245,NTRS
2014-07-14,59.5291,59.7857,58.8692,59.0525,1163839,NTRS
2014-07-15,59.0891,59.7582,58.9608,59.0983,1520766,NTRS
2014-07-16,59.4833,60.2531,58.5805,59.0983,1505860,NTRS
2014-07-17,58.7959,59.2816,58.5667,58.97,1414799,NTRS
2014-07-18,59.3,59.7491,58.9058,59.5932,1293982,NTRS
2014-07-21,59.1716,60.0607,59.1716,60.024,1126577,NTRS
2014-07-22,60.0332,60.6656,59.9516,60.5556,1460513,NTRS
2014-07-23,60.5006,61.0689,60.2715,60.8489,1441982,NTRS
2014-07-24,60.8581,61.6463,60.8306,61.5088,1115597,NTRS
2014-07-25,61.5088,61.7471,61.3622,61.5271,1143761,NTRS
2014-07-28,61.5455,61.8204,61.2338,61.573,1049871,NTRS
2014-07-29,61.0689,62.0496,61.0689,61.5088,993537,NTRS
2014-07-30,61.8663,62.4253,61.2613,62.2145,1368129,NTRS
2014-07-31,61.9946,62.2512,61.3072,61.3072,1460459,NTRS
2014-08-01,61.2247,61.353,60.4823,60.6198,1293191,NTRS
2014-08-04,60.6198,61.078,60.4273,60.9497,1049330,NTRS
2014-08-05,60.6014,60.9497,59.9874,60.1982,819065,NTRS
2014-08-06,60.0607,61.0597,59.9507,60.3998,1118009,NTRS
2014-08-07,60.7114,60.9222,59.9874,60.2073,2076120,NTRS
2014-08-08,60.2073,60.6839,60.0057,60.6106,1361427,NTRS
2014-08-11,60.6473,60.8397,60.4365,60.7206,1316906,NTRS
2014-08-12,60.6839,60.9222,60.6014,60.8947,1345275,NTRS
2014-08-13,58.7134,61.2705,58.7134,61.2063,1001188,NTRS
2014-08-14,61.188,61.5271,60.8306,61.3897,875581,NTRS
2014-08-15,61.5546,61.6646,60.7206,61.0322,998973,NTRS
2014-08-18,61.518,61.7563,60.8306,61.5455,810329,NTRS
2014-08-19,61.6188,61.8204,61.2063,61.3713,1348707,NTRS
2014-08-20,61.3622,61.7517,61.0414,61.6188,1269153,NTRS
2014-08-21,61.5913,62.3245,61.5913,62.3154,1233452,NTRS
