date,open,high,low,close,volume,Name
2014-01-24,50.7855,50.7855,49.2692,49.2955,2461489,PCAR
2014-01-27,49.1464,50.1807,48.7695,49.5672,2091086,PCAR
2014-01-28,49.6022,50.0756,49.1258,49.7863,1313682,PCAR
2014-01-29,49.2604,50.207,48.9799,49.5584,1775027,PCAR
2014-01-30,50.0142,50.619,49.3936,50.356,2129037,PCAR
2014-01-31,48.5066,49.9616,48.3138,49.0851,3482067,PCAR
2014-02-03,48.7958,50.3981,47.2006,47.3321,2992114,PCAR
2014-02-04,47.744,48.5241,46.9727,48.2612,4733689,PCAR
2014-02-05,49.1026,49.9353,48.603,49.874,6092212,PCAR
2014-02-06,49.7951,51.5744,49.7162,51.3903,3101628,PCAR
2014-02-07,51.5218,52.223,51.3553,51.8461,2272537,PCAR
2014-02-10,51.6533,51.7848,51.0397,51.2676,1584766,PCAR
2014-02-11,51.2413,52.1266,51.1624,51.8812,1393083,PCAR
2014-02-12,52.145,52.5408,51.8812,52.0923,1650325,PCAR
2014-02-13,51.6789,52.6815,51.3183,52.6375,2040405,PCAR
2014-02-14,52.3121,54.2338,52.3033,54.1239,3775646,PCAR
2014-02-18,54.3086,55.2233,54.2646,54.7835,2677907,PCAR
2014-02-19,54.5285,55.0474,54.247,54.3614,2310491,PCAR
2014-02-20,54.4845,54.7835,54.2206,54.5285,1402644,PCAR
2014-02-21,57.1142,57.2461,54.3877,54.8539,2058482,PCAR
2014-02-24,55.1441,57.4836,54.9946,56.4545,4335421,PCAR
2014-02-25,56.2171,57.0086,55.8125,56.8679,2481513,PCAR
2014-02-26,57.1142,57.2813,56.3754,56.6832,1647797,PCAR
2014-02-27,57.5979,57.6067,56.4633,57.1581,1657256,PCAR
2014-02-28,57.422,58.451,56.9998,57.9057,2614772,PCAR
2014-03-03,57.1933,57.5715,56.9032,57.2373,1819180,PCAR
2014-03-04,57.9585,58.1783,57.4748,57.9673,2480131,PCAR
2014-03-05,57.9409,58.3806,57.2109,57.4396,2018540,PCAR
2014-03-06,57.7738,58.0009,57.4976,57.9497,1226753,PCAR
2014-03-07,57.9761,58.4334,57.7122,57.9849,1278318,PCAR
2014-03-10,57.7386,58.02,57.2285,57.6594,993120,PCAR
2014-03-11,57.2989,58.4774,57.2989,57.8529,1456436,PCAR
2014-03-12,57.5099,58.3894,57.3164,58.3542,1488378,PCAR
2014-03-13,58.6005,58.6005,56.9998,57.4308,2170830,PCAR
2014-03-14,57.1581,57.677,56.9998,57.1669,1796457,PCAR
2014-03-17,57.7562,58.8556,57.677,58.495,1695701,PCAR
2014-03-18,58.4686,59.2865,58.1951,59.1458,1707944,PCAR
2014-03-19,58.9523,59.2636,58.0728,58.6533,1591175,PCAR
2014-03-20,58.2575,59.0842,58.1432,58.8775,1076599,PCAR
2014-03-21,59.524,59.9022,58.8644,59.2689,3210382,PCAR
2014-03-24,59.3745,59.436,58.0288,58.6005,2017566,PCAR
2014-03-25,60.1924,60.5178,58.9787,59.4976,3014154,PCAR
2014-03-26,59.6471,59.9901,58.4862,58.5038,1760432,PCAR
2014-03-27,58.5038,58.6357,57.6858,57.9761,2137808,PCAR
2014-03-28,58.1608,59.0051,58.0288,58.5389,1501730,PCAR
2014-03-31,58.9523,60.1308,58.7764,59.3129,2602020,PCAR
2014-04-01,59.8054,59.8934,59.3305,59.6383,2322157,PCAR
2014-04-02,59.823,60.1308,59.6119,60.0429,1697157,PCAR
