date,open,high,low,close,volume,Name
2014-01-24,35.4992,35.7449,34.9114,35.0868,1106011,PDCO
2014-01-27,34.9903,35.0956,34.8236,34.964,1008981,PDCO
2014-01-28,34.9114,35.4466,34.9114,35.1921,1448766,PDCO
2014-01-29,35.0167,35.315,34.8236,35.0781,865230,PDCO
2014-01-30,35.3325,35.6133,35.2711,35.3325,488697,PDCO
2014-01-31,34.9114,35.1746,34.692,35.0605,746973,PDCO
2014-02-03,35.1483,35.2447,34.1393,34.2621,1509188,PDCO
2014-02-04,34.3235,34.5867,34.0778,34.4376,1012675,PDCO
2014-02-05,34.306,34.7403,34.0252,34.5516,790329,PDCO
2014-02-06,34.5692,34.7271,34.2709,34.6745,554061,PDCO
2014-02-07,34.7973,35.043,34.4639,34.8236,815462,PDCO
2014-02-10,34.8236,35.3852,34.578,35.3588,781258,PDCO
2014-02-11,35.3588,35.9818,35.2535,35.6308,772832,PDCO
2014-02-12,35.6308,35.9291,35.1395,35.1658,1290695,PDCO
2014-02-13,35.0517,35.5519,34.6832,35.4378,874715,PDCO
2014-02-14,35.4466,35.7273,35.3237,35.3588,682516,PDCO
2014-02-18,35.3325,35.7098,35.0781,35.0781,902960,PDCO
2014-02-19,35.0167,35.4027,34.8061,34.8675,1235567,PDCO
2014-02-20,34.771,35.7449,34.499,35.5782,957610,PDCO
2014-02-21,35.5519,35.9642,35.2886,35.7273,921648,PDCO
2014-02-24,35.7361,36.0432,35.6663,35.8151,664787,PDCO
2014-02-25,35.8502,36.0432,35.6571,35.6922,487040,PDCO
2014-02-26,35.6308,35.894,35.4641,35.587,323880,PDCO
2014-02-27,35.5519,35.8414,35.429,35.8414,452663,PDCO
2014-02-28,35.9291,36.2099,35.7975,36.1134,829494,PDCO
2014-03-03,35.8677,35.9291,35.1834,35.8239,1522966,PDCO
2014-03-04,36.1046,36.982,36.1046,36.5696,1409465,PDCO
2014-03-05,36.6047,36.6047,36.3152,36.5082,399130,PDCO
2014-03-06,36.6749,36.8855,36.5477,36.8504,517865,PDCO
2014-03-07,36.8592,36.9996,36.6574,36.8504,622928,PDCO
