date,open,high,low,close,volume,Name
2014-01-24,150.186,151.2289,148.2068,148.2359,751961,PRGO
2014-01-27,148.3329,149.9531,146.6255,148.7501,1043047,PRGO
2014-01-28,149.3225,152.4756,149.3225,152.3689,803821,PRGO
2014-01-29,150.3218,150.9136,148.4008,149.0994,1159494,PRGO
2014-01-30,149.1867,151.5249,148.6337,151.2532,914282,PRGO
2014-01-31,150.1181,152.0197,147.5034,151.0204,784958,PRGO
2014-02-03,150.3994,150.7196,147.0135,147.5374,1062509,PRGO
2014-02-04,148.1001,151.4957,147.9351,151.1465,1187696,PRGO
2014-02-05,151.001,151.1077,147.3822,148.7113,1549147,PRGO
2014-02-06,149.2837,150.5935,140.1542,142.1237,3765158,PRGO
2014-02-07,142.1237,142.1237,140.3579,141.396,2259855,PRGO
2014-02-10,141.3863,143.2588,140.5132,142.9289,1914556,PRGO
2014-02-11,143.026,143.4645,141.561,143.4237,1059972,PRGO
2014-02-12,143.2588,144.6947,143.0066,144.4327,1012812,PRGO
2014-02-13,144.5104,146.4022,143.9865,146.2664,1450785,PRGO
2014-02-14,146.4604,147.4209,144.423,144.8305,930226,PRGO
2014-02-18,146.0918,151.7189,146.0433,151.486,1520358,PRGO
2014-02-19,151.3017,152.6891,149.8852,150.1084,892204,PRGO
2014-02-20,150.4867,156.696,149.9337,156.2303,1546682,PRGO
2014-02-21,155.4347,156.2303,153.6884,154.319,1554375,PRGO
2014-02-24,154.1347,156.2012,153.7052,155.7258,881519,PRGO
2014-02-25,155.7161,157.1132,154.6586,156.3467,818641,PRGO
2014-02-26,156.7108,161.8854,156.3031,158.2059,1409657,PRGO
2014-02-27,158.3807,161.5067,157.7885,161.4679,1278633,PRGO
2014-02-28,161.7009,163.4775,156.8662,159.6427,2114786,PRGO
2014-03-03,158.1962,160.1961,157.2836,160.1379,1375712,PRGO
2014-03-04,162.2348,163.1086,160.9825,162.7106,864807,PRGO
2014-03-05,162.9338,163.0698,161.1669,162.0795,523230,PRGO
2014-03-06,162.9824,163.3319,158.6331,159.1088,659623,PRGO
2014-03-07,159.7787,160.6233,157.5652,159.6816,694103,PRGO
2014-03-10,159.468,160.5747,158.7302,160.4971,775458,PRGO
2014-03-11,160.2447,161.0019,159.0311,159.1282,477034,PRGO
2014-03-12,158.9146,161.7106,158.8564,161.0116,823604,PRGO
2014-03-13,161.497,162.3708,157.7399,158.07,849867,PRGO
2014-03-14,158.07,160.7495,156.5458,160.6621,1110152,PRGO
2014-03-17,160.8951,162.5018,159.8369,160.332,658513,PRGO
2014-03-18,160.7106,163.3222,160.1476,162.5941,536972,PRGO
2014-03-19,162.1281,163.196,160.1864,161.3126,782989,PRGO
2014-03-20,161.2543,161.5747,158.6041,159.2156,615221,PRGO
2014-03-21,159.9922,161.1475,154.2935,154.3712,1801466,PRGO
2014-03-24,155.0022,155.342,150.9636,151.3907,1232184,PRGO
2014-03-25,152.8178,155.507,150.9733,153.4392,858652,PRGO
2014-03-26,153.6527,154.3906,150.8276,151.0121,719807,PRGO
2014-03-27,151.9926,152.2548,148.5074,149.5559,997145,PRGO
2014-03-28,148.7792,151.4295,147.4394,148.6918,741424,PRGO
2014-03-31,149.6626,150.284,148.2549,150.1481,774114,PRGO
2014-04-01,150.3422,152.3033,149.8665,151.3033,646436,PRGO
2014-04-02,152.2062,154.3517,152.012,152.614,793696,PRGO
2014-04-03,152.6334,152.6334,147.4394,148.3132,1338387,PRGO
2014-04-04,148.6336,151.3228,146.5075,146.624,726029,PRGO
2014-04-07,147.8763,148.3909,142.197,142.7018,1315865,PRGO
2014-04-08,145.2163,145.4201,140.7893,143.9445,1442829,PRGO
2014-04-09,144.459,145.459,143.0999,145.2939,990829,PRGO
2014-04-10,145.4104,145.624,137.5953,140.0418,1977454,PRGO
2014-04-11,139.1001,140.2747,135.1585,135.9837,1607051,PRGO
2014-04-14,136.372,139.4398,134.0712,136.3817,1312453,PRGO
2014-04-15,136.9545,137.8186,133.5178,136.7506,1359451,PRGO
2014-04-16,137.3526,139.5758,137.0031,139.1389,934380,PRGO
2014-04-17,138.4011,139.4981,137.1695,137.8477,842652,PRGO
2014-04-21,137.6826,141.4397,137.0419,140.9155,610605,PRGO
2014-04-22,143.3037,151.449,143.1096,147.1288,2188183,PRGO
2014-04-23,147.1288,147.3812,144.3911,145.556,1007909,PRGO
2014-04-24,146.5172,146.6045,142.9865,143.3911,777373,PRGO
2014-04-25,142.1484,144.2357,141.0029,142.4203,878340,PRGO
2014-04-28,143.1387,144.6532,140.9349,142.7504,1104934,PRGO
2014-04-29,142.9542,143.5659,140.5951,141.4397,850765,PRGO
2014-04-30,140.6242,141.2747,139.4059,140.634,1079092,PRGO
2014-05-01,140.9155,142.2174,140.7505,141.7601,808967,PRGO
2014-05-02,140.9932,142.0708,140.4495,141.0417,495973,PRGO
2014-05-05,140.0126,142.0514,139.0297,141.5465,727691,PRGO
2014-05-06,140.7407,141.6436,138.8185,138.8185,921529,PRGO
2014-05-07,130.4597,131.5373,125.4114,126.7414,4591105,PRGO
2014-05-08,126.7414,127.9161,121.7125,123.1688,3195573,PRGO
2014-05-09,122.5572,125.8774,122.1688,125.7318,2092940,PRGO
2014-05-12,126.7511,128.654,126.5667,127.0035,1479901,PRGO
2014-05-13,127.5569,128.0715,126.9259,127.4793,1173600,PRGO
2014-05-14,127.489,128.2947,127.1589,127.4307,1203017,PRGO
2014-05-15,127.9161,128.6442,126.4016,128.5083,1491861,PRGO
2014-05-16,128.8287,129.052,127.2365,128.9258,1810291,PRGO
2014-05-19,129.0229,130.217,128.3821,129.285,1194146,PRGO
2014-05-20,129.3821,129.518,127.9161,129.0229,1082591,PRGO
2014-05-21,129.4597,129.8772,128.6831,129.2559,1252474,PRGO
