date,open,high,low,close,volume,Name
2014-01-24,37.7722,37.7722,36.4,36.6012,1269318,RHI
2014-01-27,36.8391,37.946,36.8116,37.7264,2431105,RHI
2014-01-28,37.6898,38.0741,37.5801,37.8637,1427881,RHI
2014-01-29,37.699,38.257,37.3971,37.9734,3431329,RHI
2014-01-30,38.1472,38.6412,37.8088,38.4949,2640241,RHI
2014-01-31,36.5921,38.7144,36.4457,38.2204,4978027,RHI
2014-02-03,38.1015,38.3119,35.7596,35.8328,3130623,RHI
2014-02-04,35.9517,36.5463,35.8145,36.2536,2638876,RHI
2014-02-05,35.906,36.1804,35.3297,35.97,1401932,RHI
2014-02-06,36.2902,36.7476,36.1438,36.6012,1537325,RHI
2014-02-07,36.7293,37.2324,36.4915,36.8482,1275047,RHI
2014-02-10,36.7293,36.7476,36.1255,36.3451,1220915,RHI
2014-02-11,36.2628,36.3542,36.0066,36.2445,1385735,RHI
2014-02-12,36.3725,36.647,36.0524,36.6104,1227970,RHI
2014-02-13,36.3817,37.0861,36.3176,37.0037,693891,RHI
2014-02-14,36.9397,37.1318,36.7568,37.0312,553199,RHI
2014-02-18,37.2416,37.8637,37.0129,37.763,1514552,RHI
2014-02-19,37.7539,37.8637,37.1776,37.269,1016623,RHI
2014-02-20,37.388,37.4063,36.8299,36.8757,1247259,RHI
2014-02-21,36.9951,37.0778,36.5081,36.9767,1459716,RHI
2014-02-24,37.0043,37.3811,36.9675,36.9767,684466,RHI
2014-02-25,37.087,37.2157,36.5816,36.7011,1039180,RHI
2014-02-26,36.8665,37.2212,36.7194,36.94,812208,RHI
2014-02-27,37.0043,37.2846,36.7838,37.2065,835159,RHI
2014-02-28,37.234,37.7119,37.1238,37.62,847242,RHI
2014-03-03,37.2984,37.4178,36.9951,37.2708,802542,RHI
2014-03-04,37.6475,38.1621,37.62,38.0059,898015,RHI
2014-03-05,38.0243,38.3275,37.7027,38.2724,1348914,RHI
2014-03-06,38.3275,38.8697,38.2356,38.7502,1462239,RHI
2014-03-07,39.1637,39.467,39.0259,39.3291,1309003,RHI
2014-03-10,39.2648,39.4486,38.6951,38.9524,831072,RHI
2014-03-11,39.0167,39.2097,38.4286,38.5481,803768,RHI
2014-03-12,38.2724,38.6032,37.8956,38.594,755370,RHI
2014-03-13,38.741,38.8237,37.62,37.7394,645276,RHI
2014-03-14,37.5924,38.0335,37.5465,37.8956,697864,RHI
2014-03-17,38.0335,38.447,37.7486,38.2081,672829,RHI
2014-03-18,38.2265,38.787,38.1346,38.7686,614420,RHI
2014-03-19,38.741,38.9432,37.9508,38.3092,599327,RHI
2014-03-20,38.1621,38.4194,37.8773,38.3919,576326,RHI
2014-03-21,38.7318,39.3935,38.6124,39.0259,1254785,RHI
2014-03-24,39.1086,39.2648,38.3183,38.6216,743494,RHI
2014-03-25,38.9891,39.0351,38.2724,38.8697,721573,RHI
2014-03-26,39.0351,39.1545,38.3919,38.447,746217,RHI
2014-03-27,38.4746,38.4746,37.6475,37.767,877752,RHI
2014-03-28,37.9508,38.2724,37.767,37.8589,686686,RHI
2014-03-31,38.2632,38.6767,38.0611,38.5481,782463,RHI
2014-04-01,38.7778,39.2235,38.5481,39.1913,948544,RHI
2014-04-02,39.3475,39.3567,38.9064,38.9432,903276,RHI
2014-04-03,39.0627,39.3567,38.8237,38.9432,928909,RHI
2014-04-04,39.127,39.6048,38.0427,38.1621,1123265,RHI
2014-04-07,38.107,38.1989,37.1605,37.7854,1010617,RHI
2014-04-08,37.7119,38.5664,37.4821,38.4929,1183094,RHI
2014-04-09,38.6308,38.64,38.0335,38.5573,735494,RHI
2014-04-10,38.4837,38.594,37.28,37.3351,582440,RHI
2014-04-11,37.087,37.3259,36.3794,36.5173,954880,RHI
2014-04-14,36.793,36.9859,36.4438,36.8389,902087,RHI
2014-04-15,36.9124,37.3811,36.3611,36.9492,856054,RHI
2014-04-16,37.3535,38.1437,37.3075,38.1346,765469,RHI
2014-04-17,37.8773,38.8421,37.7946,38.7594,701928,RHI
2014-04-21,38.7778,39.1545,38.6491,38.7962,898900,RHI
2014-04-22,39.1545,39.8162,39.0902,39.5037,913101,RHI
2014-04-23,40.3491,40.3491,39.7702,39.9172,1714269,RHI
2014-04-24,40.5053,41.2588,39.9907,40.5145,1573930,RHI
2014-04-25,40.4318,40.4318,39.421,39.6232,1067090,RHI
2014-04-28,39.7059,40.1562,39.3843,40.0734,1205629,RHI
2014-04-29,40.1653,40.3767,39.8608,40.2297,504075,RHI
2014-04-30,40.1102,41.2037,39.9907,41.1669,1123300,RHI
2014-05-01,41.0291,41.5161,40.6386,41.1394,1053180,RHI
2014-05-02,41.2864,41.3599,40.9648,41.0751,611694,RHI
2014-05-05,40.8453,40.9005,40.1837,40.6156,1501760,RHI
2014-05-06,40.5329,40.8913,40.3583,40.5421,586649,RHI
2014-05-07,40.6983,41.5805,40.2389,41.5529,1295609,RHI
2014-05-08,41.5713,41.8469,41.2221,41.3507,1137575,RHI
2014-05-09,41.2405,41.314,40.4778,41.0015,666652,RHI
2014-05-12,41.2129,41.9296,41.1899,41.8745,819690,RHI
2014-05-13,41.8469,41.9756,41.5805,41.8561,821745,RHI
2014-05-14,41.7734,41.7826,41.1761,41.3323,517764,RHI
2014-05-15,41.2129,41.2588,40.5145,40.928,913745,RHI
2014-05-16,40.9188,40.9648,40.4961,40.9372,708092,RHI
2014-05-19,40.7994,41.3507,40.7167,41.2221,402676,RHI
2014-05-20,41.1394,41.1669,40.3859,40.4318,868433,RHI
2014-05-21,40.644,41.3268,40.5333,41.3176,580886,RHI
2014-05-22,41.2438,41.7051,41.1054,41.6129,618649,RHI
2014-05-23,41.5575,41.9542,41.3361,41.9358,437407,RHI
2014-05-27,42.0926,42.3003,41.8804,42.148,873010,RHI
2014-05-28,42.1665,42.434,41.9912,42.2587,594100,RHI
2014-05-29,42.4433,42.5632,41.8897,42.5448,686412,RHI
2014-05-30,42.3602,42.554,41.7974,42.065,1296796,RHI
2014-06-02,42.0834,42.2495,41.5852,42.0742,651837,RHI
2014-06-03,41.8989,41.9635,41.5206,41.9173,493589,RHI
2014-06-04,41.8066,42.3049,41.6424,42.0926,859724,RHI
2014-06-05,42.0373,42.434,41.7513,42.2126,1248896,RHI
2014-06-06,42.3602,43.3383,42.1296,42.9969,950066,RHI
2014-06-09,42.9876,44.1225,42.8862,43.735,1428352,RHI
2014-06-10,43.6151,44.0487,43.4121,43.9472,1016942,RHI
2014-06-11,43.8826,43.9288,43.6427,43.8457,839965,RHI
2014-06-12,43.7996,43.8457,43.2737,43.4951,580779,RHI
2014-06-13,43.7535,43.8181,43.449,43.7166,739879,RHI
2014-06-16,43.6704,43.9657,43.5228,43.8642,474751,RHI
2014-06-17,43.7904,44.2148,43.4029,43.8734,580625,RHI
2014-06-18,43.8826,43.938,43.2368,43.8826,721154,RHI
2014-06-19,43.9934,44.021,43.6335,43.7996,451287,RHI
2014-06-20,43.9565,44.1964,43.7627,44.1318,937657,RHI
2014-06-23,44.0672,44.2609,43.8088,44.1595,619530,RHI
2014-06-24,44.1318,44.4086,43.6797,43.7812,602095,RHI
2014-06-25,43.7535,44.1595,43.449,44.0949,693642,RHI
2014-06-26,44.1779,44.1779,43.5966,43.7442,512435,RHI
2014-06-27,43.5966,44.2794,43.4121,44.224,856688,RHI
2014-06-30,44.0395,44.2886,43.4398,44.0487,940575,RHI
2014-07-01,44.0949,44.75,44.0487,44.4547,711312,RHI
2014-07-02,44.4824,45.0083,44.3624,44.5008,715555,RHI
2014-07-03,44.6669,45.3128,44.6669,45.2205,969115,RHI
2014-07-07,45.119,45.2205,44.63,44.9437,827837,RHI
2014-07-08,44.8607,44.9876,44.3993,44.6762,764845,RHI
2014-07-09,44.6946,44.8791,44.4916,44.6023,580101,RHI
2014-07-10,44.0118,44.3717,43.7996,44.1595,797554,RHI
2014-07-11,44.2056,44.224,43.5505,43.8826,1281970,RHI
2014-07-14,44.3993,44.427,44.1087,44.1687,835036,RHI
2014-07-15,44.2425,44.3717,43.7258,43.9196,1026820,RHI
2014-07-16,44.1687,44.3163,43.8642,44.0856,649335,RHI
2014-07-17,43.8642,44.0672,43.3475,43.4305,474284,RHI
2014-07-18,43.5413,44.5008,43.4213,44.344,614283,RHI
2014-07-21,44.0764,44.2794,43.6612,44.1502,696403,RHI
2014-07-22,44.3071,44.833,44.0856,44.4732,893090,RHI
2014-07-23,47.7487,48.9758,46.9459,47.7025,2889145,RHI
2014-07-24,47.3796,47.9978,46.9367,47.2043,1546313,RHI
2014-07-25,47.0013,47.0936,46.5861,46.6691,1159381,RHI
2014-07-28,46.6691,46.6876,45.9218,46.3554,986190,RHI
2014-07-29,46.3739,46.8537,45.8849,45.9218,879590,RHI
2014-07-30,46.1155,46.1155,45.442,45.7372,881769,RHI
2014-07-31,45.3774,45.5804,44.6762,44.8884,1276111,RHI
2014-08-01,45.0821,45.5066,45.0005,45.4881,1330715,RHI
2014-08-04,45.0821,45.5066,45.0005,45.4881,1330915,RHI
2014-08-05,45.2298,45.4143,44.6208,44.833,915093,RHI
2014-08-06,44.547,44.8976,44.2333,44.6116,832036,RHI
2014-08-07,44.9437,45.0953,44.6669,44.9068,1069392,RHI
2014-08-08,44.953,45.7003,44.7869,45.6542,956242,RHI
2014-08-11,45.728,46.2908,45.5804,46.0694,722124,RHI
2014-08-12,46.1063,46.1801,45.2482,45.4697,543953,RHI
2014-08-13,45.5896,45.9587,45.4835,45.7834,785280,RHI
2014-08-14,45.9402,46.0786,45.5435,45.8941,419026,RHI
2014-08-15,45.9956,46.0786,44.9068,45.1929,953503,RHI
2014-08-18,45.4881,46.1524,45.3682,45.848,740974,RHI
2014-08-19,45.9771,46.4708,45.8849,46.2724,564561,RHI
2014-08-20,46.2816,46.3554,45.9494,46.1524,653645,RHI
2014-08-21,46.2821,46.2914,45.8654,46.1432,396600,RHI
2014-08-22,45.958,46.2173,45.9024,46.0506,403075,RHI
2014-08-25,46.4395,46.5043,45.8654,46.0876,525732,RHI
2014-08-26,46.1062,46.421,45.8654,46.0413,499536,RHI
2014-08-27,46.0136,46.208,45.8376,46.1432,501567,RHI
2014-08-28,45.9302,46.1802,45.6895,45.9765,398757,RHI
2014-08-29,46.0969,46.6062,46.0321,46.4951,702936,RHI
2014-09-02,46.4858,47.1618,46.421,47.1248,1040634,RHI
