date,open,high,low,close,volume,Name
2014-01-24,143.8706,145.6482,142.5124,143.6792,1184674,RL
2014-01-27,143.5972,144.5178,142.239,143.0685,874679,RL
2014-01-28,143.4331,144.1806,142.321,142.877,840232,RL
2014-01-29,142.1113,143.1687,141.5644,141.7558,951374,RL
2014-01-30,143.2964,145.3838,143.1687,144.2353,927180,RL
2014-01-31,142.3666,144.1897,141.929,143.0138,788574,RL
2014-02-03,142.4304,144.1441,139.2764,140.0695,1161857,RL
2014-02-04,140.6528,143.3365,140.1059,140.5435,1890197,RL
2014-02-05,149.3308,149.6134,133.0869,135.5573,11478553,RL
2014-02-06,136.7514,140.6802,136.4324,138.7659,2158377,RL
2014-02-07,139.6501,143.0958,138.2372,142.1022,1944078,RL
2014-02-10,141.929,142.4942,140.8807,141.5188,1095660,RL
2014-02-11,143.5698,144.3264,141.3547,142.9317,1384747,RL
2014-02-12,143.424,143.9645,140.6164,140.8352,1787710,RL
2014-02-13,140.425,142.6583,139.878,142.3392,1253323,RL
2014-02-14,140.8899,145.8214,140.8899,144.3811,1659631,RL
2014-02-18,144.5725,144.9007,142.3666,143.2508,863793,RL
2014-02-19,142.5671,144.3173,142.5671,143.0867,1049909,RL
2014-02-20,143.2234,145.0557,143.2234,143.7157,961326,RL
2014-02-21,143.7157,144.7881,143.7157,144.3902,791481,RL
2014-02-24,143.7066,147.0611,143.7066,145.1833,1163609,RL
2014-02-25,145.1286,146.3683,143.8889,145.8396,779152,RL
2014-02-26,149.7775,149.8596,146.8332,147.7812,1482841,RL
2014-02-27,145.9854,147.4986,145.7667,147.4804,2940643,RL
2014-02-28,147.5807,147.8541,146.1313,146.8332,1202776,RL
2014-03-03,145.0557,146.7329,145.0557,146.0948,987601,RL
2014-03-04,147.4986,148.082,146.6691,147.6171,967610,RL
2014-03-05,147.608,148.0273,146.6144,147.1705,986858,RL
2014-03-06,147.3345,147.9088,146.4795,147.8177,1054755,RL
2014-03-07,148.1276,150.4065,147.8632,149.5405,1028362,RL
2014-03-10,149.3582,149.8413,147.8268,149.7593,1315194,RL
2014-03-11,149.741,150.4065,147.4986,147.8815,1341872,RL
2014-03-12,147.4257,148.2188,146.7694,148.1914,674928,RL
2014-03-13,148.5287,148.9024,144.7457,145.3109,898931,RL
2014-03-14,145.2927,146.9517,145.2927,145.9216,796431,RL
2014-03-17,146.897,147.6992,145.8852,147.2252,744822,RL
2014-03-18,148.5834,149.9507,147.4622,149.3126,947531,RL
2014-03-19,149.4858,149.4858,146.1313,146.9973,720794,RL
2014-03-20,146.8697,147.3345,145.1286,146.2771,637550,RL
2014-03-21,147.7812,148.5834,145.9672,146.7967,1027023,RL
2014-03-24,147.1522,147.9088,144.7758,145.8578,864071,RL
2014-03-25,146.5871,146.6235,142.0658,142.4668,1477456,RL
2014-03-26,143.9844,146.4892,143.0519,143.0519,1229265,RL
2014-03-27,142.8325,144.926,142.8325,143.509,762945,RL
2014-03-28,143.8564,145.5202,143.6095,144.6609,734560,RL
2014-03-31,146.0687,147.376,145.4105,147.12,867714,RL
2014-04-01,147.2754,149.6706,147.1749,149.6706,954616,RL
2014-04-02,149.7163,150.6122,148.7655,149.3872,774343,RL
2014-04-03,150.082,150.5391,148.0854,148.7198,654066,RL
2014-04-04,148.9392,149.3323,144.7248,145.0265,1014866,RL
2014-04-07,144.734,145.1271,141.2509,142.2291,1239855,RL
2014-04-08,142.4759,143.125,141.1412,142.5399,1298230,RL
2014-04-09,141.3149,144.3409,141.3149,143.9295,712986,RL
2014-04-10,144.1215,144.7066,140.5562,140.5927,784381,RL
2014-04-11,139.706,141.2327,139.5597,140.3733,918049,RL
2014-04-14,140.9675,141.9457,140.3916,141.1412,675279,RL
2014-04-15,141.4795,142.5857,139.6785,142.0097,737774,RL
2014-04-16,143.0245,144.0118,141.3515,141.7446,585075,RL
2014-04-17,141.2875,142.6862,140.9127,141.1321,642940,RL
2014-04-21,141.2692,141.8177,140.419,140.7116,424253,RL
2014-04-22,141.6166,142.4851,140.7957,141.5709,1087084,RL
2014-04-23,141.8543,142.3387,140.5927,140.6384,700474,RL
2014-04-24,141.123,141.5983,139.1849,141.3424,888624,RL
2014-04-25,141.2875,141.708,139.8431,139.9528,732151,RL
2014-04-28,140.6293,141.6532,136.2229,138.4718,1317906,RL
2014-04-29,138.6364,139.7151,137.8319,139.2397,869814,RL
2014-04-30,138.9198,139.1575,137.1737,138.3804,851991,RL
2014-05-01,138.5815,140.483,137.4753,140.2362,1035751,RL
2014-05-02,140.5562,143.5181,140.2947,141.6989,971626,RL
2014-05-05,141.1595,142.6039,139.2672,142.4851,796970,RL
2014-05-06,141.836,142.7484,140.4419,140.6841,1017249,RL
2014-05-07,140.8304,141.1138,137.5009,139.4683,994665,RL
2014-05-08,139.5505,142.9696,138.8466,138.9472,1648178,RL
2014-05-09,131.8074,136.6709,129.7505,136.0401,4800410,RL
2014-05-12,135.1716,135.9944,133.8643,134.6962,2628332,RL
2014-05-13,134.6962,137.2925,134.6962,136.36,1557758,RL
2014-05-14,136.36,136.8811,134.6231,134.8608,760506,RL
2014-05-15,134.4768,135.0985,132.9227,134.8151,1087072,RL
2014-05-16,135.2356,137.0365,134.5408,136.9177,1056061,RL
2014-05-19,136.5703,138.2341,136.5703,138.033,972759,RL
2014-05-20,138.0421,138.2067,136.9817,137.3656,1021834,RL
2014-05-21,137.5302,138.6821,137.0183,137.8776,587417,RL
2014-05-22,137.6399,139.1894,137.4753,138.8649,661919,RL
2014-05-23,138.9655,139.7425,138.2707,139.6145,578636,RL
2014-05-27,140.0625,141.1595,139.6328,140.3276,789959,RL
2014-05-28,141.1869,141.3332,139.3037,139.5048,872162,RL
2014-05-29,139.6968,139.9528,139.0477,139.9254,474895,RL
2014-05-30,139.578,140.5882,139.578,140.3093,586960,RL
2014-06-02,140.4007,140.5744,139.6511,140.0259,575272,RL
2014-06-03,139.1209,141.2052,138.9563,141.0315,658364,RL
2014-06-04,140.3002,142.5765,139.8705,142.0737,848198,RL
2014-06-05,141.1321,141.5252,139.8979,141.0315,1356692,RL
2014-06-06,141.1321,141.6623,140.6841,141.2418,681004,RL
2014-06-09,141.4612,142.3845,141.4155,141.9823,534200,RL
2014-06-10,141.9731,141.9731,141.1138,141.3789,577487,RL
2014-06-11,141.3241,141.3241,139.9894,140.2728,458018,RL
2014-06-12,139.6968,140.1905,139.3129,139.5871,674033,RL
2014-06-13,139.642,140.6019,139.3202,140.3642,791507,RL
2014-06-16,139.9162,140.4373,139.5505,139.8705,507601,RL
2014-06-17,139.7608,141.7537,139.7608,141.4155,527580,RL
2014-06-18,141.5526,142.8142,141.1504,142.6131,611325,RL
2014-06-19,142.6588,143.0702,140.7344,141.0133,650181,RL
2014-06-20,142.156,142.6131,140.9401,142.22,1022292,RL
2014-06-23,142.1194,142.7776,141.4978,142.6954,667670,RL
2014-06-24,142.6954,146.5167,142.5262,144.35,1525005,RL
2014-06-25,144.3775,145.1568,142.764,142.9657,1103474,RL
2014-06-26,142.9565,144.185,141.893,144.0108,1071975,RL
2014-06-27,144.0108,147.3755,143.3966,147.0729,1404386,RL
2014-06-30,147.6047,147.7055,145.8169,147.3205,674606,RL
2014-07-01,147.7422,150.3642,147.0913,148.1823,1085257,RL
2014-07-02,148.1823,148.9698,147.8247,148.0172,732383,RL
2014-07-03,148.5398,149.7775,148.5215,149.3283,415784,RL
2014-07-07,148.9982,149.3558,148.1364,148.4115,736172,RL
2014-07-08,148.2464,148.4115,147.1004,147.4947,944278,RL
2014-07-09,147.7789,149.6583,147.3938,149.3649,881004,RL
2014-07-10,147.6964,148.0722,146.5045,146.6604,662102,RL
2014-07-11,146.8621,146.8621,145.221,145.8903,565930,RL
2014-07-14,146.7704,147.0454,145.7436,146.1928,412077,RL
2014-07-15,145.6427,146.4312,145.3219,145.6427,466962,RL
2014-07-16,145.7986,146.367,144.6526,144.8543,639187,RL
2014-07-17,144.5609,145.0743,143.8366,144.1117,533959,RL
2014-07-18,144.5701,144.9735,143.5066,144.5701,560510,RL
2014-07-21,144.1667,145.1935,143.9008,144.6434,411102,RL
2014-07-22,144.8176,146.7429,144.0658,145.9819,530054,RL
2014-07-23,146.1653,146.4312,145.2668,146.2295,292440,RL
2014-07-24,146.9354,148.3748,146.4495,148.0814,423749,RL
2014-07-25,147.7239,148.0722,146.1745,146.3578,418684,RL
2014-07-28,146.6512,147.238,145.7252,146.6145,362312,RL
2014-07-29,146.642,146.6879,145.111,145.1568,693801,RL
2014-07-30,145.6152,146.5595,145.2852,146.092,652615,RL
2014-07-31,144.4692,145.4227,142.6906,142.8923,809464,RL
2014-08-01,142.9932,143.8641,141.0679,141.6913,788461,RL
2014-08-04,141.6913,143.5708,141.4071,143.2957,837082,RL
2014-08-05,141.783,144.3592,141.3613,143.5433,1448948,RL
2014-08-06,139.5552,144.8543,139.5552,143.8275,1953908,RL
2014-08-07,145.8628,146.6512,144.4051,144.9643,1345450,RL
2014-08-08,144.9826,147.1921,144.185,147.0913,649048,RL
2014-08-11,148.0631,149.8233,147.6139,149.2182,1031532,RL
2014-08-12,149.1357,150.2451,148.3199,149.2366,1262598,RL
2014-08-13,149.1632,149.3008,146.642,148.7415,1141850,RL
2014-08-14,148.6407,149.75,147.788,149.6033,577413,RL
2014-08-15,150.3917,150.8226,148.6773,149.9334,846061,RL
2014-08-18,150.8868,152.5096,150.4193,151.6019,575386,RL
2014-08-19,151.9411,153.133,151.9411,153.1055,532706,RL
2014-08-20,152.5737,155.7734,152.0328,155.2416,994996,RL
2014-08-21,155.4341,155.8559,154.3982,155.1866,731738,RL
2014-08-22,155.3975,156.6168,154.7649,155.645,583799,RL
2014-08-25,156.1217,156.5251,155.535,155.8192,624397,RL
2014-08-26,155.7642,155.7642,154.609,154.9391,808127,RL
2014-08-27,155.6267,156.4335,154.6274,155.5625,637926,RL
2014-08-28,154.4348,155.1866,153.3713,154.9849,658727,RL
2014-08-29,154.9391,155.26,153.9489,155.1224,517778,RL
2014-09-02,155.2049,156.1676,154.7924,155.6817,611211,RL
2014-09-03,155.7642,155.865,154.6824,154.9849,596448,RL
2014-09-04,155.6267,159.028,155.6267,158.1112,1096802,RL
2014-09-05,157.3778,158.5971,156.8277,158.5146,582405,RL
2014-09-08,158.0379,158.9363,157.8912,158.1479,426726,RL
2014-09-09,159.8073,159.954,158.5329,159.083,747995,RL
2014-09-10,159.0738,160.2198,158.8355,160.1648,733622,RL
