date,open,high,low,close,volume,Name
2014-01-24,86.584,87.398,85.9912,86.6813,1076731,SJM
2014-01-27,86.7521,87.8846,86.5398,87.2653,997765,SJM
2014-01-28,87.1591,88.1943,87.0883,87.8669,931171,SJM
2014-01-29,86.8317,87.0795,85.4692,85.9204,1081606,SJM
2014-01-30,86.4071,86.8583,86.0841,86.584,566602,SJM
2014-01-31,85.4869,86.4955,85.2038,85.2834,932629,SJM
2014-02-03,85.2834,85.3825,82.9741,83.1068,1119759,SJM
2014-02-04,83.3811,83.6908,82.6025,82.9122,746440,SJM
2014-02-05,82.3813,82.5406,81.3417,82.1247,1105939,SJM
2014-02-06,82.6291,82.9918,82.4344,82.806,598844,SJM
2014-02-07,82.9653,83.4342,82.3017,82.6114,875356,SJM
2014-02-10,82.4698,83.4608,82.3548,82.9033,901888,SJM
2014-02-11,83.0892,83.62,82.4079,83.1953,1648894,SJM
2014-02-12,83.1241,83.5959,82.4655,83.4268,1199664,SJM
2014-02-13,83.1241,84.7889,82.9816,84.6999,1261187,SJM
2014-02-14,81.1922,82.1181,77.5421,81.7353,4272235,SJM
2014-02-18,82.581,85.5278,82.4475,84.8512,1869457,SJM
2014-02-19,84.8512,85.7771,84.4595,85.0649,1500111,SJM
2014-02-20,85.7415,87.7624,85.3809,87.4953,2207066,SJM
2014-02-21,87.5042,87.7891,86.9522,87.1926,1618138,SJM
2014-02-24,87.4864,88.4746,87.3528,87.8692,1136633,SJM
2014-02-25,87.7357,89.0176,87.7,88.1452,1109438,SJM
2014-02-26,88.0829,88.7105,87.7446,87.7891,1153599,SJM
2014-02-27,87.7,88.8307,87.6644,88.706,1071450,SJM
2014-02-28,88.6348,89.8189,88.528,89.0354,1185414,SJM
2014-03-03,88.2164,88.9375,87.8113,88.1808,1244908,SJM
2014-03-04,89.0176,89.5696,88.1541,88.3766,1155195,SJM
2014-03-05,88.2787,88.439,87.4686,87.6288,723816,SJM
2014-03-06,87.5754,87.8336,86.8543,86.9166,794801,SJM
2014-03-07,87.3261,87.3261,86.2222,86.8365,613729,SJM
2014-03-10,86.6495,86.9611,86.1777,86.5427,462651,SJM
2014-03-11,86.4982,86.6851,85.7237,85.9551,848499,SJM
2014-03-12,85.5634,87.2638,85.5367,87.2282,763313,SJM
2014-03-13,87.6288,87.6288,86.1243,86.3468,599544,SJM
2014-03-14,85.697,86.2311,85.5367,85.6257,1052783,SJM
2014-03-17,85.9551,86.2044,85.4477,85.5723,531824,SJM
2014-03-18,85.5634,87.2193,85.4833,86.9967,808008,SJM
2014-03-19,86.8543,86.8543,84.9758,85.5901,672584,SJM
2014-03-20,85.1895,86.1599,84.9135,86.0887,624689,SJM
2014-03-21,86.8988,87.0323,85.3497,85.4833,1213522,SJM
2014-03-24,85.875,86.4857,85.3586,85.6524,664533,SJM
