date,open,high,low,close,volume,Name
2014-01-24,78.4239,78.5205,77.1846,77.4746,8424471,SLB
2014-01-27,77.6065,77.8904,76.376,77.2637,6073739,SLB
2014-01-28,77.5362,77.7998,76.6309,77.1319,4679217,SLB
2014-01-29,76.5342,76.9209,75.9629,76.7276,6662375,SLB
2014-01-30,77.2549,78.6525,77.2461,78.0547,5625605,SLB
2014-01-31,77.2286,77.8614,76.7276,76.9649,6338746,SLB
2014-02-03,77.167,77.3428,75.4883,75.7872,7207084,SLB
2014-02-04,75.8926,77.1934,75.7696,76.6309,6293673,SLB
2014-02-05,76.5957,77.0264,75.585,75.7256,6656753,SLB
2014-02-06,76.0684,78.0196,76.0157,77.791,5384004,SLB
2014-02-07,78.2129,78.8721,77.6328,78.6612,6007656,SLB
2014-02-10,78.626,78.6436,77.6856,78.2569,5186910,SLB
2014-02-11,78.2481,79.6719,78.2305,79.4258,5930941,SLB
2014-02-12,79.4697,80.0322,79.0654,79.127,4287833,SLB
2014-02-13,78.7051,79.7246,78.3535,79.3291,5067591,SLB
2014-02-14,79.7529,80.5033,79.4086,79.85,4675632,SLB
2014-02-18,79.8588,80.1325,79.1879,80.0089,5336128,SLB
2014-02-19,79.6999,80.9359,79.6999,79.8765,5994188,SLB
2014-02-20,79.8147,80.4503,79.7176,80.362,4917068,SLB
2014-02-21,80.5562,80.7549,79.5057,79.5145,6323095,SLB
2014-02-24,79.8235,82.6926,79.797,81.854,8883133,SLB
2014-02-25,81.4302,81.876,80.724,81.7127,5254515,SLB
2014-02-26,82.3572,82.5161,81.3155,81.5273,4337738,SLB
2014-02-27,81.2007,81.8363,80.7593,81.7216,3947487,SLB
2014-02-28,82.2512,82.8427,81.8098,82.1012,5967010,SLB
2014-03-03,81.4479,81.9952,79.9824,80.5651,7741174,SLB
2014-03-04,81.6598,82.11,81.1124,81.6509,6776247,SLB
2014-03-05,81.3419,81.748,80.8476,81.2272,3995839,SLB
