date,open,high,low,close,volume,Name
2014-01-24,129.1672,129.2419,127.0931,127.0931,2104643,SPG
2014-01-27,127.1927,127.9808,125.4504,126.0478,1880914,SPG
2014-01-28,126.1307,127.1927,126.0312,126.1473,1269009,SPG
2014-01-29,125.3426,126.2552,124.1147,124.9609,1836051,SPG
2014-01-30,125.633,127.0682,125.4504,126.894,1817561,SPG
2014-01-31,126.9438,129.4161,126.3547,128.462,2469361,SPG
2014-02-03,127.8481,127.8481,125.0688,125.4255,1972526,SPG
2014-02-04,125.6413,127.5411,124.7867,127.2757,1825311,SPG
2014-02-05,126.9355,127.9808,126.4045,127.7071,1440887,SPG
2014-02-06,127.6905,129.2336,127.4997,128.8603,1422402,SPG
2014-02-07,129.441,130.3453,127.4831,130.2292,1597326,SPG
2014-02-10,130.6191,131.9134,130.0052,131.3658,1433148,SPG
2014-02-11,131.1584,132.4775,130.8099,132.0793,1484140,SPG
2014-02-12,131.8368,132.4473,131.2849,132.071,1066717,SPG
2014-02-13,131.5441,133.4507,131.3936,132.7316,1100742,SPG
2014-02-14,132.5141,134.2367,132.4305,133.9524,1015809,SPG
2014-02-18,134.0193,134.1949,132.5643,134.0193,1411127,SPG
2014-02-19,133.4591,135.2151,133.4173,133.9441,1268141,SPG
2014-02-20,133.827,134.6298,132.9406,133.7267,1059426,SPG
2014-02-21,133.4925,134.3789,132.7316,133.4256,1216572,SPG
2014-02-24,133.5845,135.2486,133.2835,133.7183,1444931,SPG
2014-02-25,133.7852,134.1949,133.0159,133.2584,1209749,SPG
2014-02-26,134.2284,135.0311,133.7392,134.6799,1442594,SPG
2014-02-27,134.8388,135.2318,133.1497,134.1113,1156843,SPG
2014-02-28,134.0528,135.6165,133.9608,134.8723,2237171,SPG
2014-03-03,134.2702,135.5329,133.9859,135.4158,1299865,SPG
2014-03-04,136.8875,137.6903,136.3691,137.4394,1551561,SPG
2014-03-05,137.4562,137.5565,135.7336,137.2304,1297606,SPG
2014-03-06,137.9161,137.9161,136.16,136.7788,1101735,SPG
2014-03-07,136.5698,136.7872,133.8772,135.2235,1479813,SPG
2014-03-10,135.0897,135.5998,133.8521,134.5461,1231430,SPG
2014-03-11,134.9392,135.951,134.8472,135.5329,819994,SPG
2014-03-12,134.9642,136.344,134.9642,135.6917,1026214,SPG
2014-03-13,136.1098,136.1684,134.7217,135.2486,873557,SPG
2014-03-14,135.0144,136.16,134.3057,134.6883,1029182,SPG
2014-03-17,135.2653,136.5447,135.1858,136.068,1249509,SPG
2014-03-18,136.0262,136.7705,135.3238,136.6952,955655,SPG
2014-03-19,136.4527,136.8708,133.0911,133.4925,1582969,SPG
2014-03-20,133.7183,134.0695,131.3518,134.0695,1644925,SPG
