date,open,high,low,close,volume,Name
2014-01-24,61.5632,64.0868,60.5102,63.1064,5519713,STT
2014-01-27,62.9612,63.3696,61.8356,61.9989,4251184,STT
2014-01-28,63.1155,63.1155,61.8628,62.5254,3583304,STT
2014-01-29,61.7629,62.1623,61.1639,61.3635,4065528,STT
2014-01-30,62.0353,62.3167,61.7539,61.9445,3082027,STT
2014-01-31,60.8824,61.3998,60.5829,60.7735,3857562,STT
2014-02-03,60.7644,61.0367,58.5359,58.6403,5548361,STT
2014-02-04,59.0125,59.9474,58.604,59.421,2955185,STT
2014-02-05,59.3665,59.6116,58.368,58.4043,3961209,STT
2014-02-06,58.604,59.9474,58.5041,59.8385,2327236,STT
2014-02-07,60.2198,61.9989,60.1835,61.9354,4661291,STT
2014-02-10,61.8356,62.0171,61.4906,61.8719,2665315,STT
2014-02-11,61.8537,62.6979,61.6177,62.4074,1651003,STT
2014-02-12,62.4891,62.9158,62.244,62.4528,1670354,STT
2014-02-13,61.8628,62.5618,61.7539,62.1805,2540122,STT
2014-02-14,62.0897,62.5164,61.9536,62.4619,2704631,STT
2014-02-18,61.654,62.1215,61.654,61.9263,3031184,STT
2014-02-19,61.4634,62.5708,61.3454,61.772,2938055,STT
2014-02-20,61.8446,61.9263,60.8463,61.5632,1868503,STT
2014-02-21,62.589,62.6616,61.4997,62.1987,2970874,STT
2014-02-24,60.9914,63.297,60.8733,62.6979,2339854,STT
2014-02-25,62.6434,62.6525,61.4815,61.6086,2246177,STT
2014-02-26,61.7175,62.1442,61.064,61.1911,3216137,STT
2014-02-27,61.1003,62.0897,60.8643,61.1729,3414523,STT
2014-02-28,59.3393,60.3922,59.3393,59.6116,7469795,STT
2014-03-03,59.0851,59.3483,58.486,59.1849,2822088,STT
2014-03-04,59.8839,60.6192,59.8476,60.2833,2620769,STT
2014-03-05,60.4467,60.6464,59.9384,60.365,2100503,STT
2014-03-06,60.719,61.8719,60.483,61.4815,3306852,STT
2014-03-07,61.8265,62.4347,61.8265,61.8537,2833860,STT
2014-03-10,61.772,62.1351,61.6994,61.9082,1426741,STT
2014-03-11,61.6631,61.8719,60.5102,60.6646,2628808,STT
2014-03-12,60.0927,60.4739,59.8839,60.0564,2357088,STT
2014-03-13,60.4013,60.4467,58.4769,58.5314,4026601,STT
2014-03-14,58.5495,59.1214,58.2863,58.7583,2164438,STT
2014-03-17,59.2031,59.9928,59.2031,59.4028,2013184,STT
2014-03-18,59.4119,59.7659,59.1486,59.312,2288406,STT
2014-03-19,59.312,60.6101,58.8128,60.0473,3253550,STT
2014-03-20,59.9202,62.1442,59.8657,61.7266,3823483,STT
2014-03-21,62.5164,63.533,62.1805,62.4619,6591505,STT
2014-03-24,62.825,64.2411,62.7932,63.7327,5065640,STT
2014-03-25,63.8689,64.0232,62.9612,63.6874,2990842,STT
2014-03-26,64.1231,64.1957,62.3076,62.3076,3182178,STT
2014-03-27,62.2168,62.5056,61.064,62.1714,4528399,STT
2014-03-28,62.2625,63.0279,62.1896,62.8639,2526911,STT
2014-03-31,63.5109,63.7842,63.0462,63.3742,2177723,STT
2014-04-01,63.684,63.7751,63.1464,63.3924,2030619,STT
2014-04-02,63.4835,63.602,62.8366,63.1282,2622790,STT
2014-04-03,63.2193,63.4471,62.7728,63.3195,1542123,STT
2014-04-04,63.766,63.9665,62.1532,62.1896,3350532,STT
2014-04-07,62.2443,62.299,60.513,60.6133,2644336,STT
2014-04-08,60.5677,60.6224,59.6975,60.0665,3678050,STT
2014-04-09,60.2579,61.3513,60.1303,61.1144,2595184,STT
2014-04-10,61.1964,61.2329,59.3467,59.3649,2548416,STT
2014-04-11,58.9184,59.1462,57.9252,58.0983,3290051,STT
2014-04-14,58.8455,59.0642,58.0254,58.7179,2549712,STT
2014-04-15,58.9822,58.9822,57.5066,58.6359,3599298,STT
2014-04-16,59.2829,59.3558,58.6177,59.1462,2182552,STT
2014-04-17,59.2282,60.0756,59.1189,59.7112,1922332,STT
2014-04-21,59.6018,59.7349,59.0186,59.2282,1572608,STT
