date,open,high,low,close,volume,Name
2014-01-24,29.4493,29.5246,28.8701,28.9784,3002899,SWKS
2014-01-27,29.1762,29.341,28.4604,28.6111,3038835,SWKS
2014-01-28,27.7918,28.3568,27.3303,28.3003,6464453,SWKS
2014-01-29,28.2061,28.5132,27.8859,28.3851,4446423,SWKS
2014-01-30,28.856,28.9031,28.3945,28.7806,1865349,SWKS
2014-01-31,28.451,28.8936,28.4416,28.4887,1936671,SWKS
2014-02-03,28.3945,28.5263,27.5799,27.8483,4866445,SWKS
2014-02-04,28.0272,28.1025,27.6317,27.9801,2782035,SWKS
2014-02-05,27.8106,28.3851,27.5469,28.1214,2348289,SWKS
2014-02-06,28.3568,28.9407,28.2532,28.4981,2566549,SWKS
2014-02-07,28.6394,28.9031,28.5781,28.6959,1617969,SWKS
2014-02-10,28.79,29.2515,28.7241,28.9125,2131702,SWKS
2014-02-11,29.0161,29.7459,28.8748,29.2798,3382245,SWKS
2014-02-12,29.487,30.2639,29.4775,30.2498,3846157,SWKS
2014-02-13,30.1274,30.3148,29.9013,30.2404,2927643,SWKS
2014-02-14,30.231,30.3251,29.9767,30.1368,1813355,SWKS
2014-02-18,30.2686,30.2733,29.7318,29.9484,2682262,SWKS
2014-02-19,29.8354,29.9484,29.4493,29.4964,2468019,SWKS
2014-02-20,30.1368,31.4553,30.0426,31.3799,8262415,SWKS
2014-02-21,31.4929,31.4929,30.7866,30.8149,3552614,SWKS
2014-02-24,31.7378,32.4441,31.3611,32.397,7786308,SWKS
2014-02-25,32.4818,32.5854,31.6248,31.7943,4152612,SWKS
2014-02-26,31.7378,33.0092,31.7378,32.9809,4803711,SWKS
2014-02-27,32.8491,33.0845,32.4912,32.915,3528286,SWKS
2014-02-28,32.8114,33.885,32.802,33.3953,5197808,SWKS
2014-03-03,33.254,34.1864,32.8303,34.0922,5168755,SWKS
2014-03-04,34.4878,34.8268,33.9792,34.6102,5712677,SWKS
2014-03-05,34.6855,34.8127,34.4124,34.6573,2752521,SWKS
2014-03-06,34.8739,35.1423,34.6855,34.8456,3119122,SWKS
2014-03-07,35.0528,35.0717,34.29,34.516,2843498,SWKS
2014-03-10,34.3088,34.7986,34.0169,34.3748,1871986,SWKS
2014-03-11,34.516,34.629,33.9321,34.1205,2538653,SWKS
2014-03-12,34.1111,35.2977,33.9524,35.147,4157962,SWKS
2014-03-13,35.2506,35.4955,34.3936,34.6855,3270414,SWKS
2014-03-14,34.4689,34.8927,34.4689,34.5443,2514402,SWKS
2014-03-17,34.6761,34.921,34.5443,34.7326,1963417,SWKS
2014-03-18,35.034,35.4013,34.7326,35.3071,1714287,SWKS
2014-03-19,35.2412,35.9193,35.1376,35.4955,2169628,SWKS
2014-03-20,35.4955,37.0447,35.4107,36.9835,4667520,SWKS
2014-03-21,36.9364,37.04,35.2977,35.3636,5640475,SWKS
2014-03-24,35.6367,35.9381,34.8833,35.2035,3035209,SWKS
2014-03-25,35.6085,36.0332,35.3919,35.5237,1975840,SWKS
2014-03-26,35.6744,35.9758,34.5349,34.6008,3192969,SWKS
2014-03-27,35.2412,35.26,34.4124,34.7609,2440143,SWKS
2014-03-28,34.9775,35.0717,34.6361,34.7891,1812796,SWKS
2014-03-31,35.147,35.7686,35.1282,35.3354,2785048,SWKS
2014-04-01,35.3354,35.6273,34.7891,35.4201,3787234,SWKS
2014-04-02,35.5331,35.6179,34.9681,35.3919,2693996,SWKS
2014-04-03,35.3919,36.07,35.26,35.4766,2066564,SWKS
2014-04-04,35.778,35.9287,33.6873,33.8097,3838952,SWKS
2014-04-07,33.5273,34.3465,33.0563,33.6402,3544654,SWKS
2014-04-08,33.6967,34.2617,33.4142,33.9227,2235906,SWKS
2014-04-09,34.4124,34.8927,34.1676,34.7421,2312380,SWKS
2014-04-10,34.6761,34.8174,33.3765,33.4424,2378207,SWKS
2014-04-11,32.9621,33.6778,32.3032,32.8679,2377328,SWKS
2014-04-14,33.1787,33.5978,32.8679,33.2729,2351889,SWKS
2014-04-15,33.3011,33.8238,32.9433,33.6778,2958499,SWKS
2014-04-16,33.8285,33.8285,32.9244,33.7249,3119216,SWKS
2014-04-17,33.4989,34.3936,33.4895,33.9792,2833617,SWKS
2014-04-21,34.403,34.9681,34.0828,34.8645,3951377,SWKS
2014-04-22,35.0434,35.7592,34.7232,35.7497,6631585,SWKS
2014-04-23,39.0836,39.5263,38.01,39.0836,11148717,SWKS
2014-04-24,39.2061,40.016,38.8294,39.7052,4799562,SWKS
2014-04-25,39.093,39.6958,38.6127,39.046,3114614,SWKS
