date,open,high,low,close,volume,Name
2014-01-24,17.14,17.14,16.9148,16.9293,6865108,SYMC
2014-01-27,16.9366,17.0237,16.6241,16.6314,7857320,SYMC
2014-01-28,16.7767,17.1,16.6459,16.9293,7896141,SYMC
2014-01-29,16.7476,17.6341,16.7476,17.5469,15866945,SYMC
2014-01-30,16.457,16.7113,15.745,16.2608,22854876,SYMC
2014-01-31,16.0283,16.1228,15.5561,15.5561,15113595,SYMC
2014-02-03,15.4979,15.5488,15.0257,15.0765,12470264,SYMC
2014-02-04,15.2073,15.2436,14.8149,14.8331,12517820,SYMC
2014-02-05,14.8077,14.9966,14.7859,14.9239,9493950,SYMC
2014-02-06,14.8876,15.0257,14.7568,14.8731,7224823,SYMC
2014-02-07,14.9966,15.2146,14.9167,15.1855,7659457,SYMC
2014-02-10,15.091,15.2582,15.0765,15.1782,5622010,SYMC
2014-02-11,15.1928,15.4834,15.1855,15.4253,8004725,SYMC
2014-02-12,15.557,15.6887,15.374,15.5277,5619240,SYMC
2014-02-13,15.4179,15.6741,15.3887,15.6302,6851479,SYMC
2014-02-14,15.6082,15.6741,15.5131,15.6228,5310473,SYMC
2014-02-18,15.4472,15.5789,15.1252,15.1399,8374843,SYMC
2014-02-19,15.2057,15.2057,15.0008,15.0301,7849762,SYMC
2014-02-20,15.1849,15.1997,15.0006,15.1186,6842917,SYMC
2014-02-21,15.1849,15.1923,14.9785,15.1333,8265400,SYMC
2014-02-24,15.1702,15.4724,15.1112,15.3618,6568223,SYMC
2014-02-25,15.3766,15.5129,15.2734,15.3176,7491877,SYMC
2014-02-26,15.4429,15.7378,15.4282,15.6714,7850204,SYMC
2014-02-27,15.7083,15.8483,15.6051,15.8483,4969298,SYMC
2014-02-28,15.782,16.099,15.712,15.8336,4901533,SYMC
2014-03-03,15.6862,15.7894,15.5705,15.7673,5960870,SYMC
2014-03-04,15.7525,15.9294,15.4503,15.4798,8850687,SYMC
2014-03-05,15.4798,15.5166,15.2881,15.4503,6463891,SYMC
2014-03-06,15.5314,15.583,15.3176,15.3323,6477570,SYMC
2014-03-07,15.4061,15.4503,15.0891,15.1775,7878611,SYMC
2014-03-10,15.2291,15.266,15.0707,15.1554,6041153,SYMC
2014-03-11,15.0965,15.1775,14.9859,15.0817,6778107,SYMC
2014-03-12,15.0006,15.1517,15.0006,15.1038,7616057,SYMC
2014-03-13,15.2365,15.2365,14.75,14.7795,13193486,SYMC
2014-03-14,14.7795,15.0375,14.75,14.8606,7875644,SYMC
2014-03-17,15.0154,15.0375,14.868,14.9638,7435271,SYMC
2014-03-18,15.0227,15.2881,14.9638,15.1187,8823003,SYMC
2014-03-19,15.0965,15.2807,14.9896,15.1702,5233608,SYMC
2014-03-20,15.0891,15.4798,15.0449,15.4097,8372593,SYMC
2014-03-21,13.7917,13.8065,13.2315,13.4158,60896172,SYMC
2014-03-24,13.6369,14.1013,13.5706,14.0718,22656976,SYMC
2014-03-25,14.1382,14.4773,13.9687,14.0497,13451853,SYMC
2014-03-26,14.1382,14.2967,13.7991,13.8507,12925461,SYMC
2014-03-27,13.8728,14.551,13.8212,14.2045,17632292,SYMC
2014-03-28,14.3446,14.7132,14.3225,14.5878,12994929,SYMC
2014-03-31,14.5584,14.7574,14.4257,14.7205,15665302,SYMC
2014-04-01,14.6763,14.8901,14.5952,14.8753,8309770,SYMC
2014-04-02,15.067,15.067,14.6689,14.75,10722951,SYMC
2014-04-03,14.809,14.8311,14.6763,14.7648,8315510,SYMC
2014-04-04,14.8532,15.2586,14.7316,14.9269,20170629,SYMC
2014-04-07,14.8532,15.1407,14.7426,15.0449,13909719,SYMC
2014-04-08,15.0449,15.3065,15.0375,15.2144,11252942,SYMC
2014-04-09,15.1554,15.3089,15.1259,15.2144,8630761,SYMC
2014-04-10,15.1628,15.2586,14.949,15.0338,11193391,SYMC
2014-04-11,14.75,14.9417,14.7353,14.75,9219760,SYMC
2014-04-14,14.8974,15.2291,14.8569,15.1849,7913853,SYMC
2014-04-15,15.1702,15.3839,14.8532,15.3029,15211690,SYMC
2014-04-16,15.3987,15.4061,15.1554,15.2439,5303089,SYMC
2014-04-17,15.1849,15.2955,15.1333,15.266,6510544,SYMC
2014-04-21,15.2807,15.395,15.2439,15.3397,4387106,SYMC
2014-04-22,15.2881,15.3692,15.1775,15.1849,6735949,SYMC
2014-04-23,15.1038,15.2476,14.9048,15.2144,4560167,SYMC
2014-04-24,15.2807,15.3323,15.0817,15.1628,5016936,SYMC
2014-04-25,15.1112,15.1333,14.9159,14.949,5479793,SYMC
2014-04-28,15.008,15.0301,14.7353,14.7942,6715262,SYMC
2014-04-29,14.8016,15.0891,14.75,14.8606,5141591,SYMC
2014-04-30,14.8385,14.9785,14.7419,14.949,6351681,SYMC
2014-05-01,14.9785,15.0227,14.8016,14.8606,4110320,SYMC
2014-05-02,14.9343,15.0522,14.8385,15.0154,4904225,SYMC
2014-05-05,14.9122,14.9269,14.7795,14.8164,4161412,SYMC
2014-05-06,14.7795,14.9675,14.7795,14.809,4070193,SYMC
2014-05-07,14.8237,14.9196,14.7426,14.9048,5471941,SYMC
2014-05-08,14.9048,15.1849,14.7721,14.8385,6742492,SYMC
2014-05-09,15.4429,15.6051,15.1702,15.325,12396482,SYMC
2014-05-12,15.3323,15.7746,15.3323,15.6714,5541544,SYMC
2014-05-13,15.5977,15.6788,15.4724,15.6641,5210573,SYMC
2014-05-14,15.6935,15.8262,15.6272,15.782,3737594,SYMC
2014-05-15,15.9442,16.4749,15.8483,16.4454,15418837,SYMC
2014-05-16,16.298,16.6739,16.2243,16.5412,11711566,SYMC
2014-05-19,16.4012,16.5892,16.3348,16.5118,4839308,SYMC
2014-05-20,16.5412,16.5486,16.0621,16.2832,10135237,SYMC
