date,open,high,low,close,volume,Name
2014-01-24,53.399,53.4261,51.8072,51.8433,2748158,TEL
2014-01-27,51.373,52.4493,50.7942,51.6986,4441122,TEL
2014-01-28,51.1288,51.6896,50.7128,51.572,3470377,TEL
2014-01-29,51.174,51.8614,50.9751,51.3368,1915427,TEL
2014-01-30,51.8705,52.4584,51.6986,52.2142,2229046,TEL
2014-01-31,51.6082,51.6082,51.0293,51.1107,1831619,TEL
2014-02-03,51.1831,51.2283,49.4104,49.9983,2571360,TEL
2014-02-04,49.7269,50.0435,49.4556,49.8354,2058968,TEL
2014-02-05,49.0395,49.8174,48.9943,49.6907,1840296,TEL
2014-02-06,49.8807,50.5364,49.7179,50.2967,1553328,TEL
2014-02-07,50.7489,51.2374,50.4414,51.2012,1784521,TEL
2014-02-10,51.1921,51.4182,50.6314,50.8846,1326466,TEL
2014-02-11,50.9841,51.4635,50.8611,51.3459,1838351,TEL
2014-02-12,51.4635,52.0061,51.4635,51.6444,1534763,TEL
2014-02-13,51.4273,51.8976,51.0926,51.7981,1314764,TEL
2014-02-14,51.7438,51.9383,51.4906,51.771,971442,TEL
2014-02-18,51.8433,52.1689,51.78,51.9881,1700352,TEL
2014-02-19,51.8976,52.6031,51.771,51.9428,1873878,TEL
2014-02-20,52.0061,52.4674,51.6896,51.9881,2150406,TEL
2014-02-21,52.0333,52.2413,51.6986,51.979,2472709,TEL
2014-02-24,52.1509,52.7116,52.1509,52.4312,2607235,TEL
2014-02-25,52.4312,52.4312,51.9428,52.2051,1355251,TEL
2014-02-26,52.2324,52.9046,52.087,52.3959,1908515,TEL
2014-02-27,52.2778,52.9772,52.1234,52.8955,1620093,TEL
2014-02-28,52.9863,53.6404,52.7774,53.2134,2209998,TEL
2014-03-03,52.6775,53.0408,52.2778,52.8864,1360624,TEL
2014-03-04,53.5132,54.5306,53.5041,54.5033,2180763,TEL
2014-03-05,54.4216,54.467,53.5132,53.5495,1850938,TEL
2014-03-06,53.6585,53.7857,53.2134,53.4133,991338,TEL
2014-03-07,53.6404,53.9946,53.5132,53.6949,1211998,TEL
