date,open,high,low,close,volume,Name
2014-01-24,110.9019,110.9019,107.7554,107.775,3895608,TMO
2014-01-27,107.726,109.0983,106.9222,107.6965,2483881,TMO
2014-01-28,108.4023,110.2059,108.4023,110.0981,2526470,TMO
2014-01-29,108.9806,109.9216,108.1573,109.5394,2906375,TMO
2014-01-30,116.5116,118.9219,116.3936,118.5481,2126282,TMO
2014-01-31,112.3428,113.2544,111.2851,112.8623,3003668,TMO
2014-02-03,112.8917,113.5778,110.6666,110.8921,3775962,TMO
2014-02-04,111.4802,112.1565,110.2549,110.7254,3164042,TMO
2014-02-05,110.7548,111.0293,109.01,110.9607,2826445,TMO
2014-02-06,111.3234,112.5094,111.0293,112.1663,2483966,TMO
2014-02-07,112.9505,115.5775,112.7643,115.4403,3180691,TMO
2014-02-10,114.9992,116.6459,114.9306,116.2637,4233031,TMO
2014-02-11,117.3909,118.8122,116.4009,118.6064,3766772,TMO
2014-02-12,118.675,119.518,118.3515,119.1161,3605738,TMO
2014-02-13,118.4789,120.9883,118.2241,120.4688,2540570,TMO
2014-02-14,120.361,121.5372,120.2041,121.2922,9596240,TMO
2014-02-18,121.3118,121.7137,120.2433,121.1059,2845489,TMO
2014-02-19,121.1059,121.9097,119.1945,119.4003,2884510,TMO
2014-02-20,121.8705,122.541,120.0669,122.243,3456946,TMO
2014-02-21,122.243,122.3802,120.6452,120.7433,2646185,TMO
2014-02-24,120.6158,122.4302,120.6158,120.9295,2880522,TMO
2014-02-25,121.0373,121.8411,120.655,121.3608,2625867,TMO
2014-02-26,121.4196,122.7037,120.9883,121.8215,2620037,TMO
2014-02-27,121.7725,122.7331,121.3608,122.439,2213893,TMO
2014-02-28,122.8115,123.331,121.1647,122.0763,3148056,TMO
2014-03-03,120.6354,121.5274,119.7238,120.9099,2106979,TMO
2014-03-04,122.1254,123.0958,122.1254,122.8703,2354751,TMO
2014-03-05,122.3998,123.7427,121.7333,123.4192,2196087,TMO
2014-03-06,124.6347,125.1052,123.3604,123.8996,1649945,TMO
2014-03-07,124.5171,124.5171,123.1644,124.1642,1690797,TMO
2014-03-10,123.978,124.1936,122.7723,123.7819,1766768,TMO
2014-03-11,123.8701,124.5367,123.2624,123.7329,1341705,TMO
2014-03-12,123.1644,124.076,122.5567,123.9878,3107276,TMO
2014-03-13,124.1939,124.4785,120.3076,120.9553,2413780,TMO
2014-03-14,120.6707,121.289,119.5519,119.9739,2078566,TMO
2014-03-17,120.7885,122.0054,120.337,120.7296,1254823,TMO
2014-03-18,120.71,121.6717,120.6118,121.4264,1209203,TMO
2014-03-19,121.5245,122.0054,119.5333,120.4352,1532946,TMO
2014-03-20,120.3174,121.5245,119.866,121.2792,1352204,TMO
2014-03-21,122.5059,123.5265,120.553,120.6118,4441581,TMO
2014-03-24,121.0142,121.2595,117.1279,118.4037,2763394,TMO
2014-03-25,118.9631,120.1408,114.9025,117.1279,3971632,TMO
2014-03-26,117.491,118.3331,115.8325,115.8423,2121614,TMO
2014-03-27,115.8816,116.3723,114.4488,115.4792,2192541,TMO
2014-03-28,115.8325,117.7658,115.438,116.2938,1668918,TMO
2014-03-31,117.2359,118.3154,117.2359,118.0014,1530681,TMO
2014-04-01,118.2958,119.709,118.2958,119.6108,1802632,TMO
2014-04-02,119.6501,120.2782,119.3851,119.9249,1480049,TMO
2014-04-03,120.0426,120.445,118.4626,119.5323,2544722,TMO
2014-04-04,120.3469,121.0731,117.4714,117.6481,1861023,TMO
2014-04-07,117.5009,117.9817,114.5861,115.6068,2819271,TMO
2014-04-08,115.3124,116.2152,113.1631,115.0278,2286295,TMO
2014-04-09,115.44,118.1878,114.8217,118.1584,1574337,TMO
