date,open,high,low,close,volume,Name
2014-01-24,33.0927,33.0927,32.51,32.6791,4412246,TSN
2014-01-27,32.8013,32.8765,32.2092,32.5663,3238263,TSN
2014-01-28,32.7073,32.9047,32.3878,32.5757,3083103,TSN
2014-01-29,32.4536,32.6415,32.0917,32.322,3003232,TSN
2014-01-30,32.4442,32.5288,32.1998,32.416,3770551,TSN
2014-01-31,33.5344,35.9499,33.4686,35.151,12041138,TSN
2014-02-03,35.104,35.5175,33.7788,33.854,6871115,TSN
2014-02-04,34.0795,34.3239,33.0927,33.337,6792090,TSN
2014-02-05,33.3088,33.7036,33.1303,33.4498,3978400,TSN
2014-02-06,33.5062,33.807,33.2524,33.5532,3298905,TSN
2014-02-07,33.5908,34.1171,33.4028,33.9198,3909633,TSN
2014-02-10,33.9198,34.4179,33.8258,34.3051,3592052,TSN
2014-02-11,34.2581,34.5589,33.9761,34.5495,4236930,TSN
2014-02-12,34.5213,34.9207,34.2957,34.6716,3858230,TSN
2014-02-13,34.5683,35.353,34.5213,35.2168,3052551,TSN
2014-02-14,35.2168,35.4611,34.9912,35.4611,2422682,TSN
2014-02-18,35.6021,36.213,35.6021,36.0345,3083520,TSN
2014-02-19,35.9499,36.1002,35.6585,35.9875,3180027,TSN
2014-02-20,36.0063,36.9461,36.0063,36.8145,3759007,TSN
2014-02-21,36.932,36.9555,36.1613,36.5702,3838294,TSN
2014-02-24,36.6548,36.8333,36.1895,36.5232,2770506,TSN
2014-02-25,36.6736,37.1623,36.5326,36.589,3849943,TSN
2014-02-26,36.6806,37.1373,36.6147,36.8218,2960944,TSN
2014-02-27,36.7654,36.9537,36.3229,36.6336,3929739,TSN
2014-02-28,36.643,37.2361,36.6241,37.142,3366302,TSN
2014-03-03,36.7654,36.7654,36.0592,36.5394,4367542,TSN
2014-03-04,36.9442,37.4056,36.8783,37.2832,4431167,TSN
2014-03-05,37.4056,38.413,37.3114,38.0552,5059705,TSN
2014-03-06,38.0552,38.1211,37.6786,37.8198,3237252,TSN
2014-03-07,37.914,37.9987,37.5845,37.914,1959527,TSN
2014-03-10,37.8763,38.2247,37.575,37.8387,3023245,TSN
2014-03-11,37.9234,38.027,37.3256,37.415,2914459,TSN
2014-03-12,37.3303,38.1117,37.302,38.1023,2325697,TSN
2014-03-13,38.1305,38.413,37.9328,38.1023,2348602,TSN
2014-03-14,37.9987,39.0748,37.9987,39.0532,3978412,TSN
2014-03-17,39.1285,39.458,39.0155,39.2321,3383553,TSN
2014-03-18,39.3074,39.9005,39.3074,39.8535,3350550,TSN
2014-03-19,39.9194,40.0041,39.1473,39.458,4495013,TSN
2014-03-20,39.4298,39.8629,39.072,39.8158,2027322,TSN
2014-03-21,40.1359,40.3525,39.8158,39.8911,3904897,TSN
2014-03-24,40.0135,40.2583,39.6557,39.8911,1974441,TSN
2014-03-25,39.91,40.1453,39.6934,39.9476,2839545,TSN
2014-03-26,40.0512,40.4748,39.7217,40.3619,3316058,TSN
2014-03-27,40.3148,40.456,39.8817,40.3619,2391001,TSN
2014-03-28,40.3901,40.9079,40.3525,40.6255,1985687,TSN
2014-03-31,41.2375,41.6329,40.7479,41.4352,3312871,TSN
2014-04-01,41.5482,41.6517,40.7855,40.9079,4026536,TSN
2014-04-02,40.9268,40.9362,38.9308,39.0155,8326816,TSN
2014-04-03,38.9967,39.5428,38.9402,39.5334,5031639,TSN
2014-04-04,39.6934,39.8064,38.7802,38.8084,3629818,TSN
2014-04-07,38.8084,39.2839,38.526,38.6201,3285930,TSN
2014-04-08,38.6484,39.298,38.4036,39.1568,4117686,TSN
2014-04-09,39.2227,39.957,39.1756,39.8158,3413902,TSN
2014-04-10,39.7781,40.0512,38.8272,38.9026,4588423,TSN
2014-04-11,38.8931,39.5898,38.8653,39.2321,3036623,TSN
2014-04-14,39.4674,39.9194,39.2792,39.9005,2679918,TSN
2014-04-15,39.9759,40.3242,39.1662,39.957,3230688,TSN
2014-04-16,40.2301,40.8232,39.5993,40.2489,4069001,TSN
2014-04-17,40.1453,40.4372,39.957,40.1547,2070534,TSN
2014-04-21,40.2395,40.5878,40.1875,40.5125,3408356,TSN
2014-04-22,40.6726,40.795,40.3007,40.6726,2166562,TSN
2014-04-23,40.6443,40.8985,40.5784,40.7196,2375933,TSN
2014-04-24,40.7573,40.7573,39.4298,40.0135,4299914,TSN
2014-04-25,40.0512,40.4843,39.7876,39.9476,2749672,TSN
2014-04-28,40.183,40.3619,39.6463,40.0323,3156474,TSN
2014-04-29,39.8817,40.2206,39.3074,39.3545,3043150,TSN
2014-04-30,39.3451,39.6369,39.2608,39.5145,3409898,TSN
2014-05-01,39.7687,40.0135,39.2038,39.9288,2629156,TSN
2014-05-02,39.8629,40.343,39.6557,40.1547,2455882,TSN
2014-05-05,38.1588,38.3282,36.0687,36.1911,10995060,TSN
2014-05-06,36.304,36.4264,35.7768,36.0122,5311601,TSN
2014-05-07,36.1157,36.9631,36.0639,36.9348,3890912,TSN
2014-05-08,36.916,37.4432,36.6336,36.8689,4027006,TSN
