date,open,high,low,close,volume,Name
2014-01-24,51.5749,52.1821,51.5303,51.5838,2142421,VFC
2014-01-27,51.5481,52.0482,51.432,51.7089,2323091,VFC
2014-01-28,51.7892,52.6464,51.6642,52.3964,1840699,VFC
2014-01-29,52.1285,52.5036,51.3249,51.4142,2297185,VFC
2014-01-30,52.4053,53.5393,52.4053,53.0482,2294053,VFC
2014-01-31,52.3785,52.5036,52.0482,52.191,2619237,VFC
2014-02-03,52.1821,52.1909,50.3248,50.4409,2373159,VFC
2014-02-04,50.8159,50.9409,50.1641,50.3338,2317026,VFC
2014-02-05,50.3159,50.4856,49.394,49.9945,3550138,VFC
2014-02-06,50.2088,51.441,49.4944,51.2803,2161080,VFC
2014-02-07,51.5838,52.5302,51.5838,52.4589,1842597,VFC
2014-02-10,52.3071,52.9232,52.2401,52.7714,1819216,VFC
2014-02-11,52.7179,53.9679,52.6018,53.9412,2606045,VFC
2014-02-12,54.1287,54.3072,52.8518,52.9768,3175070,VFC
2014-02-13,52.7357,53.5751,52.6375,53.4768,3301427,VFC
2014-02-14,50.0927,50.9942,49.2355,50.7624,8377534,VFC
2014-02-18,50.7534,50.8427,50.0927,50.4141,4086848,VFC
2014-02-19,50.3784,51.0749,50.3427,50.6016,2919001,VFC
2014-02-20,50.6909,51.8897,50.6909,51.816,2664275,VFC
2014-02-21,51.7803,52.4768,51.7803,52.2267,3552326,VFC
2014-02-24,52.2,52.8438,52.2,52.5393,2761411,VFC
2014-02-25,52.6821,52.8866,52.3607,52.6821,2117699,VFC
2014-02-26,52.9232,53.7894,52.7447,53.4233,3379859,VFC
2014-02-27,52.5303,53.0572,52.2446,52.6732,3010449,VFC
2014-02-28,52.5303,52.6286,51.9767,52.316,3371969,VFC
2014-03-03,51.6999,52.3607,51.6821,52.2893,1690214,VFC
2014-03-04,52.8161,53.5545,52.8161,53.3608,1776894,VFC
2014-03-05,53.45,53.7268,53.1643,53.45,1732527,VFC
2014-03-06,53.5958,53.9545,53.3447,53.82,1572011,VFC
2014-03-07,54.098,55.5957,54.0173,55.0487,3807013,VFC
2014-03-10,54.9859,55.524,54.9769,55.4164,2833120,VFC
2014-03-11,55.4164,55.5599,54.9321,55.1114,2240554,VFC
2014-03-12,54.7617,55.0576,54.5554,55.0038,1854466,VFC
2014-03-13,55.1204,55.5778,54.6092,54.8065,3130315,VFC
2014-03-14,54.5195,55.3446,54.4029,54.4567,2642825,VFC
2014-03-17,54.8603,56.0442,54.8603,55.9007,2007277,VFC
2014-03-18,55.9186,56.5374,55.7123,55.7303,2745636,VFC
2014-03-19,55.802,55.9993,54.8783,55.3267,2152707,VFC
2014-03-20,55.1473,56.0352,54.8962,55.8558,2016347,VFC
2014-03-21,56.3222,56.6899,55.802,55.8738,3172648,VFC
2014-03-24,55.9904,56.367,55.237,55.515,1383627,VFC
2014-03-25,55.7572,55.8289,54.5554,54.6899,1962660,VFC
2014-03-26,54.6361,55.237,54.3536,54.376,1461940,VFC
2014-03-27,54.4388,54.8693,54.1742,54.5823,1408245,VFC
2014-03-28,54.7527,55.3357,54.4926,55.0397,1196346,VFC
2014-03-31,55.5599,55.7931,55.3357,55.4971,1728902,VFC
2014-04-01,55.6675,56.3491,55.5509,55.7661,1589589,VFC
2014-04-02,55.8289,56.4747,55.7168,56.1697,1515004,VFC
2014-04-03,56.1966,56.3939,55.0576,55.246,2257101,VFC
2014-04-04,55.5688,55.6136,53.9455,54.1339,3086985,VFC
2014-04-07,54.0801,54.2774,53.1429,53.3626,1932690,VFC
2014-04-08,53.1653,53.9724,52.9411,53.6406,1768456,VFC
2014-04-09,53.1742,53.2639,52.1967,52.9321,4493814,VFC
2014-04-10,53.0128,53.7303,52.2864,52.403,2498593,VFC
2014-04-11,52.0173,52.4926,51.6317,51.7483,2488021,VFC
2014-04-14,52.0532,52.5285,51.9187,52.3491,1869184,VFC
2014-04-15,52.4657,53.1339,52.1787,53.0666,1763757,VFC
2014-04-16,53.4792,53.9366,53.3805,53.9276,1784351,VFC
2014-04-17,53.9097,54.2325,53.5958,53.6765,1105283,VFC
2014-04-21,53.8648,54.394,53.5868,53.8738,1295210,VFC
2014-04-22,54.0083,54.2505,53.524,53.802,2351947,VFC
2014-04-23,53.9276,54.4837,53.8738,54.2684,1392622,VFC
2014-04-24,54.3222,54.3536,53.4254,53.9097,1948266,VFC
2014-04-25,54.2594,55.802,54.2236,55.1025,2993268,VFC
2014-04-28,55.533,55.8262,53.524,54.5464,2980337,VFC
2014-04-29,54.6271,55.1742,54.5375,54.9769,1525920,VFC
2014-04-30,54.8783,55.0038,54.4298,54.7886,2181689,VFC
2014-05-01,54.7976,55.1832,54.3222,54.8693,1441983,VFC
2014-05-02,55.0397,55.5509,54.7348,54.8514,1420441,VFC
2014-05-05,54.672,55.1563,54.2415,54.9949,1110651,VFC
2014-05-06,54.9321,55.2101,54.5823,54.8245,1425044,VFC
2014-05-07,54.9949,55.0487,53.9724,54.663,1205109,VFC
2014-05-08,54.6899,55.7303,54.4388,55.3895,2056705,VFC
2014-05-09,55.1025,55.4971,54.3132,55.3895,1800620,VFC
2014-05-12,55.6406,56.5374,55.3895,56.3312,1634736,VFC
2014-05-13,56.8244,57.3894,56.8244,56.9859,1776244,VFC
2014-05-14,57.1383,57.1832,56.4657,56.5733,1377572,VFC
2014-05-15,56.385,56.385,55.4262,55.9276,1180315,VFC
2014-05-16,55.8648,56.3132,55.5957,56.2953,1330996,VFC
2014-05-19,56.2146,56.8244,56.2146,56.5823,1040438,VFC
2014-05-20,56.3132,56.4208,55.4343,55.6047,1969755,VFC
2014-05-21,55.6944,55.9724,55.4377,55.7123,980536,VFC
2014-05-22,55.7751,56.107,55.515,55.9814,1028105,VFC
2014-05-23,56.08,56.3312,55.9697,56.2504,919795,VFC
2014-05-27,56.5823,56.9321,56.3087,56.4029,953946,VFC
2014-05-28,56.5016,56.5464,55.8558,56.2146,1344520,VFC
2014-05-29,56.4478,56.4478,56.0352,56.2146,761497,VFC
2014-05-30,56.3132,56.8782,56.1832,56.5195,1376704,VFC
2014-06-02,56.5912,57.0217,56.3401,56.8782,881068,VFC
2014-06-03,56.8693,56.9903,56.5733,56.9321,1104347,VFC
2014-06-04,56.8603,57.2639,56.5554,57.1294,919069,VFC
2014-06-05,56.8782,57.4433,56.3222,57.3805,1862314,VFC
2014-06-06,57.6259,57.7069,57.0315,57.0675,1347954,VFC
2014-06-09,57.0946,57.3737,57.0675,57.2206,1013702,VFC
2014-06-10,57.1756,57.3107,56.8694,56.9055,900700,VFC
2014-06-11,56.6803,56.7929,56.3741,56.6083,1326524,VFC
2014-06-12,56.3651,56.5092,55.6447,55.7618,1258678,VFC
2014-06-13,55.7437,55.7437,55.3385,55.5096,1177152,VFC
2014-06-16,55.2665,55.9599,55.1842,55.5636,1482043,VFC
2014-06-17,55.4196,55.9239,55.2845,55.6897,1450949,VFC
2014-06-18,55.8698,56.2751,55.4736,56.158,1556833,VFC
2014-06-19,56.2571,56.2841,55.6357,55.9239,1386861,VFC
2014-06-20,56.131,56.221,55.8248,55.9689,2701333,VFC
2014-06-23,56.086,56.4732,55.8428,56.4192,1554863,VFC
