date,open,high,low,close,volume,Name
2014-01-24,73.2925,73.2925,71.557,71.7156,2710351,VIAB
2014-01-27,71.6716,72.2265,71.0109,71.3897,2893712,VIAB
2014-01-28,71.0285,72.5084,71.0285,72.4644,2493154,VIAB
2014-01-29,71.6892,72.1032,71.1959,71.328,3424735,VIAB
2014-01-30,73.1163,75.1688,72.6846,74.006,5672562,VIAB
2014-01-31,72.3058,73.1956,71.6716,72.3234,6061238,VIAB
2014-02-03,72.3675,72.3939,69.2931,69.4164,4095909,VIAB
2014-02-04,69.8657,70.5968,69.3107,70.1388,3360310,VIAB
2014-02-05,69.7247,70.5616,69.0905,70.4295,2582240,VIAB
2014-02-06,70.359,71.6275,70.13,71.1166,1882913,VIAB
2014-02-07,71.3985,72.4027,71.099,72.1649,2104513,VIAB
2014-02-10,72.297,72.7727,72.0944,72.7375,1775486,VIAB
2014-02-11,72.9489,73.5215,72.6758,73.266,2127035,VIAB
2014-02-12,73.6272,74.2527,73.407,74.235,2362371,VIAB
2014-02-13,73.5215,75.3098,73.5215,74.6226,3183809,VIAB
2014-02-14,74.3672,76.0585,74.3597,75.301,2115470,VIAB
2014-02-18,75.5212,75.9705,74.6226,75.5388,1960765,VIAB
2014-02-19,75.2745,76.3581,75.2745,75.7767,2025652,VIAB
2014-02-20,77.6706,77.6706,75.6533,76.2083,1782948,VIAB
2014-02-21,76.9042,76.9553,76.1731,76.5166,1759264,VIAB
2014-02-24,76.5695,77.6354,76.2876,76.6223,2444489,VIAB
2014-02-25,76.8161,77.1949,75.8868,76.1378,1904176,VIAB
2014-02-26,76.4285,76.7104,75.4683,75.8824,1978034,VIAB
2014-02-27,75.8383,76.6752,75.574,76.5166,2130888,VIAB
2014-02-28,76.6488,77.9349,76.2083,77.283,3059070,VIAB
2014-03-03,76.9307,76.9659,75.1688,75.6709,2857160,VIAB
2014-03-04,76.455,77.0099,76.2523,76.5871,2431522,VIAB
2014-03-05,76.9835,77.0892,76.0233,76.7545,1979798,VIAB
2014-03-06,76.5607,77.8204,76.5431,77.4944,2353844,VIAB
2014-03-07,77.9085,78.437,77.4416,77.7587,2412223,VIAB
2014-03-10,77.5209,78.3401,76.6928,78.3137,2856290,VIAB
2014-03-11,78.3666,78.6132,77.3535,77.7147,2526587,VIAB
2014-03-12,77.0783,77.9976,76.7954,77.9622,2210081,VIAB
2014-03-13,78.2804,78.5456,76.7601,76.9899,1950515,VIAB
2014-03-14,76.6982,77.6617,76.6982,76.9722,2372858,VIAB
2014-03-17,77.7854,78.3776,77.5202,77.9976,1666032,VIAB
2014-03-18,78.3069,78.8196,77.591,78.1478,1762294,VIAB
2014-03-19,78.2804,78.5986,77.2993,77.6528,1832139,VIAB
2014-03-20,77.5202,77.9092,76.7601,77.3611,1823529,VIAB
2014-03-21,78.3865,78.908,76.8308,76.928,4107723,VIAB
2014-03-24,76.7954,77.1313,75.1336,75.8938,2600184,VIAB
2014-03-25,75.9734,76.2518,74.6121,75.5049,2906688,VIAB
2014-03-26,75.9203,76.0883,74.8154,74.8419,2336272,VIAB
2014-03-27,74.6563,74.895,73.737,74.2497,2331423,VIAB
2014-03-28,74.1525,75.4784,74.0995,74.8596,2014587,VIAB
2014-03-31,75.3104,75.7259,75.0894,75.1248,1660582,VIAB
2014-04-01,76.0529,76.6982,75.7436,76.654,2740836,VIAB
2014-04-02,77.2816,77.6617,76.5037,77.2285,3017323,VIAB
2014-04-03,77.5468,77.8119,76.707,77.0429,2039187,VIAB
2014-04-04,77.2639,77.5644,74.674,74.9038,2801522,VIAB
2014-04-07,74.7182,75.0187,72.4465,73.1625,2996564,VIAB
2014-04-08,73.0741,74.126,72.5968,73.9227,3938661,VIAB
2014-04-09,74.0199,76.0176,74.0199,75.9203,2375511,VIAB
2014-04-10,75.7612,75.8231,73.189,73.2155,2608115,VIAB
2014-04-11,72.6763,73.463,72.1813,72.4288,2263517,VIAB
2014-04-14,73.1978,73.7812,72.1902,73.1271,2082204,VIAB
2014-04-15,73.4188,73.4895,71.7659,72.694,2275466,VIAB
2014-04-16,73.8696,74.2497,73.1713,73.5868,2233175,VIAB
2014-04-17,73.2332,74.6298,73.1797,74.2939,2097788,VIAB
2014-04-21,74.2939,74.5503,73.8608,74.5149,1089091,VIAB
2014-04-22,74.5149,74.8419,73.8785,74.2586,1335195,VIAB
2014-04-23,74.3293,74.8066,74.13,74.5591,1601474,VIAB
2014-04-24,75.7259,75.7259,74.2586,74.9922,1347971,VIAB
2014-04-25,74.5856,74.9127,73.5293,73.7547,1446138,VIAB
2014-04-28,74.3646,74.9082,72.9857,74.0464,2249983,VIAB
2014-04-29,74.9127,74.9127,73.5514,73.9934,1842862,VIAB
2014-04-30,73.5868,75.9027,73.3481,75.116,3743648,VIAB
2014-05-01,73.5956,74.8066,72.9327,73.8078,3736322,VIAB
2014-05-02,74.0995,74.8154,73.5426,74.3823,1846597,VIAB
2014-05-05,73.6575,74.7801,73.3835,74.4619,1623495,VIAB
2014-05-06,74.3381,74.6121,73.4277,73.4984,1571290,VIAB
2014-05-07,73.631,74.0111,73.1006,73.5779,1973810,VIAB
2014-05-08,73.5691,75.0011,73.5603,74.126,1740239,VIAB
2014-05-09,73.9315,74.2232,73.1095,73.7017,1876200,VIAB
2014-05-12,74.2055,75.0894,74.1967,74.7447,2344498,VIAB
2014-05-13,74.5944,75.1248,73.6133,73.9757,1876169,VIAB
2014-05-14,73.7989,74.1967,73.2509,73.4807,2239821,VIAB
2014-05-15,73.242,73.6619,72.2609,73.4188,2166244,VIAB
2014-05-16,73.7194,74.1348,72.7824,74.0995,2821944,VIAB
2014-05-19,73.905,74.7094,73.41,74.4707,1843938,VIAB
2014-05-20,74.1083,74.5061,73.1802,73.6221,2133562,VIAB
2014-05-21,73.8873,74.8773,73.6221,74.6563,1867322,VIAB
2014-05-22,74.6652,75.3546,74.4884,74.8419,1614564,VIAB
2014-05-23,74.3116,75.6994,74.3116,75.1248,2412625,VIAB
