date,open,high,low,close,volume,Name
2014-01-24,58.9199,59.3554,56.8975,57.6426,1894030,VMC
2014-01-27,58.1942,58.1942,55.988,56.1621,1467766,VMC
2014-01-28,57.3523,61.01,57.2846,59.5876,2675027,VMC
2014-01-29,58.707,60.8746,58.4651,60.2456,1283766,VMC
2014-01-30,60.623,60.7778,59.336,59.6844,1080094,VMC
2014-01-31,58.4458,60.7004,58.291,59.7327,866249,VMC
2014-02-03,59.6844,60.294,56.7814,57.1395,1302349,VMC
2014-02-04,57.1878,58.4651,57.0233,57.9426,1149625,VMC
2014-02-05,57.9426,59.4037,57.5265,58.2426,1774937,VMC
2014-02-06,63.9612,65.203,63.9612,65.0963,1369445,VMC
2014-02-07,63.8646,64.2033,61.7745,62.6647,2066664,VMC
2014-02-10,63.3421,64.2323,62.6115,63.0711,1145944,VMC
2014-02-11,63.0034,63.9517,62.4615,63.4195,1244116,VMC
2014-02-12,63.8162,64.1065,62.9647,63.2646,719371,VMC
2014-02-13,62.8873,64.0581,62.326,63.8646,1055255,VMC
2014-02-14,63.913,64.6387,63.3517,64.1839,749446,VMC
2014-02-18,64.3774,65.1999,63.8356,64.2904,869861,VMC
2014-02-19,63.8936,64.9774,62.5873,62.8195,957333,VMC
2014-02-20,62.8776,63.3909,62.1998,63.2359,662728,VMC
2014-02-21,63.3425,64.0978,63.3425,63.6523,706873,VMC
2014-02-24,63.8073,64.3786,62.9454,62.9745,592623,VMC
2014-02-25,62.9551,63.9041,62.529,63.478,563757,VMC
2014-02-26,63.7008,65.9571,63.449,64.8435,1209078,VMC
2014-02-27,64.8338,66.2864,64.8338,65.7828,802479,VMC
2014-02-28,65.7344,66.4219,65.1533,65.7828,811345,VMC
2014-03-03,65.4051,66.3832,65.2114,66.1992,974468,VMC
2014-03-04,67.1192,67.3032,66.296,66.8287,840275,VMC
2014-03-05,66.7028,67.032,65.7828,66.0443,768456,VMC
2014-03-06,66.1992,66.6834,65.5794,65.8409,726226,VMC
2014-03-07,66.2573,66.9921,65.9862,66.6737,830775,VMC
2014-03-10,66.4123,66.5769,65.1146,65.9862,624705,VMC
2014-03-11,66.3251,66.5962,65.0759,65.347,682786,VMC
2014-03-12,64.8338,65.2405,64.766,64.8144,809699,VMC
2014-03-13,65.2211,65.2211,63.5361,63.7104,652290,VMC
2014-03-14,63.6427,64.5917,63.5361,64.1365,605959,VMC
2014-03-17,64.3883,65.163,64.1269,64.6207,707263,VMC
2014-03-18,64.6885,65.4032,64.5626,65.2696,930748,VMC
2014-03-19,65.5504,66.1508,64.5529,65.0759,672962,VMC
2014-03-20,64.8144,65.0565,64.0106,64.8919,672723,VMC
2014-03-21,65.3083,65.3083,63.9913,64.0203,1293299,VMC
2014-03-24,64.1753,64.4948,62.7517,63.0616,658319,VMC
2014-03-25,63.4877,64.001,63.3134,63.8266,487162,VMC
2014-03-26,64.0784,64.3593,62.5193,62.5677,660920,VMC
2014-03-27,62.5193,63.1585,61.8124,63.0519,661443,VMC
2014-03-28,63.449,64.8531,63.1972,64.2915,702890,VMC
2014-03-31,64.7466,65.4051,64.0784,64.3496,1018786,VMC
2014-04-01,64.7563,64.7563,63.7879,64.3786,763087,VMC
2014-04-02,64.2237,64.4852,63.4393,63.6427,781870,VMC
2014-04-03,63.9622,64.8822,63.5264,64.2431,890695,VMC
2014-04-04,64.6885,66.1314,63.5942,64.2334,1419914,VMC
2014-04-07,64.3689,64.8047,61.8027,62.0448,1055942,VMC
