date,open,high,low,close,volume,Name
2014-01-24,61.94,61.95,60.37,60.37,1110397,VRSN
2014-01-27,60.4,60.64,59.3,59.38,1816418,VRSN
2014-01-28,59.34,60.09,59.32,59.6,1736407,VRSN
2014-01-29,59.17,59.65,58.67,59.01,1032067,VRSN
2014-01-30,59.45,59.84,59.36,59.44,1031070,VRSN
2014-01-31,58.83,59.405,58.47,58.75,2604624,VRSN
2014-02-03,58.4,58.73,56.21,56.28,2719849,VRSN
2014-02-04,56.34,56.99,55.43,56.1,6082471,VRSN
2014-02-05,56.37,56.8,55.49,55.52,4026937,VRSN
2014-02-06,55.42,56.49,55.38,55.42,6766280,VRSN
2014-02-07,53.01,53.14,50.49,52.68,6534389,VRSN
2014-02-10,52.68,53.87,52.68,53.87,2460349,VRSN
2014-02-11,53.65,54.07,53.34,53.96,1940142,VRSN
2014-02-12,54.08,54.23,53.83,54.08,2310081,VRSN
2014-02-13,51.41,54.57,51.41,54.42,1190240,VRSN
2014-02-14,54.42,54.79,53.95,54.52,1721328,VRSN
2014-02-18,54.45,55.52,54.32,55.51,2045560,VRSN
2014-02-19,55.31,55.92,55.14,55.24,1697753,VRSN
2014-02-20,55.3,55.75,54.84,55.7,1374394,VRSN
2014-02-21,55.82,55.99,54.98,54.99,2473922,VRSN
2014-02-24,53.9,55.61,53.9,54.72,1089779,VRSN
2014-02-25,54.87,55.25,54.77,55.04,1932950,VRSN
2014-02-26,55.24,55.48,54.75,55.03,845610,VRSN
2014-02-27,54.76,55.5,54.53,55.23,1430084,VRSN
2014-02-28,55.07,55.63,54.7,55.11,1505395,VRSN
2014-03-03,54.71,55.285,54.655,55.19,1131627,VRSN
2014-03-04,55.79,56.23,55.65,56.22,1202056,VRSN
2014-03-05,56.08,56.66,55.78,56.22,2245858,VRSN
2014-03-06,56.19,56.55,56.05,56.17,811693,VRSN
2014-03-07,56.17,56.408,55.655,55.88,777315,VRSN
2014-03-10,55.83,55.93,55.0,55.15,897062,VRSN
2014-03-11,55.2,55.57,54.53,54.71,1474220,VRSN
2014-03-12,54.56,54.9,54.38,54.6,783080,VRSN
2014-03-13,54.82,54.97,54.1,54.35,1230287,VRSN
2014-03-14,54.38,55.2,54.38,54.85,1293809,VRSN
2014-03-17,51.86,52.0,48.5501,51.68,10815306,VRSN
2014-03-18,51.68,52.73,51.6,52.41,2254206,VRSN
2014-03-19,52.5,53.2199,52.32,52.7,1797045,VRSN
2014-03-20,52.7,52.83,52.18,52.41,1387638,VRSN
2014-03-21,52.9,52.96,52.42,52.78,2482383,VRSN
2014-03-24,52.81,52.9,51.92,52.22,882766,VRSN
2014-03-25,52.36,52.9,52.115,52.49,1148543,VRSN
2014-03-26,52.65,53.58,52.49,53.26,1664456,VRSN
2014-03-27,53.31,53.54,52.78,53.32,1385155,VRSN
2014-03-28,53.36,53.99,53.11,53.49,1450034,VRSN
2014-03-31,53.6,54.215,53.565,53.91,1316336,VRSN
2014-04-01,54.08,54.47,53.84,53.95,2517561,VRSN
2014-04-02,54.36,54.36,52.7,52.83,1748361,VRSN
2014-04-03,52.99,53.16,51.57,51.59,1646741,VRSN
2014-04-04,51.97,52.24,50.565,50.73,1985554,VRSN
2014-04-07,50.74,51.31,50.22,50.46,1846596,VRSN
2014-04-08,50.54,51.09,50.3,50.68,2808224,VRSN
2014-04-09,50.9,51.48,50.83,51.25,1448146,VRSN
2014-04-10,51.25,51.492,50.18,50.18,1697510,VRSN
2014-04-11,50.08,50.43,48.96,49.03,2414180,VRSN
2014-04-14,49.43,49.99,48.9,49.18,1211393,VRSN
2014-04-15,49.18,49.87,48.53,49.73,1644666,VRSN
2014-04-16,50.0,50.9,49.56,50.58,1632211,VRSN
2014-04-17,50.26,50.945,50.23,50.66,944607,VRSN
2014-04-21,50.64,51.05,50.28,50.58,1088268,VRSN
2014-04-22,50.51,51.39,50.51,50.84,1007457,VRSN
2014-04-23,50.78,50.94,49.8,50.03,1702660,VRSN
2014-04-24,50.13,50.43,48.99,49.25,2614801,VRSN
2014-04-25,48.94,49.09,47.11,47.15,2978866,VRSN
